id,icon,name,desc,male,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid
1016,ui/hzicon/yichu/yifunv_gongxin,宫心,宫心,False,HP_TOUFA,100016,HP_YIFU,110016,HP_BEISHI,120016,HP_SHOUCHI,140016,,,,,,,,,,,,
1017,ui/hzicon/yichu/yifunv_huazhiming,花之茗,花之茗,False,HP_TOUFA,100017,HP_YIFU,110017,HP_BEISHI,120017,,,HP_TOUJIN,101017,,,,,,,,,,
1018,ui/hzicon/yichu/yifunv_hongjian,红笺,红笺,False,HP_TOUFA,100018,HP_YIFU,110018,HP_BEISHI,120018,HP_SHOUCHI,140018,,,,,,,,,,,,
1019,ui/hzicon/yichu/yifunv_ansheng,安生,安生,False,HP_TOUFA,100019,HP_YIFU,110019,HP_BEISHI,120019,HP_SHOUCHI,140019,,,,,,,,,,,,
1020,ui/hzicon/yichu/yifunv_huangshi,皇室,皇室,False,HP_TOUFA,100020,HP_YIFU,110020,,,HP_SHOUCHI,140020,,,,,,,,,,,,
1021,ui/hzicon/yichu/yifunv_shufang,淑芳,淑芳,False,HP_TOUFA,100021,HP_YIFU,110021,,,HP_SHOUCHI,140021,,,,,,,,,,,,
1022,ui/hzicon/yichu/yifunv_wangdie,王蝶,王蝶,False,HP_TOUFA,100022,HP_YIFU,110022,HP_BEISHI,120022,,,,,,,,,,,,,,
1024,ui/hzicon/yichu/yifunv_changle,常乐,常乐,False,HP_TOUFA,100024,HP_YIFU,110024,,,,,,,,,,,,,,,,
1025,ui/hzicon/yichu/yifunv_dingguo,定国,定国,False,HP_TOUFA,100025,HP_YIFU,110025,,,HP_SHOUCHI,140025,,,,,,,,,,,,
1026,ui/hzicon/yichu/yifunv_jinyiwei,锦衣卫,锦衣卫,False,HP_TOUFA,100026,HP_YIFU,110026,,,HP_SHOUCHI,140026,,,,,,,,,,,,
1027,ui/hzicon/yichu/yifunv_yashi,雅士,雅士,False,HP_TOUFA,100027,HP_YIFU,110027,,,,,,,,,,,,,,,,
1028,ui/hzicon/yichu/yifunv_longfeng,龙凤,龙凤,False,HP_TOUFA,100028,HP_YIFU,110028,,,HP_SHOUCHI,140028,,,,,,,,,,,,
1029,ui/hzicon/yichu/yifunv_mengzhiyao,梦之瑶,梦之瑶,False,HP_TOUFA,100029,HP_YIFU,110029,HP_BEISHI,120029,HP_SHOUCHI,140029,,,,,,,,,,,,
1030,ui/hzicon/yichu/yifunv_yelaifengyu,夜来风雨,夜来风雨,False,HP_TOUFA,100030,HP_YIFU,110030,HP_BEISHI,120030,HP_SHOUCHI,140030,,,,,,,,,,,,
1031,ui/hzicon/yichu/yifunv_linglong,玲珑,玲珑,False,HP_TOUFA,100031,HP_YIFU,110031,HP_BEISHI,120031,HP_SHOUCHI,140031,,,,,,,,,,,,
1032,ui/hzicon/yichu/yifunv_lujian,路见,路见,False,HP_TOUFA,100032,HP_YIFU,110032,HP_BEISHI,120032,HP_SHOUCHI,140032,,,,,,,,,,,,
2000,ui/hzicon/yichu/yifunan_jinxiu,锦绣,锦绣,True,HP_TOUFA,200000,HP_YIFU,210000,,,,,,,,,,,,,,,,
2001,ui/hzicon/yichu/yifunan_weiyang,未央,未央,True,HP_TOUFA,200001,HP_YIFU,210001,,,HP_SHOUCHI,240001,,,,,,,,,,,,
2002,ui/hzicon/yichu/yifunv_baijiang,白江,白江,True,HP_TOUFA,200002,HP_YIFU,210002,,,,,,,,,,,,,,,,
2003,ui/hzicon/yichu/yifunv_huamei,画眉,画眉,True,HP_TOUFA,200003,HP_YIFU,210003,,,HP_SHOUCHI,240003,,,,,,,,,,,,
2004,ui/hzicon/yichu/yifunan_qiongyao,琼瑶,琼瑶,True,HP_TOUFA,200004,HP_YIFU,210004,,,HP_SHOUCHI,240004,,,,,,,,,,,,
2005,ui/hzicon/yichu/yifunan_yemao,夜猫,夜猫,True,HP_TOUFA,200005,HP_YIFU,210005,HP_BEISHI,220005,,,HP_GUANSHI,201005,,,,,,,,,,
2006,ui/hzicon/yichu/yifunan_huancai,幻彩,幻彩,True,HP_TOUFA,200006,HP_YIFU,210006,,,,,HP_GUANSHI,201006,,,,,,,,,,
2007,ui/hzicon/yichu/yifunan_mousi,谋思,谋思,True,HP_TOUFA,200007,HP_YIFU,210007,,,,,HP_TOUJIN,201007,,,,,,,,,,
2008,ui/hzicon/yichu/yifunan_qingyu,清雨,清雨,True,HP_TOUFA,200008,HP_YIFU,210008,,,,,,,,,,,,,,,,
2009,ui/hzicon/yichu/yifunan_mizong,秘踪,秘踪,True,HP_TOUFA,200009,HP_YIFU,210009,HP_BEISHI,220009,HP_SHOUCHI,240009,,,,,,,,,,,,
2010,ui/hzicon/yichu/yifunan_qingtian,青天,青天,True,HP_TOUFA,200010,HP_YIFU,210010,,,HP_SHOUCHI,240010,,,,,,,,,,,,
2011,ui/hzicon/yichu/yifunan_moran,墨染,墨染,True,HP_TOUFA,200011,HP_YIFU,210011,HP_BEISHI,220011,HP_SHOUCHI,240011,HP_GUANSHI,201011,,,,,,,,,,
2012,ui/hzicon/yichu/yifunan_xialu,侠路,侠路,True,HP_TOUFA,200012,HP_YIFU,210012,,,HP_SHOUCHI,240012,,,,,,,,,,,,
2013,ui/hzicon/yichu/yifunan_taohua,桃花,桃花,True,HP_TOUFA,200013,HP_YIFU,210013,,,HP_SHOUCHI,240013,HP_GUANSHI,201013,,,,,,,,,,
2014,ui/hzicon/yichu/yifunan_fanxing,繁星,繁星,True,HP_TOUFA,200014,HP_YIFU,210014,,,,,HP_GUANSHI,201014,,,,,,,,,,
2015,ui/hzicon/yichu/yifunan_huahuo,花火,花火,True,HP_TOUFA,200015,HP_YIFU,210015,,,,,,,,,,,,,,,,
2016,ui/hzicon/yichu/yifunan_gongxin,宫心,宫心,True,HP_TOUFA,200016,HP_YIFU,210016,HP_BEISHI,220016,HP_SHOUCHI,240016,,,,,,,,,,,,
2017,ui/hzicon/yichu/yifunan_huazhiming,花之茗,花之茗,True,HP_TOUFA,200017,HP_YIFU,210017,HP_BEISHI,220017,,,HP_GUANSHI,201017,,,,,,,,,,
2018,ui/hzicon/yichu/yifunan_hongjian,红笺,红笺,True,HP_TOUFA,200018,HP_YIFU,210018,HP_BEISHI,220018,HP_SHOUCHI,240018,,,,,,,,,,,,
2019,ui/hzicon/yichu/yifunan_ansheng,安生,安生,True,HP_TOUFA,200019,HP_YIFU,210019,HP_BEISHI,220019,HP_SHOUCHI,240019,,,,,,,,,,,,
2020,ui/hzicon/yichu/yifunan_huangshi,皇室,皇室,True,HP_TOUFA,200020,HP_YIFU,210020,,,HP_SHOUCHI,240020,,,,,,,,,,,,
2021,ui/hzicon/yichu/yifunan_shufang,淑芳,淑芳,True,HP_TOUFA,200021,HP_YIFU,210021,,,HP_SHOUCHI,240021,,,,,,,,,,,,
2022,ui/hzicon/yichu/yifunan_wangdie,王蝶,王蝶,True,HP_TOUFA,200022,HP_YIFU,210022,HP_BEISHI,220022,,,,,,,,,,,,,,
2024,ui/hzicon/yichu/yifunan_changle,常乐,常乐,True,HP_TOUFA,200024,HP_YIFU,210024,,,,,,,,,,,,,,,,
2025,ui/hzicon/yichu/yifunan_dingguo,定国,定国,True,HP_TOUFA,200025,HP_YIFU,210025,,,HP_SHOUCHI,240025,,,,,,,,,,,,
2026,ui/hzicon/yichu/yifunan_jinyiwei,锦衣卫,锦衣卫,True,HP_TOUFA,200026,HP_YIFU,210026,,,HP_SHOUCHI,240026,,,,,,,,,,,,
2027,ui/hzicon/yichu/yifunan_yashi,雅士,雅士,True,HP_TOUFA,200027,HP_YIFU,210027,,,,,,,,,,,,,,,,
2028,ui/hzicon/yichu/yifunan_longfeng,龙凤,龙凤,True,HP_TOUFA,200028,HP_YIFU,210028,,,HP_SHOUCHI,240028,,,,,,,,,,,,
2029,ui/hzicon/yichu/yifunan_mengzhiyao,梦之瑶,梦之瑶,True,HP_TOUFA,200029,HP_YIFU,210029,HP_BEISHI,220029,HP_SHOUCHI,240029,,,,,,,,,,,,
2030,ui/hzicon/yichu/yifunan_yelaifengyu,夜来风雨,夜来风雨,True,HP_TOUFA,200030,HP_YIFU,210030,HP_BEISHI,220030,HP_SHOUCHI,240030,,,,,,,,,,,,
2031,ui/hzicon/yichu/yifunan_linglong,玲珑,玲珑,True,HP_TOUFA,200031,HP_YIFU,210031,HP_BEISHI,220031,HP_SHOUCHI,240031,,,,,,,,,,,,
2032,ui/hzicon/yichu/yifunan_lujian,路见,路见,True,HP_TOUFA,200032,HP_YIFU,210032,HP_BEISHI,220032,HP_SHOUCHI,240032,,,,,,,,,,,,
10000,ui/hzicon/yichu/yifunan_lujian,创角战斗用,创角战斗用,False,HP_TOUFA,100000,HP_YIFU,110000,,,,,,,,,,,,,,,,
20000,ui/hzicon/yichu/yifunan_lujian,创角战斗用,创角战斗用,True,HP_TOUFA,200000,HP_YIFU,210000,,,,,,,,,,,,,,,,
