level,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,battle_pttid,win_events.events.type,win_events.events.arg,win_events.events.arg,win_events.events.type,win_events.events.arg,win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,recommend_actors,actor,dialog,level_desc
30,,,,20030,ADD_RESOURCE,ACTOR_EXP,1500,DROP,50000,1,ADD_RESOURCE,DIAMOND,30,ADD_RESOURCE,TIAN_SHU_MO,50,ADD_ITEM,91,2,,483,要不要看奴家舞上一曲呢？它可是致命的。,妖艳舞姬若是被打败了，其他敌人将瞬间血气大增，极难应付。建议留住她继续舞蹈，混淆视听，最后再将其消灭。
31,,,,20031,ADD_RESOURCE,ACTOR_EXP,2000,DROP,50000,1,ADD_RESOURCE,DIAMOND,40,,,,,,,,230,离远点儿，弄脏了我的衣服你可赔不起！,十回合内击杀怪物
32,,,,20032,ADD_RESOURCE,ACTOR_EXP,2000,DROP,50000,1,ADD_RESOURCE,DIAMOND,40,,,,,,,,227,劝你不要敬酒不吃吃罚酒！,十回合内击杀怪物
33,,,,20033,ADD_RESOURCE,ACTOR_EXP,2000,DROP,50000,1,ADD_RESOURCE,DIAMOND,40,,,,,,,,230, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
34,,,,20034,ADD_RESOURCE,ACTOR_EXP,2000,DROP,50000,1,ADD_RESOURCE,DIAMOND,40,,,,,,,,104,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
35,,,,20035,ADD_RESOURCE,ACTOR_EXP,2000,DROP,50000,1,ADD_RESOURCE,DIAMOND,40,ADD_RESOURCE,TIAN_SHU_MO,20,ADD_ITEM,88,5,,104,小黑似乎很想跟你交个朋友呢。,玄铁盾兵深入玄铁，牢不可破，但若是利用魔法攻击较高的伙伴，则可有效破除他的盾防。
36,,,,20036,ADD_RESOURCE,ACTOR_EXP,2000,DROP,50000,1,ADD_RESOURCE,DIAMOND,40,,,,,,,,406, 哟~这里也是你能来的地方,十回合内击杀怪物
37,,,,20037,ADD_RESOURCE,ACTOR_EXP,2000,DROP,50000,1,ADD_RESOURCE,DIAMOND,40,,,,,,,,106,哪里来的乡下庶出，也敢与我叫阵？,十回合内击杀怪物
38,,,,20038,ADD_RESOURCE,ACTOR_EXP,2000,DROP,50000,1,ADD_RESOURCE,DIAMOND,40,,,,,,,,454, 今天就让你见识见识名门的做派。,十回合内击杀怪物
39,,,,20039,ADD_RESOURCE,ACTOR_EXP,2000,DROP,50000,1,ADD_RESOURCE,DIAMOND,40,,,,,,,,106, 快滚，这里可没有你说话的份儿！,十回合内击杀怪物
40,,,,20040,ADD_RESOURCE,ACTOR_EXP,2000,DROP,50000,1,ADD_RESOURCE,DIAMOND,40,ADD_RESOURCE,TIAN_SHU_MO,50,ADD_ITEM,53,1,,106,我绝对不允许任何人抢走我的荣耀！,美貌倾国的皇妃，将李敏德、拓跋余、叱云南迷的神魂颠倒，使其无法打出伤害。
41,,,,20041,ADD_RESOURCE,ACTOR_EXP,2500,DROP,50000,1,ADD_RESOURCE,DIAMOND,50,,,,,,,,407,劝你不要敬酒不吃吃罚酒！,十回合内击杀怪物
42,,,,20042,ADD_RESOURCE,ACTOR_EXP,2500,DROP,50000,1,ADD_RESOURCE,DIAMOND,50,,,,,,,,104, 敢挑战我？真是不知天高地厚。,十回合内击杀怪物
43,,,,20043,ADD_RESOURCE,ACTOR_EXP,2500,DROP,50000,1,ADD_RESOURCE,DIAMOND,50,,,,,,,,202,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
44,,,,20044,ADD_RESOURCE,ACTOR_EXP,2500,DROP,50000,1,ADD_RESOURCE,DIAMOND,50,,,,,,,,202,何方宵小？吃我一招！,十回合内击杀怪物
45,,,,20045,ADD_RESOURCE,ACTOR_EXP,2500,DROP,50000,1,ADD_RESOURCE,DIAMOND,50,ADD_RESOURCE,TIAN_SHU_MO,20,ADD_ITEM,56,1,,104,贪心不足蛇吞象，你最渴求的又是什么呢？,风流文豪，英俊潇洒，高月离、拓跋迪、李未央看见风流文豪，心花怒放，神情迷离，无法打出伤害。
46,,,,20046,ADD_RESOURCE,ACTOR_EXP,2500,DROP,50000,1,ADD_RESOURCE,DIAMOND,50,,,,,,,,464,哪里来的乡下庶出，也敢与我叫阵？,十回合内击杀怪物
47,,,,20047,ADD_RESOURCE,ACTOR_EXP,2500,DROP,50000,1,ADD_RESOURCE,DIAMOND,50,,,,,,,,220,惹到我们家小姐，我绝对不会轻易放过你！,十回合内击杀怪物
48,,,,20048,ADD_RESOURCE,ACTOR_EXP,2500,DROP,50000,1,ADD_RESOURCE,DIAMOND,50,,,,,,,,105,不要妄图冒犯本王。,十回合内击杀怪物
49,,,,20049,ADD_RESOURCE,ACTOR_EXP,2500,DROP,50000,1,ADD_RESOURCE,DIAMOND,50,,,,,,,,105,怎么，还没有自知之明吗？,十回合内击杀怪物
50,,,,20050,ADD_RESOURCE,ACTOR_EXP,2500,DROP,50000,1,ADD_RESOURCE,DIAMOND,50,ADD_RESOURCE,TIAN_SHU_MO,50,ADD_ITEM,59,1,,220,惹到我们家小姐，我绝对不会轻易放过你！,精通炼制丹药的天师，能够消耗自己的生命还达成起死回生，对他率先进行集火攻击，不给其复活同伴的机会才是最好的选择。
51,,,,20051,ADD_RESOURCE,ACTOR_EXP,3000,DROP,50000,1,ADD_RESOURCE,DIAMOND,60,,,,,,,,408, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
52,,,,20052,ADD_RESOURCE,ACTOR_EXP,3000,DROP,50000,1,ADD_RESOURCE,DIAMOND,60,,,,,,,,404,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
53,,,,20053,ADD_RESOURCE,ACTOR_EXP,3000,DROP,50000,1,ADD_RESOURCE,DIAMOND,60,,,,,,,,217,主子，可敢跟我过上两招？,十回合内击杀怪物
54,,,,20054,ADD_RESOURCE,ACTOR_EXP,3000,DROP,50000,1,ADD_RESOURCE,DIAMOND,60,,,,,,,,217,不行！方才的不算，再来！,十回合内击杀怪物
55,,,,20055,ADD_RESOURCE,ACTOR_EXP,3000,DROP,50000,1,ADD_RESOURCE,DIAMOND,60,ADD_RESOURCE,TIAN_SHU_MO,20,ADD_ITEM,62,1,,102,你那不可告人的秘密究竟是什么？,护法天师使用法术护体，使人无法对他的其他同伴造成高额伤害，可率先集火护法天师，将其消灭。
56,,,,20056,ADD_RESOURCE,ACTOR_EXP,3000,DROP,50000,1,ADD_RESOURCE,DIAMOND,60,,,,,,,,404, 今天就让你见识见识名门的做派。,十回合内击杀怪物
57,,,,20057,ADD_RESOURCE,ACTOR_EXP,3000,DROP,50000,1,ADD_RESOURCE,DIAMOND,60,,,,,,,,106, 快滚，这里可没有你说话的份儿！,十回合内击杀怪物
58,,,,20058,ADD_RESOURCE,ACTOR_EXP,3000,DROP,50000,1,ADD_RESOURCE,DIAMOND,60,,,,,,,,103,要挑战本王吗？我敬佩你的勇气。,十回合内击杀怪物
59,,,,20059,ADD_RESOURCE,ACTOR_EXP,3000,DROP,50000,1,ADD_RESOURCE,DIAMOND,60,,,,,,,,103,劝你不要敬酒不吃吃罚酒！,十回合内击杀怪物
60,,,,20060,ADD_RESOURCE,ACTOR_EXP,3000,DROP,50000,1,ADD_RESOURCE,DIAMOND,60,ADD_RESOURCE,TIAN_SHU_MO,50,ADD_ITEM,6902,1,,106,我要把你从我这里夺走的统统加倍还回来！,单于是匈奴人的精神指引，失去他悲愤的战士将变得坚不可摧，因而应留住单于，最后将其一举拿下。
61,,,,20061,ADD_RESOURCE,ACTOR_EXP,3500,DROP,50000,1,ADD_RESOURCE,DIAMOND,70,,,,,,,,447,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
62,,,,20062,ADD_RESOURCE,ACTOR_EXP,3500,DROP,50000,1,ADD_RESOURCE,DIAMOND,70,,,,,,,,447,何方宵小？吃我一招！,十回合内击杀怪物
63,,,,20063,ADD_RESOURCE,ACTOR_EXP,3500,DROP,50000,1,ADD_RESOURCE,DIAMOND,70,,,,,,,,106, 哟~这里也是你能来的地方,十回合内击杀怪物
64,,,,20064,ADD_RESOURCE,ACTOR_EXP,3500,DROP,50000,1,ADD_RESOURCE,DIAMOND,70,,,,,,,,203,哪里来的乡下庶出，也敢与我叫阵？,十回合内击杀怪物
65,,,,20065,ADD_RESOURCE,ACTOR_EXP,3500,DROP,50000,1,ADD_RESOURCE,DIAMOND,70,ADD_RESOURCE,TIAN_SHU_MO,20,ADD_ITEM,6907,1,,106,站在那位殿下身边的，本该是我啊……,国色天香的第一美人李长乐，精通医术，应率先集火或控制她，才能将其一举拿下。
66,,,,20066,ADD_RESOURCE,ACTOR_EXP,3500,DROP,50000,1,ADD_RESOURCE,DIAMOND,70,,,,,,,,224, 快滚，这里可没有你说话的份儿！,十回合内击杀怪物
67,,,,20067,ADD_RESOURCE,ACTOR_EXP,3500,DROP,50000,1,ADD_RESOURCE,DIAMOND,70,,,,,,,,204,离远点儿，弄脏了我的衣服你可赔不起！,十回合内击杀怪物
68,,,,20068,ADD_RESOURCE,ACTOR_EXP,3500,DROP,50000,1,ADD_RESOURCE,DIAMOND,70,,,,,,,,107,劝你不要敬酒不吃吃罚酒！,十回合内击杀怪物
69,,,,20069,ADD_RESOURCE,ACTOR_EXP,3500,DROP,50000,1,ADD_RESOURCE,DIAMOND,70,,,,,,,,204, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
70,,,,20070,ADD_RESOURCE,ACTOR_EXP,3500,DROP,50000,1,ADD_RESOURCE,DIAMOND,70,ADD_RESOURCE,TIAN_SHU_MO,50,ADD_ITEM,8007,1,,107,即使付出再多，你都不肯相信我呢。,这些刺客是被豢养的最忠诚的死士，会以命换命，最后将其留到最后再进行攻击，一招拿下。
71,,,,20071,ADD_RESOURCE,ACTOR_EXP,4000,DROP,50000,1,ADD_RESOURCE,DIAMOND,80,,,,,,,,211,何方宵小？吃我一招！,十回合内击杀怪物
72,,,,20072,ADD_RESOURCE,ACTOR_EXP,4000,DROP,50000,1,ADD_RESOURCE,DIAMOND,80,,,,,,,,206, 哟~这里也是你能来的地方,十回合内击杀怪物
73,,,,20073,ADD_RESOURCE,ACTOR_EXP,4000,DROP,50000,1,ADD_RESOURCE,DIAMOND,80,,,,,,,,219,哪里来的乡下庶出，也敢与我叫阵？,十回合内击杀怪物
74,,,,20074,ADD_RESOURCE,ACTOR_EXP,4000,DROP,50000,1,ADD_RESOURCE,DIAMOND,80,,,,,,,,206, 今天就让你见识见识名门的做派。,十回合内击杀怪物
75,,,,20075,ADD_RESOURCE,ACTOR_EXP,4000,DROP,50000,1,ADD_RESOURCE,DIAMOND,80,ADD_RESOURCE,TIAN_SHU_MO,20,ADD_ITEM,19,5,,211,我怎么会有你这样的孽子？,精通炼制丹药的天师，能够消耗自己的生命还达成起死回生，对他率先进行集火攻击，不给其复活同伴的机会才是最好的选择。
76,,,,20076,ADD_RESOURCE,ACTOR_EXP,4000,DROP,50000,1,ADD_RESOURCE,DIAMOND,80,,,,,,,,222,离远点儿，弄脏了我的衣服你可赔不起！,十回合内击杀怪物
77,,,,20077,ADD_RESOURCE,ACTOR_EXP,4000,DROP,50000,1,ADD_RESOURCE,DIAMOND,80,,,,,,,,209,劝你不要敬酒不吃吃罚酒！,十回合内击杀怪物
78,,,,20078,ADD_RESOURCE,ACTOR_EXP,4000,DROP,50000,1,ADD_RESOURCE,DIAMOND,80,,,,,,,,213, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
79,,,,20079,ADD_RESOURCE,ACTOR_EXP,4000,DROP,50000,1,ADD_RESOURCE,DIAMOND,80,,,,,,,,213,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
80,,,,20080,ADD_RESOURCE,ACTOR_EXP,4000,DROP,50000,1,ADD_RESOURCE,DIAMOND,80,ADD_RESOURCE,TIAN_SHU_MO,50,ADD_ITEM,89,3,,213,为了余儿的将来，我从不吝惜付出一切代价。,单于是匈奴人的精神指引，失去他悲愤的战士将变得坚不可摧，因而应留住单于，最后将其一举拿下。
81,,,,20081,ADD_RESOURCE,ACTOR_EXP,4500,DROP,50000,1,ADD_RESOURCE,DIAMOND,90,,,,,,,,230, 哟~这里也是你能来的地方,十回合内击杀怪物
82,,,,20082,ADD_RESOURCE,ACTOR_EXP,4500,DROP,50000,1,ADD_RESOURCE,DIAMOND,90,,,,,,,,101,哪里来的乡下庶出，也敢与我叫阵？,十回合内击杀怪物
83,,,,20083,ADD_RESOURCE,ACTOR_EXP,4500,DROP,50000,1,ADD_RESOURCE,DIAMOND,90,,,,,,,,229, 今天就让你见识见识名门的做派。,十回合内击杀怪物
84,,,,20084,ADD_RESOURCE,ACTOR_EXP,4500,DROP,50000,1,ADD_RESOURCE,DIAMOND,90,,,,,,,,230, 快滚，这里可没有你说话的份儿！,十回合内击杀怪物
85,,,,20085,ADD_RESOURCE,ACTOR_EXP,4500,DROP,50000,1,ADD_RESOURCE,DIAMOND,90,ADD_RESOURCE,TIAN_SHU_MO,20,ADD_ITEM,22,1,,101,你究竟有没有将我当过弟弟？哪怕只有一次。,擒贼先擒王，集火攻击蛮族首领。
86,,,,20086,ADD_RESOURCE,ACTOR_EXP,4500,DROP,50000,1,ADD_RESOURCE,DIAMOND,90,,,,,,,,472,劝你不要敬酒不吃吃罚酒！,十回合内击杀怪物
87,,,,20087,ADD_RESOURCE,ACTOR_EXP,4500,DROP,50000,1,ADD_RESOURCE,DIAMOND,90,,,,,,,,207, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
88,,,,20088,ADD_RESOURCE,ACTOR_EXP,4500,DROP,50000,1,ADD_RESOURCE,DIAMOND,90,,,,,,,,103,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
89,,,,20089,ADD_RESOURCE,ACTOR_EXP,4500,DROP,50000,1,ADD_RESOURCE,DIAMOND,90,,,,,,,,207,何方宵小？吃我一招！,十回合内击杀怪物
90,,,,20090,ADD_RESOURCE,ACTOR_EXP,4500,DROP,50000,1,ADD_RESOURCE,DIAMOND,90,ADD_RESOURCE,TIAN_SHU_MO,50,ADD_ITEM,22,1,,207,一个庶出罢了，也敢在我面前指手画脚？,公公心中盘算着不可告人的秘密，若其受到伤害，他的手下则将双倍奉还。
91,,,,20091,ADD_RESOURCE,ACTOR_EXP,5000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,103,哪里来的乡下庶出，也敢与我叫阵？,十回合内击杀怪物
92,,,,20092,ADD_RESOURCE,ACTOR_EXP,5000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,103, 今天就让你见识见识名门的做派。,十回合内击杀怪物
93,,,,20093,ADD_RESOURCE,ACTOR_EXP,5000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,106, 快滚，这里可没有你说话的份儿！,十回合内击杀怪物
94,,,,20094,ADD_RESOURCE,ACTOR_EXP,5000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,109,离远点儿，弄脏了我的衣服你可赔不起！,十回合内击杀怪物
95,,,,20095,ADD_RESOURCE,ACTOR_EXP,5000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,ADD_RESOURCE,TIAN_SHU_MO,20,ADD_ITEM,8009,1,,106,从高处跌落？我发誓你会比我跌得更惨！,本密室内隐藏着多个拥有特殊能力的怪物，请搭配合理的阵容和击杀顺序。
96,,,,20096,ADD_RESOURCE,ACTOR_EXP,5000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,481, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
97,,,,20097,ADD_RESOURCE,ACTOR_EXP,5000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,102,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
98,,,,20098,ADD_RESOURCE,ACTOR_EXP,5000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,106,何方宵小？吃我一招！,十回合内击杀怪物
99,,,,20099,ADD_RESOURCE,ACTOR_EXP,5000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,106, 哟~这里也是你能来的地方,十回合内击杀怪物
100,,,,20100,ADD_RESOURCE,ACTOR_EXP,5000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,ADD_RESOURCE,TIAN_SHU_MO,50,ADD_ITEM,6903,1,,106,女人就像蛇一样，柔软却又贪婪。,本密室内隐藏着多个拥有特殊能力的怪物，请搭配合理的阵容和击杀顺序。
101,,,,20101,ADD_RESOURCE,ACTOR_EXP,5500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,445,离远点儿，弄脏了我的衣服你可赔不起！,十回合内击杀怪物
102,,,,20102,ADD_RESOURCE,ACTOR_EXP,5500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,210,劝你不要敬酒不吃吃罚酒！,十回合内击杀怪物
103,,,,20103,ADD_RESOURCE,ACTOR_EXP,5500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,210, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
104,,,,20104,ADD_RESOURCE,ACTOR_EXP,5500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,110,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
105,,,,20105,ADD_RESOURCE,ACTOR_EXP,5500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,ADD_RESOURCE,TIAN_SHU_MO,20,ADD_ITEM,6907,1,,110,能走到这一步，有些本事。,孤影刺客形影诡谲，擅长一招制敌，利用高抗暴的伙伴，有效抵御来自孤影刺客的暴击伤害。
106,,,,20106,ADD_RESOURCE,ACTOR_EXP,5500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,415,离远点儿，弄脏了我的衣服你可赔不起！,十回合内击杀怪物
107,,,,20107,ADD_RESOURCE,ACTOR_EXP,5500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,209,劝你不要敬酒不吃吃罚酒！,十回合内击杀怪物
108,,,,20108,ADD_RESOURCE,ACTOR_EXP,5500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,206, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
109,,,,20109,ADD_RESOURCE,ACTOR_EXP,5500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,223,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
110,,,,20110,ADD_RESOURCE,ACTOR_EXP,5500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,ADD_RESOURCE,TIAN_SHU_MO,50,ADD_ITEM,8007,1,,103,没想到你倒很是自信，居然敢挑战本王。,刀刃饮血，金刚不坏，拥有极高的血量，可使用伤害高的伙伴来战胜他。
111,,,,20111,ADD_RESOURCE,ACTOR_EXP,6000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,462,离远点儿，弄脏了我的衣服你可赔不起！,十回合内击杀怪物
112,,,,20112,ADD_RESOURCE,ACTOR_EXP,6000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,463,劝你不要敬酒不吃吃罚酒！,十回合内击杀怪物
113,,,,20113,ADD_RESOURCE,ACTOR_EXP,6000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,210, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
114,,,,20114,ADD_RESOURCE,ACTOR_EXP,6000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,206,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
115,,,,20115,ADD_RESOURCE,ACTOR_EXP,6000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,ADD_RESOURCE,TIAN_SHU_MO,20,ADD_ITEM,19,5,,110,弱者就不要站在我面前，碍眼。,这些刺客是被豢养的最忠诚的死士，会以命换命，最后将其留到最后再进行攻击，一招拿下。
116,,,,20116,ADD_RESOURCE,ACTOR_EXP,6000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,207,离远点儿，弄脏了我的衣服你可赔不起！,十回合内击杀怪物
117,,,,20117,ADD_RESOURCE,ACTOR_EXP,6000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,210,劝你不要敬酒不吃吃罚酒！,十回合内击杀怪物
118,,,,20118,ADD_RESOURCE,ACTOR_EXP,6000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,206, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
