skill,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,change_conditions.conditions.type,change_conditions.conditions.arg,change_conditions.conditions.arg,child_conditions.conditions.type,child_conditions.conditions.arg,child_conditions.conditions.arg,child_conditions.conditions.type,child_conditions.conditions.arg,child_conditions.conditions.arg,levelup_conditions.conditions.type,levelup_conditions.conditions.arg,levelup_conditions.conditions.arg
800512,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,3,CCT_VALUE_GE,CVT_SKILL_EXP,200
800513,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,3,CCT_VALUE_GE,CVT_SKILL_EXP,300
800514,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,3,CCT_VALUE_GE,CVT_SKILL_EXP,400
800611,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,5,CCT_VALUE_GE,CVT_SKILL_EXP,500
800612,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,5,CCT_VALUE_GE,CVT_SKILL_EXP,700
800613,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,5,CCT_VALUE_GE,CVT_SKILL_EXP,900
800614,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,7,CCT_VALUE_GE,CVT_SKILL_EXP,1100
800711,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,7,CCT_VALUE_GE,CVT_SKILL_EXP,1300
800712,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,7,CCT_VALUE_GE,CVT_SKILL_EXP,1600
800713,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,9,CCT_VALUE_GE,CVT_SKILL_EXP,1900
800714,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,9,CCT_VALUE_GE,CVT_SKILL_EXP,2200
800716,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,9,CCT_VALUE_GE,CVT_SKILL_EXP,2500
800717,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,12,CCT_VALUE_GE,CVT_SKILL_EXP,2800
800718,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,12,CCT_VALUE_GE,CVT_SKILL_EXP,3200
800719,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,12,CCT_VALUE_GE,CVT_SKILL_EXP,3600
800811,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,15,CCT_VALUE_GE,CVT_SKILL_EXP,4000
800812,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,15,CCT_VALUE_GE,CVT_SKILL_EXP,4400
800813,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,15,CCT_VALUE_GE,CVT_SKILL_EXP,4800
800814,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,102,20,CCT_FAIL,SKILL_LEVEL_MAX,
800911,,,,COST_ITEM,9053,1,CCT_PHASE_IN,CP_TEENAGER,CP_ADULT,CCT_ACTOR_STAR_GE,103,1,CCT_VALUE_GE,CVT_SKILL_EXP,100
800912,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,3,CCT_VALUE_GE,CVT_SKILL_EXP,200
800913,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,3,CCT_VALUE_GE,CVT_SKILL_EXP,300
800914,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,3,CCT_VALUE_GE,CVT_SKILL_EXP,400
801011,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,5,CCT_VALUE_GE,CVT_SKILL_EXP,500
801012,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,5,CCT_VALUE_GE,CVT_SKILL_EXP,700
801013,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,5,CCT_VALUE_GE,CVT_SKILL_EXP,900
801014,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,7,CCT_VALUE_GE,CVT_SKILL_EXP,1100
801111,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,7,CCT_VALUE_GE,CVT_SKILL_EXP,1300
801112,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,7,CCT_VALUE_GE,CVT_SKILL_EXP,1600
801113,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,9,CCT_VALUE_GE,CVT_SKILL_EXP,1900
801114,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,9,CCT_VALUE_GE,CVT_SKILL_EXP,2200
801116,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,9,CCT_VALUE_GE,CVT_SKILL_EXP,2500
801117,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,12,CCT_VALUE_GE,CVT_SKILL_EXP,2800
801118,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,12,CCT_VALUE_GE,CVT_SKILL_EXP,3200
801119,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,12,CCT_VALUE_GE,CVT_SKILL_EXP,3600
801211,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,15,CCT_VALUE_GE,CVT_SKILL_EXP,4000
801212,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,15,CCT_VALUE_GE,CVT_SKILL_EXP,4400
801213,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,15,CCT_VALUE_GE,CVT_SKILL_EXP,4800
801214,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,103,20,CCT_FAIL,SKILL_LEVEL_MAX,
801311,,,,COST_ITEM,9053,1,CCT_PHASE_IN,CP_TEENAGER,CP_ADULT,CCT_ACTOR_STAR_GE,104,1,CCT_VALUE_GE,CVT_SKILL_EXP,100
801312,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,3,CCT_VALUE_GE,CVT_SKILL_EXP,200
801313,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,3,CCT_VALUE_GE,CVT_SKILL_EXP,300
801314,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,3,CCT_VALUE_GE,CVT_SKILL_EXP,400
801411,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,5,CCT_VALUE_GE,CVT_SKILL_EXP,500
801412,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,5,CCT_VALUE_GE,CVT_SKILL_EXP,700
801413,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,5,CCT_VALUE_GE,CVT_SKILL_EXP,900
801414,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,7,CCT_VALUE_GE,CVT_SKILL_EXP,1100
801511,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,7,CCT_VALUE_GE,CVT_SKILL_EXP,1300
801512,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,7,CCT_VALUE_GE,CVT_SKILL_EXP,1600
801513,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,9,CCT_VALUE_GE,CVT_SKILL_EXP,1900
801514,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,9,CCT_VALUE_GE,CVT_SKILL_EXP,2200
801516,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,9,CCT_VALUE_GE,CVT_SKILL_EXP,2500
801517,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,12,CCT_VALUE_GE,CVT_SKILL_EXP,2800
801518,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,12,CCT_VALUE_GE,CVT_SKILL_EXP,3200
801519,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,12,CCT_VALUE_GE,CVT_SKILL_EXP,3600
801611,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,15,CCT_VALUE_GE,CVT_SKILL_EXP,4000
801612,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,15,CCT_VALUE_GE,CVT_SKILL_EXP,4400
801613,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,15,CCT_VALUE_GE,CVT_SKILL_EXP,4800
801614,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,104,20,CCT_FAIL,SKILL_LEVEL_MAX,
801711,,,,COST_ITEM,9053,1,CCT_PHASE_IN,CP_TEENAGER,CP_ADULT,CCT_ACTOR_STAR_GE,105,1,CCT_VALUE_GE,CVT_SKILL_EXP,100
801712,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,3,CCT_VALUE_GE,CVT_SKILL_EXP,200
801713,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,3,CCT_VALUE_GE,CVT_SKILL_EXP,300
801714,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,3,CCT_VALUE_GE,CVT_SKILL_EXP,400
801811,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,5,CCT_VALUE_GE,CVT_SKILL_EXP,500
801812,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,5,CCT_VALUE_GE,CVT_SKILL_EXP,700
801813,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,5,CCT_VALUE_GE,CVT_SKILL_EXP,900
801814,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,7,CCT_VALUE_GE,CVT_SKILL_EXP,1100
801911,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,7,CCT_VALUE_GE,CVT_SKILL_EXP,1300
801912,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,7,CCT_VALUE_GE,CVT_SKILL_EXP,1600
801913,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,9,CCT_VALUE_GE,CVT_SKILL_EXP,1900
801914,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,9,CCT_VALUE_GE,CVT_SKILL_EXP,2200
801916,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,9,CCT_VALUE_GE,CVT_SKILL_EXP,2500
801917,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,12,CCT_VALUE_GE,CVT_SKILL_EXP,2800
801918,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,12,CCT_VALUE_GE,CVT_SKILL_EXP,3200
801919,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,12,CCT_VALUE_GE,CVT_SKILL_EXP,3600
802011,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,15,CCT_VALUE_GE,CVT_SKILL_EXP,4000
802012,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,15,CCT_VALUE_GE,CVT_SKILL_EXP,4400
802013,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,15,CCT_VALUE_GE,CVT_SKILL_EXP,4800
802014,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,105,20,CCT_FAIL,SKILL_LEVEL_MAX,
802111,,,,COST_ITEM,9053,1,CCT_PHASE_IN,CP_TEENAGER,CP_ADULT,CCT_ACTOR_STAR_GE,106,1,CCT_VALUE_GE,CVT_SKILL_EXP,100
802112,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,3,CCT_VALUE_GE,CVT_SKILL_EXP,200
802113,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,3,CCT_VALUE_GE,CVT_SKILL_EXP,300
802114,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,3,CCT_VALUE_GE,CVT_SKILL_EXP,400
802211,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,5,CCT_VALUE_GE,CVT_SKILL_EXP,500
802212,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,5,CCT_VALUE_GE,CVT_SKILL_EXP,700
802213,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,5,CCT_VALUE_GE,CVT_SKILL_EXP,900
802214,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,7,CCT_VALUE_GE,CVT_SKILL_EXP,1100
802311,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,7,CCT_VALUE_GE,CVT_SKILL_EXP,1300
802312,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,7,CCT_VALUE_GE,CVT_SKILL_EXP,1600
802313,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,9,CCT_VALUE_GE,CVT_SKILL_EXP,1900
802314,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,9,CCT_VALUE_GE,CVT_SKILL_EXP,2200
802316,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,9,CCT_VALUE_GE,CVT_SKILL_EXP,2500
802317,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,12,CCT_VALUE_GE,CVT_SKILL_EXP,2800
802318,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,12,CCT_VALUE_GE,CVT_SKILL_EXP,3200
802319,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,12,CCT_VALUE_GE,CVT_SKILL_EXP,3600
802411,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,15,CCT_VALUE_GE,CVT_SKILL_EXP,4000
802412,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,15,CCT_VALUE_GE,CVT_SKILL_EXP,4400
802413,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,15,CCT_VALUE_GE,CVT_SKILL_EXP,4800
802414,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,106,20,CCT_FAIL,SKILL_LEVEL_MAX,
802511,,,,COST_ITEM,9053,1,CCT_PHASE_IN,CP_TEENAGER,CP_ADULT,CCT_ACTOR_STAR_GE,107,1,CCT_VALUE_GE,CVT_SKILL_EXP,100
802512,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,3,CCT_VALUE_GE,CVT_SKILL_EXP,200
802513,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,3,CCT_VALUE_GE,CVT_SKILL_EXP,300
802514,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,3,CCT_VALUE_GE,CVT_SKILL_EXP,400
802611,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,5,CCT_VALUE_GE,CVT_SKILL_EXP,500
802612,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,5,CCT_VALUE_GE,CVT_SKILL_EXP,700
802613,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,5,CCT_VALUE_GE,CVT_SKILL_EXP,900
802614,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,7,CCT_VALUE_GE,CVT_SKILL_EXP,1100
802711,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,7,CCT_VALUE_GE,CVT_SKILL_EXP,1300
802712,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,7,CCT_VALUE_GE,CVT_SKILL_EXP,1600
802713,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,9,CCT_VALUE_GE,CVT_SKILL_EXP,1900
802714,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,9,CCT_VALUE_GE,CVT_SKILL_EXP,2200
802716,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,9,CCT_VALUE_GE,CVT_SKILL_EXP,2500
802717,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,12,CCT_VALUE_GE,CVT_SKILL_EXP,2800
802718,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,12,CCT_VALUE_GE,CVT_SKILL_EXP,3200
802719,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,12,CCT_VALUE_GE,CVT_SKILL_EXP,3600
802811,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,15,CCT_VALUE_GE,CVT_SKILL_EXP,4000
802812,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,15,CCT_VALUE_GE,CVT_SKILL_EXP,4400
802813,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,15,CCT_VALUE_GE,CVT_SKILL_EXP,4800
802814,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,107,20,CCT_FAIL,SKILL_LEVEL_MAX,
802911,,,,COST_ITEM,9053,1,CCT_PHASE_IN,CP_TEENAGER,CP_ADULT,CCT_ACTOR_STAR_GE,108,1,CCT_VALUE_GE,CVT_SKILL_EXP,100
802912,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,3,CCT_VALUE_GE,CVT_SKILL_EXP,200
802913,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,3,CCT_VALUE_GE,CVT_SKILL_EXP,300
802914,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,3,CCT_VALUE_GE,CVT_SKILL_EXP,400
803011,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,5,CCT_VALUE_GE,CVT_SKILL_EXP,500
803012,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,5,CCT_VALUE_GE,CVT_SKILL_EXP,700
803013,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,5,CCT_VALUE_GE,CVT_SKILL_EXP,900
803014,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,7,CCT_VALUE_GE,CVT_SKILL_EXP,1100
803111,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,7,CCT_VALUE_GE,CVT_SKILL_EXP,1300
803112,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,7,CCT_VALUE_GE,CVT_SKILL_EXP,1600
803113,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,9,CCT_VALUE_GE,CVT_SKILL_EXP,1900
803114,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,9,CCT_VALUE_GE,CVT_SKILL_EXP,2200
803116,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,9,CCT_VALUE_GE,CVT_SKILL_EXP,2500
803117,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,12,CCT_VALUE_GE,CVT_SKILL_EXP,2800
803118,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,12,CCT_VALUE_GE,CVT_SKILL_EXP,3200
803119,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,12,CCT_VALUE_GE,CVT_SKILL_EXP,3600
803211,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,15,CCT_VALUE_GE,CVT_SKILL_EXP,4000
803212,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,15,CCT_VALUE_GE,CVT_SKILL_EXP,4400
803213,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,15,CCT_VALUE_GE,CVT_SKILL_EXP,4800
803214,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,108,20,CCT_FAIL,SKILL_LEVEL_MAX,
803311,,,,COST_ITEM,9053,1,CCT_PHASE_IN,CP_TEENAGER,CP_ADULT,CCT_ACTOR_STAR_GE,109,1,CCT_VALUE_GE,CVT_SKILL_EXP,100
803312,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,3,CCT_VALUE_GE,CVT_SKILL_EXP,200
803313,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,3,CCT_VALUE_GE,CVT_SKILL_EXP,300
803314,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,3,CCT_VALUE_GE,CVT_SKILL_EXP,400
803411,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,5,CCT_VALUE_GE,CVT_SKILL_EXP,500
803412,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,5,CCT_VALUE_GE,CVT_SKILL_EXP,700
803413,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,5,CCT_VALUE_GE,CVT_SKILL_EXP,900
803414,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,7,CCT_VALUE_GE,CVT_SKILL_EXP,1100
803511,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,7,CCT_VALUE_GE,CVT_SKILL_EXP,1300
803512,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,7,CCT_VALUE_GE,CVT_SKILL_EXP,1600
803513,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,9,CCT_VALUE_GE,CVT_SKILL_EXP,1900
803514,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,9,CCT_VALUE_GE,CVT_SKILL_EXP,2200
803516,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,9,CCT_VALUE_GE,CVT_SKILL_EXP,2500
803517,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,12,CCT_VALUE_GE,CVT_SKILL_EXP,2800
803518,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,12,CCT_VALUE_GE,CVT_SKILL_EXP,3200
803519,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,12,CCT_VALUE_GE,CVT_SKILL_EXP,3600
803611,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,15,CCT_VALUE_GE,CVT_SKILL_EXP,4000
803612,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,15,CCT_VALUE_GE,CVT_SKILL_EXP,4400
803613,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,15,CCT_VALUE_GE,CVT_SKILL_EXP,4800
803614,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,109,20,CCT_FAIL,SKILL_LEVEL_MAX,
803711,,,,COST_ITEM,9053,1,CCT_PHASE_IN,CP_TEENAGER,CP_ADULT,CCT_ACTOR_STAR_GE,110,1,CCT_VALUE_GE,CVT_SKILL_EXP,100
803712,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,110,3,CCT_VALUE_GE,CVT_SKILL_EXP,200
803713,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,110,3,CCT_VALUE_GE,CVT_SKILL_EXP,300
803714,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,110,3,CCT_VALUE_GE,CVT_SKILL_EXP,400
803811,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,110,5,CCT_VALUE_GE,CVT_SKILL_EXP,500
803812,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,110,5,CCT_VALUE_GE,CVT_SKILL_EXP,700
803813,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,110,5,CCT_VALUE_GE,CVT_SKILL_EXP,900
803814,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,110,7,CCT_VALUE_GE,CVT_SKILL_EXP,1100
803911,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,110,7,CCT_VALUE_GE,CVT_SKILL_EXP,1300
