id,name,icon,original_price,price,discount,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,first_events.events.type,first_events.events.arg,first_events.events.arg,days,day_events.events.type,day_events.events.arg,day_events.events.arg,day_events.events.type,day_events.events.arg,day_events.events.arg,day_events.events.type,day_events.events.arg,day_events.events.arg,day_events.events.type,day_events.events.arg,day_events.events.arg,day_events_mail,yunying_id,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_percent,merge_change_name_mail,type
103,高级特供礼包,icon/item/giftbox_1,60,6,100,ADD_RESOURCE,VIP_EXP,60,,,ADD_RESOURCE,DIAMOND,60,,,ADD_ITEM,19,3,,,ADD_ITEM,6901,1,,,DROP,50303,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks0103,ADD_RESOURCE,VIP_EXP,30,ADD_RESOURCE,DIAMOND,60,ADD_ITEM,93,1,ADD_ITEM,19,3,,,,,,,,,,,,,2000,,
1101,超值学识礼包1,icon/item/giftbox_2,20,1,50,ADD_RESOURCE,VIP_EXP,10,,,ADD_ITEM,32,3,,,ADD_ITEM,40,3,,,ADD_ITEM,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1101,ADD_RESOURCE,VIP_EXP,5,ADD_ITEM,32,3,ADD_ITEM,40,3,ADD_ITEM,36,3,,,,,,,,,,,,,2000,True,
1102,超值学识礼包2,icon/item/giftbox_2,50,6,100,ADD_RESOURCE,VIP_EXP,60,,,ADD_ITEM,32,6,,,ADD_ITEM,40,6,,,ADD_ITEM,36,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1102,ADD_RESOURCE,VIP_EXP,30,ADD_ITEM,32,6,ADD_ITEM,40,6,ADD_ITEM,36,6,,,,,,,,,,,,,2000,True,
1103,超值学识礼包3,icon/item/giftbox_2,50,6,100,ADD_RESOURCE,VIP_EXP,60,,,ADD_ITEM,32,6,,,ADD_ITEM,40,6,,,ADD_ITEM,36,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1103,ADD_RESOURCE,VIP_EXP,30,ADD_ITEM,32,6,ADD_ITEM,40,6,ADD_ITEM,36,6,,,,,,,,,,,,,2000,True,
1104,超值学识礼包4,icon/item/giftbox_2,80,18,200,ADD_RESOURCE,VIP_EXP,180,,,ADD_ITEM,32,9,,,ADD_ITEM,40,9,,,ADD_ITEM,36,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1104,ADD_RESOURCE,VIP_EXP,90,ADD_ITEM,32,9,ADD_ITEM,40,9,ADD_ITEM,36,9,,,,,,,,,,,,,2000,True,
1105,超值学识礼包5,icon/item/giftbox_2,80,18,200,ADD_RESOURCE,VIP_EXP,180,,,ADD_ITEM,32,9,,,ADD_ITEM,40,9,,,ADD_ITEM,36,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1105,ADD_RESOURCE,VIP_EXP,90,ADD_ITEM,32,9,ADD_ITEM,40,9,ADD_ITEM,36,9,,,,,,,,,,,,,2000,True,
1106,超值学识礼包6,icon/item/giftbox_2,150,68,400,ADD_RESOURCE,VIP_EXP,680,,,ADD_ITEM,32,16,,,ADD_ITEM,40,16,,,ADD_ITEM,36,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1106,ADD_RESOURCE,VIP_EXP,340,ADD_ITEM,32,16,ADD_ITEM,40,16,ADD_ITEM,36,16,,,,,,,,,,,,,2000,True,
1107,超值学识礼包7,icon/item/giftbox_2,150,68,400,ADD_RESOURCE,VIP_EXP,680,,,ADD_ITEM,32,16,,,ADD_ITEM,40,16,,,ADD_ITEM,36,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1107,ADD_RESOURCE,VIP_EXP,340,ADD_ITEM,32,16,ADD_ITEM,40,16,ADD_ITEM,36,16,,,,,,,,,,,,,2000,,
1108,超值学识礼包8,icon/item/giftbox_2,200,98,450,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,32,20,,,ADD_ITEM,40,20,,,ADD_ITEM,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1108,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,32,20,ADD_ITEM,40,20,ADD_ITEM,36,20,,,,,,,,,,,,,2000,,
1201,超值花魂养成礼包1,icon/item/giftbox_jingshi,20,1,50,ADD_RESOURCE,VIP_EXP,10,,,ADD_ITEM,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1201,ADD_RESOURCE,VIP_EXP,5,ADD_ITEM,19,2,,,,,,,,,,,,,,,,,,,2000,True,
1202,超值花魂养成礼包2,icon/item/giftbox_jingshi,50,6,100,ADD_RESOURCE,VIP_EXP,60,,,ADD_ITEM,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1202,ADD_RESOURCE,VIP_EXP,30,ADD_ITEM,19,5,,,,,,,,,,,,,,,,,,,2000,True,
1203,超值花魂养成礼包3,icon/item/giftbox_jingshi,50,6,100,ADD_RESOURCE,VIP_EXP,60,,,ADD_ITEM,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1203,ADD_RESOURCE,VIP_EXP,30,ADD_ITEM,19,5,,,,,,,,,,,,,,,,,,,2000,True,
1204,超值花魂养成礼包4,icon/item/giftbox_jingshi,80,18,200,ADD_RESOURCE,VIP_EXP,180,,,ADD_ITEM,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1204,ADD_RESOURCE,VIP_EXP,90,ADD_ITEM,19,8,,,,,,,,,,,,,,,,,,,2000,True,
1205,超值花魂养成礼包5,icon/item/giftbox_jingshi,80,18,200,ADD_RESOURCE,VIP_EXP,180,,,ADD_ITEM,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1205,ADD_RESOURCE,VIP_EXP,90,ADD_ITEM,19,8,,,,,,,,,,,,,,,,,,,2000,True,
1206,超值花魂养成礼包6,icon/item/giftbox_jingshi,150,68,400,ADD_RESOURCE,VIP_EXP,680,,,ADD_ITEM,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1206,ADD_RESOURCE,VIP_EXP,340,ADD_ITEM,19,15,,,,,,,,,,,,,,,,,,,2000,True,
1207,超值花魂养成礼包7,icon/item/giftbox_jingshi,150,68,400,ADD_RESOURCE,VIP_EXP,680,,,ADD_ITEM,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1207,ADD_RESOURCE,VIP_EXP,340,ADD_ITEM,19,15,,,,,,,,,,,,,,,,,,,2000,,
1208,超值花魂养成礼包8,icon/item/giftbox_jingshi,200,98,450,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1208,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,19,20,,,,,,,,,,,,,,,,,,,2000,,
1301,每日诗会函礼包,icon/item/giftbox_3,200,68,300,ADD_RESOURCE,VIP_EXP,680,,,ADD_RESOURCE,COUPON_B,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1301,ADD_RESOURCE,VIP_EXP,340,ADD_RESOURCE,COUPON_B,10,,,,,,,,,,,,,,,,,,,2000,,
1302,限时拓跋浚礼包1,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,102,20,,,ACTOR_ADD_SKIN,10202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1302,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,102,20,ACTOR_ADD_SKIN,10202,,,,,,,,,,,,,,,,,2000,,
1303,限时李未央礼包1,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,109,20,,,ACTOR_ADD_SKIN,10903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1303,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,109,20,ACTOR_ADD_SKIN,10903,,,,,,,,,,,,,,,,,2000,,
1304,限时拓跋浚礼包2,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,102,20,,,ADD_ITEM,37,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1304,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,102,20,ADD_ITEM,37,20,,,,,,,,,,,,,,,,2000,,
1305,限时李未央礼包2,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,109,20,,,ADD_ITEM,37,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1305,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,109,20,ADD_ITEM,37,20,,,,,,,,,,,,,,,,2000,,
1306,限时拓跋浚礼包3,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,102,20,,,ADD_ITEM,50,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1306,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,102,20,ADD_ITEM,50,1200,,,,,,,,,,,,,,,,2000,,
1307,限时李未央礼包3,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,109,20,,,ADD_ITEM,50,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1307,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,109,20,ADD_ITEM,50,1200,,,,,,,,,,,,,,,,2000,,
1308,限时拓跋瑾礼包1,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,105,20,,,ACTOR_ADD_SKIN,10501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1308,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,105,20,ACTOR_ADD_SKIN,10501,,,,,,,,,,,,,,,,,2000,,
1309,限时李长乐礼包1,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,106,20,,,ACTOR_ADD_SKIN,10601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1309,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,106,20,ACTOR_ADD_SKIN,10601,,,,,,,,,,,,,,,,,2000,,
1310,限时拓跋瑾礼包2,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,105,20,,,ADD_ITEM,41,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1310,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,105,20,ADD_ITEM,41,20,,,,,,,,,,,,,,,,2000,,
1311,限时李长乐礼包2,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,106,20,,,ADD_ITEM,41,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1311,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,106,20,ADD_ITEM,41,20,,,,,,,,,,,,,,,,2000,,
1312,限时拓跋瑾礼包3,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,105,20,,,ADD_ITEM,50,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1312,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,105,20,ADD_ITEM,50,1200,,,,,,,,,,,,,,,,2000,,
1313,限时李长乐礼包3,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,106,20,,,ADD_ITEM,50,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1313,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,106,20,ADD_ITEM,50,1200,,,,,,,,,,,,,,,,2000,,
1400,开服七日体力礼包,icon/item/giftbox_2,110,38,300,ADD_RESOURCE,VIP_EXP,380,,,ADD_RESOURCE,POWER,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1400,ADD_RESOURCE,VIP_EXP,190,ADD_RESOURCE,POWER,500,,,,,,,,,,,,,,,,,,,2000,,
1401,每日诗会函礼包,icon/item/giftbox_3,200,68,300,ADD_RESOURCE,VIP_EXP,680,,,ADD_RESOURCE,COUPON_B,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1401,ADD_RESOURCE,VIP_EXP,340,ADD_RESOURCE,COUPON_B,10,,,,,,,,,,,,,,,,,,,2000,,
1402,限时拓跋浚礼包1,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,102,20,,,ACTOR_ADD_SKIN,10202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1402,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,102,20,ACTOR_ADD_SKIN,10202,,,,,,,,,,,,,,,,,2000,,
1403,限时李未央礼包1,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,109,20,,,ACTOR_ADD_SKIN,10903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1403,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,109,20,ACTOR_ADD_SKIN,10903,,,,,,,,,,,,,,,,,2000,,
1404,限时拓跋浚礼包2,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,102,20,,,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1404,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,102,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,,
1405,限时李未央礼包2,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,109,20,,,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1405,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,109,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,,
1406,限时拓跋浚礼包3,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,102,20,,,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1406,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,102,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,,
1407,限时李未央礼包3,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,109,20,,,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1407,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,109,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,,
1408,限时拓跋瑾礼包1,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,105,20,,,ACTOR_ADD_SKIN,10501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1408,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,105,20,ACTOR_ADD_SKIN,10501,,,,,,,,,,,,,,,,,2000,,
1409,限时李长乐礼包1,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,106,20,,,ACTOR_ADD_SKIN,10601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1409,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,106,20,ACTOR_ADD_SKIN,10601,,,,,,,,,,,,,,,,,2000,,
1410,限时拓跋瑾礼包2,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,105,20,,,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1410,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,105,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,,
1411,限时李长乐礼包2,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,106,20,,,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1411,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,106,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,,
1412,限时拓跋瑾礼包3,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,105,20,,,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1412,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,105,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,,
1413,限时李长乐礼包3,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,106,20,,,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1413,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,106,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,,
1414,限时拓跋迪礼包1,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,108,20,,,ACTOR_ADD_SKIN,10804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1414,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,108,20,ACTOR_ADD_SKIN,10804,,,,,,,,,,,,,,,,,2000,,
1415,限时高月离礼包1,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,104,20,,,ACTOR_ADD_SKIN,10403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1415,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,104,20,ACTOR_ADD_SKIN,10403,,,,,,,,,,,,,,,,,2000,,
1416,限时拓跋迪礼包2,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,108,20,,,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1416,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,108,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,,
1417,限时高月离礼包2,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,104,20,,,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1417,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,104,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,,
1418,限时拓跋迪礼包3,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,108,20,,,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1418,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,108,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,,
