id,name,female_plot,male_plot,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,next_plot,events.events.type,events.events.arg,events.events.arg,fief_events.events.type,fief_events.events.arg,fief_events.events.arg,lock_option
310111,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,smile,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,既然是宿命，那么就只有去面对它了。,soundeffects/liminde_hanxuan5,,,,,,,,,,,
310112,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,smile,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,每次都是你送给我礼物，你……你想要什么，我都给你。,soundeffects/liminde_xieli4,,,,,,,,,,,
310113,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,smile,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,你喜欢什么？虽然我不像大哥大姐那般有钱，但我会努力攒钱买给你！,soundeffects/liminde_xieli5,,,,,,,,,,,
310114,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,smile,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,请不要再这样做了，以我们的关系，是不可能的。,soundeffects/liminde_tiaoxi5,,,,,,,,,,,
310115,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,smile,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,这次……我可不会放手了。,soundeffects/liminde_tiaoxi6,,,,,,,,,,,
310116,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,smile,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,不、不要到处摸来摸去的，很痒。,soundeffects/liminde_tiaoxi4,,,,,,,,,,,
310117,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,smile,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,身为男人，我一定会保护你的！,soundeffects/liminde1,,,,,,,,,,,
310118,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,angry,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,这些家伙，就交给我吧。,soundeffects/liminde2,,,,,,,,,,,
310119,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,smile,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,喂！你干嘛一直盯着我！,soundeffects/liminde3,,,,,,,,,,,
310120,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,smile,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,长得帅……什么？原、原来是在说我吗？,soundeffects/liminde4,,,,,,,,,,,
310121,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,smile,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,我是李敏德，一个天不怕地不怕的男人！,soundeffects/liminde5,,,,,,,,,,,
310122,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,smile,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,今日来找我，是想学御马骑射吗？,soundeffects/liminde6,,,,,,,,,,,
310201,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,smile,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,诶？好巧，刚和承德说到你，你便来了。,soundeffects/tuobajun_hanxuan1,,,,,,,,,,,
310202,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,smile,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,来的刚好，我正准备去找你。,soundeffects/tuobajun_hanxuan2,,,,,,,,,,,
310203,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,frown,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,嗯？为什么觉得，你最近在躲着我……,soundeffects/tuobajun_hanxuan3,,,,,,,,,,,
310204,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,shy,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,啊……此物，原来你一直留着，还以为你早就丢了。,soundeffects/tuobajun_xieli1,,,,,,,,,,,
310205,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,smile,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,谢了，正好省了我去买的功夫。,soundeffects/tuobajun_xieli2,,,,,,,,,,,
310206,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,smile,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,给我的？嗯，那我就不客气了。,soundeffects/tuobajun_xieli3,,,,,,,,,,,
310207,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,smile,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,以前道士给我看手相，老是说我一生坎坷之类的，肯定都是骗人的。,soundeffects/tuobajun_tiaoxi3,,,,,,,,,,,
310208,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,smile,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,哎……刚好我的胳膊有点酸，再帮我揉揉。,soundeffects/tuobajun_tiaoxi1,,,,,,,,,,,
310209,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,smile,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,每一个鲜卑儿女都要有强壮的体魄，这样才能保家卫国。,soundeffects/tuobajun_tiaoxi2,,,,,,,,,,,
310210,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,frown,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,嗯？并没有东西飞过去啊，你在看什么？,soundeffects/tuobajun_hanxuan4,,,,,,,,,,,
310211,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,smile,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,不知怎的，最近提起笔来，都会不经意的，写起你的名字。,soundeffects/tuobajun_hanxuan5,,,,,,,,,,,
310212,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,smile,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,哈啊……要是能摘一颗星星当做回礼就好了。,soundeffects/tuobajun_xieli4,,,,,,,,,,,
310213,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,smile,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,认识你之后……我才知道自己想要的是什么。,soundeffects/tuobajun_xieli5,,,,,,,,,,,
310214,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,sad,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,为什么只要你一个眼神，就能消弭我心中的所有的烦闷。,soundeffects/tuobajun_tiaoxi4,,,,,,,,,,,
310215,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,smile,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,嘿，别吓到她……我的心里，可是住着个人呢。,soundeffects/tuobajun_tiaoxi5,,,,,,,,,,,
310216,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,smile,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,怎么？你喜欢我这身衣服，脱下来给你穿吧。,soundeffects/tuobajun_tiaoxi6,,,,,,,,,,,
310217,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,smile,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,作为拓跋氏的子孙，战斗是我的责任。,soundeffects/tuobajun1,,,,,,,,,,,
310218,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,angry,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,命运掌握在自己手中。,soundeffects/tuobajun2,,,,,,,,,,,
310219,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,sad,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,皇长孙，究竟意味着什么呢？,soundeffects/tuobajun3,,,,,,,,,,,
310220,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,smile,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,不论何时，我都会一直在你身边。,soundeffects/tuobajun4,,,,,,,,,,,
310221,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,frown,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,我们是不是在哪里……对不起，是我认错人了。,soundeffects/tuobajun5,,,,,,,,,,,
310222,,,,BACKGROUND,sprites/juqing_huanggong1,,,MUSIC,music/beiliang,open,,ACTOR_SPINE_ANIMATION,102,frown,,LIGHT_ACTOR,102,,,NAME,拓跋浚,,,SUBTITLE,得罪小人，得罪君子，也千万别得罪女人……,soundeffects/tuobajun6,,,,,,,,,,,
310301,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,frown,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,明明只是庶出的子嗣，身上为何迷雾重重。,soundeffects/tuobayu_hanxuan1,,,,,,,,,,,
310302,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,frown,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,趁本王还对你有一丝兴趣，最好识趣一点。,soundeffects/tuobayu_hanxuan2,,,,,,,,,,,
310303,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,没用的人对本王来说，只是道具罢了，你要小心一点哟。,soundeffects/tuobayu_hanxuan3,,,,,,,,,,,
310304,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,只有你送的，本王才会收下。,soundeffects/tuobayu_xieli1,,,,,,,,,,,
310305,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,你总有些新奇玩意能逗本王开心。,soundeffects/tuobayu_xieli2,,,,,,,,,,,
310306,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,嗯……没什么，我刚刚想到此物还有别的用法。,soundeffects/tuobayu_xieli3,,,,,,,,,,,
310307,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,你知道冒犯一个王爷，该当何罪吗？,soundeffects/tuobayu_tiaoxi1,,,,,,,,,,,
310308,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,喜欢本王的扇子？那，送你好了。,soundeffects/tuobayu_tiaoxi2,,,,,,,,,,,
310309,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,头发弄乱了，来帮本王梳理一下。,soundeffects/tuobayu_tiaoxi3,,,,,,,,,,,
310310,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,人就是这样，越难得到的，就越觉得珍贵。,soundeffects/tuobayu_hanxuan4,,,,,,,,,,,
310311,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,愣在那干什么？还不快过来给本王捶捶肩。,soundeffects/tuobayu_hanxuan5,,,,,,,,,,,
310312,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,总是你送给我礼物，我也该回礼一次了吧……你看，我怎么样？,soundeffects/tuobayu_xieli4,,,,,,,,,,,
310313,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,shy,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,相信我，我会给你全天下最好的。,soundeffects/tuobayu_xieli5,,,,,,,,,,,
310314,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,本王从不吃亏，你也把头伸过来让我摸摸。,soundeffects/tuobayu_tiaoxi4,,,,,,,,,,,
310315,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,再近一点，再靠近一点……怎样，有没有摸到本王的心？,soundeffects/tuobayu_tiaoxi5,,,,,,,,,,,
310316,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,只有你一人，可以靠本王这么近……怎么，还要再近一点？,soundeffects/tuobayu_tiaoxi6,,,,,,,,,,,
310317,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,既然本王出现在这里，你这么聪明，应该能明白。,soundeffects/tuobayu1,,,,,,,,,,,
310318,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,angry,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,妄图阻挠本王的家伙，一个都不能留。,soundeffects/tuobayu2,,,,,,,,,,,
310319,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,永远不要相信本王的话，因为你又上当了。,soundeffects/tuobayu3,,,,,,,,,,,
310320,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,怎么？今日来找本王所为何事？,soundeffects/tuobayu4,,,,,,,,,,,
310321,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,天底下，就没什么是本王得不到的，包括你。,soundeffects/tuobayu5,,,,,,,,,,,
310322,,,,BACKGROUND,sprites/juqing_huanggong2,,,MUSIC,music/shuqing1,open,,ACTOR_SPINE_ANIMATION,103,smile,,LIGHT_ACTOR,103,,,NAME,拓跋余,,,SUBTITLE,你是我的人，没人能动你。,soundeffects/tuobayu6,,,,,,,,,,,
310401,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,smile,,NAME,高月离,,,SUBTITLE,好久不见啊，北凉的……呵呵，人家差点忘了，这是个秘密。,soundeffects/gaoyueli_hanxuan1,,,,,,,,,,,,,,,
310402,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,smile,,NAME,高月离,,,SUBTITLE,小黑会攻击人家喜欢的人，这或许是吃醋了吧。,soundeffects/gaoyueli_hanxuan2,,,,,,,,,,,,,,,
310403,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,shy,,NAME,高月离,,,SUBTITLE,你……能让人家享受多久的陪伴呢？,soundeffects/gaoyueli_hanxuan3,,,,,,,,,,,,,,,
310404,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,sad,,NAME,高月离,,,SUBTITLE,信物能留存往昔的记忆，但留不下想走的人。,soundeffects/gaoyueli_xieli1,,,,,,,,,,,,,,,
310405,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,smile,,NAME,高月离,,,SUBTITLE,再送点嘛，你送礼时候的表情，很可爱，人家很喜欢。,soundeffects/gaoyueli_xieli2,,,,,,,,,,,,,,,
310406,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,frown,,NAME,高月离,,,SUBTITLE,如果月惜也能收到这份礼物……算了，为什么要想起她呢？,soundeffects/gaoyueli_xieli3,,,,,,,,,,,,,,,
310407,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,smile,,NAME,高月离,,,SUBTITLE,嘘，别乱动，人家的蛇已经盯上你了。,soundeffects/gaoyueli_tiaoxi1,,,,,,,,,,,,,,,
310408,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,smile,,NAME,高月离,,,SUBTITLE,有很多人曾像你现在这般靠近我，不过最后一个人都不剩了，猜猜去哪了？答案是小黑的肚子里。,soundeffects/gaoyueli_tiaoxi2,,,,,,,,,,,,,,,
310409,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,smile,,NAME,高月离,,,SUBTITLE,不要触碰人家的秘密，那比毒药还要猛烈。,soundeffects/gaoyueli_tiaoxi3,,,,,,,,,,,,,,,
310410,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,smile,,NAME,高月离,,,SUBTITLE,要记住，普天之下你怕的人只有一个，那就是我。,soundeffects/gaoyueli_hanxuan4,,,,,,,,,,,,,,,
310411,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,sad,,NAME,高月离,,,SUBTITLE,离家久了，感觉已经忘记了自己是谁…………,soundeffects/gaoyueli_hanxuan5,,,,,,,,,,,,,,,
310412,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,smile,,NAME,高月离,,,SUBTITLE,这个就算给你的奖励了。,soundeffects/gaoyueli_xieli4,,,,,,,,,,,,,,,
310413,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,smile,,NAME,高月离,,,SUBTITLE,啊！收到你礼物的感觉，多美妙啊。,soundeffects/gaoyueli_xieli5,,,,,,,,,,,,,,,
310414,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,smile,,NAME,高月离,,,SUBTITLE,人家喜欢火热的东西，比如说你的身体。,soundeffects/gaoyueli_tiaoxi4,,,,,,,,,,,,,,,
310415,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,shy,,NAME,高月离,,,SUBTITLE,想要试试这嘴唇的温度吗？,soundeffects/gaoyueli_tiaoxi5,,,,,,,,,,,,,,,
310416,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,smile,,NAME,高月离,,,SUBTITLE,摸了人家的手，是不是觉得十分温暖？那当然，人家又不是蛇。,soundeffects/gaoyueli_tiaoxi6,,,,,,,,,,,,,,,
310417,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,smile,,NAME,高月离,,,SUBTITLE,凡事皆不是无中生有，想要得到，就必须付出代价。,soundeffects/gaoyueli1,,,,,,,,,,,,,,,
310418,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,angry,,NAME,高月离,,,SUBTITLE,世上没有偶然的东西，死是必然，因死而复仇亦是必然。,soundeffects/gaoyueli2,,,,,,,,,,,,,,,
310419,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,smile,,NAME,高月离,,,SUBTITLE,“不要靠近我”，可当人家这么说的时候，你是不是已忍不住伸出了手？,soundeffects/gaoyueli3,,,,,,,,,,,,,,,
310420,,,,BACKGROUND,sprites/juqing_zhangpeng1,,,MUSIC,music/zhandou,open,,ACTOR_SPINE_ANIMATION,104,smile,,NAME,高月离,,,SUBTITLE,你是不是觉得我很美？,soundeffects/gaoyueli4,,,,,,,,,,,,,,,
