id,ui,args,slide_args,slide_args,plot,plot,need_conditions.conditions.type,need_conditions.conditions.arg,need_conditions.conditions.arg,skip_click,touch_move,open_ui
1224,,Fudi_vegewater#0,,,401224,401224,,,,,,
1225,,Fudi_vegefertilze#0,,,401225,401225,,,,,,
1226,,Fudi_vegefertilzeOnce,,,401226,401226,,,,,,
1227,,Fudi_vegehar#0,,,401227,401227,,,,,,
1228,,Fudi_mansionVegeReturn,,,401228,401228,,,,,,
1231,,Fudi_mansionChufang,,,401231,401231,,,,,,
1232,,MansionKitchenCook,,,401232,401232,,,,,,
1233,,KitchenCookItem#1,,,401233,401233,,,,,,
1234,,KitchenCookBtn,,,401234,401234,,,,,,
1241,,mainSceneMoreNode,,,401241,401241,,,,,,
1242,,dailyTaskNode,,,401242,401242,,,,,,
1243,,dailyTaskMainNode,,,401243,401243,,,,,,
1250,MainScene,Arena_EnterButton,,,401250,401250,,,,,,
1260,,Arena_RecordButton,,,401260,401260,,,,True,,
1270,,Arena_RewradNode#2,,,401270,401270,,,,True,,
1280,,Arena_SrollView,,,401280,401280,,,,True,,
1290,MainScene,ActorDevelop_enter,,,401290,401290,,,,,,
1300,,Icon#ActorIndex#2,,,401300,401300,,,,,,
1310,,ActorDevelop_teachbtn,,,401310,401310,,,,,,
1320,,ActorDevelop_teachduyan,,,401320,401320,,,,True,,
1330,,ActorDevelop_teachlevel,,,401330,401330,,,,True,,
1340,MainScene,Main_LeagueButton,,,401340,401340,,,,,,
1350,,League_leagueListContent,,,401350,401350,,,,True,,
1360,,League_leagueCreateBtn,,,401360,401360,,,,True,,
1361,,League_leagueListClose,,,499999,499999,,,,,,
1370,MainScene,OPEN_PVP,,,401370,401370,,,,,,
1380,,PVP_YESTERDAYRANKLIST,,,401380,401380,,,,True,,
1390,,PVP_SHOP,,,401390,401390,,,,True,,
1400,,PVP_RULE,,,401400,401400,,,,True,,
1410,MainScene,LianZhuan_enter,,,401410,401410,,,,,,
1420,,LIEZHUANITEM#1001,,,401420,401420,,,,,,
1430,,LieZhuanSimpleBtn,,,401430,401430,,,,True,,
1440,MainScene,FiefOpenNode,,,401440,401440,,,,,,
1460,,FiefOpenZhneRongNode,,,401460,401460,,,,True,,
1470,,fiefShowFourBtn,,,401470,401470,,,,,,
1480,,FiefMoney,,,401480,401480,,,,True,,
1490,,FiefAnding,,,401490,401490,,,,True,,
1500,,FiefWuZi,,,401500,401500,,,,True,,
1510,,FiefPerson,,,401510,401510,,,,True,,
1520,,Fief_hospital,,,401520,401520,,,,,,
1530,,FiefChangeBtn,,,401530,401530,,,,True,,
1540,,FiefIncidentBtn,,,401540,401540,,,,,,
1550,,fiefOpenIncident,,,401550,401550,,,,,,
1560,,Jinsheng_EnterButton,,,401560,401560,,,,,,
1570,,Guanpin_Examiner#1,,,401570,401570,,,,,,
1580,,Guanpin_Baoming#2,,,401580,401580,,,,,,
1589,MainScene,Tower_Open,,,499999,499999,,,,,,
1590,,Tower_Touch,,,401590,401590,,,,,,
1600,,Tower_Reset,,,401600,401600,,,,True,,
1610,,Tower_Raiders,,,401610,401610,,,,True,,
1620,,Tower_Challenge,,,401620,401620,,,,,,
1630,MainScene,Activity_Main,,,401630,401630,,,,,,
1640,,Activity_Flag,,,401640,401640,,,,True,,
1650,,Activity_GoalFuli,,,401650,401650,,,,,,
1660,,Activity_GoalItem#1,,,401660,401660,,,,,,
1670,MainScene,Main_HzDevelop,,,401670,401670,,,,,,
1680,,HzDevelop_ComposeEnter,,,401680,401680,,,,,,
1690,,HzDevelop_TypeBtn#1,,,401690,401690,,,,True,,
1700,,HzDevelop_IconList#100004,,,401700,401700,,,,,,
1710,,HzDevelop_ComposeCondition,,,401710,401710,,,,,,
1720,,HzDevelop_ComposeMaterial,,,401720,401720,,,,True,,
1730,,HzDevelop_ComposeBtn,,,401730,401730,,,,,,
1731,,HzDevelop_TypeBtn#1,,,499999,499999,,,,,,
1732,,HzDevelop_Type#1,,,499999,499999,,,,,,
1733,,HzDevelop_ComposeBtn,,,499999,499999,,,,,,
1740,,HzDevelop_TypeBtn#1,,,401740,401740,,,,,,
1750,,HzDevelop_Type#2,,,401750,401750,,,,,,
1760,,HzDevelop_ComposeBtn,,,401760,401760,,,,,,
1761,,HzDevelop_TypeBtn#1,,,499999,499999,,,,,,
1762,,HzDevelop_Type#4,,,499999,499999,,,,,,
1763,,HzDevelop_ComposeBtn,,,499999,499999,,,,,,
1770,,Lieming_BattleGrid,,,401770,401770,,,,True,,
1780,,Lieming_BattleGrid,,,401780,401780,,,,True,,
1790,,Lieming_BattleGrid,,,401790,401790,,,,True,,
1800,,Lieming_TipButton,,,401800,401800,,,,True,,
1810,,Fuben_chapterReturn,,,499999,499999,,,,,,
1820,,Fuben_episodeReturn,,,499999,499999,,,,,,
1830,,HzDevelop_intensifyBtn,,,401830,401830,,,,,,
1840,,HzDevelop_levelUpBtn,,,401840,401840,,,,,,
1850,,HzDevelop_materailItem#0,,,401850,401850,,,,,,
1860,,HzDevelop_sure,,,401860,401860,,,,,,
1870,,League_leagueDailyQuest,,,401870,401870,,,,True,,
1880,,League_leagueExtra,,,401880,401880,,,,True,,
1890,,League_leagueShop,,,401890,401890,,,,True,,
1900,,League_leagueAdmin,,,401900,401900,,,,True,,
1910,,League_leagueBlessingTree,,,401910,401910,,,,True,,
10049,,BTN#TOUFA,,,400049,400049,,,,,,
10050,,HZ_GOOD#0,HZ_GOOD#0,Hz_Move_Target_Node,400050,400050,,,,,True,
10051,,BTN#TOUFA,,,400051,400051,,,,,,
10060,,BTN#TOUSHI,,,400060,400060,,,,,,
10070,,HZ_GOOD#0,HZ_GOOD#0,Hz_Move_Target_Node,400070,400070,,,,,True,
10071,,BTN#TOUSHI,,,400071,400071,,,,,,
10080,,BTN#YIFU,,,400080,400080,,,,,,
10090,,HZ_GOOD#0,HZ_GOOD#0,Hz_Move_Target_Node,400090,400090,,,,,True,
10100,,HzPanelSave,,,400100,400100,,,,,,
10259,,BTN#TOUFA,,,400259,400259,,,,,,
10260,,HZ_GOOD#1,HZ_GOOD#1,Hz_Move_Target_Node,400260,400260,,,,,True,
10261,,BTN#TOUFA,,,400261,400261,,,,,,
10270,,BTN#YIFU,,,400270,400270,,,,,,
10280,,HZ_GOOD#1,HZ_GOOD#1,Hz_Move_Target_Node,400280,400280,,,,,True,
10281,,BTN#YIFU,,,400281,400281,,,,,,
10290,,BTN#SHOUCHI,,,400290,400290,,,,,,
10300,,HZ_GOOD#0,HZ_GOOD#0,Hz_Move_Target_Node,400300,400300,,,,,True,
10310,,HzPanelSave,,,400310,400310,,,,,,
10843,MainScene,FeiGeEnter,,,400843,400843,,,,,,
10844,,ActorAll_list#102,,,400844,400844,,,,,,
10845,,FeiGeWriteNode,,,400845,400845,,,,,,
10846,,FeiGeSelectNode,,,400846,400846,,,,True,,
11670,MainScene,Main_HzDevelop,,,401670,401670,,,,,,
11680,,HzDevelop_ComposeEnter,,,401680,401680,,,,,,
11690,,HzDevelop_TypeBtn#1,,,401690,401690,,,,True,,
11700,,HzDevelop_IconList#200004,,,401700,401700,,,,,,
11710,,HzDevelop_ComposeCondition,,,401710,401710,,,,,,
11720,,HzDevelop_ComposeMaterial,,,401720,401720,,,,True,,
11730,,HzDevelop_ComposeBtn,,,401730,401730,,,,,,
11731,,HzDevelop_TypeBtn#1,,,499999,499999,,,,,,
11732,,HzDevelop_Type#1,,,499999,499999,,,,,,
11733,,HzDevelop_ComposeBtn,,,499999,499999,,,,,,
11740,,HzDevelop_TypeBtn#1,,,401740,401740,,,,,,
11750,,HzDevelop_Type#2,,,401750,401750,,,,,,
11760,,HzDevelop_ComposeBtn,,,401760,401760,,,,,,
11761,,HzDevelop_TypeBtn#1,,,499999,499999,,,,,,
11762,,HzDevelop_Type#4,,,499999,499999,,,,,,
11763,,HzDevelop_ComposeBtn,,,499999,499999,,,,,,
11830,,HzDevelop_intensifyBtn,,,401830,401830,,,,,,
11840,,HzDevelop_levelUpBtn,,,401840,401840,,,,,,
11850,,HzDevelop_materailItem#0,,,401850,401850,,,,,,
11860,,HzDevelop_sure,,,401860,401860,,,,,,
100001,MainScene,zhaoMuMainNode,,,499999,499999,,,,,,
100003,MainScene,zhaoMuMainNode,,,499999,499999,,,,,,
100005,MainScene,ActorDevelop_enter,,,499999,499999,,,,,,
100006,,ActorDevelop_nimingjiebtn,,,499999,499999,,,,,,
100007,MainScene,ActorDevelop_enter,,,499999,499999,,,,,,
100008,,Icon#ActorIndex#2,,,499999,499999,,,,,,
100009,MainScene,ActorDevelop_enter,,,499999,499999,,,,,,
100010,,Icon#ActorIndex#2,,,499999,499999,,,,,,
100011,MainScene,ActorDevelop_enter,,,499999,499999,,,,,,
100012,,Icon#ActorIndex#3,,,499999,499999,,,,,,
100013,MainScene,ActorDevelop_enter,,,499999,499999,,,,,,
100014,,ActorDevelop_inequip,,,499999,499999,,,,,,
100016,MainScene,Main_FudiButton,,,499999,499999,,,,,,
100017,,Fudi_mansionZhucheng,,,499999,499999,,,,,,
100018,MainScene,Main_FudiButton,,,499999,499999,,,,,,
100019,,Fuben_frames,,,499999,499999,,,,,,
100020,,Fuben_chapterContent#touchNode#2,,,499999,499999,,,,,,
100021,,Fuben_frames,,,499999,499999,,,,,,
100022,,Fuben_chapterContent#touchNode#3,,,499999,499999,,,,,,
100023,,Fuben_frames,,,499999,499999,,,,,,
100024,,Fuben_chapterContent#touchNode#4,,,499999,499999,,,,,,
100025,,Fuben_frames,,,499999,499999,,,,,,
100026,,Fuben_chapterContent#touchNode#5,,,499999,499999,,,,,,
100027,,Fuben_frames,,,499999,499999,,,,,,
100028,,Fuben_chapterContent#touchNode#6,,,499999,499999,,,,,,
100029,,Fuben_frames,,,499999,499999,,,,,,
100030,,Fuben_chapterContent#touchNode#7,,,499999,499999,,,,,,
100031,,Fuben_frames,,,499999,499999,,,,,,
100032,,Fuben_chapterContent#touchNode#8,,,499999,499999,,,,,,
100033,,Fuben_frames,,,499999,499999,,,,,,
100034,,Fuben_chapterContent#touchNode#9,,,499999,499999,,,,,,
100035,,Fuben_frames,,,499999,499999,,,,,,
100036,,Fuben_chapterContent#touchNode#10,,,499999,499999,,,,,,
100037,,Fudi_mansionPond,,,499999,499999,,,,,,
100038,,Fuben_frames,,,499999,499999,,,,,,
100039,,Fuben_chapterContent#touchNode#1,,,499999,499999,,,,,,
100040,MainScene,Jinsheng_EnterButton,,,499999,499999,,,,,,
100041,,Guanpin_Examiner#1,,,499999,499999,,,,,,
100042,MainScene,Lieming_EnterButton,,,499999,499999,,,,,,
100043,,Lieming_Level#1,,,499999,499999,,,,,,
100044,MainScene,Main_FudiButton,,,499999,499999,,,,,,
100046,MainScene,OPEN_PVP,,,499999,499999,,,,,,
100047,,PVP_YESTERDAYRANKLIST,,,499999,499999,,,,,,
100048,MainScene,FiefOpenNode,,,499999,499999,,,,,,
100049,,FiefCloseSmallSprite,,,499999,499999,,,,,,
100050,,Fuben_chapterDressupEnter,,,499999,499999,,,,,,
100051,MainScene,Main_FubenButton,,,499999,499999,,,,,,
100052,,Fuben_frames,,,499999,499999,,,,,,
100053,MainScene,UITask_GoButton,,,499999,499999,,,,,,
100054,,Main_FubenButton,,,499999,499999,,,,,,
100055,,Fuben_episodeItem#1,,,499999,499999,,,,,,
100056,,Fuben_frames,,,499999,499999,,,,,,
