id,icon,name,desc,male,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,reward_events.events.type,reward_events.events.arg,reward_events.events.arg,attr_decos.decos.type,attr_decos.decos.change_value,attr_decos.decos.change_percent,attr_decos.decos.type,attr_decos.decos.change_value,attr_decos.decos.change_percent
2001,ui/hzicon/taozhuang/tznan_weiyang,未央,未央,True,HP_TOUFA,200001,HP_YIFU,210001,,,HP_SHOUCHI,240001,,,ADD_ITEM,50008,5,ATTACK,30,,,,
2002,ui/hzicon/taozhuang/tznan_baijiang,白江,白江,True,HP_TOUFA,200002,HP_YIFU,210002,,,HP_SHOUCHI,240002,HP_GUANSHI,201002,ADD_ITEM,50012,5,ATTACK,30,,,,
2003,ui/hzicon/taozhuang/tznan_huamei,画眉,画眉,True,HP_TOUFA,200003,HP_YIFU,210003,,,HP_SHOUCHI,240003,HP_GUANSHI,201003,ADD_ITEM,50004,5,HP,2000,,,,
2004,ui/hzicon/taozhuang/tznan_lingdong,灵动,灵动,True,HP_TOUFA,200004,HP_YIFU,210004,,,HP_SHOUCHI,240004,HP_GUANSHI,201004,ADD_ITEM,50008,5,HP,1000,,,,
2005,ui/hzicon/taozhuang/tznan_yemao,夜猫,夜猫,True,HP_TOUFA,200005,HP_YIFU,210005,HP_BEISHI,220005,,,HP_GUANSHI,201005,ADD_ITEM,50012,5,ATTACK,100,,,,
2006,ui/hzicon/taozhuang/tznan_huazhiming,花之茗,花之茗,True,HP_TOUFA,200006,HP_YIFU,210006,,,,,HP_GUANSHI,201006,ADD_ITEM,50004,5,PHYSICAL_DEFENCE,100,,MAGICAL_DEFENCE,100,
2007,ui/hzicon/taozhuang/tznan_mousi,谋思,谋思,True,HP_TOUFA,200007,HP_YIFU,210007,,,,,HP_TOUJIN,201007,ADD_ITEM,50008,5,ATTACK,200,,,,
2008,ui/hzicon/taozhuang/tznan_qingyu,清雨,清雨,True,HP_TOUFA,200008,HP_YIFU,210008,,,,,,,ADD_ITEM,50012,5,HP,500,,PHYSICAL_DEFENCE,100,
2009,ui/hzicon/taozhuang/tznan_mizong,秘踪,秘踪,True,HP_TOUFA,200009,HP_YIFU,210009,HP_BEISHI,220009,HP_SHOUCHI,240009,,,ADD_ITEM,50004,5,HP,500,,MAGICAL_DEFENCE,100,
2010,ui/hzicon/taozhuang/tznan_qingtian,青天,青天,True,HP_TOUFA,200010,HP_YIFU,210010,,,HP_SHOUCHI,240010,,,ADD_ITEM,50011,1,HP,5000,,,,
2011,ui/hzicon/taozhuang/tznan_moran,墨染,墨染,True,HP_TOUFA,200011,HP_YIFU,210011,HP_BEISHI,220011,HP_SHOUCHI,240011,,,ADD_ITEM,50012,5,HP,500,,ATTACK,50,
2012,ui/hzicon/taozhuang/tznan_xialu,侠路相逢,侠路相逢,True,HP_TOUFA,200012,HP_YIFU,210012,,,HP_SHOUCHI,240012,,,ADD_ITEM,50004,5,HP,500,,ATTACK,50,
2013,ui/hzicon/taozhuang/tznan_taohua,桃花,桃花,True,HP_TOUFA,200013,HP_YIFU,210013,,,HP_SHOUCHI,240013,HP_GUANSHI,201013,ADD_ITEM,50008,5,PHYSICAL_DEFENCE,200,,MAGICAL_DEFENCE,200,
2014,ui/hzicon/taozhuang/tznan_fanxing,繁星,繁星,True,HP_TOUFA,200014,HP_YIFU,210014,,,,,HP_GUANSHI,201014,ADD_ITEM,50012,5,HP,1000,,PHYSICAL_DEFENCE,200,
2015,ui/hzicon/taozhuang/tznan_huahuo,花火,花火,True,HP_TOUFA,200015,HP_YIFU,210015,HP_BEISHI,220015,,,HP_GUANSHI,201015,ADD_ITEM,50005,3,ATTACK,100,,,,
2016,ui/hzicon/taozhuang/tznan_gongxin,宫心,宫心,True,HP_TOUFA,200016,HP_YIFU,210016,HP_BEISHI,220016,HP_SHOUCHI,240016,,,ADD_ITEM,50013,3,HP,1000,,MAGICAL_DEFENCE,200,
2017,ui/hzicon/taozhuang/tznan_huancai,幻彩,幻彩,True,HP_TOUFA,200017,HP_YIFU,210017,,,,,HP_GUANSHI,201017,ADD_ITEM,50009,3,PHYSICAL_DEFENCE,200,,,,
2018,ui/hzicon/taozhuang/tznan_hongjian,红笺,红笺,True,HP_TOUFA,200018,HP_YIFU,210018,,,HP_SHOUCHI,240018,,,ADD_ITEM,50005,3,ATTACK,500,,,,
2019,ui/hzicon/taozhuang/tznan_ansheng,安生,安生,True,HP_TOUFA,200019,HP_YIFU,210019,,,HP_SHOUCHI,240019,,,ADD_ITEM,50013,3,MAGICAL_DEFENCE,200,,,,
2020,ui/hzicon/taozhuang/tznan_huangshi,皇室来宾,皇室来宾,True,HP_TOUFA,200020,HP_YIFU,210020,,,HP_SHOUCHI,240020,,,ADD_ITEM,50009,3,HP,1000,,ATTACK,100,
2021,ui/hzicon/taozhuang/tznan_shufang,淑芳,淑芳,True,HP_TOUFA,200021,HP_YIFU,210021,HP_BEISHI,220021,HP_SHOUCHI,240021,,,ADD_ITEM,50005,3,HP,1000,,ATTACK,100,
2022,ui/hzicon/taozhuang/tznan_wangdie,王蝶,王蝶,True,HP_TOUFA,200022,HP_YIFU,210022,HP_BEISHI,220022,,,,,ADD_ITEM,50013,3,ATTACK,200,,,,
2023,ui/hzicon/taozhuang/tznan_zhizi,执子,执子,True,HP_TOUFA,200023,HP_YIFU,210023,,,HP_SHOUCHI,240023,HP_GUANSHI,201023,ADD_ITEM,50015,1,PHYSICAL_DEFENCE,500,,MAGICAL_DEFENCE,500,
2024,ui/hzicon/taozhuang/tznan_changle,常乐,常乐,True,HP_TOUFA,200024,HP_YIFU,210024,,,HP_SHOUCHI,240024,HP_GUANSHI,201024,ADD_ITEM,50005,3,PHYSICAL_DEFENCE,400,,,,
2025,ui/hzicon/taozhuang/tznan_dingguo,定国,定国,True,HP_TOUFA,200025,HP_YIFU,210025,,,HP_SHOUCHI,240025,,,ADD_ITEM,50013,3,HP,1000,,,,
2026,ui/hzicon/taozhuang/tznan_jinyiwei,锦衣卫,锦衣卫,True,HP_TOUFA,200026,HP_YIFU,210026,HP_BEISHI,220026,HP_SHOUCHI,240026,HP_GUANSHI,201026,ADD_ITEM,50009,3,MAGICAL_DEFENCE,400,,,,
2027,ui/hzicon/taozhuang/tznan_yashi,雅士,雅士,True,HP_TOUFA,200027,HP_YIFU,210027,,,,,,,ADD_ITEM,50006,2,HP,2000,,,,
2028,ui/hzicon/taozhuang/tznan_longfen,龙凤,龙凤,True,HP_TOUFA,200028,HP_YIFU,210028,HP_BEISHI,220028,HP_SHOUCHI,240028,HP_GUANSHI,201028,ADD_ITEM,50007,1,HP,2500,,ATTACK,250,
2029,ui/hzicon/taozhuang/tznan_mengzhiyao,梦之瑶,梦之瑶,True,HP_TOUFA,200029,HP_YIFU,210029,HP_BEISHI,220029,HP_SHOUCHI,240029,,,ADD_ITEM,50014,2,ATTACK,200,,,,
2030,ui/hzicon/taozhuang/tznan_yelaifengyu,夜来风雨,夜来风雨,True,HP_TOUFA,200030,HP_YIFU,210030,HP_BEISHI,220030,HP_SHOUCHI,240030,,,ADD_ITEM,50015,1,HP,2500,,PHYSICAL_DEFENCE,500,
2031,ui/hzicon/taozhuang/tznan_linglong,玲珑,玲珑,True,HP_TOUFA,200031,HP_YIFU,210031,HP_BEISHI,220031,HP_SHOUCHI,240031,HP_GUANSHI,201031,ADD_ITEM,50010,2,HP,2000,,,,
2032,ui/hzicon/taozhuang/tznan_lujian,路见,路见,True,HP_TOUFA,200032,HP_YIFU,210032,HP_BEISHI,220032,HP_SHOUCHI,240032,,,ADD_ITEM,50014,2,ATTACK,200,,,,
2033,ui/hzicon/taozhuang/tznan_qiongyao,琼瑶,琼瑶,True,HP_TOUFA,200033,HP_YIFU,210033,,,HP_SHOUCHI,240033,HP_GUANSHI,201033,ADD_ITEM,50014,2,ATTACK,100,,,,
2034,ui/hzicon/taozhuang/tznan_yaoyue,邀月,邀月,True,HP_TOUFA,200034,HP_YIFU,210034,,,,,HP_GUANSHI,201034,ADD_ITEM,50014,2,HP,2500,,MAGICAL_DEFENCE,500,
2035,ui/hzicon/taozhuang/tznan_chiyan,通明,通明,True,HP_TOUFA,200035,HP_YIFU,210035,,,,,HP_GUANSHI,201035,ADD_ITEM,50008,5,ATTACK,30,,,,
2036,ui/hzicon/taozhuang/tznan_jinxiu,丁香,丁香,True,HP_TOUFA,200036,HP_YIFU,210036,,,,,,,ADD_ITEM,50008,5,ATTACK,30,,,,
2037,ui/hzicon/taozhuang/tznan_feitian,清月照影,清月照影,True,HP_TOUFA,200037,HP_YIFU,210037,HP_BEISHI,220037,HP_SHOUCHI,240037,,,ADD_ITEM,50009,3,ATTACK,30,,,,
2038,ui/hzicon/taozhuang/tznan_zifeng,紫风,紫风,True,HP_TOUFA,200038,HP_YIFU,210038,,,HP_SHOUCHI,240038,HP_GUANSHI,201038,ADD_ITEM,50008,5,ATTACK,30,,,,
10001,ui/hzicon/taozhuang/tznv_jinxiu_1,采蓝,采蓝,False,HP_TOUFA,1000001,HP_YIFU,1100001,,,,,,,ADD_ITEM,50004,5,ATTACK,30,,,,
10021,ui/hzicon/taozhuang/tznv_baijiang_1,寄风,寄风,False,HP_TOUFA,1000021,HP_YIFU,1100021,,,,,,,ADD_ITEM,50012,5,ATTACK,30,,,,
10031,ui/hzicon/taozhuang/tznv_huamei_1,月蝉,月蝉,False,HP_TOUFA,1000031,HP_YIFU,1100031,,,HP_SHOUCHI,1400031,,,ADD_ITEM,50004,5,PHYSICAL_DEFENCE,50,,,,
10041,ui/hzicon/taozhuang/tznv_qiongyao_1,千寻,千寻,False,HP_TOUFA,1000041,HP_YIFU,1100041,,,HP_SHOUCHI,1400041,,,ADD_ITEM,50008,5,MAGICAL_DEFENCE,50,,,,
10051,ui/hzicon/taozhuang/tznv_yemao_1,忆白,忆白,False,HP_TOUFA,1000051,HP_YIFU,1100051,HP_BEISHI,1200051,,,HP_GUANSHI,1010051,ADD_ITEM,50012,5,HP,80,,,,
10061,ui/hzicon/taozhuang/tznv_huazhiming_1,庭雨,庭雨,False,HP_TOUFA,1000061,HP_YIFU,1100061,,,,,HP_TOUJIN,1010061,ADD_ITEM,50004,5,ATTACK,30,,,,
10071,ui/hzicon/taozhuang/tznv_mousi_1,安暖,安暖,False,HP_TOUFA,1000071,HP_YIFU,1100071,,,,,HP_TOUJIN,1010071,ADD_ITEM,50008,5,ATTACK,30,,,,
10081,ui/hzicon/taozhuang/tznv_qingyu_1,水荷,水荷,False,HP_TOUFA,1000081,HP_YIFU,1100081,,,,,,,ADD_ITEM,50012,5,PHYSICAL_DEFENCE,50,,,,
10101,ui/hzicon/taozhuang/tznv_qingtian_1,天迥,天迥,False,HP_TOUFA,1000101,HP_YIFU,1100101,,,HP_SHOUCHI,1400101,,,ADD_ITEM,50011,1,ATTACK,200,,,,
10131,ui/hzicon/taozhuang/tznv_taohua_1,笙歌,笙歌,False,HP_TOUFA,1000131,HP_YIFU,1100131,,,HP_SHOUCHI,1400131,HP_TOUJIN,1010131,ADD_ITEM,50008,5,ATTACK,100,,,,
10141,ui/hzicon/taozhuang/tznv_fanxing_1,早弦,早弦,False,HP_TOUFA,1000141,HP_YIFU,1100141,,,,,HP_GUANSHI,1010141,ADD_ITEM,50012,5,HP,250,,,,
10151,ui/hzicon/taozhuang/tznv_huahuo_1,垂杨,垂杨,False,HP_TOUFA,1000151,HP_YIFU,1100151,,,,,,,ADD_ITEM,50005,3,HP,250,,,,
10171,ui/hzicon/taozhuang/tznv_huancai_1,静香,静香,False,HP_TOUFA,1000171,HP_YIFU,1100171,,,,,HP_TOUJIN,1010171,ADD_ITEM,50009,3,ATTACK,30,,,,
10191,ui/hzicon/taozhuang/tznv_ansheng_1,情叙,情叙,False,HP_TOUFA,1000191,HP_YIFU,1100191,,,HP_SHOUCHI,1400191,,,ADD_ITEM,50013,3,ATTACK,100,,,,
10211,ui/hzicon/taozhuang/tznv_shufang_1,沧澜,沧澜,False,HP_TOUFA,1000211,HP_YIFU,1100211,,,HP_SHOUCHI,1400211,,,ADD_ITEM,50005,3,HP,250,,,,
10241,ui/hzicon/taozhuang/tznv_changle_1,生华,生华,False,HP_TOUFA,1000241,HP_YIFU,1100241,,,HP_SHOUCHI,1400241,HP_GUANSHI,1010241,ADD_ITEM,50005,3,MAGICAL_DEFENCE,150,,,,
10261,ui/hzicon/taozhuang/tznv_jinyiwei_1,丹阳,丹阳,False,HP_TOUFA,1000261,HP_YIFU,1100261,,,HP_SHOUCHI,1400261,,,ADD_ITEM,50009,3,ATTACK,100,,,,
10271,ui/hzicon/taozhuang/tznv_yashi_1,孤光,孤光,False,HP_TOUFA,1000271,HP_YIFU,1100271,,,,,,,ADD_ITEM,50006,2,HP,250,,,,
10291,ui/hzicon/taozhuang/tznv_mengzhiyao_1,忘忧,忘忧,False,HP_TOUFA,1000291,HP_YIFU,1100291,HP_BEISHI,1200291,HP_SHOUCHI,1400291,,,ADD_ITEM,50014,2,HP,250,,,,
10321,ui/hzicon/taozhuang/tznv_lujian_1,无归,无归,False,HP_TOUFA,1000321,HP_YIFU,1100321,HP_BEISHI,1200321,HP_SHOUCHI,1400321,,,ADD_ITEM,50014,2,ATTACK,30,,,,
20001,ui/hzicon/taozhuang/tznan_jinxiu_1,采蓝,采蓝,True,HP_TOUFA,2000001,HP_YIFU,2100001,,,,,,,ADD_ITEM,50004,5,ATTACK,30,,,,
20021,ui/hzicon/taozhuang/tznan_baijiang_1,寄风,寄风,True,HP_TOUFA,2000021,HP_YIFU,2100021,,,,,,,ADD_ITEM,50012,5,HP,80,,,,
20031,ui/hzicon/taozhuang/tznan_huamei_1,月蝉,月蝉,True,HP_TOUFA,2000031,HP_YIFU,2100031,,,HP_SHOUCHI,2400031,,,ADD_ITEM,50004,5,HP,80,,,,
20041,ui/hzicon/taozhuang/tznan_qiongyao_1,千寻,千寻,True,HP_TOUFA,2000041,HP_YIFU,2100041,,,HP_SHOUCHI,2400041,,,ADD_ITEM,50008,5,PHYSICAL_DEFENCE,50,,,,
20051,ui/hzicon/taozhuang/tznan_yemao_1,忆白,忆白,True,HP_TOUFA,2000051,HP_YIFU,2100051,HP_BEISHI,2200051,,,HP_GUANSHI,2010051,ADD_ITEM,50012,5,MAGICAL_DEFENCE,50,,,,
20061,ui/hzicon/taozhuang/tznan_huazhiming_1,庭雨,庭雨,True,HP_TOUFA,2000061,HP_YIFU,2100061,,,,,HP_GUANSHI,2010061,ADD_ITEM,50004,5,ATTACK,30,,,,
20071,ui/hzicon/taozhuang/tznan_mousi_1,安暖,安暖,True,HP_TOUFA,2000071,HP_YIFU,2100071,,,,,HP_TOUJIN,2010071,ADD_ITEM,50008,5,ATTACK,30,,,,
20081,ui/hzicon/taozhuang/tznan_qingyu_1,水荷,水荷,True,HP_TOUFA,2000081,HP_YIFU,2100081,,,,,,,ADD_ITEM,50012,5,HP,80,,,,
20101,ui/hzicon/taozhuang/tznan_qingtian_1,天迥,天迥,True,HP_TOUFA,2000101,HP_YIFU,2100101,,,HP_SHOUCHI,2400101,,,ADD_ITEM,50011,1,ATTACK,300,,,,
20131,ui/hzicon/taozhuang/tznan_taohua_1,笙歌,笙歌,True,HP_TOUFA,2000131,HP_YIFU,2100131,,,HP_SHOUCHI,2400131,HP_GUANSHI,2010131,ADD_ITEM,50008,5,HP,250,,,,
20141,ui/hzicon/taozhuang/tznan_fanxing_1,早弦,早弦,True,HP_TOUFA,2000141,HP_YIFU,2100141,,,,,HP_GUANSHI,2010141,ADD_ITEM,50012,5,HP,250,,,,
20151,ui/hzicon/taozhuang/tznan_huahuo_1,垂杨,垂杨,True,HP_TOUFA,2000151,HP_YIFU,2100151,,,,,,,ADD_ITEM,50005,3,HP,250,,,,
20171,ui/hzicon/taozhuang/tznan_huancai_1,静香,静香,True,HP_TOUFA,2000171,HP_YIFU,2100171,,,,,HP_GUANSHI,2010171,ADD_ITEM,50009,3,ATTACK,30,,,,
20191,ui/hzicon/taozhuang/tznan_ansheng_1,情叙,情叙,True,HP_TOUFA,2000191,HP_YIFU,2100191,,,HP_SHOUCHI,2400191,,,ADD_ITEM,50013,3,ATTACK,100,,,,
20211,ui/hzicon/taozhuang/tznan_shufang_1,沧澜,沧澜,True,HP_TOUFA,2000211,HP_YIFU,2100211,,,HP_SHOUCHI,2400211,,,ADD_ITEM,50005,3,HP,250,,,,
20241,ui/hzicon/taozhuang/tznan_changle_1,生华,生华,True,HP_TOUFA,2000241,HP_YIFU,2100241,,,HP_SHOUCHI,2400241,HP_GUANSHI,2010241,ADD_ITEM,50005,3,MAGICAL_DEFENCE,150,,,,
20261,ui/hzicon/taozhuang/tznan_jinyiwei_1,丹阳,丹阳,True,HP_TOUFA,2000261,HP_YIFU,2100261,,,HP_SHOUCHI,2400261,,,ADD_ITEM,50009,3,ATTACK,100,,,,
20271,ui/hzicon/taozhuang/tznan_yashi_1,孤光,孤光,True,HP_TOUFA,2000271,HP_YIFU,2100271,,,,,,,ADD_ITEM,50006,2,HP,250,,,,
20291,ui/hzicon/taozhuang/tznan_mengzhiyao_1,忘忧,忘忧,True,HP_TOUFA,2000291,HP_YIFU,2100291,HP_BEISHI,2200291,HP_SHOUCHI,2400291,,,ADD_ITEM,50014,2,HP,250,,,,
20321,ui/hzicon/taozhuang/tznan_lujian_1,无归,无归,True,HP_TOUFA,2000321,HP_YIFU,2100321,HP_BEISHI,2200321,HP_SHOUCHI,2400321,,,ADD_ITEM,50014,2,ATTACK,30,,,,
