id,type,arg,desc,icon,title
324,OT_EVERYDAY_QUEST,,完成每日任务能获得大量的经验，还能领取惊喜宝箱！每当新的系统开启，会有新的每日任务加入，记得每天都要完成哟。,icon/xitong/zhujiemian_8-6,每日任务
325,OT_GONGDOU,,快来给你的朋友或官品高的人请安吧！每天十次机会，不仅可以联络感情，更有升级经验拿哦。,icon/xitong/zhujiemian_5,请安
326,OT_LIEZHUAN,,列传副本讲述的是各大家族那些不为人知的秘密往事……不仅可以得到珍贵的道具，还能获得大量经验，每天五次挑战机会不容错过。,icon/xitong/zhujiemian_57,完成列传
327,OT_TOWER,,前往密室,,
328,OT_MANSION_BANQUET,,参加喜宴可获得,,
400,OT_ACTIVITY,,参加活动获得,,
500,OT_LOTTERY,,前往招募诗会，召集强力伙伴。伙伴上阵，强强联手！,ui/quest/js_2_new,招募伙伴
501,OT_ACTOR_DEVELOP,,赠送伙伴信物，提升伙伴属性，可以增加伙伴战斗力哦！,ui/quest/jincaihuodong_14,亲密度
502,OT_ACTOR_DEVELOP,,提高诰封等级，可以提升战斗属性哦！,ui/quest/js_3_new,诰封
503,OT_EQUIPMENT,,强化花魂等级，大幅提升装备属性。,ui/quest/js_4_new,强化花魂
504,OT_ACTOR_DEVELOP,,逆命劫改命，解锁新技能，可以提升战斗属性哦！,ui/quest/jincaihuodong_8,逆命劫
505,OT_ACTOR_DEVELOP,,研读学识，可以提升战斗属性哦！,ui/quest/jincaihuodong_13,学识
506,OT_WAIGUAN,,收集图鉴，更换时装，可以提升战斗属性哦！,ui/quest/zhujiemian_2,外观
507,OT_MANSION_BUILDING,MBT_HALL,提高伙伴们的情缘度等级，可提高属性。绝等伙伴与其他伙伴情缘度越高，连携技触发几率越高！,ui/quest/jincaihuodong_7,情缘签
600,OT_ADVENTURE_EPISODE_NEW,,完成副本关卡是获得银饼的主要方式之一，扫荡副本更可以获得大量银饼哦！,icon/resource/yinbi,副本扫荡
601,OT_MANSION_BANQUET,,快来参加宴会啦！不仅可以获得养成资源，还可以获得大量金饼、银饼哦！,icon/resource/yinbi,宴会
602,OT_SHOP,320,商城购买银饼荷包，可获得大量银饼哦！,icon/resource/yinbi,商店
603,OT_MANSION_BANQUET,,会前宴可获得大量体力哦！,icon/item/icon_tilis,宴会
604,OT_SHOP,320,商城购买桂花糕，使用后可获得大量体力哦！,icon/item/icon_tilis,商店
605,OT_ADVENTURE_EPISODE_NEW,,副本关卡首次通关、副本扫荡时都可以获得大量阅历哦！,icon/resource/yueli,副本
606,OT_LOTTERY,,诗会招募伙伴，可获得大量阅历哦！,icon/resource/yueli,诗会
607,OT_GONGDOU,,除请安、出游、锦绣江山外，其余互动都可获得大量美名哦！,icon/resource/meiming,互动
608,OT_ARENA,,比武胜利不仅能够提升排名，还能获得大量美名哦！,icon/resource/meiming,比武
609,OT_LEAGUE,LJT_MAIN,家族中产出，能在贡献商店中兑换物品的货币。,icon/resource/jiazugongxian,家族
610,OT_ARENA,,比武中产出，能在声望商店中兑换物品的货币。,icon/resource/shengwang,比武
611,OT_ACHIEVEMENT,,完成成就任务可获得天书墨哦！,icon/resource/nmj_tianshumo,成就
612,OT_ADVENTURE_EPISODE_NEW,,通关主线章节、副本扫荡可获得伙伴信物哦！,icon/resource/jincaihuodong_14,副本
613,OT_LOTTERY,,前往招募诗会，收集伙伴信物。,icon/resource/jincaihuodong_14,诗会
614,OT_LIEZHUAN,,首次通关列传可获得伙伴信物哦！,icon/resource/jincaihuodong_14,列传
615,OT_SHOP,320,声望商店、神秘商店可购买伙伴信物哦！,icon/resource/jincaihuodong_14,商店
1001,OT_ADVENTURE,1,副本第1章第1关,,
1002,OT_ADVENTURE,2,副本第1章第2关,,
1003,OT_ADVENTURE,3,副本第1章第3关,,
1004,OT_ADVENTURE,4,副本第1章第4关,,
1005,OT_ADVENTURE,5,副本第1章第5关,,
1006,OT_ADVENTURE,6,副本第1章第6关,,
1007,OT_ADVENTURE,7,副本第1章第7关,,
1008,OT_ADVENTURE,8,副本第1章第8关,,
1009,OT_ADVENTURE,9,副本第1章第9关,,
1010,OT_ADVENTURE,10,副本第1章第10关,,
1011,OT_ADVENTURE,11,副本第2章第1关,,
1012,OT_ADVENTURE,12,副本第2章第2关,,
1013,OT_ADVENTURE,13,副本第2章第3关,,
1014,OT_ADVENTURE,14,副本第2章第4关,,
1015,OT_ADVENTURE,15,副本第2章第5关,,
1016,OT_ADVENTURE,16,副本第2章第6关,,
1017,OT_ADVENTURE,17,副本第2章第7关,,
1018,OT_ADVENTURE,18,副本第2章第8关,,
1019,OT_ADVENTURE,19,副本第2章第9关,,
1020,OT_ADVENTURE,20,副本第2章第10关,,
1021,OT_ADVENTURE,21,副本第2章第11关,,
1022,OT_ADVENTURE,22,副本第2章第12关,,
1023,OT_ADVENTURE,23,副本第3章第1关,,
1024,OT_ADVENTURE,24,副本第3章第2关,,
1025,OT_ADVENTURE,25,副本第3章第3关,,
1026,OT_ADVENTURE,26,副本第3章第4关,,
1027,OT_ADVENTURE,27,副本第3章第5关,,
1028,OT_ADVENTURE,28,副本第3章第6关,,
1029,OT_ADVENTURE,29,副本第3章第7关,,
1030,OT_ADVENTURE,30,副本第3章第8关,,
1031,OT_ADVENTURE,31,副本第3章第9关,,
1032,OT_ADVENTURE,32,副本第3章第10关,,
1033,OT_ADVENTURE,33,副本第3章第11关,,
1034,OT_ADVENTURE,34,副本第3章第12关,,
1035,OT_ADVENTURE,35,副本第4章第1关,,
1036,OT_ADVENTURE,36,副本第4章第2关,,
1037,OT_ADVENTURE,37,副本第4章第3关,,
1038,OT_ADVENTURE,38,副本第4章第4关,,
1039,OT_ADVENTURE,39,副本第4章第5关,,
1040,OT_ADVENTURE,40,副本第4章第6关,,
1041,OT_ADVENTURE,41,副本第4章第7关,,
1042,OT_ADVENTURE,42,副本第4章第8关,,
1043,OT_ADVENTURE,43,副本第4章第9关,,
1044,OT_ADVENTURE,44,副本第4章第10关,,
1045,OT_ADVENTURE,45,副本第4章第11关,,
1046,OT_ADVENTURE,46,副本第4章第12关,,
1047,OT_ADVENTURE,47,副本第5章第1关,,
1048,OT_ADVENTURE,48,副本第5章第2关,,
1049,OT_ADVENTURE,49,副本第5章第3关,,
1050,OT_ADVENTURE,50,副本第5章第4关,,
1051,OT_ADVENTURE,51,副本第5章第5关,,
1052,OT_ADVENTURE,52,副本第5章第6关,,
1053,OT_ADVENTURE,53,副本第5章第7关,,
1054,OT_ADVENTURE,54,副本第5章第8关,,
1055,OT_ADVENTURE,55,副本第5章第9关,,
1056,OT_ADVENTURE,56,副本第5章第10关,,
1057,OT_ADVENTURE,57,副本第5章第11关,,
1058,OT_ADVENTURE,58,副本第5章第12关,,
1059,OT_ADVENTURE,59,副本第6章第1关,,
1060,OT_ADVENTURE,60,副本第6章第2关,,
1061,OT_ADVENTURE,61,副本第6章第3关,,
1062,OT_ADVENTURE,62,副本第6章第4关,,
1063,OT_ADVENTURE,63,副本第6章第5关,,
1064,OT_ADVENTURE,64,副本第6章第6关,,
1065,OT_ADVENTURE,65,副本第6章第7关,,
1066,OT_ADVENTURE,66,副本第6章第8关,,
1067,OT_ADVENTURE,67,副本第6章第9关,,
1068,OT_ADVENTURE,68,副本第6章第10关,,
1069,OT_ADVENTURE,69,副本第6章第11关,,
1070,OT_ADVENTURE,70,副本第6章第12关,,
1071,OT_ADVENTURE,71,副本第7章第1关,,
1072,OT_ADVENTURE,72,副本第7章第2关,,
1073,OT_ADVENTURE,73,副本第7章第3关,,
1074,OT_ADVENTURE,74,副本第7章第4关,,
1075,OT_ADVENTURE,75,副本第7章第5关,,
1076,OT_ADVENTURE,76,副本第7章第6关,,
1077,OT_ADVENTURE,77,副本第7章第7关,,
1078,OT_ADVENTURE,78,副本第7章第8关,,
1079,OT_ADVENTURE,79,副本第7章第9关,,
1080,OT_ADVENTURE,80,副本第7章第10关,,
1081,OT_ADVENTURE,81,副本第7章第11关,,
1082,OT_ADVENTURE,82,副本第7章第12关,,
1083,OT_ADVENTURE,83,副本第8章第1关,,
1084,OT_ADVENTURE,84,副本第8章第2关,,
1085,OT_ADVENTURE,85,副本第8章第3关,,
1086,OT_ADVENTURE,86,副本第8章第4关,,
1087,OT_ADVENTURE,87,副本第8章第5关,,
1088,OT_ADVENTURE,88,副本第8章第6关,,
1089,OT_ADVENTURE,89,副本第8章第7关,,
1090,OT_ADVENTURE,90,副本第8章第8关,,
1091,OT_ADVENTURE,91,副本第8章第9关,,
1092,OT_ADVENTURE,92,副本第8章第10关,,
1093,OT_ADVENTURE,93,副本第8章第11关,,
1094,OT_ADVENTURE,94,副本第8章第12关,,
1095,OT_ADVENTURE,95,副本第9章第1关,,
1096,OT_ADVENTURE,96,副本第9章第2关,,
1097,OT_ADVENTURE,97,副本第9章第3关,,
1098,OT_ADVENTURE,98,副本第9章第4关,,
1099,OT_ADVENTURE,99,副本第9章第5关,,
1100,OT_ADVENTURE,100,副本第9章第6关,,
1101,OT_ADVENTURE,101,副本第9章第7关,,
1102,OT_ADVENTURE,102,副本第9章第8关,,
1103,OT_ADVENTURE,103,副本第9章第9关,,
1104,OT_ADVENTURE,104,副本第9章第10关,,
1105,OT_ADVENTURE,105,副本第9章第11关,,
1106,OT_ADVENTURE,106,副本第9章第12关,,
1107,OT_ADVENTURE,107,副本第10章第1关,,
1108,OT_ADVENTURE,108,副本第10章第2关,,
1109,OT_ADVENTURE,109,副本第10章第3关,,
1110,OT_ADVENTURE,110,副本第10章第4关,,
1111,OT_ADVENTURE,111,副本第10章第5关,,
1112,OT_ADVENTURE,112,副本第10章第6关,,
1113,OT_ADVENTURE,113,副本第10章第7关,,
1114,OT_ADVENTURE,114,副本第10章第8关,,
1115,OT_ADVENTURE,115,副本第10章第9关,,
1116,OT_ADVENTURE,116,副本第10章第10关,,
1117,OT_ADVENTURE,117,副本第10章第11关,,
1118,OT_ADVENTURE,118,副本第10章第12关,,
1119,OT_ADVENTURE,119,副本第11章第1关,,
1120,OT_ADVENTURE,120,副本第11章第2关,,
1121,OT_ADVENTURE,121,副本第11章第3关,,
1122,OT_ADVENTURE,122,副本第11章第4关,,
1123,OT_ADVENTURE,123,副本第11章第5关,,
1124,OT_ADVENTURE,124,副本第11章第6关,,
1125,OT_ADVENTURE,125,副本第11章第7关,,
1126,OT_ADVENTURE,126,副本第11章第8关,,
1127,OT_ADVENTURE,127,副本第11章第9关,,
1128,OT_ADVENTURE,128,副本第11章第10关,,
1129,OT_ADVENTURE,129,副本第11章第11关,,
1130,OT_ADVENTURE,130,副本第11章第12关,,
1131,OT_ADVENTURE,131,副本第12章第1关,,
1132,OT_ADVENTURE,132,副本第12章第2关,,
1133,OT_ADVENTURE,133,副本第12章第3关,,
1134,OT_ADVENTURE,134,副本第12章第4关,,
1135,OT_ADVENTURE,135,副本第12章第5关,,
1136,OT_ADVENTURE,136,副本第12章第6关,,
1137,OT_ADVENTURE,137,副本第12章第7关,,
1138,OT_ADVENTURE,138,副本第12章第8关,,
1139,OT_ADVENTURE,139,副本第12章第9关,,
1140,OT_ADVENTURE,140,副本第12章第10关,,
1141,OT_ADVENTURE,141,副本第12章第11关,,
1142,OT_ADVENTURE,142,副本第12章第12关,,
1143,OT_ADVENTURE,143,副本第13章第1关,,
1144,OT_ADVENTURE,144,副本第13章第2关,,
1145,OT_ADVENTURE,145,副本第13章第3关,,
1146,OT_ADVENTURE,146,副本第13章第4关,,
1147,OT_ADVENTURE,147,副本第13章第5关,,
1148,OT_ADVENTURE,148,副本第13章第6关,,
1149,OT_ADVENTURE,149,副本第13章第7关,,
1150,OT_ADVENTURE,150,副本第13章第8关,,
1151,OT_ADVENTURE,151,副本第13章第9关,,
1152,OT_ADVENTURE,152,副本第13章第10关,,
1153,OT_ADVENTURE,153,副本第13章第11关,,
1154,OT_ADVENTURE,154,副本第13章第12关,,
1155,OT_ADVENTURE,155,副本第14章第1关,,
1156,OT_ADVENTURE,156,副本第14章第2关,,
1157,OT_ADVENTURE,157,副本第14章第3关,,
1158,OT_ADVENTURE,158,副本第14章第4关,,
1159,OT_ADVENTURE,159,副本第14章第5关,,
1160,OT_ADVENTURE,160,副本第14章第6关,,
1161,OT_ADVENTURE,161,副本第14章第7关,,
1162,OT_ADVENTURE,162,副本第14章第8关,,
1163,OT_ADVENTURE,163,副本第14章第9关,,
1164,OT_ADVENTURE,164,副本第14章第10关,,
1165,OT_ADVENTURE,165,副本第14章第11关,,
1166,OT_ADVENTURE,166,副本第14章第12关,,
1167,OT_ADVENTURE,167,副本第15章第1关,,
1168,OT_ADVENTURE,168,副本第15章第2关,,
1169,OT_ADVENTURE,169,副本第15章第3关,,
1170,OT_ADVENTURE,170,副本第15章第4关,,
1171,OT_ADVENTURE,171,副本第15章第5关,,
1172,OT_ADVENTURE,172,副本第15章第6关,,
1173,OT_ADVENTURE,173,副本第15章第7关,,
1174,OT_ADVENTURE,174,副本第15章第8关,,
1175,OT_ADVENTURE,175,副本第15章第9关,,
1176,OT_ADVENTURE,176,副本第15章第10关,,
1177,OT_ADVENTURE,177,副本第15章第11关,,
1178,OT_ADVENTURE,178,副本第15章第12关,,
1179,OT_ADVENTURE,179,副本第16章第1关,,
1180,OT_ADVENTURE,180,副本第16章第2关,,
1181,OT_ADVENTURE,181,副本第16章第3关,,
1182,OT_ADVENTURE,182,副本第16章第4关,,
1183,OT_ADVENTURE,183,副本第16章第5关,,
1184,OT_ADVENTURE,184,副本第16章第6关,,
1185,OT_ADVENTURE,185,副本第16章第7关,,
1186,OT_ADVENTURE,186,副本第16章第8关,,
1187,OT_ADVENTURE,187,副本第16章第9关,,
1188,OT_ADVENTURE,188,副本第16章第10关,,
1189,OT_ADVENTURE,189,副本第16章第11关,,
1190,OT_ADVENTURE,190,副本第16章第12关,,
1191,OT_ADVENTURE,191,副本第17章第1关,,
1192,OT_ADVENTURE,192,副本第17章第2关,,
1193,OT_ADVENTURE,193,副本第17章第3关,,
1194,OT_ADVENTURE,194,副本第17章第4关,,
1195,OT_ADVENTURE,195,副本第17章第5关,,
1196,OT_ADVENTURE,196,副本第17章第6关,,
1197,OT_ADVENTURE,197,副本第17章第7关,,
1198,OT_ADVENTURE,198,副本第17章第8关,,
1199,OT_ADVENTURE,199,副本第17章第9关,,
1200,OT_ADVENTURE,200,副本第17章第10关,,
1201,OT_ADVENTURE,201,副本第17章第11关,,
1202,OT_ADVENTURE,202,副本第17章第12关,,
1203,OT_ADVENTURE,203,副本第18章第1关,,
1204,OT_ADVENTURE,204,副本第18章第2关,,
1205,OT_ADVENTURE,205,副本第18章第3关,,
1206,OT_ADVENTURE,206,副本第18章第4关,,
1207,OT_ADVENTURE,207,副本第18章第5关,,
1208,OT_ADVENTURE,208,副本第18章第6关,,
1209,OT_ADVENTURE,209,副本第18章第7关,,
1210,OT_ADVENTURE,210,副本第18章第8关,,
1211,OT_ADVENTURE,211,副本第18章第9关,,
1212,OT_ADVENTURE,212,副本第18章第10关,,
1213,OT_ADVENTURE,213,副本第18章第11关,,
1214,OT_ADVENTURE,214,副本第18章第12关,,
1215,OT_ADVENTURE,215,副本第19章第1关,,
1216,OT_ADVENTURE,216,副本第19章第2关,,
1217,OT_ADVENTURE,217,副本第19章第3关,,
1218,OT_ADVENTURE,218,副本第19章第4关,,
1219,OT_ADVENTURE,219,副本第19章第5关,,
1220,OT_ADVENTURE,220,副本第19章第6关,,
1221,OT_ADVENTURE,221,副本第19章第7关,,
1222,OT_ADVENTURE,222,副本第19章第8关,,
1223,OT_ADVENTURE,223,副本第19章第9关,,
1224,OT_ADVENTURE,224,副本第19章第10关,,
1225,OT_ADVENTURE,225,副本第19章第11关,,
1226,OT_ADVENTURE,226,副本第19章第12关,,
1227,OT_ADVENTURE,227,副本第20章第1关,,
1228,OT_ADVENTURE,228,副本第20章第2关,,
1229,OT_ADVENTURE,229,副本第20章第3关,,
1230,OT_ADVENTURE,230,副本第20章第4关,,
1231,OT_ADVENTURE,231,副本第20章第5关,,
1232,OT_ADVENTURE,232,副本第20章第6关,,
1233,OT_ADVENTURE,233,副本第20章第7关,,
1234,OT_ADVENTURE,234,副本第20章第8关,,
1235,OT_ADVENTURE,235,副本第20章第9关,,
1236,OT_ADVENTURE,236,副本第20章第10关,,
1237,OT_ADVENTURE,237,副本第20章第11关,,
1238,OT_ADVENTURE,238,副本第20章第12关,,
1239,OT_ADVENTURE,239,副本第21章第1关,,
1240,OT_ADVENTURE,240,副本第21章第2关,,
1241,OT_ADVENTURE,241,副本第21章第3关,,
1242,OT_ADVENTURE,242,副本第21章第4关,,
1243,OT_ADVENTURE,243,副本第21章第5关,,
1244,OT_ADVENTURE,244,副本第21章第6关,,
1245,OT_ADVENTURE,245,副本第21章第7关,,
1246,OT_ADVENTURE,246,副本第21章第8关,,
1247,OT_ADVENTURE,247,副本第21章第9关,,
1248,OT_ADVENTURE,248,副本第21章第10关,,
1249,OT_ADVENTURE,249,副本第21章第11关,,
1250,OT_ADVENTURE,250,副本第21章第12关,,
1251,OT_ADVENTURE,251,副本第22章第1关,,
1252,OT_ADVENTURE,252,副本第22章第2关,,
1253,OT_ADVENTURE,253,副本第22章第3关,,
1254,OT_ADVENTURE,254,副本第22章第4关,,
1255,OT_ADVENTURE,255,副本第22章第5关,,
1256,OT_ADVENTURE,256,副本第22章第6关,,
1257,OT_ADVENTURE,257,副本第22章第7关,,
1258,OT_ADVENTURE,258,副本第22章第8关,,
1259,OT_ADVENTURE,259,副本第22章第9关,,
1260,OT_ADVENTURE,260,副本第22章第10关,,
1261,OT_ADVENTURE,261,副本第22章第11关,,
1262,OT_ADVENTURE,262,副本第22章第12关,,
1263,OT_ADVENTURE,263,副本第23章第1关,,
1264,OT_ADVENTURE,264,副本第23章第2关,,
1265,OT_ADVENTURE,265,副本第23章第3关,,
1266,OT_ADVENTURE,266,副本第23章第4关,,
1267,OT_ADVENTURE,267,副本第23章第5关,,
1268,OT_ADVENTURE,268,副本第23章第6关,,
1269,OT_ADVENTURE,269,副本第23章第7关,,
1270,OT_ADVENTURE,270,副本第23章第8关,,
1271,OT_ADVENTURE,271,副本第23章第9关,,
1272,OT_ADVENTURE,272,副本第23章第10关,,
1273,OT_ADVENTURE,273,副本第23章第11关,,
1274,OT_ADVENTURE,274,副本第23章第12关,,
1275,OT_ADVENTURE,275,副本第24章第1关,,
1276,OT_ADVENTURE,276,副本第24章第2关,,
1277,OT_ADVENTURE,277,副本第24章第3关,,
1278,OT_ADVENTURE,278,副本第24章第4关,,
1279,OT_ADVENTURE,279,副本第24章第5关,,
1280,OT_ADVENTURE,280,副本第24章第6关,,
1281,OT_ADVENTURE,281,副本第24章第7关,,
1282,OT_ADVENTURE,282,副本第24章第8关,,
1283,OT_ADVENTURE,283,副本第24章第9关,,
1284,OT_ADVENTURE,284,副本第24章第10关,,
1285,OT_ADVENTURE,285,副本第24章第11关,,
1286,OT_ADVENTURE,286,副本第24章第12关,,
1287,OT_ADVENTURE,287,副本第25章第1关,,
1288,OT_ADVENTURE,288,副本第25章第2关,,
1289,OT_ADVENTURE,289,副本第25章第3关,,
1290,OT_ADVENTURE,290,副本第25章第4关,,
1291,OT_ADVENTURE,291,副本第25章第5关,,
1292,OT_ADVENTURE,292,副本第25章第6关,,
1293,OT_ADVENTURE,293,副本第25章第7关,,
1294,OT_ADVENTURE,294,副本第25章第8关,,
1295,OT_ADVENTURE,295,副本第25章第9关,,
1296,OT_ADVENTURE,296,副本第25章第10关,,
1297,OT_ADVENTURE,297,副本第25章第11关,,
1298,OT_ADVENTURE,298,副本第25章第12关,,
1299,OT_ADVENTURE,299,副本第26章第1关,,
1300,OT_ADVENTURE,300,副本第26章第2关,,
1301,OT_ADVENTURE,301,副本第26章第3关,,
1302,OT_ADVENTURE,302,副本第26章第4关,,
1303,OT_ADVENTURE,303,副本第26章第5关,,
1304,OT_ADVENTURE,304,副本第26章第6关,,
1305,OT_ADVENTURE,305,副本第26章第7关,,
1306,OT_ADVENTURE,306,副本第26章第8关,,
1307,OT_ADVENTURE,307,副本第26章第9关,,
1308,OT_ADVENTURE,308,副本第26章第10关,,
1309,OT_ADVENTURE,309,副本第26章第11关,,
1310,OT_ADVENTURE,310,副本第26章第12关,,
1311,OT_ADVENTURE,311,副本第27章第1关,,
1312,OT_ADVENTURE,312,副本第27章第2关,,
1313,OT_ADVENTURE,313,副本第27章第3关,,
1314,OT_ADVENTURE,314,副本第27章第4关,,
1315,OT_ADVENTURE,315,副本第27章第5关,,
1316,OT_ADVENTURE,316,副本第27章第6关,,
1317,OT_ADVENTURE,317,副本第27章第7关,,
1318,OT_ADVENTURE,318,副本第27章第8关,,
1319,OT_ADVENTURE,319,副本第27章第9关,,
1320,OT_ADVENTURE,320,副本第27章第10关,,
