id,title,entries.title,entries.content,entries.title,entries.content,entries.title,entries.content,entries.title,entries.content,entries.title,entries.content,entries.title,entries.content
11,锦绣台,海选,1.玩家可以在海选阶段精心准备服饰，参加评选。并且可以通过点击“我当评审”按钮为心仪的玩家形象投票。\n2.海选期间，每位玩家默认有20张海选票。\n3.每次投票消耗一张海选票。\n4.当选票不足20张时，选票恢复倒计时。\n5.每张海选票的恢复时间为2小时。\n6.锦绣台主界面只展示本轮参赛得分最高的时装。,决赛,1.每个玩家根据贵族等级拥有相应数量的决赛选票。\n2.用决赛票对排行前6的玩家进行投票，每一张选票代表10评分，21:00决出赛季评分最高的玩家，然后系统发放对应奖励。,时间,1.锦绣台每周会举行两轮。\n2.每轮分为海选阶段和决赛阶段。\n3.第一轮海选阶段时间为：\n周一至周三19:00，决赛阶段时间为周三19:00至21:00\n第二轮海选阶段时间为：\n周四至周日19:00，决赛阶段时间为周日19:00至21:00\n4.每轮拥有一个服装主题，需根据主题搭配不同的服装。,评分,1.丙等：玩家评分未达到自己可搭配出最高评分的60%。\n2.乙等：玩家评分自己可搭配出最高评分的60%到80%区间内。\n3.甲等：玩家评分超过自己可搭配出最高评分的80%。,,,,
12,七日目标,七日目标,1.玩家通过完成任务获得积分从而获得最终大奖。\n2.玩家完成的任务第二天依然能领取。\n3.玩家可以提前完成后续任务，但是只有到达对应天数以后才能领取。\n4.充值只记录当天数额。\n5.第八天5:00，七日活动入口消失，将无法领取奖励，记得领取奖励哦。\n6.半价物品在活动开启时间内都可以都买。,,,,,,,,,,
13,阵容,阵容,1.玩家一共拥有四套阵容，阵容随着玩家等级解锁；请根据不同的战斗切换到最适合的阵容哦。\n2.玩家每个阵容最多上阵五名角色，可上阵的格子随着玩家等级解锁。,连携技,1.部分绝等伙伴，拥有一个特殊技能，称之为连携技。\n2.连携技如果不配置连携者，将没有特殊效果，绝等伙伴上阵后，可以在连携技界面，为其配置连携者。连携者也必须为上阵伙伴。\n3.根据连携者的战斗定位，绝等伙伴的连携技会获得不同的强化效果。\n4.配置了连携者后，绝等伙伴释放连携技时，有一定几率触发强化效果。绝等伙伴和连携者之间情缘度越高，触发几率越高。,,,,,,,,
14,晋升,晋升,1.玩家可以在此晋升官品，官品最低为从九品，最高为极品。\n2.官品提升后会得到相应的官权和属性加成。,乡试\察举,1.考官出一道情景剧情的考题，玩家根据剧情来搭配服饰。服饰搭配评分达到乙等以上考试过关获得官品，否则考试失败。\n2.考试失败可以重复报考。,会试\征辟,1.此阶段的考试为挑战考官，进行一场战斗。战斗胜利考试过关获得官品，否则考试失败。\n2.考试失败可以重复报考。,殿试\册封,1.本阶段考试只在每周的周一、周四举行，参加考核需要在考试当天的9:00-18:30报名。每个官品皆有报名人数限制，人满则无法继续报名。\n2.此阶段的考试为报考玩家之间进行随机配对战斗，战斗进行四轮，战斗力高的玩家先手行动，最后根据战斗积分进行排名，排名高者获得官品。\n3.从三品开始，每个官品可任职人数有限，官品越高人数越少。每次官品考试开放时，会开放每一级官品约1/4的职位。\n4.考试开始当天早上5点，每一官品任职上限后排名名次1/4的玩家，将被降级。\n5.报名当天5点开始直到考试结束，无法对从三品及以上的官品进行挑战.\n6.被淘汰时，被降至下一级有空缺官位任职，如果没有空位则继续往更低的一个官品中搜索.直到有空位的官品，最低为正四品。,夺位,1.此阶段报名及战斗规则与会试基本一致。\n2.报名时间为每周六。\n3.皇帝的任期为一周，周六早上5点自动卸任。,,
15,官品,官品,1.官品通过晋升提升，官品越高，解锁的互动越多。\n2.官品会为主角提供属性加成。\n3.俸禄：每日可领取一次，官品越高，基础俸禄越高。所在官品内排名越高，俸禄加成越多。,挑战,1.在自己所在的官品，挑战更高排名的玩家，挑战成功可以获得其排名。每个官品排名前三的玩家可获得当前官品的封号，提供额外的属性加成。\n2.挑战其他官品的玩家，挑战成功会降低其任职点。\n3.每次挑战会消耗5点活力。\n4.在殿试考试当天直至发放皇榜之前，正四品以上的官员无法进行排名挑战。,任职点,1.获得新的官品后，会获得对应的任职点。\n2.当任职点为0时，会从官品降级。,,,,,,
16,密室,玩法,1.每五间密室有首领驻守。\n2.通关前一间密室开启下一间密室。\n3.重置功能：使用重置功能后，关卡向后退十间密室，最低退回至密室一；已经通关的密室开启扫荡功能，使用扫荡功能后，可扫荡至玩家已通关的最深密室。,重置,1.玩家每天1次免费手动重置机会，也可以消耗金饼重置。\n2.VIP等级越高，可重置的次数越多。,,,,,,,,
17,情缘,星星相印,1.等级大于32级的玩家，在红娘处可以查看单身且好感度大于1314的好友。\n2.单身玩家可以发起结缘请求。\n3.被申请好友同意则自动结为情缘。\n4.需要开启府邸后才能进行星星相印。,情缘福利,1.情缘玩家的府邸收藏进度将根据双方收藏总量计算，且拥有对方家具的使用权，无所有权。\n2.府邸宴会开启时，默认双方共同开启。\n3.结为情缘后，可以好感度将变为恩爱度。,天涯陌路,1.玩家主动断绝情缘关系需要消耗1000金饼。\n2.断缘后，玩家的府邸将重新分离，不再享受收藏值福利，且家具使用权分离。\n3.结缘后24小时内无法执行天涯陌路。,心有灵犀,1.每日结缘双方可获得10题填空。\n2.题目中标红部分为对方需要的答案。\n3.每答一题将双方获得10份星屑保底奖励。\n4.答对将额外获得1份星魂奖励。,鸾凤和鸣,1.每日每个结缘玩家进入将获得5次获得奖励的机会。\n2.在规定时限内，两人同时完成规定的目标动作即算完成。\n3.完成后将随机获得光环觉醒、淬炼的道具——鸾羽及凤灵。\n4.每个玩家每日最多可获得5次奖励。\n5.断线及提前离场，将中止活动，请保持网络畅通。,红鸾星魂,1.首次结缘后玩家将激活红鸾星魂。\n2.红鸾星魂可以通过星屑、星魂两种道具进行升级，每次升级消耗对应10份资源。\n3.玩家每个自然日可进行10次升级。\n4.升级时，有15%概率获得双倍经验，5%概率获得三倍经验。\n5.红鸾星魂每超过整10级，可以获得一次觉醒机会。首次觉醒时根据重数消耗逐渐递增。觉醒后可通过洗练重置属性。\n6.根据属性品质将获得不同的评语。
18,花魂,概述,1.玩家穿戴花魂套装可以激发强力花魂技能。不同花魂套装激活技能所需的套装件数不同。\n2.激发多套技能时，可以同时享有所有技能效果；同时可以自由选择展示的花魂动画。但是相同的花魂技能无法重复触发。\n3.通过吞噬花魂，可以强化花魂等级。蓝色，紫色，金色品质的花魂无法作为强化材料。\n4.花魂每强化满10级可以突破花魂的品质。品质突破后除了等级上限提高，还会获得珍贵副属性。突破之前溢出的经验将会在突破后继承。\n5.花魂的评分代表着副属性的强力程度。\n6.分解花魂可以获得各个品质的花蕾；品质越高的花魂，分解获得的花蕾越多。分解花魂，会根据花魂的经验值，返还强化材料。\n7.集齐指定数量的花蕾，可以在育花界面获得随机新的花魂。,花架,1.当玩家给伙伴穿戴好花魂后，点击花架按钮，可以保存本次穿戴方案。之后，可以直接在花架中修改该方案的内容。\n2.花架保存好的方案，可以给其他伙伴使用。\n3.花架中最多能保存99套方案。,洗练,1.当花魂达到金色品质后，玩家可以洗练花魂。每次洗练后，玩家可以手动选择是否保存。\n2.洗练仅改变花魂副属性的数值，不会改变副属性的词缀。\n3.玩家每次洗练可以花费金饼锁定一条副属性，被锁定的副属性该次洗练不会发生变化。,,,,,,
19,宴会,宴会,1.玩家可以举办中午12:00-13:30，以及晚上19:00-20:30的半点和整点的宴会。举办宴会需要消耗菜肴和名流请帖。举办后，宴会到指定时间会自动召开。\n2.玩家也可以选择去预约参加好友的宴会，或者预约参加陌生人的宴会。无论是预约还是参加，都要消耗邀请函。\n3.在宴会开始前五分钟，玩家即可入场；宴会结束后五分钟，玩家可以停留在宴会内。\n4.玩家积极参与宴会可获得活跃度和气氛值。\n5.气氛值决定了宴会最终可以兑换的道具种类，以及天降祥瑞环节的奖励，活跃度决定每名玩家自己可以兑换的道具数量。\n6.宴会的举办者，在宴会结束后，将根据宴会最终的气氛值，获得大量的银币和邀请函。\n7.宴会每天有参与次数限制，如果次数不足将无法举办宴会。\n8.具体的宴会玩法，可以在宴会内部看到说明。,连连看,1.玩家在连连看中选择连线次数少于等于3次的两个相同方块可以进行消除。\n2.在规定时间内消除所有方块后可以获得大量的活跃度和气氛值。\n3.在规定时间内消除失败的可以获得少量的活跃度和气氛值。,神秘画卷,1.玩家在宴会中找到神秘画卷，将其复原。\n2.每次可以选中一个方块，与相邻的方块进行交换。\n3.在规定时间内复原失败可以获得少量的活跃度和气氛值。,,,,,,
20,尚衣署,制作,1.在尚衣署主界面点击制作按钮，进入时装制作界面。\n2.制作时装的条件为：玩家达到的最高官品、不同的时装制作材料和游戏内货币。\n3.每件时装永久只能制作一次。,强化,1.在尚衣署主界面点击强化按钮或在已拥有的时装信息窗口上点击强化按钮，进入时装强化界面。\n2.时装强化后，时装属性和战斗属性都将得到提升。\n3.所有时装的强化等级上限为10级。\n4.首饰无法进行强化。,继承,1.在尚衣署主界面点击继承按钮，进入时装继承界面。\n2.时装继承分为被继承时装和继承时装。继承成功后，被继承时装的强化等级将回到1级，继承时装将获得被继承时装的全部强化经验。\n3.时装继承默认继承50%的经验，使用特殊道具后，可以继承100%的强化经验。\n4.强化等级为1的时装无法被继承。,,,,,,
