id,first_name,second_name,chapters,chapters,chapters,red,blue,big_image,small_image,type
1003,李敏峰,李敏峰,70001,70002,70003,,,ui/liezhuan/liechuan_3,liezhuan3,AT_LIEZHUAN
1004,李萧然,李萧然,60001,60002,60003,,,ui/liezhuan/liechuan_4,liezhuan4,AT_LIEZHUAN
1005,拓跋康,拓跋康,100001,100002,100003,,,ui/liezhuan/liezhuan3a,liezhuan11,AT_LIEZHUAN
1006,太子妃,太子妃,40001,40002,40003,,,ui/liezhuan/liechuan_8,liezhuan8,AT_LIEZHUAN
1007,叱云柔,叱云柔,10001,10002,10003,,,ui/liezhuan/liechuan_5,liezhuan5,AT_LIEZHUAN
1008,君桃,君桃,110001,110002,110003,,,ui/liezhuan/liezhuan1a,liezhuan9,AT_LIEZHUAN
1009,高月离,高月离,50001,50002,50003,,,ui/liezhuan/liechuan_7,liezhuan7,AT_LIEZHUAN
1010,拓跋瑾,拓跋瑾,80001,80002,80003,,,ui/liezhuan/liechuan_1,liezhuan1,AT_LIEZHUAN
1011,拓跋余,拓跋余,90001,90002,90003,,,ui/liezhuan/liezhuan2a,liezhuan10,AT_LIEZHUAN
1012,李敏德,李敏德,120001,120002,120003,,,ui/liezhuan/liezhuan4a,liezhuan12,AT_LIEZHUAN
10001,为爱而逝,为爱而逝,1001,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10002,鲁莽拒绝,鲁莽拒绝,1002,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10003,窃取玉佩,窃取玉佩,1003,1004,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10004,外子之灾,外子之灾,1005,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10005,巫蛊邪术,巫蛊邪术,1006,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10006,七夕乞巧,七夕乞巧,1007,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10007,噬魂毒香,噬魂毒香,1008,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10008,丫鬟遇险,丫鬟遇险,1009,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10009,花事未央,花事未央,1010,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10010,外戚入京,外戚入京,1011,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10011,指婚之祸,指婚之祸,1012,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10012,身份疑云,身份疑云,1013,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10013,锦绣霓裳,锦绣霓裳,1014,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10014,初显锋芒,初显锋芒,1015,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10015,茕茕白兔,茕茕白兔,1016,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10016,归隐山水,归隐山水,1017,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10017,朱砂劫,朱砂劫,1018,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10018,问剑草庐,问剑草庐,1019,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
10019,风满楼,风满楼,1020,,,,,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHIXIAN
