id,name,desc,icon,quality,stack_count,type,use_conditions.conditions.type,use_conditions.conditions.arg,use_conditions.conditions.arg,use_conditions.conditions.type,use_conditions.conditions.arg,use_conditions.conditions.arg,max_use_count,use_events.events.type,use_events.events.arg,use_events.events.arg,use_events.events.type,use_events.events.arg,use_events.events.arg,target_events.events.type,target_events.events.arg,target_events.events.arg,sell_events.events.type,sell_events.events.arg,sell_events.events.arg,direct_use,tags,origins,origins,origins,origins,buy_desc,everyday_use_count
25,南柯令,看荣华眨眼般疾，更疾如南柯一梦。用于良等伙伴重生。,icon/item/rebirthicon_1,3,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,5,,,,,
26,黄粱令,黄粱一梦终须醒，无根无极本归尘。用于佳等伙伴重生。,icon/item/rebirthicon_2,4,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,5,,,,,
27,梦蝶令,庄生晓梦迷蝴蝶，望帝春心托杜鹃。用于绝等伙伴重生。,icon/item/rebirthicon_3,5,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,5,,,,,
28,百花令,一花独开不是春。,icon/resource/mingpai,5,999,ITEM,COST_ITEM,28,1,RESOURCE_NOT_REACH_MAX,MING_PAI,,,ADD_RESOURCE,MING_PAI,1,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
32,史书注释,文人墨客对史书的注释，用于伙伴学识提高，可以帮助伙伴解读《资治通鉴》。,icon/item/book_mengzi,2,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,8,9,,,
33,史书详解,状元进士对史书的详解，用于伙伴学识提高，可以帮助伙伴解读《通鉴辑览》。,icon/item/book_lunyu,3,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,8,198,221,,
34,史书精解,宰相权臣对史书的精解，用于伙伴学识提高，可以帮助伙伴解读《纲鉴易知录》。,icon/item/book_zonggang,4,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,8,198,221,,
35,史书全译,帝师大儒对史书的全译，用于伙伴学识提高，可以帮助伙伴解读《史论》。,icon/item/lianbuicon9,5,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,8,198,221,,
36,兵书注释,队长伍长对兵书的注释，用于伙伴学识提高，可以帮助伙伴解读《孙子兵法》。,icon/item/book_daxue,2,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,8,9,,,
37,兵书详解,边关将领对兵书的详解，用于伙伴学识提高，可以帮助伙伴解读《孙子兵法》。,icon/item/book_zhongyang,3,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,8,198,221,,
38,兵书精解,元帅将军对兵书的精解，用于伙伴学识提高，可以帮助伙伴解读《六韬》。,icon/item/daoju_60,4,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,8,198,221,,
39,兵书全译,军神大能对兵书的全译，用于伙伴学识提高，可以帮助伙伴解读《司马法》。,icon/item/daoju_59,5,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,8,198,221,,
40,医书注释,游方术士对医书的注释，用于伙伴学识提高，可以帮助伙伴解读《皇帝内经》。,icon/item/daoju_61,2,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,8,9,,,
41,医书详解,民间老中医对医书的详解，用于伙伴学识提高，可以帮助伙伴解读《难经》。,icon/item/daoju_54,3,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,8,198,221,,
42,医书精解,太医圣手对医书的精解，用于伙伴学识提高，可以帮助伙伴解读《伤寒论》。,icon/item/daoju_56,4,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,8,198,221,,
43,医书全译,神医仙手对医书的全译，用于伙伴学识提高，可以帮助伙伴解读《神农本草》。,icon/item/lianbuicon10,5,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,8,198,221,,
50,诰命,皇帝封赠官员的专用文书，可用于伙伴诰封，提高伙伴的官品。,icon/item/icon1_gaoming,3,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,7,198,327,,
51,雁翎刀,因形似雁翎而得名，在封地中讨伐山贼、或家族皇都风云中教训惹事者获得，可用于伙伴诰封。,icon/item/icon1_yanlingdao,3,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,7,194,218,,
52,杏黄旗,黄色的小旗子，用于传令，在封地中讨伐山贼、家族皇都风云中教训惹事者获得，可用于伙伴诰封。,icon/item/icon_xinghuangqi,4,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,7,194,218,,
53,山贼财宝,山贼搜刮民脂民膏的证据，在封地中讨伐山贼、家族皇都风云中教训惹事者获得，可用于伙伴诰封。,icon/item/icon1_shanzeicaibao,5,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,7,194,218,,
54,锦船帆,海盗船上的船帆，在封地中讨伐海盗、或家族皇都风云中教训惹事者获得，可用于伙伴诰封。,icon/item/icon1_jinchuanfan,3,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,7,190,218,,
55,银月锚,海盗船上的船锚，在封地中讨伐海盗、或家族皇都风云中教训惹事者获得，可用于伙伴诰封。,icon/item/icon1_yinyuemao,4,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,7,190,218,,
56,神秘海图,大海盗携带的神秘藏宝图，在封地中讨伐海盗、或家族皇都风云中教训惹事者获得，可用于伙伴诰封。,icon/item/icon1_shenmihaitu,5,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,7,190,218,,
57,木战鼓,蛮族振奋士气用的战鼓，在封地中讨伐蛮族、或家族皇都风云中教训惹事者获得，可用于伙伴诰封。,icon/item/icon1_muzhangu,3,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,7,196,218,,
58,虎皮衣,蛮族中将领穿戴的衣物，在封地中讨伐蛮族、或家族皇都风云中教训惹事者获得，可用于伙伴诰封。,icon/item/icon1_hupiyi,4,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,7,196,218,,
59,祭祀神像,蛮族中的信仰神物，在封地中讨伐蛮族、或家族皇都风云中教训惹事者获得，可用于伙伴诰封。,icon/item/icon1_jisishenxiang,5,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,7,196,218,,
60,玲珑枪,叛军的制式武器，在封地中讨伐叛军、或家族皇都风云中教训惹事者获得，可用于伙伴诰封。,icon/item/icon1_linglongqiang,3,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,7,192,218,,
61,铜狮甲,叛军头目的盔甲，在封地中讨伐叛军、或家族皇都风云中教训惹事者获得，可用于伙伴诰封。,icon/item/icon1_tongshijia,4,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,7,192,218,,
62,叛军虎符,叛军将军的信物，在封地中讨伐叛军、或家族皇都风云中教训惹事者获得，可用于伙伴诰封。,icon/item/icon1_hufu,5,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,55,7,192,218,,
79,绿色花蕾,生机勃勃的花蕾，集齐5个就可在育花界面合成绿色的随机花魂。,icon/item/icon_lvsehuahun,2,999,OTHER_SYSTEM,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,208,219,,,,
80,蓝色花蕾,星辰之力孕育的蓝色花蕾，集齐10个就可在育花界面合成蓝色的花魂。,icon/item/icon_lansehuahun,3,999,OTHER_SYSTEM,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,208,219,,,,
81,紫色花蕾,鸿蒙紫气孕育的紫色花蕾，集齐15个就可在育花界面合成紫色的花魂。,icon/item/icon_zisehuahun,4,999,OTHER_SYSTEM,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,208,219,,,,
82,金色花蕾,天道规则孕育的金色花蕾，集齐20个就可在育花界面合成金色的花魂。,icon/item/icon_jinsehuahun,5,999,OTHER_SYSTEM,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,208,219,,,,
83,甘露,夜间吸收星辰之力后获得的露水，被有心之人收集制成，绿色花魂突破至蓝色花魂必不可少的道具。,icon/item/icon_huawenping,3,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,56,8,219,218,,
84,仙柳露,仙柳吸收鸿蒙紫气千年获得的露水，经道士精心炼制而成，蓝色花魂突破至紫色花魂必不可少的道具。,icon/item/icon_feicuiping,4,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,56,8,219,218,,
85,天山玉露,天山玉石于天道下万年产生的仙酿，紫色花魂突破橙色花魂必不可少的道具。,icon/item/icon_tianxianyulu,5,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,56,8,219,218,,
86,单服喇叭,服务器喊话道具，使用后该服务器所有人的中间会显示喊话内容。,icon/item/laba_diji,4,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,5,,,,,
87,跨服喇叭,服务器喊话道具，使用后所有服务器所有人的左侧会显示喊话内容。,icon/item/laba_gaoji,5,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,5,,,,,
88,功勋簿,记载着大量功勋的册子，使用后获得20个诰命。,icon/item/lingpai_xiangjin3,4,999,ITEM,COST_ITEM,88,1,,,,99,ADD_ITEM,50,20,,,,,,,ADD_RESOURCE,GOLD,100,True,,218,,,,,
89,食盒,里面有各式各样的美味菜肴，具体你能吃到哪个就看你的运气了。,icon/item/icon_dishbox,5,999,ITEM,COST_ITEM,89,1,,,,10,DROP,60002,5,,,,,,,ADD_RESOURCE,GOLD,100,True,,5,,,,,
90,御赐信物荷包,里面藏有大魏名士的信物。,icon/item/giftbox_3,5,999,ITEM,COST_ITEM,90,1,,,,10,DROP,16000,1,,,,,,,ADD_RESOURCE,GOLD,100,True,,215,,,,,
91,花魂突破荷包,神秘的荷包，可以里面开出甘露、仙柳露、天山玉露其中一种。,icon/item/fengyuhebao,5,999,ITEM,COST_ITEM,91,1,,,,99,DROP,50008,1,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
92,学识礼包,可以从蓝色、紫色、橙色学识书籍中获得三本。,icon/item/giftbox_xueshi,4,999,ITEM,COST_ITEM,92,1,,,,99,DROP,50009,3,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
93,烟花礼盒,可以获得普通烟花、精致烟花、豪华烟花其中之一。,icon/item/giftbox_jingshi,4,999,ITEM,COST_ITEM,93,1,,,,99,DROP,50010,1,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
94,星魂礼盒,打开可以获得100份星魂。,icon/item/giftbox_4,4,999,ITEM,COST_ITEM,94,1,,,,99,ADD_RESOURCE,STAR_SOUL,100,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
95,月钱荷包,打开获得100个月钱。,icon/item/fengyuhebao,5,999,ITEM,COST_ITEM,95,1,,,,99,ADD_RESOURCE,MANSION_FURNITURE_COIN,100,,,,,,,ADD_RESOURCE,GOLD,100,True,,52,54,,,,
96,次周礼包(男),七日活动中积分累计足够而获得的时装礼包，打开后获得繁星套装。,icon/item/giftbox_2,5,2,ITEM,COST_ITEM,96,1,,,,,DROP,32003,1,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
97,次周礼包(女),七日活动中积分累计足够而获得的时装礼包，打开后获得繁星套装。,icon/item/giftbox_2,5,2,ITEM,COST_ITEM,97,1,,,,,DROP,32004,1,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
98,花魂养成礼包(大),使用后必定获得5个花晶石，有一定几率额外获得1个花晶簌。可用于花魂强化。,icon/item/giftbox_6,5,999,ITEM,COST_ITEM,98,1,,,,10,DROP,50012,5,DROP,50013,1,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
99,美梦成真,将美好的心愿变成现实，由尚衣署的创始人为名门望族定制。在尚衣署的继承界面使用后，可以继承全部的服装经验。,icon/item/icon_meimengchengzhen,5,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,5,,,,,
101,李敏德信物,我有风中白玉笛，悠悠醉人心。赠送给绝等伙伴李敏德的信物。,icon/xinwu/xinwu_liminde,5,999,ACTOR_FRAGMENT,COST_ITEM,101,1,,,,,CHANGE_ACTOR_INTIMACY,101,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,214,8,400,,
102,拓跋浚信物,有龙纹宝剑，持于龙子，不怒自威。赠送给绝等伙伴拓跋浚的信物。,icon/xinwu/xinwu_tuobajun,5,999,ACTOR_FRAGMENT,COST_ITEM,102,1,,,,,CHANGE_ACTOR_INTIMACY,102,5,,,,,,,ADD_RESOURCE,GOLD,100,,,60001,400,,,,
103,拓跋余信物,玉树临风，杀人于无形。赠送给绝等伙伴拓跋余的信物。,icon/xinwu/xinwu_tuobayu,5,999,ACTOR_FRAGMENT,COST_ITEM,103,1,,,,,CHANGE_ACTOR_INTIMACY,103,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,214,60001,,,
104,高月离信物,最锋利的匕首，才配最风光的女人。赠送给绝等伙伴高月离的信物。,icon/xinwu/xinwu_chiyunyan,5,999,ACTOR_FRAGMENT,COST_ITEM,104,1,,,,,CHANGE_ACTOR_INTIMACY,104,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,214,20008,60001,,
105,拓跋瑾信物,越是脆弱的乐器，声音越美。赠送给绝等伙伴拓跋瑾的信物。,icon/xinwu/xinwu_tuobajin,5,999,ACTOR_FRAGMENT,COST_ITEM,105,1,,,,,CHANGE_ACTOR_INTIMACY,105,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,214,20004,60001,,
106,李长乐信物,桃花盛开时，你能想到谁？赠送给绝等伙伴李长乐的信物。,icon/xinwu/xinwu_lichangle,5,999,ACTOR_FRAGMENT,COST_ITEM,106,1,,,,,CHANGE_ACTOR_INTIMACY,106,5,,,,,,,ADD_RESOURCE,GOLD,100,,,60001,400,,,,
107,李常茹信物,出淤泥不染，濯清涟不妖。赠送给绝等伙伴李常茹的信物。,icon/xinwu/xinwu_lichangru,5,999,ACTOR_FRAGMENT,COST_ITEM,107,1,,,,,CHANGE_ACTOR_INTIMACY,107,5,,,,,,,ADD_RESOURCE,GOLD,100,,,60001,400,,,,
108,拓跋迪信物,能文能武，才是完美的女人。赠送给绝等伙伴拓跋迪的信物。,icon/xinwu/xinwu_tuobadi,5,999,ACTOR_FRAGMENT,COST_ITEM,108,1,,,,,CHANGE_ACTOR_INTIMACY,108,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,214,60001,,,
109,李未央信物,王者，在最残酷的环境下盛开，绽放。赠送给绝等伙伴李未央的信物。,icon/xinwu/xinwu_liweiyang,5,999,ACTOR_FRAGMENT,COST_ITEM,109,1,,,,,CHANGE_ACTOR_INTIMACY,109,5,,,,,,,ADD_RESOURCE,GOLD,100,,,60001,400,,,,
110,叱云南信物,力量，欲望，鲜血，只要有了这把剑，何难之有。赠送给绝等伙伴叱云南的信物。,icon/xinwu/xinwu_chiyunnan,5,999,ACTOR_FRAGMENT,COST_ITEM,110,1,,,,,CHANGE_ACTOR_INTIMACY,110,5,,,,,,,ADD_RESOURCE,GOLD,100,,,60001,400,,,,
201,拓跋知信物,“君子动口不动手，不如来和我对诗一首如何？”赠送给佳等伙伴拓跋知的信物。,icon/xinwu/xinwu_tuobazhi,4,999,ACTOR_FRAGMENT,COST_ITEM,201,1,,,,,CHANGE_ACTOR_INTIMACY,201,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,212,60001,,,
202,拓跋翰信物,“不要抑制自己的天性。”赠送给绝等伙伴拓跋翰的信物。,icon/xinwu/xinwu_tuobahan,5,999,ACTOR_FRAGMENT,COST_ITEM,202,1,,,,,CHANGE_ACTOR_INTIMACY,202,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,214,60001,,,
203,拓跋康信物,“月光照，百花香，花酒数杯不平身，身影袭花花自落。”赠送给绝等伙伴拓跋康的信物。,icon/xinwu/xinwu_tuobakang,5,999,ACTOR_FRAGMENT,COST_ITEM,203,1,,,,,CHANGE_ACTOR_INTIMACY,203,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,214,60001,,,
204,李常喜信物,“身为小姐，自然要有个小姐的样子。”赠送给佳等伙伴李常喜的信物。,icon/xinwu/xinwu_lichangxi,4,999,ACTOR_FRAGMENT,COST_ITEM,204,1,,,,,CHANGE_ACTOR_INTIMACY,204,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,212,60001,,,
205,李常悦信物,从这匹丝绸的质地看来，制作之人，细心又耐心。赠送给佳等伙伴李常悦的信物。,icon/xinwu/xinwu_lichangyue,4,999,ACTOR_FRAGMENT,COST_ITEM,205,1,,,,,CHANGE_ACTOR_INTIMACY,205,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,212,60001,,,
206,叱云柔信物,高贵、优雅、权势，叱云夫人是也。赠送给绝等伙伴叱云柔的信物。,icon/xinwu/xinwu_chiyunrou,5,999,ACTOR_FRAGMENT,COST_ITEM,206,1,,,,,CHANGE_ACTOR_INTIMACY,206,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,214,20007,60001,,
207,叱云海信物,“视尔友君子，辑柔尔颜，不遐有愆。”赠送给佳等伙伴叱云海的信物。,icon/xinwu/xinwu_chiyunhai,4,999,ACTOR_FRAGMENT,COST_ITEM,207,1,,,,,CHANGE_ACTOR_INTIMACY,207,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,212,60001,,,
208,叱云华信物,“倚醉横官道，携书卧帝京。”赠送给佳等伙伴叱云华的信物。,icon/xinwu/xinwu_chiyunhua,4,999,ACTOR_FRAGMENT,COST_ITEM,208,1,,,,,CHANGE_ACTOR_INTIMACY,208,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,212,60001,,,
209,叱云天信物,“春禽喈喈旦暮鸣。最伤君子忧思情。我初辞家从军侨。荣志溢气干云霄。”赠送给佳等伙伴叱云天的信物。,icon/xinwu/xinwu_chiyuntian,4,999,ACTOR_FRAGMENT,COST_ITEM,209,1,,,,,CHANGE_ACTOR_INTIMACY,209,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,212,20003,60001,,
210,李敏峰信物,“我最爱宝贝，你们还不快去拿些宝贝来见我”赠送给佳等伙伴李敏峰的信物。,icon/xinwu/xinwu_liminfeng,4,999,ACTOR_FRAGMENT,COST_ITEM,210,1,,,,,CHANGE_ACTOR_INTIMACY,210,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,212,20002,60001,,
211,李萧然信物,“美玉存于万世，不随时日流转，亦永不衰败落幕。”赠送给佳等伙伴李萧然的信物。,icon/xinwu/xinwu_lixiaoran,4,999,ACTOR_FRAGMENT,COST_ITEM,211,1,,,,,CHANGE_ACTOR_INTIMACY,211,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,212,20006,60001,,
212,太子妃信物,“云外凤凰箫。天上星桥。相思魂断欲谁招。”赠送给绝等伙伴太子妃的信物。,icon/xinwu/xinwu_taizifei,5,999,ACTOR_FRAGMENT,COST_ITEM,212,1,,,,,CHANGE_ACTOR_INTIMACY,212,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,214,20005,60001,,
213,吕昭仪信物,“唯有牡丹真国色，花开时节动京城。”赠送给佳等伙伴吕昭仪的信物。,icon/xinwu/xinwu_lvzhaoyi,4,999,ACTOR_FRAGMENT,COST_ITEM,213,1,,,,,CHANGE_ACTOR_INTIMACY,213,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,212,60001,,,
214,周氏信物,虽是些胭脂俗粉，但是少了它们，美丽就欠缺一分。赠送给佳等伙伴周氏的信物。,icon/xinwu/xinwu_zhoushi,4,999,ACTOR_FRAGMENT,COST_ITEM,214,1,,,,,CHANGE_ACTOR_INTIMACY,214,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,212,60001,,,
215,温氏信物,“女人除了要有一张体体面面的脸，漂亮的头发也非常非常重要。”赠送给佳等伙伴温氏的信物。,icon/xinwu/xinwu_wenshi,4,999,ACTOR_FRAGMENT,COST_ITEM,215,1,,,,,CHANGE_ACTOR_INTIMACY,215,5,,,,,,,ADD_RESOURCE,GOLD,100,,,615,212,60001,,,
