id,on_add.content,on_add.expression,on_remove.content,on_remove.expression,on_skillin.content,on_skillin.expression,on_skillout.content,on_skillout.expression,on_damagein.content,on_damagein.expression,on_damageout.content,on_damageout.expression,on_healin.content,on_healin.expression,on_healout.content,on_healout.expression,on_attackin.content,on_attackin.expression,on_buffin.content,on_buffin.expression,on_turn.content,on_turn.expression,on_turn_end.content,on_turn_end.expression,on_killout.content,on_killout.expression,on_killin.content,on_killin.expression,on_round.content,on_round.expression,on_roundend.content,on_roundend.expression,on_boomin.content,on_boomin.expression,on_boomout.content,on_boomout.expression,on_reviveout.content,on_reviveout.expression,on_revivein.content,on_revivein.expression,on_dodgein.content,on_dodgein.expression,on_dodgeout.content,on_dodgeout.expression
7002201,,,,,,,,,,,,,,,,,,,,,主人我来帮你！,,,,,,,,,,,,,,,,,,,,,,,
7002301,,,,,,,,,,,,,,,,,,,,,敢惹我主子？,,,,,,,,,,,,,,,,,,,,,,,
7002401,,,,,,,,,,,,,,,,,,,,,接我一招！,,,,,,,,,,,,,,,,,,,,,,,
7002501,,,,,,,,,,,,,,,,,,,,,敢挡在我叱云家面前？,,,,,,,,,,,,,,,,,,,,,,,
7002601,,,,,,,,,,,,,,,,,,,,,敢挡在我叱云家面前？,,,,,,,,,,,,,,,,,,,,,,,
7002701,,,,,,,,,,,,,,,,,,,,,自不量力。,,,,,,,,,,,,,,,,,,,,,,,
7002801,,,,,,,,,,,,,,,,,,,,,敢挡在我叱云家面前？,,,,,,,,,,,,,,,,,,,,,,,
7002901,,,,,,,,,,,,,,,,,,,,,贱婢就是贱婢。,,,,,,,,,,,,,,,,,,,,,,,
7003001,,,,,,,,,,,,,,,,,,,,,臭小子皮痒痒了！,,,,,,,,,,,,,,,,,,,,,,,
7003101,,,,,,,,,,,,,,,,,,,,,让君桃保护你！,,,,,,,,,,,,,,,,,,,,,,,
7003201,,,,,,,,,,,,,,,,,,,,,自不量力的鼠辈！,,,,,,,,,,,,,,,,,,,,,,,
7003301,,,,,,,,,,,,,,,,,,,,,吃了狼心豹子胆！,,,,,,,,,,,,,,,,,,,,,,,
7003401,,,,,,,,,,,,,,,,,,,,,放肆！,,,,,,,,,,,,,,,,,,,,,,,
7003501,,,,,,,,,,,,,,,,,,,,,能接下我一招么！,,,,,,,,,,,,,,,,,,,,,,,
7003601,,,,,,,,,,,,,,,,,,,,,谁敢伤我。,,,,,,,,,,,,,,,,,,,,,,,
7003701,,,,,,,,,,,,,,,,,,,,,贱婢就是贱婢。,,,,,,,,,,,,,,,,,,,,,,,
7003801,,,,,,,,,,,,,,,,,,,,,哪里来的下人！,,,,,,,,,,,,,,,,,,,,,,,
7003901,,,,,,,,,,,,,,,,,,,,,哪里来的下人！,,,,,,,,,,,,,,,,,,,,,,,
7004001,,,,,,,,,,,,,,,,,,,,,道即是真。,,,,,,,,,,,,,,,,,,,,,,,
7004101,,,,,,,,,,,,,,,,,,,,,道即是理。,,,,,,,,,,,,,,,,,,,,,,,
7004201,,,,,,,,,,,,,,,,,,,,,不会让你伤害主人！,,,,,,,,,,,,,,,,,,,,,,,
7004301,,,,,,,,,,,,,,,,,,,,,衣着不凡，这个肯定就是将军在找的人！,,,,,,,,,,,,,,,,,,,,,,,
7004401,,,,,,,,,,,,,,,,,,,,,拿了赏赐，哥几个好好出去乐乐。,,,,,,,,,,,,,,,,,,,,,,,
7004501,,,,,,,,,,,,,,,,,,,,,叱云南，我劝你们趁早收手。,,,,,,,,,,,,,,,,,,,,,,,
7004601,,,,,,,,,,,,,,,,,,,,,殿下莫怕，我来助您！,,,,,,,,,,,,,,,,,,,,,,,
7004701,,,,,,,,,,,,,,,,,,,,,我、我必须要保护主人！,,,,,,,,,,,,,,,,,,,,,,,
7004801,,,,,,,,,,,,,,,,,,,,,高阳王殿下，您何必要插手此事呢？,,,,,,,,,,,,,,,,,,,,,,,
7004901,,,,,,,,,,,,,,,,,,,,,既然执迷不悟，那可别怪我不留情面！,,,,,,,,,,,,,,,,,,,,,,,
7005001,,,,,,,,,,,,,,,,,,,,,哼！只要我在，就不允许你们胡作非为！,,,,,,,,,,,,,,,,,,,,,,,
7005101,,,,,,,,,,,,,,,,,,,,,哼！徒劳的抵抗罢了！,,,,,,,,,,,,,,,,,,,,,,,
7005201,,,,,,,,,,,,,,,,,,,,,尝尝这个吧！ ,,,,,,,,,,,,,,,,,,,,,,,
7500100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,过了今晚，这世上就没有河西王府了！,,,,,,,,,,,,,,,
7500200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,敢违抗大夫人意思！,,,,,,,,,,,,,,,
7500300,,,,,,,,,,,,,,,,,,,,,反了你了！,,,,,,,,,,,,,,,,,,,,,,,
7500400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不教训你一下，你还不上天了！,,,,,,,,,,,,,,,
7500500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大夫人说了，谁都不准进去！,,,,,,,,,,,,,,,
7500600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,敢违抗大夫人？,,,,,,,,,,,,,,,
7500700,,,,,,,,,,,,,,,,,,,,,给我打！,,,,,,,,,,,,,,,,,,,,,,,
7500800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,反了你了，都给我上啊！,,,,,,,,,,,,,,,
7500900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,就这点银子，没门！,,,,,,,,,,,,,,,
7501000,,,,,,,,,,,,,,,,,,,,,哥几个教训教训他们！,,,,,,,,,,,,,,,,,,,,,,,
7501100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,哥几个一起上啊！,,,,,,,,,,,,,,,
7501200,,,,,,,,,,,,,,,,,,,,,还挺有两下子。,,,,,,,,,,,,,,,,,,,,,,,
7501300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,什么人，鬼鬼祟祟的！,,,,,,,,,,,,,,,
7501400,,,,,,,,,,,,,,,,,,,,,抓起来！,,,,,,,,,,,,,,,,,,,,,,,
7501500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,奇装异服府内晃荡，抓起来！,,,,,,,,,,,,,,,
7501600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大家一起上啊，抓起来！,,,,,,,,,,,,,,,
7501700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,代大少爷来领教功夫！,,,,,,,,,,,,,,,
7501800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我亲自领教领教！,,,,,,,,,,,,,,,
7501900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大夫人有令，抓起来！,,,,,,,,,,,,,,,
7502000,,,,,,,,,,,,,,,,,,,,,抓起来，带走！,,,,,,,,,,,,,,,,,,,,,,,
7502100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,弑母的贼子，哪里跑！,,,,,,,,,,,,,,,
7502200,,,,,,,,,,,,,,,,,,,,,还敢还手！,,,,,,,,,,,,,,,,,,,,,,,
7502300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,给我狠狠的打！,,,,,,,,,,,,,,,
7502400,,,,,,,,,,,,,,,,,,,,,哎哟，还敢还手！,,,,,,,,,,,,,,,,,,,,,,,
7502500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,兄弟们一起上啊！,,,,,,,,,,,,,,,
7502600,,,,,,,,,,,,,,,,,,,,,往死里打！,,,,,,,,,,,,,,,,,,,,,,,
7502700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竟然躲在这里！,,,,,,,,,,,,,,,
7502800,,,,,,,,,,,,,,,,,,,,,给我狠狠的打！,,,,,,,,,,,,,,,,,,,,,,,
7502900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不好对付，大家一起上！,,,,,,,,,,,,,,,
7503000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大小姐有令，狠狠教训你！,,,,,,,,,,,,,,,
7503100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,老爷有令，狠狠教训你！,,,,,,,,,,,,,,,
7503200,,,,,,,,,,,,,,,,,,,,,还敢还手！,,,,,,,,,,,,,,,,,,,,,,,
7503300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不好对付，大家一起上！,,,,,,,,,,,,,,,
7503400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,看来要我亲自教育你了！,,,,,,,,,,,,,,,
7503500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,出言不逊，冒犯皇上！,,,,,,,,,,,,,,,
7503600,,,,,,,,,,,,,,,,,,,,,给我抓起来！,,,,,,,,,,,,,,,,,,,,,,,
7503700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,冲撞圣上，该当何罪！,,,,,,,,,,,,,,,
7503800,,,,,,,,,,,,,,,,,,,,,给我拿下！,,,,,,,,,,,,,,,,,,,,,,,
7503900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不好对付，都给我上！,,,,,,,,,,,,,,,
7504000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,打劫！,,,,,,,,,,,,,,,
7504100,,,,,,,,,,,,,,,,,,,,,把钱都交出来！,,,,,,,,,,,,,,,,,,,,,,,
7504200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,哎哟，还挺厉害。,,,,,,,,,,,,,,,
7504300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,兄弟们一起上啊！,,,,,,,,,,,,,,,
7504400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,殿下有令，把你带走！,,,,,,,,,,,,,,,
7504500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,反抗只会给自己找罪受！,,,,,,,,,,,,,,,
7504600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,还挺难缠，一起上！,,,,,,,,,,,,,,,
7504700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,哪跑来的，干掉他！,,,,,,,,,,,,,,,
7504800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,别怪我们不客气了！,,,,,,,,,,,,,,,
7504900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,兄弟们一起上！,,,,,,,,,,,,,,,
7505000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不听劝，就别怪我没给你机会了！,,,,,,,,,,,,,,,
7505100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,还挺难对付，大家一起上！,,,,,,,,,,,,,,,
7505200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,啧，必须要给你点颜色瞧瞧！,,,,,,,,,,,,,,,
7505300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大小姐有令，给我打！,,,,,,,,,,,,,,,
7505400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大家一起上，给我打！,,,,,,,,,,,,,,,
7505500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天非教训你不可！,,,,,,,,,,,,,,,
7505600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大少爷有令，抓起来！,,,,,,,,,,,,,,,
7505700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大家一起上，抓起来！,,,,,,,,,,,,,,,
7505800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一定是你谋划的这一切！,,,,,,,,,,,,,,,
7505900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,夫人少爷有令，抓起来！,,,,,,,,,,,,,,,
7506000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大家一起上，抓起来！,,,,,,,,,,,,,,,
7506100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,看我亲自来教训你！,,,,,,,,,,,,,,,
7506200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,胆敢违抗大夫人，抓起来！,,,,,,,,,,,,,,,
7506300,,,,,,,,,,,,,,,,,,,,,抓起来，拖走！,,,,,,,,,,,,,,,,,,,,,,,
7506400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,再敢反抗，家法处置！,,,,,,,,,,,,,,,
7506500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,哪来的不长眼的东西！,,,,,,,,,,,,,,,
7506600,,,,,,,,,,,,,,,,,,,,,给他点颜色瞧瞧！,,,,,,,,,,,,,,,,,,,,,,,
7506700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,兄弟们一起上！,,,,,,,,,,,,,,,
7506800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,给我狠狠的打！,,,,,,,,,,,,,,,
7506900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快和我们走一趟！,,,,,,,,,,,,,,,
7507000,,,,,,,,,,,,,,,,,,,,,说的就是你！,,,,,,,,,,,,,,,,,,,,,,,
7507100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,胆敢反抗？大家一起上！,,,,,,,,,,,,,,,
7507200,,,,,,,,,,,,,,,,,,,,,把他抓起来！,,,,,,,,,,,,,,,,,,,,,,,
7507300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爷看你不顺眼，来教育教育你。,,,,,,,,,,,,,,,
7507400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,还敢还手？,,,,,,,,,,,,,,,
7507500,,,,,,,,,,,,,,,,,,,,,给我打！,,,,,,,,,,,,,,,,,,,,,,,
7507600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,反了反了！,,,,,,,,,,,,,,,
7507700,,,,,,,,,,,,,,,,,,,,,大家一起上啊！,,,,,,,,,,,,,,,,,,,,,,,
7507800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,给你解开锁链了，你倒是跑啊！,,,,,,,,,,,,,,,
7507900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,还敢还手？,,,,,,,,,,,,,,,
7508000,,,,,,,,,,,,,,,,,,,,,给我打！,,,,,,,,,,,,,,,,,,,,,,,
7508100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,啧，兄弟们一起上！,,,,,,,,,,,,,,,
7508200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,你的死期到了。,,,,,,,,,,,,,,,
7508300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一起上，不留活口。,,,,,,,,,,,,,,,
7508400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,抓住这个冒牌货！,,,,,,,,,,,,,,,
7508500,,,,,,,,,,,,,,,,,,,,,竟敢顶撞大小姐！,,,,,,,,,,,,,,,,,,,,,,,
7508600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一起上，抓住他们！,,,,,,,,,,,,,,,
7508700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,死到临头居然还敢狡辩！,,,,,,,,,,,,,,,
7508800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,欺君犯上，该当死罪！,,,,,,,,,,,,,,,
7508900,,,,,,,,,,,,,,,,,,,,,抓住他！,,,,,,,,,,,,,,,,,,,,,,,
7509000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,抓住这个冒牌货！,,,,,,,,,,,,,,,
7509100,,,,,,,,,,,,,,,,,,,,,还敢反抗？,,,,,,,,,,,,,,,,,,,,,,,
7509200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,抓住他，交给皇上处置！,,,,,,,,,,,,,,,
7509300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,把这个冒牌货抓起来！,,,,,,,,,,,,,,,
7509400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大家一起上啊！,,,,,,,,,,,,,,,
7509500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一定是你使的诡计！,,,,,,,,,,,,,,,
7509600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,什么人如此放肆！,,,,,,,,,,,,,,,
7509700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,别追了，我们也是奉命护主。,,,,,,,,,,,,,,,
7509800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,狠狠的打！,,,,,,,,,,,,,,,
7509900,,,,,,,,,,,,,,,,,,,,,让你嚣张！,,,,,,,,,,,,,,,,,,,,,,,
7510000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,别废话，给我打！,,,,,,,,,,,,,,,
7510100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,代九公主来检验你的实力！,,,,,,,,,,,,,,,
7510200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,你们走开，本公主亲自来！,,,,,,,,,,,,,,,
7510300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鬼鬼祟祟的，一看就不是好人！,,,,,,,,,,,,,,,
7510400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,没想到这么能打！,,,,,,,,,,,,,,,
7510500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,兄弟们一起上！,,,,,,,,,,,,,,,
7510600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我家主人想要见你，跟我们走一趟吧。,,,,,,,,,,,,,,,
7510700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,还敢抵抗？,,,,,,,,,,,,,,,
7510800,,,,,,,,,,,,,,,,,,,,,把他带走！,,,,,,,,,,,,,,,,,,,,,,,
7510900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,还是个硬骨头……,,,,,,,,,,,,,,,
7511000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我们不能死在这！,,,,,,,,,,,,,,,
7511100,,,,,,,,,,,,,,,,,,,,,我们要出去！,,,,,,,,,,,,,,,,,,,,,,,
7511200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,打败他们我们就能出去了！,,,,,,,,,,,,,,,
7511300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不放我们出去，就杀了她！,,,,,,,,,,,,,,,
7511400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不要逼我们！,,,,,,,,,,,,,,,
7511500,,,,,,,,,,,,,,,,,,,,,我真的会杀了她！,,,,,,,,,,,,,,,,,,,,,,,
7511600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,殿下有令！,,,,,,,,,,,,,,,
7511700,,,,,,,,,,,,,,,,,,,,,一只苍蝇都不能飞出来！,,,,,,,,,,,,,,,,,,,,,,,
7511800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,展示下你的实力吧！,,,,,,,,,,,,,,,
7511900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,就只有这两下子吗？,,,,,,,,,,,,,,,
7512000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,还有什么别的能耐吗？,,,,,,,,,,,,,,,
7512100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,何人冲撞将军座驾，把他拿下！,,,,,,,,,,,,,,,
7512200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,将军有令，将他带走！,,,,,,,,,,,,,,,
7512300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,将军面前，不得放肆！,,,,,,,,,,,,,,,
7512400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快从将军面前退下！,,,,,,,,,,,,,,,
7512500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,多管闲事的家伙，一起杀了！,,,,,,,,,,,,,,,
7512600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,兄弟们上！,,,,,,,,,,,,,,,
7512700,,,,,,,,,,,,,,,,,,,,,还挺难对付！,,,,,,,,,,,,,,,,,,,,,,,
7512800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,先攻击这个弱的！,,,,,,,,,,,,,,,
7512900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这里就是你的葬身之地！,,,,,,,,,,,,,,,
7513000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大家一起上！,,,,,,,,,,,,,,,
7513100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,先解决这个！,,,,,,,,,,,,,,,
7513200,,,,,,,,,,,,,,,,,,,,,还挺不好对付！,,,,,,,,,,,,,,,,,,,,,,,
7513300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有没有好处，抓住就知道了！,,,,,,,,,,,,,,,
7513400,,,,,,,,,,,,,,,,,,,,,抓住要挟叱云南！,,,,,,,,,,,,,,,,,,,,,,,
7513500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一起上，抓起来！,,,,,,,,,,,,,,,
7513600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,拿钱做事，别怪我无情！,,,,,,,,,,,,,,,
7513700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,今天就是你的死期！,,,,,,,,,,,,,,,
7513800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,教教你怎么做个少爷！,,,,,,,,,,,,,,,
7513900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,刚才还挺横，现在怎么不说话了？,,,,,,,,,,,,,,,
7514000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鬼鬼祟祟的，什么人！,,,,,,,,,,,,,,,
7514100,,,,,,,,,,,,,,,,,,,,,抓住他们！,,,,,,,,,,,,,,,,,,,,,,,
7514200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,别让他们跑了！,,,,,,,,,,,,,,,
7514300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一起上，拿下他们！,,,,,,,,,,,,,,,
7514400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大小姐说了，要抓活的！,,,,,,,,,,,,,,,
7514500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,看你还往哪里逃！,,,,,,,,,,,,,,,
7514600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不教训教训你，还真把自己当少爷了,,,,,,,,,,,,,,,
7514700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大夫人有令，抓起来！,,,,,,,,,,,,,,,
7514800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,别挡我路！,,,,,,,,,,,,,,,
7514900,,,,,,,,,,,,,,,,,,,,,多管闲事！,,,,,,,,,,,,,,,,,,,,,,,
7515000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,放我一马吧！,,,,,,,,,,,,,,,
7515100,,,,,,,,,,,,,,,,,,,,,干掉他们！,,,,,,,,,,,,,,,,,,,,,,,
7515200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,谁说你们可以拿去了！,,,,,,,,,,,,,,,
7515300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,干掉他们！,,,,,,,,,,,,,,,
7515400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,替大小姐教训你！,,,,,,,,,,,,,,,
7515500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,看我今日不教训你！,,,,,,,,,,,,,,,
7515600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,老爷夫人有令，家法处置！,,,,,,,,,,,,,,,
7515700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,别挡我们道！,,,,,,,,,,,,,,,
7515800,,,,,,,,,,,,,,,,,,,,,别自讨苦吃！,,,,,,,,,,,,,,,,,,,,,,,
7515900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,在我地盘上，一个都别想走！,,,,,,,,,,,,,,,
7516000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大伙儿一起上啊！,,,,,,,,,,,,,,,
7516100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,你莫要多管闲事！,,,,,,,,,,,,,,,
7516200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,多管闲事的下场很惨！,,,,,,,,,,,,,,,
7516300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,真是没有教养！,,,,,,,,,,,,,,,
7516400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,什么人！,,,,,,,,,,,,,,,
7516500,,,,,,,,,,,,,,,,,,,,,不许靠近将军！,,,,,,,,,,,,,,,,,,,,,,,
7516600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,看来不得不动手了！,,,,,,,,,,,,,,,
