id,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg
1016,MAX_GPIN_GE,15,,COST_RESOURCE,GOLD,20000,COST_ITEM,50010,10,COST_ITEM,50009,20,COST_ITEM,50012,30,,,,ADD_HUANZHUANG_COLLECTION,HP_TOUFA,100032,HP_TOUFA,200032
2001,COST_ITEM,50004,1,,,,,,,,,,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_YIFU,110004,HP_YIFU,210004
2002,MAX_GPIN_GE,1,,COST_RESOURCE,GOLD,5000,COST_ITEM,50006,10,COST_ITEM,50005,10,COST_ITEM,50013,10,COST_ITEM,50008,5,ADD_HUANZHUANG_COLLECTION,HP_YIFU,110005,HP_YIFU,210005
2003,MAX_GPIN_GE,1,,COST_RESOURCE,GOLD,5000,COST_ITEM,50006,10,COST_ITEM,50009,5,COST_ITEM,50013,10,COST_ITEM,50008,15,ADD_HUANZHUANG_COLLECTION,HP_YIFU,110006,HP_YIFU,210006
2004,MAX_GPIN_GE,5,,COST_RESOURCE,GOLD,5000,COST_ITEM,50014,10,COST_ITEM,50005,10,COST_ITEM,50013,15,,,,ADD_HUANZHUANG_COLLECTION,HP_YIFU,110008,HP_YIFU,210008
2005,MAX_GPIN_GE,17,,COST_RESOURCE,GOLD,30000,COST_ITEM,50007,30,COST_ITEM,50014,35,COST_ITEM,50010,35,COST_ITEM,50006,35,ADD_HUANZHUANG_COLLECTION,HP_YIFU,110010,HP_YIFU,210010
2006,MAX_GPIN_GE,5,,COST_RESOURCE,GOLD,5000,COST_ITEM,50006,10,COST_ITEM,50005,10,COST_ITEM,50013,10,COST_ITEM,50012,5,ADD_HUANZHUANG_COLLECTION,HP_YIFU,110011,HP_YIFU,210011
2007,MAX_GPIN_GE,9,,COST_RESOURCE,GOLD,5000,COST_ITEM,50006,10,COST_ITEM,50005,10,COST_ITEM,50004,15,COST_ITEM,50012,10,ADD_HUANZHUANG_COLLECTION,HP_YIFU,110017,HP_YIFU,210017
2008,MAX_GPIN_GE,9,,COST_RESOURCE,GOLD,20000,COST_ITEM,50006,25,COST_ITEM,50010,25,COST_ITEM,50004,40,,,,ADD_HUANZHUANG_COLLECTION,HP_YIFU,110016,HP_YIFU,210016
2009,MAX_GPIN_GE,9,,COST_RESOURCE,GOLD,20000,COST_ITEM,50011,15,COST_ITEM,50006,25,COST_ITEM,50009,25,,,,ADD_HUANZHUANG_COLLECTION,HP_YIFU,110020,HP_YIFU,210020
2010,MAX_GPIN_GE,13,,COST_RESOURCE,GOLD,20000,COST_ITEM,50006,20,COST_ITEM,50014,20,COST_ITEM,50013,30,,,,ADD_HUANZHUANG_COLLECTION,HP_YIFU,110022,HP_YIFU,210022
2011,MAX_GPIN_GE,13,,COST_RESOURCE,GOLD,20000,COST_ITEM,50011,10,COST_ITEM,50014,20,COST_ITEM,50008,40,COST_ITEM,50012,40,ADD_HUANZHUANG_COLLECTION,HP_YIFU,110027,HP_YIFU,210027
2012,MAX_GPIN_GE,19,,COST_RESOURCE,GOLD,30000,COST_ITEM,50007,25,COST_ITEM,50015,20,COST_ITEM,50014,40,COST_ITEM,50006,40,ADD_HUANZHUANG_COLLECTION,HP_YIFU,110028,HP_YIFU,210028
2013,MAX_GPIN_GE,15,,COST_RESOURCE,GOLD,20000,COST_ITEM,50011,10,COST_ITEM,50014,20,COST_ITEM,50008,40,COST_ITEM,50012,40,ADD_HUANZHUANG_COLLECTION,HP_YIFU,110029,HP_YIFU,210029
2015,MAX_GPIN_GE,13,,COST_RESOURCE,GOLD,20000,COST_ITEM,50011,10,COST_ITEM,50014,20,COST_ITEM,50008,40,COST_ITEM,50012,40,ADD_HUANZHUANG_COLLECTION,HP_YIFU,110021,HP_YIFU,210021
2016,MAX_GPIN_GE,15,,COST_RESOURCE,GOLD,20000,COST_ITEM,50011,10,COST_ITEM,50014,20,COST_ITEM,50008,40,COST_ITEM,50012,40,ADD_HUANZHUANG_COLLECTION,HP_YIFU,110032,HP_YIFU,210032
3001,MAX_GPIN_GE,1,,COST_RESOURCE,GOLD,5000,COST_ITEM,50008,20,COST_ITEM,50004,20,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_BEISHI,120005,HP_BEISHI,220005
3002,MAX_GPIN_GE,5,,COST_RESOURCE,GOLD,5000,COST_ITEM,50012,20,COST_ITEM,50008,20,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_BEISHI,120011,HP_BEISHI,220011
3003,MAX_GPIN_GE,9,,COST_RESOURCE,GOLD,20000,COST_ITEM,50007,10,COST_ITEM,50010,15,COST_ITEM,50004,15,,,,ADD_HUANZHUANG_COLLECTION,HP_BEISHI,120016,HP_BEISHI,220016
3004,MAX_GPIN_GE,13,,COST_RESOURCE,GOLD,20000,COST_ITEM,50013,20,COST_ITEM,50012,60,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_BEISHI,120022,HP_BEISHI,220022
3005,MAX_GPIN_GE,15,,COST_RESOURCE,GOLD,20000,COST_ITEM,50013,20,COST_ITEM,50008,60,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_BEISHI,120029,HP_BEISHI,220029
3006,MAX_GPIN_GE,15,,COST_RESOURCE,GOLD,20000,COST_ITEM,50013,20,COST_ITEM,50008,60,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_BEISHI,120032,HP_BEISHI,220032
3007,MAX_GPIN_GE,19,,COST_RESOURCE,GOLD,30000,COST_ITEM,50015,15,COST_ITEM,50011,15,COST_ITEM,50009,60,,,,ADD_HUANZHUANG_COLLECTION,HP_BEISHI,120028,HP_BEISHI,220028
3008,MAX_GPIN_GE,13,,COST_RESOURCE,GOLD,20000,COST_ITEM,50010,45,COST_ITEM,50014,30,COST_ITEM,50004,40,,,,ADD_HUANZHUANG_COLLECTION,HP_BEISHI,120021,HP_BEISHI,220021
4001,COST_ITEM,50004,1,,,,,,,,,,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_SHOUCHI,140004,HP_SHOUCHI,240004
4002,MAX_GPIN_GE,17,,COST_RESOURCE,GOLD,30000,COST_ITEM,50007,10,COST_ITEM,50006,30,COST_ITEM,50013,50,,,,ADD_HUANZHUANG_COLLECTION,HP_SHOUCHI,140010,HP_SHOUCHI,240010
4003,MAX_GPIN_GE,5,,COST_RESOURCE,GOLD,5000,COST_ITEM,50013,10,COST_ITEM,50005,10,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_SHOUCHI,140011,HP_SHOUCHI,240011
4004,MAX_GPIN_GE,9,,COST_RESOURCE,GOLD,20000,COST_ITEM,50007,10,COST_ITEM,50006,20,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_SHOUCHI,140016,HP_SHOUCHI,240016
4005,MAX_GPIN_GE,9,,COST_RESOURCE,GOLD,20000,COST_ITEM,50011,15,COST_ITEM,50013,20,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_SHOUCHI,140020,HP_SHOUCHI,240020
4006,MAX_GPIN_GE,19,,COST_RESOURCE,GOLD,30000,COST_ITEM,50015,15,COST_ITEM,50014,30,COST_ITEM,50010,30,,,,ADD_HUANZHUANG_COLLECTION,HP_SHOUCHI,140028,HP_SHOUCHI,240028
4007,MAX_GPIN_GE,15,,COST_RESOURCE,GOLD,20000,COST_ITEM,50009,20,COST_ITEM,50012,60,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_SHOUCHI,140029,HP_SHOUCHI,240029
4009,MAX_GPIN_GE,15,,COST_RESOURCE,GOLD,20000,COST_ITEM,50009,20,COST_ITEM,50012,60,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_SHOUCHI,140032,HP_SHOUCHI,240032
4010,MAX_GPIN_GE,1,,COST_RESOURCE,GOLD,5000,COST_ITEM,50013,10,COST_ITEM,50005,10,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_SHOUCHI,140002,HP_SHOUCHI,240002
5001,COST_ITEM,50004,1,,,,,,,,,,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_GUANSHI,101004,HP_GUANSHI,201004
5002,MAX_GPIN_GE,1,,COST_RESOURCE,GOLD,5000,COST_ITEM,50013,5,COST_ITEM,50008,20,COST_ITEM,50004,10,,,,ADD_HUANZHUANG_COLLECTION,HP_GUANSHI,101005,HP_GUANSHI,201005
5003,MAX_GPIN_GE,1,,COST_RESOURCE,GOLD,5000,COST_ITEM,50013,10,COST_ITEM,50008,20,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_TOUJIN,101006,HP_GUANSHI,201006
5004,MAX_GPIN_GE,9,,COST_RESOURCE,GOLD,5000,COST_ITEM,50013,10,COST_ITEM,50008,20,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_TOUJIN,101017,HP_GUANSHI,201017
5005,MAX_GPIN_GE,1,,COST_RESOURCE,GOLD,5000,COST_ITEM,50013,5,COST_ITEM,50008,20,COST_ITEM,50004,10,,,,ADD_HUANZHUANG_COLLECTION,HP_GUANSHI,101002,HP_GUANSHI,201002
