id,content,boxes.answer,boxes.activity,boxes.events.events.type,boxes.events.events.arg,boxes.events.events.arg,boxes.atmosphere,boxes.answer,boxes.activity,boxes.events.events.type,boxes.events.events.arg,boxes.events.events.arg,boxes.atmosphere,boxes.answer,boxes.activity,boxes.events.events.type,boxes.events.events.arg,boxes.events.events.arg,boxes.atmosphere
40,出门唯闻犬吠声,润,70,DROP,15000,1,15,恋,30,,,,5,底,30,,,,5
41,处处草香暮春时,日,70,DROP,15000,1,15,旬,30,,,,5,帝,30,,,,5
42,川流入海潮已平,洲,70,DROP,15000,1,15,忿,30,,,,5,桥,30,,,,5
43,川中飞雁过横山,肃,70,DROP,15000,1,15,稿,30,,,,5,八,30,,,,5
44,春来鸟雀恋行云,谜,70,DROP,15000,1,15,蓄,30,,,,5,淹,30,,,,5
45,寸土相连永不离,封,70,DROP,15000,1,15,淆,30,,,,5,佚,30,,,,5
46,丹心一点到白头,舟,70,DROP,15000,1,15,夙,30,,,,5,飞,30,,,,5
47,丹心一点血凝成,盘,70,DROP,15000,1,15,丕,30,,,,5,汨,30,,,,5
48,刀光剑影林边隐,检,70,DROP,15000,1,15,妲,30,,,,5,胥,30,,,,5
49,灯昏酒泼人半醉,酊,70,DROP,15000,1,15,爸,30,,,,5,协,30,,,,5
50,点点萤火照江边,淡,70,DROP,15000,1,15,件,30,,,,5,贺,30,,,,5
51,有女可爱，以手抚之,无,70,DROP,15000,1,15,世,30,,,,5,兔,30,,,,5
52,站在一边，请勿多言,靖,70,DROP,15000,1,15,绒,30,,,,5,婧,30,,,,5
53,和人并头干,金,70,DROP,15000,1,15,全,30,,,,5,佘,30,,,,5
54,起风即飘,票,70,DROP,15000,1,15,瞟,30,,,,5,漂,30,,,,5
55,理解万岁,里,70,DROP,15000,1,15,理,30,,,,5,模,30,,,,5
56,重复出现,山,70,DROP,15000,1,15,水,30,,,,5,土,30,,,,5
57,一人作美齐颂扬,羊,70,DROP,15000,1,15,大,30,,,,5,扬,30,,,,5
58,同心结义,吝,70,DROP,15000,1,15,怡,30,,,,5,吉,30,,,,5
59,黄昏无酒辞上客,洛,70,DROP,15000,1,15,各,30,,,,5,络,30,,,,5
60,人在山西住一生,催,70,DROP,15000,1,15,住,30,,,,5,仁,30,,,,5
61,向左边一直走,句,70,DROP,15000,1,15,勾,30,,,,5,苟,30,,,,5
62,一人投命,叩,70,DROP,15000,1,15,殳,30,,,,5,仁,30,,,,5
63,猜字对一半,狩,70,DROP,15000,1,15,青,30,,,,5,寸,30,,,,5
64,清明节前后,晴,70,DROP,15000,1,15,朋,30,,,,5,睛,30,,,,5
65,霉雨时节,每,70,DROP,15000,1,15,毋,30,,,,5,雨,30,,,,5
66,有米就来,一,70,DROP,15000,1,15,木,30,,,,5,莱,30,,,,5
67,多多合作,罗,70,DROP,15000,1,15,夕,30,,,,5,多,30,,,,5
68,4个人搬木头,杰,70,DROP,15000,1,15,木,30,,,,5,林,30,,,,5
69,一人一张口,拿,70,DROP,15000,1,15,裳,30,,,,5,掌,30,,,,5
70,一人在内,肉,70,DROP,15000,1,15,内,30,,,,5,们,30,,,,5
71,一人挑两小人,夹,70,DROP,15000,1,15,爽,30,,,,5,大,30,,,,5
72,一人腰上挂把弓,夷,70,DROP,15000,1,15, 怡,30,,,,5,亿,30,,,,5
73,一口吃掉牛尾巴,告,70,DROP,15000,1,15,尸,30,,,,5,巴,30,,,,5
74,一口咬定,交,70,DROP,15000,1,15,啶,30,,,,5,日,30,,,,5
75,一大二小,奈,70,DROP,15000,1,15,洛,30,,,,5,朋,30,,,,5
76,一月七日,脂,70,DROP,15000,1,15,催,30,,,,5,毋,30,,,,5
77,一加一,王,70,DROP,15000,1,15,句,30,,,,5,木,30,,,,5
78,一字十三点,汁,70,DROP,15000,1,15,叩,30,,,,5,夕,30,,,,5
79,一百减一,白,70,DROP,15000,1,15,狩,30,,,,5,木,30,,,,5
80,一夜又一夜,多,70,DROP,15000,1,15,晴,30,,,,5,裳,30,,,,5
81,一个人搬两个土,佳,70,DROP,15000,1,15,每,30,,,,5,内,30,,,,5
82,一个礼拜,旨,70,DROP,15000,1,15,一,30,,,,5,爽,30,,,,5
83,一家十一口,吉,70,DROP,15000,1,15,罗,30,,,,5, 怡,30,,,,5
84,一根木棍,面,70,DROP,15000,1,15,差,30,,,,5,尸,30,,,,5
85,一边是水,汕,70,DROP,15000,1,15,穹,30,,,,5,啶,30,,,,5
86,七人八只眼,货,70,DROP,15000,1,15,心,30,,,,5,底,30,,,,5
87,七人头上长了草,花,70,DROP,15000,1,15,恐,30,,,,5,帝,30,,,,5
88,七十二小时,晶,70,DROP,15000,1,15,棉,30,,,,5,桥,30,,,,5
89,九只鸟,鸠,70,DROP,15000,1,15,楮,30,,,,5,八,30,,,,5
90,二八佳人,妙,70,DROP,15000,1,15,缆,30,,,,5,州,30,,,,5
91,二兄弟,竞,70,DROP,15000,1,15,深,30,,,,5,炎,30,,,,5
92,人不在其位,立,70,DROP,15000,1,15,淋,30,,,,5,免,30,,,,5
93,人有他则变大,一,70,DROP,15000,1,15,榻,30,,,,5,精,30,,,,5
94,人无寸铁,控,70,DROP,15000,1,15,苟,30,,,,5,全,30,,,,5
95,人无信不立,言,70,DROP,15000,1,15,宿,30,,,,5,瞟,30,,,,5
96,八兄弟同赏月,脱,70,DROP,15000,1,15,悉,30,,,,5,理,30,,,,5
97,十一个读书人,仕,70,DROP,15000,1,15,林,30,,,,5,水,30,,,,5
98,十元买早餐,干,70,DROP,15000,1,15,最,30,,,,5,大,30,,,,5
99,十字架下三个人,来,70,DROP,15000,1,15,社,30,,,,5,怡,30,,,,5
100,十字对十字,朝,70,DROP,15000,1,15,庇,30,,,,5,各,30,,,,5
101,十个哥哥,克,70,DROP,15000,1,15,毡,30,,,,5,住,30,,,,5
102,三人两口一匹马,验,70,DROP,15000,1,15,滦,30,,,,5,勾,30,,,,5
103,三口重叠,目,70,DROP,15000,1,15,湖,30,,,,5,殳,30,,,,5
104,千里姻缘一线牵,重,70,DROP,15000,1,15,浑,30,,,,5,青,30,,,,5
105,土上有竹林,等,70,DROP,15000,1,15,瞟,30,,,,5,朋,30,,,,5
106,大丈夫不得出头,天,70,DROP,15000,1,15,理,30,,,,5,毋,30,,,,5
107,中心一点口不见,卜,70,DROP,15000,1,15,旨,30,,,,5,苟,30,,,,5
108,中秋夜乌云密布,胞,70,DROP,15000,1,15,吉,30,,,,5,宿,30,,,,5
109,中国话,哗,70,DROP,15000,1,15,面,30,,,,5,悉,30,,,,5
110,五十对耳朵,陌 ,70,DROP,15000,1,15,汕,30,,,,5,林,30,,,,5
111,五日之家,梧,70,DROP,15000,1,15,货,30,,,,5,最,30,,,,5
112,六十不足,平,70,DROP,15000,1,15,花,30,,,,5,社,30,,,,5
113,公而忘私,八,70,DROP,15000,1,15,晶,30,,,,5,庇,30,,,,5
114,天上无二,人,70,DROP,15000,1,15,鸠,30,,,,5,毡,30,,,,5
115,夫人何处去,二,70,DROP,15000,1,15,妙,30,,,,5,滦,30,,,,5
116,太阳西边下,明,70,DROP,15000,1,15,竞,30,,,,5,湖,30,,,,5
117,太阳挂在树顶上,果,70,DROP,15000,1,15,立,30,,,,5,浑,30,,,,5
118,心如刀刺,必,70,DROP,15000,1,15,一,30,,,,5,瞟,30,,,,5
119,日落半林中,东,70,DROP,15000,1,15,控,30,,,,5,理,30,,,,5
120,日落相残洗却凡心一点,秃,70,DROP,15000,1,15,言,30,,,,5,旨,30,,,,5
121,月光照进门,闲,70,DROP,15000,1,15,脱,30,,,,5,吉,30,,,,5
122,有口亦难分诉,亚,70,DROP,15000,1,15,仕,30,,,,5,面,30,,,,5
123,有两个动物,鲜,70,DROP,15000,1,15,干,30,,,,5,汕,30,,,,5
124,池里不见水,也,70,DROP,15000,1,15,来,30,,,,5,货,30,,,,5
125,百年前是草,叶,70,DROP,15000,1,15,朝,30,,,,5,花,30,,,,5
126,自有一日出头天,春,70,DROP,15000,1,15,克,30,,,,5,晶,30,,,,5
127,何需杀人灭口,丁,70,DROP,15000,1,15,验,30,,,,5,鸠,30,,,,5
128,坐定左右无人,土,70,DROP,15000,1,15,目,30,,,,5,妙,30,,,,5
129,宋字去了盖,李,70,DROP,15000,1,15,重,30,,,,5,竞,30,,,,5
130,把白米分给别人,粉,70,DROP,15000,1,15,等,30,,,,5,立,30,,,,5
131,贝字减两点,资,70,DROP,15000,1,15,天,30,,,,5,一,30,,,,5
132,两人一般心,患,70,DROP,15000,1,15,卜,30,,,,5,控,30,,,,5
133,两狗谈天,狱,70,DROP,15000,1,15,胞,30,,,,5,流,30,,,,5
134,两点一直,慎,70,DROP,15000,1,15,哗,30,,,,5,底,30,,,,5
135,朋友半边不见了,月,70,DROP,15000,1,15,陌 ,30,,,,5,帝,30,,,,5
136,金木水火,坎,70,DROP,15000,1,15,梧,30,,,,5,桥,30,,,,5
137,门里阳光照,涧,70,DROP,15000,1,15,平,30,,,,5,八,30,,,,5
138,春秋配,秦,70,DROP,15000,1,15,朝,30,,,,5,州,30,,,,5
139,昨日不可留,乍,70,DROP,15000,1,15,克,30,,,,5,炎,30,,,,5
140,风儿吐舌头,刮,70,DROP,15000,1,15,验,30,,,,5,免,30,,,,5
141,值钱不值钱,金,70,DROP,15000,1,15,目,30,,,,5,精,30,,,,5
142,家中兄长多,阅,70,DROP,15000,1,15,重,30,,,,5,全,30,,,,5
143,酒中没有水,丑,70,DROP,15000,1,15,等,30,,,,5,瞟,30,,,,5
144,斩草不除根,早,70,DROP,15000,1,15,天,30,,,,5,理,30,,,,5
145,欲话无言听流水,活,70,DROP,15000,1,15,卜,30,,,,5,水,30,,,,5
146,眼看田上长青草,瞄,70,DROP,15000,1,15,胞,30,,,,5,大,30,,,,5
147,无限心头语,恋,70,DROP,15000,1,15,哗,30,,,,5,怡,30,,,,5
148,无风荷叶动,衡,70,DROP,15000,1,15,陌 ,30,,,,5,朝,30,,,,5
149,座无虚席,促,70,DROP,15000,1,15,梧,30,,,,5,克,30,,,,5
150,作品别具一格,吕,70,DROP,15000,1,15,平,30,,,,5,验,30,,,,5
151,左右开弓中百分,弼,70,DROP,15000,1,15,八,30,,,,5,目,30,,,,5
152,左右边锋紧密配合,逢,70,DROP,15000,1,15,人,30,,,,5,重,30,,,,5
153,左拾遗右补阙,裕,70,DROP,15000,1,15,二,30,,,,5,等,30,,,,5
154,左牵黄右擎苍,鸬,70,DROP,15000,1,15,明,30,,,,5,天,30,,,,5
155,左看掌法纲，右看结成双,树,70,DROP,15000,1,15,果,30,,,,5,卜,30,,,,5
156,罪该斩首,非,70,DROP,15000,1,15,必,30,,,,5,胞,30,,,,5
157,足下倒钩，底线传中，进球,蛋,70,DROP,15000,1,15,东,30,,,,5,哗,30,,,,5
158,总有一天会明白,尧,70,DROP,15000,1,15,秃,30,,,,5,陌 ,30,,,,5
159,字到前头却普通,晋,70,DROP,15000,1,15,闲,30,,,,5,梧,30,,,,5
160,自作一字用离合,百,70,DROP,15000,1,15,亚,30,,,,5,平,30,,,,5
161,自小在一起，目前少联系,省,70,DROP,15000,1,15,鲜,30,,,,5,八,30,,,,5
162,自始至终在一起,壬,70,DROP,15000,1,15,能,30,,,,5,人,30,,,,5
163,自上而下团结一心,恤,70,DROP,15000,1,15,焚,30,,,,5,二,30,,,,5
164,有言在先怎不安心,诈,70,DROP,15000,1,15,谣,30,,,,5,明,30,,,,5
165,有言必归风雅颂,寺,70,DROP,15000,1,15,县,30,,,,5,果,30,,,,5
166,有雄心破旧立新,但,70,DROP,15000,1,15,彩,30,,,,5,必,30,,,,5
167,有意无意两相离,有,70,DROP,15000,1,15,计,30,,,,5,东,30,,,,5
168,宅前细雨灯花落,泞,70,DROP,15000,1,15,带,30,,,,5,秃,30,,,,5
169,早日腾飞建四化,克,70,DROP,15000,1,15,期,30,,,,5,闲,30,,,,5
170,在水一方独垂钓,河,70,DROP,15000,1,15,活,30,,,,5,亚,30,,,,5
171,在三国之后，在西晋之初,一,70,DROP,15000,1,15,楼,30,,,,5,鲜,30,,,,5
172,在地愿为连理枝,棵,70,DROP,15000,1,15,沪,30,,,,5,促,30,,,,5
173,再三开口要美酒,滴,70,DROP,15000,1,15,膏,30,,,,5,吕,30,,,,5
174,再度辞君倍错误,网,70,DROP,15000,1,15,惶,30,,,,5,弼,30,,,,5
175,运破月来花弄影,能,70,DROP,15000,1,15,汪,30,,,,5,逢,30,,,,5
176,灾后重要的是摆脱困境,焚,70,DROP,15000,1,15,浔,30,,,,5,裕,30,,,,5
177,云遮斜月马临崖,谣,70,DROP,15000,1,15,棚,30,,,,5,鸬,30,,,,5
178,云峰缺处涌冰轮,县,70,DROP,15000,1,15,崩,30,,,,5,树,30,,,,5
179,月挂柳梢竹影疏,彩,70,DROP,15000,1,15,欢,30,,,,5,非,30,,,,5
180,曰南北，曰西东,计,70,DROP,15000,1,15,叹,30,,,,5,蛋,30,,,,5
181,远树横斜山倒影,带,70,DROP,15000,1,15,右,30,,,,5,尧,30,,,,5
182,元宵前后共团圆,期,70,DROP,15000,1,15,觉,30,,,,5,晋,30,,,,5
183,欲话无言听流水,活,70,DROP,15000,1,15,救,30,,,,5,百,30,,,,5
184,玉人枕上留残粉,楼,70,DROP,15000,1,15,买,30,,,,5,省,30,,,,5
185,玉楼月落雨偏至,沪,70,DROP,15000,1,15,倩,30,,,,5,壬,30,,,,5
186,玉镜悬空离地远,膏,70,DROP,15000,1,15,钦,30,,,,5,恤,30,,,,5
187,与君同心偕白头,惶,70,DROP,15000,1,15,诡,30,,,,5,诈,30,,,,5
188,与君别后泪痕在,汪,70,DROP,15000,1,15,促,30,,,,5,寺,30,,,,5
189,渔村半隐山欲睡,浔,70,DROP,15000,1,15,吕,30,,,,5,但,30,,,,5
190,又见月影满西楼,棚,70,DROP,15000,1,15,弼,30,,,,5,有,30,,,,5
191,又见西峰月影中,崩,70,DROP,15000,1,15,逢,30,,,,5,人,30,,,,5
192,又见炊烟升起,欢,70,DROP,15000,1,15,裕,30,,,,5,二,30,,,,5
193,又得浮生半日闲,叹,70,DROP,15000,1,15,鸬,30,,,,5,明,30,,,,5
194,有月当去高台游,右,70,DROP,15000,1,15,树,30,,,,5,果,30,,,,5
195,学子远去,觉,70,DROP,15000,1,15,非,30,,,,5,必,30,,,,5
196,学生学字,救,70,DROP,15000,1,15,蛋,30,,,,5,东,30,,,,5
197,横算直算,买,70,DROP,15000,1,15,尧,30,,,,5,秃,30,,,,5
198,独留花下人,倩,70,DROP,15000,1,15,晋,30,,,,5,闲,30,,,,5
199,头寸不足,钦,70,DROP,15000,1,15,百,30,,,,5,亚,30,,,,5
200,骇人听闻,诡,70,DROP,15000,1,15,省,30,,,,5,鲜,30,,,,5
201,安心只为翻了身,总,70,DROP,15000,1,15,晴,30,,,,5,裳,30,,,,5
202,俺大人不在,电,70,DROP,15000,1,15,每,30,,,,5,内,30,,,,5
203,八方援助受灾人,熔,70,DROP,15000,1,15,一,30,,,,5,爽,30,,,,5
204,八字桥头水平流,兴,70,DROP,15000,1,15,罗,30,,,,5, 怡,30,,,,5
205,巴山夜雨涨秋池,洲,70,DROP,15000,1,15,差,30,,,,5,尸,30,,,,5
206,霸王自刎,翠,70,DROP,15000,1,15,穹,30,,,,5,啶,30,,,,5
207,白帆半挂依疏柳,棉,70,DROP,15000,1,15,心,30,,,,5,底,30,,,,5
208,白首逢春又一年,秽,70,DROP,15000,1,15,恐,30,,,,5,帝,30,,,,5
209,白首雄心向未来,侏,70,DROP,15000,1,15,棉,30,,,,5,桥,30,,,,5
210,白头老干心不老,忏,70,DROP,15000,1,15,楮,30,,,,5,八,30,,,,5
211,百花头上梅初开,晦,70,DROP,15000,1,15,缆,30,,,,5,州,30,,,,5
212,百姓有盼头,眠,70,DROP,15000,1,15,深,30,,,,5,炎,30,,,,5
213,摆脱困境获生机,几,70,DROP,15000,1,15,淋,30,,,,5,免,30,,,,5
214,办法归纳共五点,劫,70,DROP,15000,1,15,榻,30,,,,5,精,30,,,,5
215,半窗残月有蛩声,穹,70,DROP,15000,1,15,苟,30,,,,5,全,30,,,,5
216,半钩明月钓清溪,心,70,DROP,15000,1,15,宿,30,,,,5,瞟,30,,,,5
217,半林黄叶露秋色,楮,70,DROP,15000,1,15,悉,30,,,,5,理,30,,,,5
218,半路出家,阁,70,DROP,15000,1,15,林,30,,,,5,水,30,,,,5
219,半绿草色半蓝天,蕴,70,DROP,15000,1,15,最,30,,,,5,大,30,,,,5
220,包公案上下集,构,70,DROP,15000,1,15,社,30,,,,5,怡,30,,,,5
221,包头残花落叶末,苟,70,DROP,15000,1,15,庇,30,,,,5,各,30,,,,5
222,北定中原人归一统,宿,70,DROP,15000,1,15,毡,30,,,,5,住,30,,,,5
223,北斗阑干映千帆,悉,70,DROP,15000,1,15,滦,30,,,,5,勾,30,,,,5
224,必定环环不落空,瑟,70,DROP,15000,1,15,湖,30,,,,5,殳,30,,,,5
225,必由之路路必行,迪,70,DROP,15000,1,15,浑,30,,,,5,青,30,,,,5
226,毕业之后到浦东,埔,70,DROP,15000,1,15,瞟,30,,,,5,朋,30,,,,5
227,边草无穷日暮,大,70,DROP,15000,1,15,理,30,,,,5,毋,30,,,,5
228,边城同心念归人,塔,70,DROP,15000,1,15,旨,30,,,,5,苟,30,,,,5
229,不到黄昏梦未成,林,70,DROP,15000,1,15,吉,30,,,,5,宿,30,,,,5
230,不顾白头要进取,最,70,DROP,15000,1,15,面,30,,,,5,悉,30,,,,5
231,不留一手却不容易,摊,70,DROP,15000,1,15,汕,30,,,,5,林,30,,,,5
232,不重生男重生女,呵,70,DROP,15000,1,15,货,30,,,,5,最,30,,,,5
233,步调一致,跻,70,DROP,15000,1,15,花,30,,,,5,社,30,,,,5
234,部位相反,陪,70,DROP,15000,1,15,晶,30,,,,5,庇,30,,,,5
235,才始送春归,材,70,DROP,15000,1,15,鸠,30,,,,5,毡,30,,,,5
236,残月挂樱桃,名,70,DROP,15000,1,15,妙,30,,,,5,滦,30,,,,5
237,拆了围墙,韦,70,DROP,15000,1,15,竞,30,,,,5,湖,30,,,,5
238,产品实行三包,晶,70,DROP,15000,1,15,立,30,,,,5,浑,30,,,,5
239,厂里厂外老树连荫,橱,70,DROP,15000,1,15,一,30,,,,5,瞟,30,,,,5
240,厂里求知点滴增,痴,70,DROP,15000,1,15,控,30,,,,5,理,30,,,,5
241,厂要上去须努力,历,70,DROP,15000,1,15,言,30,,,,5,旨,30,,,,5
242,车座前头已换人,输,70,DROP,15000,1,15,脱,30,,,,5,吉,30,,,,5
243,尘埃小半上瑶台,珐,70,DROP,15000,1,15,仕,30,,,,5,面,30,,,,5
244,尘土不沾水月圆,消,70,DROP,15000,1,15,干,30,,,,5,汕,30,,,,5
245,成功地有方须盖草,十,70,DROP,15000,1,15,来,30,,,,5,货,30,,,,5
246,吃苦在前心犹安,惹,70,DROP,15000,1,15,朝,30,,,,5,花,30,,,,5
247,池边叶影动寒蟾,湖,70,DROP,15000,1,15,克,30,,,,5,晶,30,,,,5
248,出闺房巧遇一千金,娃,70,DROP,15000,1,15,验,30,,,,5,鸠,30,,,,5
249,处处草香暮春时,日,70,DROP,15000,1,15,目,30,,,,5,妙,30,,,,5
250,川里茶花发,葩,70,DROP,15000,1,15,重,30,,,,5,竞,30,,,,5
251,川水纵横日落时,酬,70,DROP,15000,1,15,等,30,,,,5,立,30,,,,5
252,垂泪到天明,漳,70,DROP,15000,1,15,天,30,,,,5,一,30,,,,5
253,春风吹又生,薪,70,DROP,15000,1,15,卜,30,,,,5,控,30,,,,5
254,春光点点值千金,娄,70,DROP,15000,1,15,胞,30,,,,5,流,30,,,,5
255,唇齿相依,呀,70,DROP,15000,1,15,哗,30,,,,5,底,30,,,,5
256,此案可排除女性,宋,70,DROP,15000,1,15,陌 ,30,,,,5,帝,30,,,,5
257,此地一为偶,些,70,DROP,15000,1,15,梧,30,,,,5,桥,30,,,,5
258,此恨绵绵无绝期,跌,70,DROP,15000,1,15,平,30,,,,5,八,30,,,,5
259,此日中流自在行,咱,70,DROP,15000,1,15,朝,30,,,,5,州,30,,,,5
260,此中意无人会,昙,70,DROP,15000,1,15,克,30,,,,5,炎,30,,,,5
261,匆匆人去也,羽,70,DROP,15000,1,15,验,30,,,,5,免,30,,,,5
262,从来绝色知难得,纵,70,DROP,15000,1,15,目,30,,,,5,精,30,,,,5
263,村中安身,榭,70,DROP,15000,1,15,重,30,,,,5,全,30,,,,5
264,寸土不丢保村庄,床,70,DROP,15000,1,15,等,30,,,,5,瞟,30,,,,5
265,错过机会,枫,70,DROP,15000,1,15,天,30,,,,5,理,30,,,,5
266,达开回广西,矿,70,DROP,15000,1,15,卜,30,,,,5,水,30,,,,5
267,打虎英雄到江西,淞,70,DROP,15000,1,15,胞,30,,,,5,大,30,,,,5
268,打破禁锢突破框框,针,70,DROP,15000,1,15,榻,30,,,,5,精,30,,,,5
269,大部分接受,爱,70,DROP,15000,1,15,苟,30,,,,5,全,30,,,,5
270,旦末净丑,星,70,DROP,15000,1,15,宿,30,,,,5,瞟,30,,,,5
271,当空皓魄映川流,淝,70,DROP,15000,1,15,悉,30,,,,5,理,30,,,,5
272,当前皇上垂危中,原,70,DROP,15000,1,15,林,30,,,,5,水,30,,,,5
273,刀光剑影林边隐,检,70,DROP,15000,1,15,最,30,,,,5,大,30,,,,5
274,刀下要留心一点,忍,70,DROP,15000,1,15,社,30,,,,5,怡,30,,,,5
275,倒数第一,由,70,DROP,15000,1,15,庇,30,,,,5,各,30,,,,5
276,到西郊植树,校,70,DROP,15000,1,15,毡,30,,,,5,住,30,,,,5
277,得人心者得天下,怂,70,DROP,15000,1,15,滦,30,,,,5,勾,30,,,,5
278,灯昏酒泼人半醉,酊,70,DROP,15000,1,15,湖,30,,,,5,殳,30,,,,5
279,地震前后变了样,垄,70,DROP,15000,1,15,浑,30,,,,5,青,30,,,,5
280,点点萤火照江边,淡,70,DROP,15000,1,15,瞟,30,,,,5,朋,30,,,,5
281,电大办在河西畔,淹,70,DROP,15000,1,15,理,30,,,,5,毋,30,,,,5
282,丢开个人得失,佚,70,DROP,15000,1,15,旨,30,,,,5,苟,30,,,,5
283,东北风来冷先围,飞,70,DROP,15000,1,15,吉,30,,,,5,宿,30,,,,5
284,东边日出西边雨,汨,70,DROP,15000,1,15,面,30,,,,5,悉,30,,,,5
285,东床只独看,胥,70,DROP,15000,1,15,汕,30,,,,5,林,30,,,,5
286,动力增长十点二,协,70,DROP,15000,1,15,货,30,,,,5,最,30,,,,5
287,动员后勤上前方,贺,70,DROP,15000,1,15,花,30,,,,5,社,30,,,,5
288,斗转星移又一载,平,70,DROP,15000,1,15,晶,30,,,,5,庇,30,,,,5
289,短一些再短一些,此,70,DROP,15000,1,15,鸠,30,,,,5,毡,30,,,,5
290,断桥垂露滴梧桐,淋,70,DROP,15000,1,15,妙,30,,,,5,滦,30,,,,5
291,对边三点偏离圆心,赔,70,DROP,15000,1,15,竞,30,,,,5,湖,30,,,,5
292,对艰难皆有先见,又,70,DROP,15000,1,15,立,30,,,,5,浑,30,,,,5
293,儿女共沾巾,姚,70,DROP,15000,1,15,一,30,,,,5,瞟,30,,,,5
294,儿童急走追黄蝶,李,70,DROP,15000,1,15,控,30,,,,5,理,30,,,,5
295,尔曹无日一虚抛,曲,70,DROP,15000,1,15,言,30,,,,5,旨,30,,,,5
296,而立之年当运动员,喷,70,DROP,15000,1,15,脱,30,,,,5,吉,30,,,,5
297,二分明月正当头,旺,70,DROP,15000,1,15,倩,30,,,,5,壬,30,,,,5
298,二龙消逝画楼东,桂,70,DROP,15000,1,15,钦,30,,,,5,恤,30,,,,5
299,二人分庭坐江东,巫,70,DROP,15000,1,15,诡,30,,,,5,诈,30,,,,5
