id,icon,name,male,arg,arg,arg,need.part,need.pttid,repell
112005,ui/nielian/5-2-chuncainv,二号,False,mouse4/sc2,mouse4/xc2,mouse4/sd,,,
113005,ui/nielian/5-3-chuncainv,三号,False,mouse4/sc3,mouse4/xc3,mouse4/sd,,,
110006,ui/nielian/6-0-chuncainv,原始,False,mouse5/sc0,mouse5/xc0,mouse5/sd,,,
111006,ui/nielian/6-1-chuncainv,一号,False,mouse5/sc1,mouse5/xc1,mouse5/sd,,,
112006,ui/nielian/6-2-chuncainv,二号,False,mouse5/sc2,mouse5/xc2,mouse5/sd,,,
113006,ui/nielian/6-3-chuncainv,三号,False,mouse5/sc3,mouse5/xc3,mouse5/sd,,,
110007,ui/nielian/7-0-chuncainv,原始,False,mouse7/sc0,mouse7/xc0,mouse7/sd,,,
111007,ui/nielian/7-1-chuncainv,一号,False,mouse7/sc1,mouse7/xc1,mouse7/sd,,,
112007,ui/nielian/7-2-chuncainv,二号,False,mouse7/sc2,mouse7/xc2,mouse7/sd,,,
113007,ui/nielian/7-3-chuncainv,三号,False,mouse7/sc3,mouse7/xc3,mouse7/sd,,,
110008,ui/nielian/8-0-chuncainv,原始,False,mouse8/sc0,mouse8/xc0,mouse8/sd,,,
111008,ui/nielian/8-1-chuncainv,一号,False,mouse8/sc1,mouse8/xc1,mouse8/sd,,,
112008,ui/nielian/8-2-chuncainv,二号,False,mouse8/sc2,mouse8/xc2,mouse8/sd,,,
113008,ui/nielian/8-3-chuncainv,三号,False,mouse8/sc3,mouse8/xc3,mouse8/sd,,,
110009,ui/nielian/9-0-chuncainv,原始,False,mouse9/sc0,mouse9/xc0,mouse9/sd,,,
111009,ui/nielian/9-1-chuncainv,一号,False,mouse9/sc1,mouse9/xc1,mouse9/sd,,,
112009,ui/nielian/9-2-chuncainv,二号,False,mouse9/sc2,mouse9/xc2,mouse9/sd,,,
113009,ui/nielian/9-3-chuncainv,三号,False,mouse9/sc3,mouse9/xc3,mouse9/sd,,,
210001,ui/nielian/1-0-chuncainan,原始,True,mouse6/sc0,mouse6/xc0,mouse6/sd,,,
211001,ui/nielian/1-1-chuncainan,一号,True,mouse6/sc1,mouse6/xc1,mouse6/sd,,,
212001,ui/nielian/1-2-chuncainan,二号,True,mouse6/sc2,mouse6/xc2,mouse6/sd,,,
210002,ui/nielian/2-0-chuncainan,原始,True,mouse1/sc0,mouse1/xc0,mouse1/sd,,,
211002,ui/nielian/2-1-chuncainan,一号,True,mouse1/sc1,mouse1/xc1,mouse1/sd,,,
212002,ui/nielian/2-2-chuncainan,二号,True,mouse1/sc2,mouse1/xc2,mouse1/sd,,,
210003,ui/nielian/3-0-chuncainan,原始,True,mouse2/sc0,mouse2/xc0,mouse2/sd,,,
211003,ui/nielian/3-1-chuncainan,一号,True,mouse2/sc1,mouse2/xc1,mouse2/sd,,,
212003,ui/nielian/3-2-chuncainan,二号,True,mouse2/sc2,mouse2/xc2,mouse2/sd,,,
210004,ui/nielian/4-0-chuncainan,原始,True,mouse3/sc0,mouse3/xc0,mouse3/sd,,,
211004,ui/nielian/4-1-chuncainan,一号,True,mouse3/sc1,mouse3/xc1,mouse3/sd,,,
212004,ui/nielian/4-2-chuncainan,二号,True,mouse3/sc2,mouse3/xc2,mouse3/sd,,,
210005,ui/nielian/5-0-chuncainan,原始,True,mouse4/sc0,mouse4/xc0,mouse4/sd,,,
211005,ui/nielian/5-1-chuncainan,一号,True,mouse4/sc1,mouse4/xc1,mouse4/sd,,,
212005,ui/nielian/5-2-chuncainan,二号,True,mouse4/sc2,mouse4/xc2,mouse4/sd,,,
210006,ui/nielian/6-0-chuncainan,原始,True,mouse5/sc0,mouse5/xc0,mouse5/sd,,,
211006,ui/nielian/6-1-chuncainan,一号,True,mouse5/sc1,mouse5/xc1,mouse5/sd,,,
212006,ui/nielian/6-2-chuncainan,二号,True,mouse5/sc2,mouse5/xc2,mouse5/sd,,,
210007,ui/nielian/7-0-chuncainan,原始,True,mouse7/sc0,mouse7/xc0,mouse7/sd,,,
211007,ui/nielian/7-1-chuncainan,一号,True,mouse7/sc1,mouse7/xc1,mouse7/sd,,,
212007,ui/nielian/7-2-chuncainan,二号,True,mouse7/sc2,mouse7/xc2,mouse7/sd,,,
210008,ui/nielian/8-0-chuncainan,原始,True,mouse8/sc0,mouse8/xc0,mouse8/sd,,,
211008,ui/nielian/8-1-chuncainan,一号,True,mouse8/sc1,mouse8/xc1,mouse8/sd,,,
212008,ui/nielian/8-2-chuncainan,二号,True,mouse8/sc2,mouse8/xc2,mouse8/sd,,,
210009,ui/nielian/9-0-chuncainan,原始,True,mouse9/sc0,mouse9/xc0,mouse9/sd,,,
211009,ui/nielian/9-1-chuncainan,一号,True,mouse9/sc1,mouse9/xc1,mouse9/sd,,,
212009,ui/nielian/9-2-chuncainan,二号,True,mouse9/sc2,mouse9/xc2,mouse9/sd,,,
210010,ui/nielian/10-0-chuncainan,原始,True,mouse10/sc0,mouse10/xc0,mouse10/sd,,,
211010,ui/nielian/10-1-chuncainan,一号,True,mouse10/sc1,mouse10/xc1,mouse10/sd,,,
212010,ui/nielian/10-2-chuncainan,二号,True,mouse10/sc2,mouse10/xc2,mouse10/sd,,,
210011,ui/nielian/11-0-chuncainan,原始,True,mouse11/sc0,mouse11/xc0,mouse11/sd,,,
211011,ui/nielian/11-1-chuncainan,一号,True,mouse11/sc1,mouse11/xc1,mouse11/sd,,,
212011,ui/nielian/11-2-chuncainan,二号,True,mouse11/sc2,mouse11/xc2,mouse11/sd,,,
210012,ui/nielian/12-0-chuncainan,原始,True,mouse12/sc0,mouse12/xc0,mouse12/sd,,,
211012,ui/nielian/12-1-chuncainan,一号,True,mouse12/sc1,mouse12/xc1,mouse12/sd,,,
212012,ui/nielian/12-2-chuncainan,二号,True,mouse12/sc2,mouse12/xc2,mouse12/sd,,,
210013,ui/nielian/13-0-chuncainan,原始,True,mouse13/sc0,mouse13/xc0,mouse13/sd,,,
211013,ui/nielian/13-1-chuncainan,一号,True,mouse13/sc1,mouse13/xc1,mouse13/sd,,,
212013,ui/nielian/13-2-chuncainan,二号,True,mouse13/sc2,mouse13/xc2,mouse13/sd,,,
