id,scene,begin_battle_plot,start_battle_plot,end_battle_win_plot,end_battle_lose_plot,battle_background,type,left_helper.actors.actor,left_helper.actors.row,left_helper.actors.col,left_helper.actors.boss,left_helper.actors.actor,left_helper.actors.row,left_helper.actors.col,left_helper.actors.boss,left_helper.actors.actor,left_helper.actors.row,left_helper.actors.col,left_helper.actors.boss,right_helper.actors.actor,right_helper.actors.row,right_helper.actors.col,right_helper.actors.boss,heros.actors.actor,heros.actors.row,heros.actors.col,heros.actors.boss,heros.actors.actor,heros.actors.row,heros.actors.col,heros.actors.boss,heros.actors.actor,heros.actors.row,heros.actors.col,heros.actors.boss,heros.actors.actor,heros.actors.row,heros.actors.col,heros.actors.boss,heros.actors.actor,heros.actors.row,heros.actors.col,heros.actors.boss,heros.actors.actor,heros.actors.row,heros.actors.col,heros.actors.boss,heros.actors.actor,heros.actors.row,heros.actors.col,heros.actors.boss,heros.actors.actor,heros.actors.row,heros.actors.col,heros.actors.boss,heros.actors.actor,heros.actors.row,heros.actors.col,heros.actors.boss,monsters.actors.actor,monsters.actors.row,monsters.actors.col,monsters.actors.boss,monsters.actors.actor,monsters.actors.row,monsters.actors.col,monsters.actors.boss,monsters.actors.actor,monsters.actors.row,monsters.actors.col,monsters.actors.boss,monsters.actors.actor,monsters.actors.row,monsters.actors.col,monsters.actors.boss,monsters.actors.actor,monsters.actors.row,monsters.actors.col,monsters.actors.boss,monsters.actors.actor,monsters.actors.row,monsters.actors.col,monsters.actors.boss,monsters.actors.actor,monsters.actors.row,monsters.actors.col,monsters.actors.boss,monsters.actors.actor,monsters.actors.row,monsters.actors.col,monsters.actors.boss,monsters.actors.actor,monsters.actors.row,monsters.actors.col,monsters.actors.boss,win_conditions.conditions.type,win_conditions.conditions.arg,win_conditions.conditions.type,win_conditions.conditions.arg,win_conditions.reserved,win_conditions.conditions.type,win_conditions.conditions.arg,win_conditions.conditions.type,win_conditions.conditions.arg,win_conditions.reserved,win_conditions.conditions.type,win_conditions.conditions.arg,win_conditions.reserved,lose_conditions.conditions.type,lose_conditions.conditions.arg,win_conditions.reserved,lose_conditions.conditions.type,lose_conditions.conditions.arg,win_conditions.reserved,lose_conditions.conditions.type,lose_conditions.conditions.arg,win_conditions.reserved,round_events.round,round_events.type,round_events.arg,round_events.round,round_events.type,round_events.arg,recommand_zhanli
11,NewBattleScene,,,,,prefabs/zhandou_jiedaobaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,1,2,,1023,2,2,,1023,3,2,,1024,1,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,15520
12,NewBattleScene,,,,,prefabs/zhandou_jiedaobaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,1,2,,1026,2,2,,1026,3,2,,1027,1,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,15800
13,NewBattleScene,,,,,prefabs/zhandou_jiedaobaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028,2,2,,1028,1,3,,1029,3,2,,1030,2,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,15800
14,NewBattleScene,,,,,prefabs/zhandou_yuanzibaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,1,2,,1032,2,2,,1032,3,2,,1033,1,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,15800
15,NewBattleScene,,,,,prefabs/zhandou_yuanzibaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034,1,2,,1035,2,2,,1035,1,3,,1036,3,2,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,17450
16,NewBattleScene,,,,,prefabs/zhandou_yuanzibaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037,2,2,,1037,2,3,,1038,3,2,,1039,1,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,17450
17,NewBattleScene,,,,,prefabs/zhandou_yuanzibaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,1,2,,1041,2,2,,1041,3,2,,1042,2,3,TRUE,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,17890
18,NewBattleScene,,,,,prefabs/zhandou_yuanzibaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,1,2,,1044,2,2,,1044,3,2,,1044,1,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,19630
19,NewBattleScene,,,,,prefabs/zhandou_shangshufudamen,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045,2,2,,1045,1,3,,1045,2,3,,1046,3,2,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,20050
20,NewBattleScene,,,,,prefabs/zhandou_shangshufudamen,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047,1,2,,1047,3,2,,1048,2,2,,1049,2,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,20050
21,NewBattleScene,,,,,prefabs/zhandou_shangshufudamen,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1,2,,1051,2,2,,1052,3,2,,1052,1,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,20050
22,NewBattleScene,,,,,prefabs/zhandou_shangshufudamen,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053,3,2,,1054,1,3,,1054,2,3,,1054,3,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,20050
23,NewBattleScene,,,,,prefabs/zhandou_lifu1,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055,1,2,,1056,1,3,,1057,2,3,TRUE,1058,3,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,21030
24,NewBattleScene,620,,,,prefabs/zhandou_senlinbaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059,1,2,,1060,2,2,,1061,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,17140
25,NewBattleScene,,,,,prefabs/zhandou_senlinbaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062,2,2,,1063,3,2,,1063,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,17460
26,NewBattleScene,,,,,prefabs/zhandou_senlinbaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064,3,2,,1065,1,3,,1065,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,17460
27,NewBattleScene,,,,,prefabs/zhandou_shanjianbaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1066,1,2,,1067,2,2,,1068,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,17460
28,NewBattleScene,,,,,prefabs/zhandou_shanjianbaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,1,3,,1070,2,3,,1071,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,17810
29,NewBattleScene,,,,,prefabs/zhandou_shanjianbaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072,3,2,,1072,2,3,,1073,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,17810
30,NewBattleScene,,,,,prefabs/zhandou_yuanzibaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074,1,2,,1074,3,2,,1075,1,3,,1075,3,3,,1076,2,3,TRUE,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,30280
31,NewBattleScene,,,,,prefabs/zhandou_zoulang1,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,1,2,,1078,2,2,,1079,3,2,,1079,1,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,26130
32,NewBattleScene,,,,,prefabs/zhandou_zoulang1,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,1,2,,1081,2,2,,1081,1,3,,1082,3,2,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,26490
33,NewBattleScene,,,,,prefabs/zhandou_gongqiang,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083,1,2,,1083,2,2,,1083,1,3,,1084,3,2,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,26490
34,NewBattleScene,,,,,prefabs/zhandou_gongqiang,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085,1,2,,1085,3,2,,1086,1,3,,1087,2,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,26490
35,NewBattleScene,,,,,prefabs/zhandou_gongqiang,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088,1,2,,1089,2,2,,1090,3,2,,1090,1,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,26980
36,NewBattleScene,,,,,prefabs/zhandou_gongdian1,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091,2,2,,1092,3,2,,1092,1,3,,1093,2,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,26980
37,NewBattleScene,,,,,prefabs/zhandou_gongdian1,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094,3,2,,1094,2,3,,1094,3,3,,1095,1,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,26980
38,NewBattleScene,,,,,prefabs/zhandou_gongdian1,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096,1,2,,1096,3,2,,1096,3,3,,1097,1,3,,1098,2,3,TRUE,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,34360
39,NewBattleScene,820,,,,prefabs/zhandou_jiedaobaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099,1,2,,1100,2,2,,1100,3,2,,1101,1,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,29620
40,NewBattleScene,,,,,prefabs/zhandou_jiedaobaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102,2,2,,1103,3,2,,1103,2,3,,1104,1,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,29620
41,NewBattleScene,,,,,prefabs/zhandou_jiedaobaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105,2,2,,1105,1,3,,1105,3,3,,1106,3,2,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,29620
42,NewBattleScene,,,,,prefabs/zhandou_jiedaobaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107,1,2,,1108,3,2,,1108,1,3,,1108,3,3,,1109,2,3,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,37030
43,NewBattleScene,,,,,prefabs/zhandou_yuanzibaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,1,2,,1111,2,2,,1111,1,3,,1112,3,2,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,30900
44,NewBattleScene,,,,,prefabs/zhandou_yuanzibaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113,3,2,,1114,1,3,,1114,2,3,,1114,3,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,30900
45,NewBattleScene,,,,,prefabs/zhandou_yuanzibaitian,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115,2,2,,1116,3,2,,1116,1,3,,1117,2,3,TRUE,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,32180
46,NewBattleScene,,,,,prefabs/zhandou_lifu1,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1118,1,2,,1119,2,2,,1119,3,2,,1120,1,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,33630
47,NewBattleScene,,,,,prefabs/zhandou_lifu2,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121,2,2,,1121,1,3,,1121,2,3,,1122,3,2,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,33630
48,NewBattleScene,970,,,,prefabs/zhandou_senlinyewan,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1123,1,2,,1123,3,2,,1124,1,3,,1125,2,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,33630
49,NewBattleScene,,,,,prefabs/zhandou_senlinyewan,BT_NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126,1,2,,1126,3,2,,1127,1,3,,1128,3,3,,,,,,,,,,,,,,,,,,,,,,RIGHT_GRIDS_ALL_DEAD,,,,,,,,,,,,,LEFT_GRIDS_ALL_DEAD,,,ROUND_OVER,10,,,,,5,EDOU,800,8,SIDOU,500,33630
