id,name,icon,day_times_limit,unlock_conditions.conditions.type,unlock_conditions.conditions.arg,unlock_conditions.conditions.arg,unlock_conditions.conditions.type,unlock_conditions.conditions.arg,unlock_conditions.conditions.arg,challenge_conditions.conditions.type,challenge_conditions.conditions.arg,challenge_conditions.conditions.arg,challenge_conditions.conditions.type,challenge_conditions.conditions.arg,challenge_conditions.conditions.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,win_events.events.type,win_events.events.arg,win_events.events.arg,win_events.events.type,win_events.events.arg,win_events.events.arg,win_events.events.type,win_events.events.arg,win_events.events.arg,first_great_events.events.type,first_great_events.events.arg,first_great_events.events.arg,first_great_events.events.type,first_great_events.events.arg,first_great_events.events.arg,battle_pttid,battle_drop_pttid,show_win_conditions,plot_pttid,huanzhuang_pttid,desc,sweep_conditions.conditions.type,sweep_conditions.conditions.arg
11,第一关,icon/touxiang/touxiang_chunming,,PASS_ADVENTURE,10,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,TRIGGER_FEIGE,1,10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,,,
12,第二关,icon/touxiang/touxiang_yuanluoyahuan,99,PASS_ADVENTURE,11,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_EQUIPMENT,2164,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,4,2,1,,,,,
13,第三关,icon/touxiang/touxiang_chunming,99,PASS_ADVENTURE,12,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_EQUIPMENT,2165,2,,,TRIGGER_FEIGE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,5,2,1,,,,,
14,第四关,icon/touxiang/touxiang_chunming,99,PASS_ADVENTURE,13,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,6,2,1,,,,,
15,第五关,icon/touxiang/touxiang_chunming,,PASS_ADVENTURE,14,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,
16,第六关,icon/touxiang/touxiang_baizhi,,PASS_ADVENTURE,15,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_ITEM,5009,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_ITEM,50012,35,ADD_ITEM,5010,3,,,,,3,初到尚书府，想必一身书香门第的服装最合适不过。,,
17,第七关,icon/touxiang/touxiang_chiyunrou,,PASS_ADVENTURE,16,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,,,,
18,第八关,icon/touxiang/touxiang_puren,99,PASS_ADVENTURE,17,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,7,2,1,,,,,
19,第九关,icon/touxiang/touxiang_daniang,99,PASS_ADVENTURE,18,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,8,2,1,,,,,
20,第十关,icon/touxiang/touxiang_daniang,99,PASS_ADVENTURE,19,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,,,,,,TRIGGER_FEIGE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,9,2,1,,,,,
21,第十一关,icon/touxiang/touxiang_zhangshimomo,10,PASS_ADVENTURE,20,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,40,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,10,102,1,,,,,
22,第十二关,icon/touxiang/touxiang_liminfeng,,PASS_ADVENTURE,21,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_EQUIPMENT,2166,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,,,,
23,第一关,icon/touxiang/touxiang_lichangru,,PASS_ADVENTURE,22,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,,,,
24,第二关,icon/touxiang/touxiang_ziyan,,PASS_ADVENTURE,23,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,,,,
25,第三关,icon/touxiang/touxiang_liumang,99,PASS_ADVENTURE,24,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_EQUIPMENT,2161,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,11,3,1,,,,,
26,第四关,icon/touxiang/touxiang_tufei,99,PASS_ADVENTURE,25,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_EQUIPMENT,2162,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,12,3,1,,,,,
27,第五关,icon/touxiang/touxiang_tufei,99,PASS_ADVENTURE,26,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,13,3,1,,,,,
28,第六关,icon/touxiang/touxiang_baizhi,,PASS_ADVENTURE,27,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_ITEM,5009,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_ITEM,50005,20,ADD_ITEM,5010,3,,,,,4,既然要舞狮，那么一身适合舞蹈的服装必不可少。,,
29,第七关,icon/touxiang/touxiang_lichangle,,PASS_ADVENTURE,28,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,,,,
30,第八关,icon/touxiang/touxiang_shibin,99,PASS_ADVENTURE,29,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,14,3,1,,,,,
31,第九关,icon/touxiang/touxiang_shibin,99,PASS_ADVENTURE,30,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,15,3,1,,,,,
32,第十关,icon/touxiang/touxiang_shibin,99,PASS_ADVENTURE,31,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,16,3,1,,,,,
33,第十一关,icon/touxiang/touxiang_qiangbing,10,PASS_ADVENTURE,32,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,40,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,17,103,1,,,,,
34,第十二关,icon/touxiang/touxiang_tuobayu,,PASS_ADVENTURE,33,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_EQUIPMENT,2163,2,,,TRIGGER_FEIGE,4,,,,TRIGGER_MAJOR_CITY_BUBBLE,2,,,,ADD_FEIGE_CHUANWEN,2,,,,ADD_FEIGE_CG,14,,,,TRIGGER_FEIGE,11,10011,,,,,,,,,,,,,,,,,,,,,480,,,,
35,第一关,icon/touxiang/touxiang_liminfeng,,PASS_ADVENTURE,34,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_FEIGE_CG,11,,,,TRIGGER_FEIGE,13,10013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,,,,
36,第二关,icon/touxiang/touxiang_liminfeng,99,PASS_ADVENTURE,35,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_EQUIPMENT,2014,2,,,,,,,,TRIGGER_FEIGE,22,10022,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,18,4,1,,,,,
37,第三关,icon/touxiang/touxiang_liminfeng,99,PASS_ADVENTURE,36,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_EQUIPMENT,2015,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,19,4,1,,,,,
38,第四关,icon/touxiang/touxiang_liminfeng,99,PASS_ADVENTURE,37,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,20,4,1,,,,,
39,第五关,icon/touxiang/touxiang_chiyunrou,,PASS_ADVENTURE,38,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_RESOURCE,EXP,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,,,,
40,第六关,icon/touxiang/touxiang_baizhi,,PASS_ADVENTURE,39,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_ITEM,5009,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_ITEM,50009,20,ADD_ITEM,5010,3,,,,,5,为了更好的进行夜行，服装搭配马虎不得。,,
41,第七关,icon/touxiang/touxiang_chiyunrou,,PASS_ADVENTURE,40,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,,,,
42,第八关,icon/touxiang/touxiang_chunming,99,PASS_ADVENTURE,41,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,40,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,21,4,1,,,,,
43,第九关,icon/touxiang/touxiang_chunming,99,PASS_ADVENTURE,42,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,22,4,1,,,,,
44,第十关,icon/touxiang/touxiang_baifashi,,PASS_ADVENTURE,43,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,,,,
45,第十一关,icon/touxiang/touxiang_baifashi,10,PASS_ADVENTURE,44,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,23,104,1,,,,,
46,第十二关,icon/touxiang/touxiang_lixiaoran,,PASS_ADVENTURE,45,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_EQUIPMENT,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,,,,
47,第一关,icon/touxiang/touxiang_qiangdao,,PASS_ADVENTURE,46,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_FEIGE_CHUANWEN,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,,,,
48,第二关,icon/touxiang/touxiang_qiangdao,99,PASS_ADVENTURE,47,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_EQUIPMENT,2011,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,24,5,1,,,,,
49,第三关,icon/touxiang/touxiang_qiangdao,99,PASS_ADVENTURE,48,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_EQUIPMENT,2012,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,25,5,1,,,,,
50,第四关,icon/touxiang/touxiang_qiangdao,99,PASS_ADVENTURE,49,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,26,5,1,,,,,
51,第五关,icon/touxiang/touxiang_tufei,,PASS_ADVENTURE,50,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,,,,
52,第六关,icon/touxiang/touxiang_tufei,99,PASS_ADVENTURE,51,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,27,5,1,,,,,
53,第七关,icon/touxiang/touxiang_tufei,99,PASS_ADVENTURE,52,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,28,5,1,,,,,
54,第八关,icon/touxiang/touxiang_tufei,99,PASS_ADVENTURE,53,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,40,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,29,5,1,,,,,
55,第九关,icon/touxiang/touxiang_baizhi,,PASS_ADVENTURE,54,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_ITEM,5009,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_ITEM,50013,20,ADD_ITEM,5010,3,,,,,6,看来得精心打理一番，做好完全的准备。,,
56,第十关,icon/touxiang/touxiang_jiading,,PASS_ADVENTURE,55,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,,,,
57,第十一关,icon/touxiang/touxiang_fushang,10,PASS_ADVENTURE,56,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,83,1,,,TRIGGER_FEIGE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,30,105,1,,,,,
58,第十二关,icon/touxiang/touxiang_jiading,,PASS_ADVENTURE,57,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_EQUIPMENT,2013,2,,,ADD_FEIGE_CHUANWEN,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,
59,第一关,icon/touxiang/touxiang_lixiaoran,,PASS_ADVENTURE,58,,LEVEL_GE,25,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,,,,
60,第二关,icon/touxiang/touxiang_wenren,99,PASS_ADVENTURE,59,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_EQUIPMENT,2154,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,31,6,1,,,,,
61,第三关,icon/touxiang/touxiang_wenhao,99,PASS_ADVENTURE,60,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_EQUIPMENT,2155,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,32,6,1,,,,,
62,第四关,icon/touxiang/touxiang_wenhao,99,PASS_ADVENTURE,61,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,5004,1,,,TRIGGER_FEIGE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,33,6,1,,,,,
