time,pttid
20200416,24
20200420,25
20200423,26
20200427,1
20200430,2
20200504,3
20200507,4
20200511,5
20200514,6
20200518,7
20200521,8
20200525,9
20200528,10
20200601,11
20200604,12
20200608,13
20200611,14
20200615,15
20200618,16
20200622,17
20200625,18
20200629,19
20200702,20
20200706,21
20200709,22
20200713,23
20200716,24
20200720,25
20200723,26
20200727,1
20200730,2
20200803,3
20200806,4
20200810,5
20200813,6
20200817,7
20200820,8
20200824,9
20200827,10
20200831,11
20200903,12
20200907,13
20200910,14
20200914,15
20200917,16
20200921,17
20200924,18
20200928,19
20201001,20
20201005,21
20201008,22
20201012,23
20201015,24
20201019,25
20201022,26
20201026,1
20201029,2
20201102,3
20201105,4
20201109,5
20201112,6
20201116,7
20201119,8
20201123,9
20201126,10
20201130,11
20201203,12
20201207,13
20201210,14
20201214,15
20201217,16
20201221,17
20201224,18
20201228,19
20201231,20
20210104,21
20210107,22
20210111,23
20210114,24
20210118,25
20210121,26
20210125,1
20210128,2
20210201,3
20210204,4
20210208,5
20210211,6
20210215,7
20210218,8
20210222,9
20210225,10
20210301,11
20210304,12
20210308,13
20210311,14
20210315,15
20210318,16
20210322,17
20210325,18
20210329,19
20210401,20
20210405,21
20210408,22
20210412,23
20210415,24
20210419,25
20210422,26
20210426,1
20210429,2
20210503,3
20210506,4
20210510,5
20210513,6
20210517,7
20210520,8
20210524,9
20210527,10
20210531,11
20210603,12
20210607,13
20210610,14
20210614,15
20210617,16
20210621,17
20210624,18
20210628,19
20210701,20
20210705,21
20210708,22
20210712,23
20210715,24
20210719,25
20210722,26
20210726,1
20210729,2
20210802,3
20210805,4
20210809,5
20210812,6
20210816,7
20210819,8
20210823,9
20210826,10
20210830,11
20210902,12
20210906,13
20210909,14
20210913,15
20210916,16
20210920,17
20210923,18
20210927,19
20210930,20
20211004,21
20211007,22
20211011,23
20211014,24
20211018,25
20211021,26
20211025,1
20211028,2
20211101,3
20211104,4
20211108,5
20211111,6
20211115,7
20211118,8
20211122,9
20211125,10
20211129,11
20211202,12
20211206,13
20211209,14
20211213,15
20211216,16
20211220,17
20211223,18
20211227,19
20211230,20
20220103,21
20220106,22
20220110,23
20220113,24
20220117,25
20220120,26
20220124,1
20220127,2
20220131,3
20220203,4
20220207,5
20220210,6
20220214,7
20220217,8
20220221,9
20220224,10
20220228,11
20220303,12
20220307,13
20220310,14
20220314,15
20220317,16
20220321,17
20220324,18
20220328,19
20220331,20
20220404,21
20220407,22
20220411,23
20220414,24
20220418,25
20220421,26
20220425,1
20220428,2
20220502,3
20220505,4
20220509,5
20220512,6
20220516,7
20220519,8
20220523,9
20220526,10
20220530,11
20220602,12
20220606,13
20220609,14
20220613,15
20220616,16
20220620,17
20220623,18
20220627,19
20220630,20
20220704,21
20220707,22
20220711,23
20220714,24
20220718,25
20220721,26
20220725,1
20220728,2
20220801,3
20220804,4
20220808,5
20220811,6
20220815,7
20220818,8
20220822,9
20220825,10
20220829,11
20220901,12
20220905,13
20220908,14
20220912,15
20220915,16
20220919,17
20220922,18
20220926,19
20220929,20
20221003,21
20221006,22
20221010,23
20221013,24
20221017,25
20221020,26
20221024,1
20221027,2
20221031,3
20221103,4
20221107,5
20221110,6
20221114,7
20221117,8
20221121,9
20221124,10
20221128,11
20221201,12
20221205,13
20221208,14
20221212,15
20221215,16
20221219,17
20221222,18
20221226,19
20221229,20
20230102,21
20230105,22
20230109,23
20230112,24
20230116,25
20230119,26
20230123,1
20230126,2
20230130,3
20230202,4
20230206,5
20230209,6
20230213,7
20230216,8
20230220,9
20230223,10
20230227,11
20230302,12
20230306,13
20230309,14
20230313,15
20230316,16
20230320,17
20230323,18
20230327,19
20230330,20
20230403,21
20230406,22
20230410,23
20230413,24
20230417,25
20230420,26
20230424,1
20230427,2
20230501,3
20230504,4
20230508,5
20230511,6
20230515,7
20230518,8
20230522,9
20230525,10
20230529,11
20230601,12
20230605,13
20230608,14
20230612,15
20230615,16
20230619,17
20230622,18
20230626,19
20230629,20
20230703,21
20230706,22
20230710,23
20230713,24
20230717,25
20230720,26
20230724,1
20230727,2
20230731,3
20230803,4
20230807,5
20230810,6
