level,organizer_rewards.events.type,organizer_rewards.events.arg,organizer_rewards.events.arg,organizer_rewards.events.type,organizer_rewards.events.arg,organizer_rewards.events.arg,attendee_rewards.events.type,attendee_rewards.events.arg,attendee_rewards.events.arg,organizer_extra_rewards.events.type,organizer_extra_rewards.events.arg,organizer_extra_rewards.events.arg,attendee_extra_rewards.events.type,attendee_extra_rewards.events.arg,attendee_extra_rewards.events.arg
11,ADD_RESOURCE,MANSION_FURNITURE_COIN,1050,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,310,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
12,ADD_RESOURCE,MANSION_FURNITURE_COIN,1100,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,320,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
13,ADD_RESOURCE,MANSION_FURNITURE_COIN,1150,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,330,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
14,ADD_RESOURCE,MANSION_FURNITURE_COIN,1200,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,340,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
15,ADD_RESOURCE,MANSION_FURNITURE_COIN,1250,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,350,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
16,ADD_RESOURCE,MANSION_FURNITURE_COIN,1300,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,360,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
17,ADD_RESOURCE,MANSION_FURNITURE_COIN,1350,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,370,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
18,ADD_RESOURCE,MANSION_FURNITURE_COIN,1400,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,380,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
19,ADD_RESOURCE,MANSION_FURNITURE_COIN,1450,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,390,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
20,ADD_RESOURCE,MANSION_FURNITURE_COIN,1500,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,400,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
21,ADD_RESOURCE,MANSION_FURNITURE_COIN,1550,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,410,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
22,ADD_RESOURCE,MANSION_FURNITURE_COIN,1600,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,420,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
23,ADD_RESOURCE,MANSION_FURNITURE_COIN,1650,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,430,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
24,ADD_RESOURCE,MANSION_FURNITURE_COIN,1700,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,440,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
25,ADD_RESOURCE,MANSION_FURNITURE_COIN,1750,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,450,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
26,ADD_RESOURCE,MANSION_FURNITURE_COIN,1800,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,460,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
27,ADD_RESOURCE,MANSION_FURNITURE_COIN,1850,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,470,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
28,ADD_RESOURCE,MANSION_FURNITURE_COIN,1900,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,480,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
29,ADD_RESOURCE,MANSION_FURNITURE_COIN,1950,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,490,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
30,ADD_RESOURCE,MANSION_FURNITURE_COIN,2000,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,500,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
31,ADD_RESOURCE,MANSION_FURNITURE_COIN,2050,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,510,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
32,ADD_RESOURCE,MANSION_FURNITURE_COIN,2100,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,520,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
33,ADD_RESOURCE,MANSION_FURNITURE_COIN,2150,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,530,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
34,ADD_RESOURCE,MANSION_FURNITURE_COIN,2200,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,540,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
35,ADD_RESOURCE,MANSION_FURNITURE_COIN,2250,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,550,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
36,ADD_RESOURCE,MANSION_FURNITURE_COIN,2300,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,560,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
37,ADD_RESOURCE,MANSION_FURNITURE_COIN,2350,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,570,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
38,ADD_RESOURCE,MANSION_FURNITURE_COIN,2400,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,580,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
39,ADD_RESOURCE,MANSION_FURNITURE_COIN,2450,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,590,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
40,ADD_RESOURCE,MANSION_FURNITURE_COIN,2500,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,600,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
41,ADD_RESOURCE,MANSION_FURNITURE_COIN,2550,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,610,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
42,ADD_RESOURCE,MANSION_FURNITURE_COIN,2600,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,620,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
43,ADD_RESOURCE,MANSION_FURNITURE_COIN,2650,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,630,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
44,ADD_RESOURCE,MANSION_FURNITURE_COIN,2700,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,640,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
45,ADD_RESOURCE,MANSION_FURNITURE_COIN,2750,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,650,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
46,ADD_RESOURCE,MANSION_FURNITURE_COIN,2800,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,660,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
47,ADD_RESOURCE,MANSION_FURNITURE_COIN,2850,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,670,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
48,ADD_RESOURCE,MANSION_FURNITURE_COIN,2900,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,680,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
49,ADD_RESOURCE,MANSION_FURNITURE_COIN,2950,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,690,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
50,ADD_RESOURCE,MANSION_FURNITURE_COIN,3000,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,700,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
51,ADD_RESOURCE,MANSION_FURNITURE_COIN,3050,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,710,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
52,ADD_RESOURCE,MANSION_FURNITURE_COIN,3100,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,720,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
53,ADD_RESOURCE,MANSION_FURNITURE_COIN,3150,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,730,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
54,ADD_RESOURCE,MANSION_FURNITURE_COIN,3200,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,740,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
55,ADD_RESOURCE,MANSION_FURNITURE_COIN,3250,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,750,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
56,ADD_RESOURCE,MANSION_FURNITURE_COIN,3300,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,760,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
57,ADD_RESOURCE,MANSION_FURNITURE_COIN,3350,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,770,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
58,ADD_RESOURCE,MANSION_FURNITURE_COIN,3400,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,780,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
59,ADD_RESOURCE,MANSION_FURNITURE_COIN,3450,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,790,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
60,ADD_RESOURCE,MANSION_FURNITURE_COIN,3500,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,800,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
61,ADD_RESOURCE,MANSION_FURNITURE_COIN,3550,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,810,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
62,ADD_RESOURCE,MANSION_FURNITURE_COIN,3600,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,820,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
63,ADD_RESOURCE,MANSION_FURNITURE_COIN,3650,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,830,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
64,ADD_RESOURCE,MANSION_FURNITURE_COIN,3700,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,840,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
65,ADD_RESOURCE,MANSION_FURNITURE_COIN,3750,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,850,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
66,ADD_RESOURCE,MANSION_FURNITURE_COIN,3800,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,860,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
67,ADD_RESOURCE,MANSION_FURNITURE_COIN,3850,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,870,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
68,ADD_RESOURCE,MANSION_FURNITURE_COIN,3900,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,880,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
69,ADD_RESOURCE,MANSION_FURNITURE_COIN,3950,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,890,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
70,ADD_RESOURCE,MANSION_FURNITURE_COIN,4000,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,900,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
71,ADD_RESOURCE,MANSION_FURNITURE_COIN,4050,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,910,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
72,ADD_RESOURCE,MANSION_FURNITURE_COIN,4100,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,920,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
73,ADD_RESOURCE,MANSION_FURNITURE_COIN,4150,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,930,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
74,ADD_RESOURCE,MANSION_FURNITURE_COIN,4200,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,940,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
75,ADD_RESOURCE,MANSION_FURNITURE_COIN,4250,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,950,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
76,ADD_RESOURCE,MANSION_FURNITURE_COIN,4300,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,960,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
77,ADD_RESOURCE,MANSION_FURNITURE_COIN,4350,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,970,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
78,ADD_RESOURCE,MANSION_FURNITURE_COIN,4400,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,980,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
79,ADD_RESOURCE,MANSION_FURNITURE_COIN,4450,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,990,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
80,ADD_RESOURCE,MANSION_FURNITURE_COIN,4500,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
81,ADD_RESOURCE,MANSION_FURNITURE_COIN,4550,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1010,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
82,ADD_RESOURCE,MANSION_FURNITURE_COIN,4600,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1020,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
83,ADD_RESOURCE,MANSION_FURNITURE_COIN,4650,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1030,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
84,ADD_RESOURCE,MANSION_FURNITURE_COIN,4700,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1040,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
85,ADD_RESOURCE,MANSION_FURNITURE_COIN,4750,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1050,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
86,ADD_RESOURCE,MANSION_FURNITURE_COIN,4800,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1060,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
87,ADD_RESOURCE,MANSION_FURNITURE_COIN,4850,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1070,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
88,ADD_RESOURCE,MANSION_FURNITURE_COIN,4900,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1080,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
89,ADD_RESOURCE,MANSION_FURNITURE_COIN,4950,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1090,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
90,ADD_RESOURCE,MANSION_FURNITURE_COIN,5000,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1100,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
91,ADD_RESOURCE,MANSION_FURNITURE_COIN,5050,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1110,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
92,ADD_RESOURCE,MANSION_FURNITURE_COIN,5100,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1120,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
93,ADD_RESOURCE,MANSION_FURNITURE_COIN,5150,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1130,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
94,ADD_RESOURCE,MANSION_FURNITURE_COIN,5200,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1140,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
95,ADD_RESOURCE,MANSION_FURNITURE_COIN,5250,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1150,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
96,ADD_RESOURCE,MANSION_FURNITURE_COIN,5300,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1160,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
97,ADD_RESOURCE,MANSION_FURNITURE_COIN,5350,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1170,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
98,ADD_RESOURCE,MANSION_FURNITURE_COIN,5400,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1180,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
99,ADD_RESOURCE,MANSION_FURNITURE_COIN,5450,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1190,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
100,ADD_RESOURCE,MANSION_FURNITURE_COIN,5500,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1200,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
101,ADD_RESOURCE,MANSION_FURNITURE_COIN,5550,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1210,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
102,ADD_RESOURCE,MANSION_FURNITURE_COIN,5600,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1220,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
103,ADD_RESOURCE,MANSION_FURNITURE_COIN,5650,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1230,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
104,ADD_RESOURCE,MANSION_FURNITURE_COIN,5700,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1240,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
