id,name,female_plot,male_plot,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,next_plot,events.events.type,events.events.arg,events.events.arg,fief_events.events.type,fief_events.events.arg,fief_events.events.arg,lock_option
400180,,,,DIALOG_BUBBLE,这个技能可以攻击竖排的敌人，让我们用它来消灭敌人。,3,soundeffects/410180,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400190,,,,DIALOG_BUBBLE,老爷和老夫人有危险！赶紧把这些人解决掉！,1,soundeffects/410190,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400200,,,,DIALOG_BUBBLE,与拓跋浚和承德一起击败他们吧。,2,soundeffects/410200,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400201,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400202,,,,DIALOG_BUBBLE,如果觉得每次都要指挥太累，就点这让我们自己战斗吧，再点一次可以切回原来的状态。,2,soundeffects/410202,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400210,,,,DIALOG_BUBBLE,我们只能暂时对付他们，接下来我们要怎么做。,1,soundeffects/410210,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400211,,,,DIALOG_BUBBLE,我们开启了一个支线剧情，一会记得去看看。,4,soundeffects/410211,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400220,,,,DIALOG_BUBBLE,一切都结束了，还是刚刚开始？,1,soundeffects/410220,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400230,,,,DIALOG_BUBBLE,回家，我以后还能有家吗？,2,soundeffects/410230,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400250,,,,DIALOG_BUBBLE,换上白芷紫烟给你带来的衣服吧。,3,soundeffects/410250,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400259,,,,DIALOG_BUBBLE,先把发型换了。,2,soundeffects/410259,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400260,,,,HIGHLIGHT,,,,HAND_SLIDE,,,,,,,,,,,,,,,,,
400261,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400270,,,,DIALOG_BUBBLE,接下来把主要衣服也换了！,2,soundeffects/410270,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400280,,,,HIGHLIGHT,,,,HAND_SLIDE,,,,,,,,,,,,,,,,,
400281,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400290,,,,DIALOG_BUBBLE,手上也换上适合的东西吧！,2,soundeffects/410290,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400300,,,,HIGHLIGHT,,,,HAND_SLIDE,,,,,,,,,,,,,,,,,
400309,,,,DIALOG_BUBBLE,当自己没有什么想法的时候，点击自动换装可以快速完成换装！,4,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400310,,,,DIALOG_BUBBLE,终于换完了，看看现在的样子吧！,3,soundeffects/410310,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400320,,,,DIALOG_BUBBLE,要出发去李府了！,2,soundeffects/410320,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400330,,,,DIALOG_BUBBLE,白芷和紫烟，她们两个将在未来陪伴你的左右。,1,soundeffects/410330,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400340,,,,DIALOG_BUBBLE,从这里可以配置阵容，让她们快速上阵。,4,soundeffects/410340,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400350,,,,DIALOG_BUBBLE,配置一下我们当前的阵容，让白芷和紫烟帮助你吧。,4,soundeffects/410350,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400360,,,,DIALOG_BUBBLE,选中紫烟，用手指拖动加入阵容。,6,soundeffects/410360,HIGHLIGHT,,,,HAND_SLIDE,,,,,,,,,,,,,
400370,,,,DIALOG_BUBBLE,白芷是辅助伙伴，可以在战斗中帮你治疗，让她站得靠后一点。,6,soundeffects/410370,HIGHLIGHT,,,,HAND_SLIDE,,,,,,,,,,,,,
400380,,,,DIALOG_BUBBLE,上阵完毕，不要忘记保存阵容。,3,soundeffects/410380,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400390,,,,DIALOG_BUBBLE,有了伙伴的帮助，你会变得更强，今后有了新的伙伴也不要忘记带他上阵。,2,soundeffects/410390,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400400,,,,DIALOG_BUBBLE,帮手也到了，一起去把刺客解决了吧！,3,soundeffects/410400,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400401,,,,DIALOG_BUBBLE,总算解决刺客了，但危机似乎还未解除。,1,soundeffects/410401,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400410,,,,DIALOG_BUBBLE,这样第一章就结束了，可不要忘记领走通关奖励，这可是为你特意准备的。,4,soundeffects/410410,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400420,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400430,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400431,,,,DIALOG_BUBBLE,我们来看下刚才获得的称号吧！,2,soundeffects/410431,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400432,,,,DIALOG_BUBBLE,点击这里进入称号界面。,1,soundeffects/410432,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400433,,,,DIALOG_BUBBLE,刚才获得了这个称号，让我们点击把它佩戴上！,2,soundeffects/410433,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400434,,,,DIALOG_BUBBLE,点击佩戴就可以显示我们已经获得的称号了。,3,soundeffects/410434,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400435,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400436,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400440,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400450,,,,DIALOG_BUBBLE,记得每次完成了任务来这里领取，我给你准备了丰厚的奖励。,3,soundeffects/410450,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400460,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400470,,,,DIALOG_BUBBLE,当你不知道干什么的时候，记得来点这里的指引。,3,soundeffects/410470,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400480,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400490,,,,DIALOG_BUBBLE,怎么？对诗会有兴趣？哈哈，正巧我也喜欢闲时写些诗词，这可是个好去处，能结识各种各样的人物。,1,soundeffects/410490,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400500,,,,DIALOG_BUBBLE,这场诗会虽然看似平平，但也未必不会遇到良士，一同去看看吧。,4,soundeffects/410500,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400510,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400520,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400530,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400540,,,,DIALOG_BUBBLE,嗯？这边的画舫上好像有不少熟人，他们皆为有识之士，让我来替你引荐一番。,3,soundeffects/410540,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400550,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400560,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400570,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400580,,,,DIALOG_BUBBLE,这里能看到都有谁参加过诗会，嗯……如果拿着他们的信物，是不是就能去登门拜访了呢？,3,soundeffects/410580,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400590,,,,DIALOG_BUBBLE,这里把名士做了一些分类，承德能保护你，属于防御类的伙伴。,1,soundeffects/410590,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400600,,,,DIALOG_BUBBLE,你已经拿到他的信物了，那也不算贸然拜访了。,2,soundeffects/410600,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400610,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400620,,,,DIALOG_BUBBLE,承德与你一见如故，恭喜你结识了一名新伙伴！,1,soundeffects/410620,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400630,,,,DIALOG_BUBBLE,这里可以看到你和伙伴的能力，还可提升你们的能力。,4,soundeffects/410630,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400640,,,,DIALOG_BUBBLE,这里我们可以用天书墨来修改我们的命运。,1,soundeffects/410640,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400650,,,,DIALOG_BUBBLE,看，这里是人生中将要经历的不幸命运。,1,soundeffects/410650,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400660,,,,DIALOG_BUBBLE,古来贤俊多坎坷，不用害怕，这些经历会让你变得更强。,3,soundeffects/410660,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400670,,,,DIALOG_BUBBLE,再来一次，逆命可以提升你的属性。,3,soundeffects/410670,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400680,,,,DIALOG_BUBBLE,最后一次，它还可以使我们解锁技能。,3,soundeffects/410680,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400690,,,,DIALOG_BUBBLE,提升伙伴的能力吧！,4,soundeffects/410690,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400700,,,,DIALOG_BUBBLE,把伙伴升级。,4,soundeffects/410700,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400710,,,,DIALOG_BUBBLE,这个可以直接升到最高级。,4,soundeffects/410710,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400720,,,,DIALOG_BUBBLE,可以从这里快速切换其他伙伴。,4,soundeffects/410720,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400730,,,,DIALOG_BUBBLE,再升到最高级。,4,soundeffects/410730,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400740,,,,DIALOG_BUBBLE,除了升级，这里还有其他提升自身和伙伴能力的途径，剩下的就交给你自己研究吧。,2,soundeffects/410740,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400750,,,,DIALOG_BUBBLE,既然来到了国都平城，总得到四处逛逛。,1,soundeffects/410750,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400760,,,,DIALOG_BUBBLE,五皇子拓跋翰，便是从九品考核的考官。,4,soundeffects/410760,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400770,,,,DIALOG_BUBBLE,通过考核就能获得官职。,4,soundeffects/410770,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400780,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400790,,,,DIALOG_BUBBLE,在提升等级之后，可以晋升考核继续提升官品。,1,soundeffects/410790,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400800,,,,DIALOG_BUBBLE,有了官品，便可入朝堂。文武百官都在这里议政。,2,soundeffects/410800,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400810,,,,DIALOG_BUBBLE,这便是从九品官员所在队列。,3,soundeffects/410810,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400820,,,,DIALOG_BUBBLE,这就是在当前官品的排名，你可以点击挑战其他同僚，胜利则可以获得相应的排名。,5,soundeffects/410820,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400821,,,,DIALOG_BUBBLE,每天可以领取一次俸禄，官品和排名越高，领取的俸禄越多。,3,soundeffects/410821,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400830,,,,DIALOG_BUBBLE,想要在朝堂中立足，权谋之术是必不可少的。官品越高，可使用的互动越多。,3,soundeffects/410830,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400840,,,,DIALOG_BUBBLE,请安是结识朝中伙伴的好途径，请安可以增加对方的魅力，自己也会获得经验。,2,soundeffects/410840,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400841,,,,DIALOG_BUBBLE,试试向一个陌生人请安吧，也许以后你们会成为亲密的伙伴。,1,soundeffects/410841,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400843,,,,DIALOG_BUBBLE,当达到一定条件或者好感度是我们将收到他们的飞鸽传书。,2,soundeffects/400843,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400844,,,,DIALOG_BUBBLE,点击他们的头像来看收到的飞鸽传书。,2,soundeffects/400844,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400845,,,,DIALOG_BUBBLE,我们可以点击毛笔来回信。,1,soundeffects/400845,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400846,,,,DIALOG_BUBBLE,选择要回给伙伴的书信内容，我们就可以和伙伴交流了。,4,soundeffects/400846,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400850,,,,DIALOG_BUBBLE,有一个新功能开启了，伙伴们都迫不及待了。,4,soundeffects/410850,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400860,,,,DIALOG_BUBBLE,点击选择第二个角色。,4,soundeffects/410860,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400870,,,,DIALOG_BUBBLE,知书识理，敦睦嘉仁，着即册封。诰封将提升官品，并大幅提升伙伴的属性！,1,soundeffects/410870,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400880,,,,DIALOG_BUBBLE,每次诰封可以在这里查看条件。,3,soundeffects/410880,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400890,,,,DIALOG_BUBBLE,条件满足后就可以点这里诰封了，快去试试吧。,3,soundeffects/410890,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400900,,,,DIALOG_BUBBLE,来吧，试试新获得的力量。,3,soundeffects/410900,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400910,,,,DIALOG_BUBBLE,点击这里进入花魂。,3,soundeffects/410910,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400920,,,,DIALOG_BUBBLE,先选择对应的花瓣来找到我们获得的花魂。,1,soundeffects/410920,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400930,,,,DIALOG_BUBBLE,选择花魂，让信息和装备按钮弹出。,2,soundeffects/410930,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400940,,,,DIALOG_BUBBLE,来装备上第一个，有没有感到力量在增强。,3,soundeffects/410940,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400950,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400960,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400970,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400980,,,,DIALOG_BUBBLE,当我们装备的同一类花魂达到一定数量时将会激活特殊效果。,1,soundeffects/410980,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400981,,,,DIALOG_BUBBLE,珍宝阁有各种稀有的礼包道具，而且都是有时限的，快来看看吧。,1,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400990,,,,DIALOG_BUBBLE,想知道哪里可以获得更多花魂吗？跟我来。,1,soundeffects/410990,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401000,,,,DIALOG_BUBBLE,这里面……好像有什么东西在呼唤着…………,4,soundeffects/411000,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401010,,,,DIALOG_BUBBLE,当你力量足够强大之时，自己独闯也并非不可能。,3,soundeffects/411010,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401020,,,,DIALOG_BUBBLE,如果遇到难以攻克的关卡，试试呼唤旁人组队攻克吧。,3,soundeffects/411020,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401024,,,,DIALOG_BUBBLE,让我没点击情缘，开启我们的浪漫之旅吧,1,soundeffects/401024,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401025,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
401026,,,,DIALOG_BUBBLE,星星相应，当与好友的好感度达到一定程度后可以点击这里来求婚,1,soundeffects/401026,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401027,,,,DIALOG_BUBBLE,在活动时间内，我们可以消耗星星来这里接受别人的爱意,1,soundeffects/401027,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401028,,,,DIALOG_BUBBLE,在活动时间内，我们可以消耗星星来这里挑选最强力的伴侣,1,soundeffects/401028,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401029,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
401030,,,,DIALOG_BUBBLE,这里就是你的府邸吗？我还是第一次来。,4,soundeffects/411030,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401040,,,,DIALOG_BUBBLE,嗯？你想问我在家举办宴会的方法吗？这里可以哟。,3,soundeffects/411040,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401050,,,,DIALOG_BUBBLE,嗯……这里是主厅，经过布置一定会变得更好看。,1,soundeffects/411050,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401060,,,,DIALOG_BUBBLE,这个情缘签我们可以派遣两个我们中意的小伙伴，让他们一起去游玩，让他们谁和谁在一起由你决定。,3,soundeffects/411060,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401070,,,,DIALOG_BUBBLE,先选择个让小伙伴约会的地方。,2,soundeffects/411070,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401080,,,,DIALOG_BUBBLE,选择你的一个伙伴。,2,soundeffects/411080,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401090,,,,DIALOG_BUBBLE,选择另一个你想让他们一起的伙伴。,2,soundeffects/411090,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401100,,,,DIALOG_BUBBLE,快快派遣他们去约会吧。,3,soundeffects/411100,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401110,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
401120,,,,DIALOG_BUBBLE,这里，可以用来购置家具。,1,soundeffects/411120,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401130,,,,DIALOG_BUBBLE,这个家具正好合适。,1,soundeffects/411130,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401140,,,,DIALOG_BUBBLE,我们来看一看这个放在家中的样子吧。,3,soundeffects/411140,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401150,,,,DIALOG_BUBBLE,返回的时候会对现在已经放在家中的家具做一个统计。,2,soundeffects/411150,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401160,,,,DIALOG_BUBBLE,确认我们要更换布局。,3,soundeffects/411160,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401170,,,,DIALOG_BUBBLE,这样操作后我们就放上了一个家具，当然你还可以拖动来布置它。,3,soundeffects/411170,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401180,,,,DIALOG_BUBBLE,我们来看下府邸还有啥其他的功能吧。,2,soundeffects/411180,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401190,,,,DIALOG_BUBBLE,来看下池塘。,2,soundeffects/411190,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401200,,,,DIALOG_BUBBLE,这里可以派遣伙伴钓鱼。,3,soundeffects/411200,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401210,,,,DIALOG_BUBBLE,当然自己也能手动钓鱼。,3,soundeffects/411210,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401220,,,,DIALOG_BUBBLE,我们再来逛逛吧。,2,soundeffects/411220,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401221,,,,DIALOG_BUBBLE,看，我们的菜地开启了，我们可以在这里种植新鲜的蔬菜，然后拿到厨房去烹饪。,4,soundeffects/401221,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401222,,,,DIALOG_BUBBLE,点击空着的土地,4,soundeffects/401222,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401223,,,,DIALOG_BUBBLE,选择我们想要的种植的种子,1,soundeffects/401223,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401224,,,,DIALOG_BUBBLE,洒水是必不可少的,4,soundeffects/401224,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401225,,,,DIALOG_BUBBLE,我们来施点肥，让我们种的之物快速生长,4,soundeffects/401225,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401226,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
401227,,,,DIALOG_BUBBLE,现在到了收获的时候了，点击收获,4,soundeffects/401227,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401228,,,,DIALOG_BUBBLE,现在青菜有了，我们去厨房看看能把它做成什么吧,4,soundeffects/401228,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401231,,,,DIALOG_BUBBLE,厨房可以产出菜肴，用于宴会。,4,soundeffects/401231,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401232,,,,DIALOG_BUBBLE,点击烹饪按钮开始我们的首次烹饪,3,soundeffects/401232,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401233,,,,DIALOG_BUBBLE,现在我们只可以做这一道菜，当我们很好的做出这道菜后，就可以尝试新的菜品了,2,soundeffects/401233,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401234,,,,DIALOG_BUBBLE,材料也够了，让我们点击这里开始吧，要注意我给的提示哟！,3,soundeffects/401234,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401241,,,,DIALOG_BUBBLE,除了左侧的每日任务，我们可以打开整个每日任务的界面去查看更多的任务。,1,soundeffects/411241,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401242,,,,DIALOG_BUBBLE,点击这里进入整个每日任务界面。,4,soundeffects/411242,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401243,,,,DIALOG_BUBBLE,每天可以来这里获得大量的经验。,1,soundeffects/411243,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401250,,,,DIALOG_BUBBLE,文无第一，武无第二。,3,soundeffects/411250,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401260,,,,DIALOG_BUBBLE,这里可以回顾我们的比武历程。,2,soundeffects/411260,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401270,,,,DIALOG_BUBBLE,这里可以看到我们每天可以获得的奖励。,4,soundeffects/411270,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401280,,,,DIALOG_BUBBLE,这里选择我们想挑战的人。,1,soundeffects/411280,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401290,,,,DIALOG_BUBBLE,天资聪颖者繁多，可多因怠惰而平庸，只有学会磨砺自己的才是强者。,4,soundeffects/411290,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401300,,,,DIALOG_BUBBLE,就选你吧。,4,soundeffects/411300,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401310,,,,DIALOG_BUBBLE,点击学识按钮。,1,soundeffects/411310,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401320,,,,DIALOG_BUBBLE,这里可以看我们通过学习增加的力量。,1,soundeffects/411320,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401330,,,,DIALOG_BUBBLE,这里就可以学习啦。,3,soundeffects/411330,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
