id,name,female_plot,male_plot,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,next_plot,events.events.type,events.events.arg,events.events.arg,fief_events.events.type,fief_events.events.arg,fief_events.events.arg,fief_events.events.type,fief_events.events.arg,fief_events.events.arg,lock_option
100032,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆支付了一笔资金，安抚了死者家属情绪。,,,,,,,,,,,,,,,,,ADD_RESOURCE,FRT_ORDER,75,DEC_RESOURCE,FRT_MONEY,25,
100033,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆拒绝支付赔偿，引起了死者家属的不满。,,,,,,,,,,,,,,,,,ADD_RESOURCE,FRT_MONEY,75,DEC_RESOURCE,FRT_ORDER,25,
100040,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,MUSIC,music/nalanyiguan,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_disappear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,在一口气拍死了十三只苍蝇后，医馆负责人终于忍受不住，申请装修下医馆，改善卫生环境。,,,,,100041,,,,,,,,,,
100041,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,现在前线正在交战，病人正多，此时装修，大大影响医馆生意。,,,OPTIONS,100041,,,,,,,,,,,,,,,,,,,,,,,
100042,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,装修期间，医馆接待病人数量大大减少。,,,,,,,,,,,,,,,,,DEC_RESOURCE,FRT_MONEY,25,ADD_RESOURCE,FRT_LABOUR,75,
100043,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,待渡过这段生意火爆期，再进行装修。,,,,,,,,,,,,,,,,,DEC_RESOURCE,FRT_LABOUR,25,ADD_RESOURCE,FRT_MONEY,75,
100050,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,MUSIC,music/nalanyiguan,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_disappear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆之前响应创建文明都城号召，开始大规模装修。这导致医馆一床难求。不幸的是，一位病人因此错过了治疗时机，离开了人世。病人家属无法接受这个结局，要求医馆赔偿。,,,,,100051,,,,,,,,,,
100051,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆延误了治疗时机，导致病人离世，的确不对。但医馆装修，也是为了之后更好的救治病人。,,,OPTIONS,100051,,,,,,,,,,,,,,,,,,,,,,,
100052,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆拒绝支付赔偿，引起了死者家属的不满。,,,,,,,,,,,,,,,,,DEC_RESOURCE,FRT_ORDER,25,ADD_RESOURCE,FRT_MONEY,75,
100053,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆支付了一笔资金，安抚了死者家属。,,,,,,,,,,,,,,,,,ADD_RESOURCE,FRT_ORDER,75,DEC_RESOURCE,FRT_MONEY,75,
100060,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,MUSIC,music/nalanyiguan,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_disappear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆年久失修，卫生环境连都城的丐帮都看不下去了；部分病人，在这种极端环境下，病情比来之前更严重了；这些病人集体要求医馆赔偿。,,,,,100061,,,,,,,,,,
100061,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆现在正是接待病人的高峰期，难免会有疏忽，但医馆不注重卫生，的确有违医德了。,,,OPTIONS,100061,,,,,,,,,,,,,,,,,,,,,,,
100062,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆拒绝支付赔偿，引起了死者家属的不满。,,,,,,,,,,,,,,,,,DEC_RESOURCE,FRT_ORDER,25,ADD_RESOURCE,FRT_MONEY,75,
100063,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆支付了一笔资金，安抚了死者家属。,,,,,,,,,,,,,,,,,DEC_RESOURCE,FRT_MONEY,25,ADD_RESOURCE,FRT_ORDER,75,
100070,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,MUSIC,music/nalanyiguan,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_disappear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,病人家属为了省钱，找年轻经验不够的大夫替病人治病，年轻大夫由于缺乏经验导致了医疗事故，家属要求赔偿。,,,,,100071,,,,,,,,,,
100071,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,病人家属为了省钱反而导致了不好的后果。,,,OPTIONS,100071,,,,,,,,,,,,,,,,,,,,,,,
100072,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆拒绝支付赔偿，引起了死者家属的不满。,,,,,,,,,,,,,,,,,ADD_RESOURCE,FRT_MONEY,75,DEC_RESOURCE,FRT_ORDER,25,
100073,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆支付了一笔资金安抚了死者家属。,,,,,,,,,,,,,,,,,DEC_RESOURCE,FRT_MONEY,25,ADD_RESOURCE,FRT_ORDER,75,
100080,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,MUSIC,music/nalanyiguan,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_disappear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,一批刚从京城医学部毕业的大夫分配工作到了医馆，如何安排这批跃跃欲试的小牛犊是个问题。,,,,,100081,,,,,,,,,,
100081,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,可以派到三甲医馆学习去学习，花费不少，但是年轻医生更容易得到提升。,,,OPTIONS,100081,,,,,,,,,,,,,,,,,,,,,,,
100082,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆支付了一笔资金用来安排新大夫实习，新大夫的水平有了显著提高。,,,,,,,,,,,,,,,,,DEC_RESOURCE,FRT_MONEY,25,ADD_RESOURCE,FRT_LABOUR,75,
100083,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆的大夫数量增加了，但新大夫经验不足，闹出很多岔子。,,,,,,,,,,,,,,,,,DEC_RESOURCE,FRT_LABOUR,25,ADD_RESOURCE,FRT_MONEY,75,
100090,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,MUSIC,music/nalanyiguan,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_disappear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆来了一名无赖，声称自己得了绝症，霸着医馆的床位，餐餐都吃正常三四位病人的饭量，而且至今未付任何医药费，要如何处理呢？,,,,,100091,,,,,,,,,,
100091,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,这种无赖，怎么处理似乎都会惹一身臭。,,,OPTIONS,100091,,,,,,,,,,,,,,,,,,,,,,,
100092,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,不明所以的群众们似乎有些不满。,,,,,,,,,,,,,,,,,DEC_RESOURCE,FRT_ORDER,25,ADD_RESOURCE,FRT_MATERIAL,75,
100093,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,不明真相的群众们觉得您真是宅心仁厚。,,,,,,,,,,,,,,,,,ADD_RESOURCE,FRT_ORDER,75,DEC_RESOURCE,FRT_MATERIAL,25,
100100,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,MUSIC,music/nalanyiguan,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_disappear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,经过一系列专业的检查，发现那名无赖的确身患罕见的疾病，而且无赖渐渐开始发病了，日渐消瘦。,,,,,100101,,,,,,,,,,
100101,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,众生皆平等，虽然很想揍这个无赖，但见死不救有违医德。,,,OPTIONS,100101,,,,,,,,,,,,,,,,,,,,,,,
100102,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,无赖没有得到救治，终于去世了。,,,,,,,,,,,,,,,,,DEC_RESOURCE,FRT_LABOUR,25,ADD_RESOURCE,FRT_MONEY,75,
100103,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,无赖受到了感化，以后打算好好努力工作。,,,,,,,,,,,,,,,,,ADD_RESOURCE,FRT_LABOUR,75,DEC_RESOURCE,FRT_MATERIAL,25,
100110,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,MUSIC,music/nalanyiguan,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_disappear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,门口来了位衣衫褴褛的老人，嘴里念叨着几句诗，隐约听到“生死矣”之类的；老人要求医馆免费帮忙检查下身体健康与否。,,,,,100111,,,,,,,,,,
100111,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,老人看上去给不起报酬，然与人为善，手有余香。,,,OPTIONS,100111,,,,,,,,,,,,,,,,,,,,,,,
100112,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,老人其实是神仙下凡，遇到如此宅心仁厚的主人，天降祥瑞。,,,,,,,,,,,,,,,,,ADD_RESOURCE,FRT_ORDER,75,ADD_RESOURCE,FRT_MONEY,75,
100113,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,老人叹了一口气，转身离开了。,,,,,,,,,,,,,,,,,DEC_RESOURCE,FRT_ORDER,25,ADD_RESOURCE,FRT_MATERIAL,75,
100120,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,MUSIC,music/nalanyiguan,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_disappear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,一名衣衫褴褛的老人来到医馆要求治病。,,,,,100121,,,,,,,,,,
100121,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,一名衣衫褴褛的老人来到医馆要求治病。,,,OPTIONS,100121,,,,,,,,,,,,,,,,,,,,,,,
100122,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,老人在医馆接受治疗时发现他打算在中药中下毒。。。,,,,,,,,,,,,,,,,,DEC_RESOURCE,FRT_LABOUR,25,ADD_RESOURCE,FRT_MATERIAL,75,
100123,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,主人火眼金睛，他果然是敌国派来的奸细。,,,,,,,,,,,,,,,,,ADD_RESOURCE,FRT_ORDER,75,DEC_RESOURCE,FRT_LABOUR,25,
100124,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,坏人跑了，快追！,,,,,,,,,,,,,,,,,ADD_RESOURCE,FRT_ORDER,50,ADD_RESOURCE,FRT_LABOUR,50,
100125,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,可怜的老爷爷已经走了。,,,,,,,,,,,,,,,,,,,,,,,
100130,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,MUSIC,music/nalanyiguan,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_disappear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,近日来，城中老年人身体越来越虚弱。走在路上，年轻小伙子都给小心翼翼的，担心一不小心碰到老年人，自己在城里就待不下去了。,,,,,100131,,,,,,,,,,
100131,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,老年人精神生活匮乏，又缺少运动，虚弱得快。,,,OPTIONS,100131,,,,,,,,,,,,,,,,,,,,,,,
100132,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,城里药店的储备都被用光了，然而还是不够所有老人。,,,,,,,,,,,,,,,,,DEC_RESOURCE,FRT_MATERIAL,25,ADD_RESOURCE,FRT_LABOUR,75,
100133,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,原来广场舞是你发明的！,,,,,,,,,,,,,,,,,ADD_RESOURCE,FRT_ORDER,75,DEC_RESOURCE,FRT_MATERIAL,25,
100140,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,MUSIC,music/nalanyiguan,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_disappear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,西域的商队游历至此，看他们的商队，貌似稀奇的东西不是。是否从中选一些稀有的药材买来备用？,,,,,100141,,,,,,,,,,
100141,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,采购一些以备不时之需也好，就是怕用不到浪费了。,,,OPTIONS,100141,,,,,,,,,,,,,,,,,,,,,,,
100142,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,购买药材花了不少钱，不过这些药材也有大用处，百姓交口称赞您的远见。,,,,,,,,,,,,,,,,,ADD_RESOURCE,FRT_ORDER,100,DEC_RESOURCE,FRT_MONEY,25,
100143,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,节省了不少资金，不过医馆似乎有些稀有药材比较紧缺。,,,,,,,,,,,,,,,,,DEC_RESOURCE,FRT_MATERIAL,25,ADD_RESOURCE,FRT_MONEY,100,
