id,icon,name,desc,male,files,repell,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,quality,pos.x,pos.y,bone,idle_anim,fix_attr.decos.decos.type,fix_attr.decos.decos.change_value,fix_attr.decos.decos.change_percent,fix_attr.decos.decos.type,fix_attr.decos.decos.change_value,fix_attr.decos.decos.change_percent,fix_attr.levelup_growth,levelup_pttid,origins
110027,ui/hzicon/yichu/yifunv_yashi,雅士,冰肌雪肠原自同，铁心石腹何愁冻。,False,spines/zhujue/huanzhuangNv/yashinv_yifu,,HZ_FENGLIUWUMEI,336,,HZ_QINGCHUN,304,,HZ_HUOPO,252,,HZ_QINGLIANG,350,,FG_WUYI,800,,FG_SHENGDIAN,600,,,,,4,,,,,PHYSICAL_DEFENCE,302,,MAGICAL_DEFENCE,239,,20095,1,100
110028,ui/hzicon/yichu/yifunv_longfeng,龙凤,皇恩浩荡，万民景仰。,False,spines/zhujue/huanzhuangNv/longfengnv_yifu,,HZ_FANHUA,442,,HZ_RUYADUANZHUANG,413,,HZ_CHENGSHU,370,,HZ_BAONUAN,480,,FG_DIWANG,1000,,,,,,,,5,,,,,PHYSICAL_DEFENCE,647,,MAGICAL_DEFENCE,647,,20097,1,100
110029,ui/hzicon/yichu/yifunv_mengzhiyao,梦之瑶,有美人兮，见之不忘。一日不见兮，思之如狂。,False,spines/zhujue/huanzhuangNv/mengzhiyaonv_yifu,,HZ_QINGCHUN,430,,HZ_HUOPO,350,,HZ_FANHUA,270,,HZ_SHIWEN,350,,FG_ZOUYUE,800,,FG_WUYI,600,,,,,4,,,,,PHYSICAL_DEFENCE,302,,MAGICAL_DEFENCE,239,,20102,1,100
110030,ui/hzicon/yichu/yifunv_yelaifengyu,夜来风雨,桃李春风一杯酒，江湖夜雨十年灯。,False,spines/zhujue/huanzhuangNv/yelaifengyunv_yifu,,HZ_FENGLIUWUMEI,538,,HZ_JIANYUE,490,,HZ_CHENGSHU,413,,HZ_SHIWEN,480,,FG_JIANGHU,800,,FG_YUANYOU,600,,,,,5,,,,,PHYSICAL_DEFENCE,739,,MAGICAL_DEFENCE,739,,20106,1,30002
110031,ui/hzicon/yichu/yifunv_linglong,玲珑,千里茫茫若梦，双眸粲粲如星。,False,spines/zhujue/huanzhuangNv/linglongnv_yifu,,HZ_FANHUA,470,,HZ_HUOPO,418,,HZ_FENGLIUWUMEI,336,,HZ_QINGLIANG,480,,FG_CHUANYUE,800,,FG_GUANCHANG,600,,,,,5,,,,,PHYSICAL_DEFENCE,891,,MAGICAL_DEFENCE,891,,20110,1,400
110032,ui/hzicon/yichu/yifunv_lujian,路见,回首向来萧瑟处，归去，也无风雨也无晴。,False,spines/zhujue/huanzhuangNv/lujiannv_yifu,,HZ_JIANYUE,322,,HZ_CHENGSHU,304,,HZ_YONGMENGYINGZI,266,,HZ_BAONUAN,350,,FG_SHOULIE,800,,FG_JIANGHU,600,,,,,4,,,,,PHYSICAL_DEFENCE,302,,MAGICAL_DEFENCE,239,,20115,1,100
110033,ui/hzicon/yichu/yifunv_qiongyao,琼瑶,烟景若离远，未响寄琼瑶。,False,spines/zhujue/huanzhuangNv/qiongyaonv_yifu,,HZ_QINGCHUN,292,,HZ_HUOPO,238,,HZ_FENGLIUWUMEI,220,,HZ_SHIWEN,250,,FG_WUYI,800,,FG_YUNDONG,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20120,1,30002
110034,ui/hzicon/yichu/yifunv_yaoyue,邀月,若似月轮终皎洁，不辞冰雪为卿热。,False,spines/zhujue/huanzhuangNv/yaoyuenv_yifu,,HZ_QINGCHUN,538,,HZ_FANHUA,490,,HZ_RUYADUANZHUANG,413,,HZ_SHIWEN,480,,FG_GUANCHANG,800,,FG_XIUXIAN,600,,,,,5,,,,,PHYSICAL_DEFENCE,693,,MAGICAL_DEFENCE,693,,20123,1,400
110035,ui/hzicon/yichu/yifunv_chiyan,通明,侍臣鹄立通明殿，一朵红云捧玉皇。,False,spines/zhujue/huanzhuangNv/chiyannv_yifu,,HZ_CHENGSHU,406,,HZ_FANHUA,346,,HZ_CAIZIJIAREN,298,,HZ_SHIWEN,350,,FG_SHENGDIAN,800,,FG_YUANYOU,600,,,,,4,,,,,PHYSICAL_DEFENCE,288,,MAGICAL_DEFENCE,228,,20126,1,400
110036,ui/hzicon/yichu/yifunv_dingxiang,丁香,丁香体柔弱，乱枝结犹垫。,False,spines/zhujue/huanzhuangNv/dingxiangnv_yifu,,HZ_JIANYUE,288,,HZ_CAIZIJIAREN,238,,HZ_RUYADUANZHUANG,225,,HZ_SHIWEN,250,,FG_YUANYOU,800,,FG_SHUMO,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20129,1,
110037,ui/hzicon/yichu/yifunv_feitian,清月照影,霓为衣兮风为马，云之君兮纷纷而来下。,False,spines/zhujue/huanzhuangNv/feitiannv_yifu,,HZ_FENGLIUWUMEI,470,,HZ_HUOPO,418,,HZ_FANHUA,336,,HZ_QINGLIANG,480,,FG_WUYI,800,,FG_GUANCHANG,600,,FG_XIJU,300,,5,,,,,PHYSICAL_DEFENCE,660,,MAGICAL_DEFENCE,660,,20131,1,
110038,ui/hzicon/yichu/yifunv_zifeng,紫风,残云收夏暑，新雨带秋岚。,False,spines/zhujue/huanzhuangNv/zifengnv_yifu,,HZ_FENGLIUWUMEI,329,,HZ_HUOPO,298,,HZ_CHENGSHU,266,,HZ_QINGLIANG,350,,FG_CHUANYUE,800,,FG_WUYI,600,,FG_YUNDONG,300,,4,,,,,PHYSICAL_DEFENCE,288,,MAGICAL_DEFENCE,228,,20135,1,30002
1100001,ui/hzicon/yichu/yifunv_jinxiu_1,采蓝,这大好的锦绣江山，少了你，怎么够？,False,spines/zhujue/huanzhuangNv/jinxiunv_1_yifu,,HZ_QINGCHUN,278,,HZ_RUYADUANZHUANG,248,,HZ_FANHUA,225,,HZ_SHIWEN,250,,FG_SHUMO,800,,FG_YUANYOU,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20139,1,
1100021,ui/hzicon/yichu/yifunv_baijiang_1,寄风,皎洁的月光洒在江面上，如梦如幻。,False,spines/zhujue/huanzhuangNv/baijiangnv_1_yifu,,HZ_RUYADUANZHUANG,288,,HZ_QINGCHUN,242,,HZ_FANHUA,220,,HZ_SHIWEN,250,,FG_YUANYOU,1000,,,,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20141,1,
1100031,ui/hzicon/yichu/yifunv_huamei_1,月蝉,清晨帘幕卷轻霜。呵手试梅妆。,False,spines/zhujue/huanzhuangNv/huameinv_1_yifu,,HZ_QINGCHUN,434,,HZ_FENGLIUWUMEI,318,,HZ_FANHUA,298,,HZ_SHIWEN,350,,FG_WUYI,800,,FG_YUANYOU,600,,,,,4,,,,,PHYSICAL_DEFENCE,288,,MAGICAL_DEFENCE,228,,20143,1,
1100041,ui/hzicon/yichu/yifunv_qiongyao_1,千寻,烟景若离远，未响寄琼瑶。,False,spines/zhujue/huanzhuangNv/qiongyaonv_1_yifu,,HZ_TONGZHEN,310,,HZ_HUOPO,240,,HZ_JIANYUE,200,,HZ_SHIWEN,250,,FG_WUYI,800,,FG_XIUXIAN,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20146,1,
1100051,ui/hzicon/yichu/yifunv_yemao_1,忆白,天底下竟有如此精致考究的夜行衣！,False,spines/zhujue/huanzhuangNv/yemaonv_1_yifu,,HZ_RUYADUANZHUANG,225,,HZ_CHENGSHU,215,,HZ_FANHUA,198,,HZ_QINGLIANG,250,,FG_YUNDONG,800,,FG_XIUXIAN,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20150,1,
1100061,ui/hzicon/yichu/yifunv_huazhiming_1,庭雨,花前月下，为君斟一杯热酒。,False,spines/zhujue/huanzhuangNv/huazhimingnv_1_yifu,,HZ_CHENGSHU,292,,HZ_RUYADUANZHUANG,240,,HZ_FENGLIUWUMEI,218,,HZ_SHIWEN,250,,FG_SHENGDIAN,800,,FG_WUYI,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20154,1,
1100071,ui/hzicon/yichu/yifunv_mousi_1,安暖,读书破万卷，下笔如有神。,False,spines/zhujue/huanzhuangNv/mousinv_1_yifu,,HZ_CHENGSHU,396,,HZ_RUYADUANZHUANG,336,,HZ_FANHUA,318,,HZ_SHIWEN,350,,FG_YUANYOU,800,,FG_HUAYU,600,,,,,4,,,,,PHYSICAL_DEFENCE,288,,MAGICAL_DEFENCE,228,,20157,1,
1100081,ui/hzicon/yichu/yifunv_qingyu_1,水荷,清明时节雨纷纷，路上行人欲断魂。,False,spines/zhujue/huanzhuangNv/qingyunv_1_yifu,,HZ_RUYADUANZHUANG,310,,HZ_CAIZIJIAREN,250,,HZ_FANHUA,190,,HZ_SHIWEN,250,,FG_XIUXIAN,800,,FG_GUANCHANG,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20159,1,
1100101,ui/hzicon/yichu/yifunv_qingtian_1,天迥,待上浓妆戏一场，谁人台上谁人观？,False,spines/zhujue/huanzhuangNv/qingtiannv_1_yifu,,HZ_FANHUA,461,,HZ_CHENGSHU,403,,HZ_FENGLIUWUMEI,360,,HZ_BAONUAN,480,,FG_XIJU,800,,FG_GUANCHANG,600,,,,,5,,,,,PHYSICAL_DEFENCE,660,,MAGICAL_DEFENCE,660,,20161,1,
1100131,ui/hzicon/yichu/yifunv_taohua_1,笙歌,小花白碧桃，大花红碧桃，拨开三两枝，与君共园游。,False,spines/zhujue/huanzhuangNv/taohuanv_1_yifu,,HZ_CAIZIJIAREN,343,,HZ_FANHUA,298,,HZ_HUOPO,252,,HZ_BAONUAN,350,,FG_JIANGHU,800,,FG_HUAYU,600,,,,,4,,,,,PHYSICAL_DEFENCE,288,,MAGICAL_DEFENCE,228,,20165,1,
1100141,ui/hzicon/yichu/yifunv_fanxing_1,早弦,天上点点繁星，摘下一颗来送我，好不好……,False,spines/zhujue/huanzhuangNv/xingkongnv_1_yifu,,HZ_QINGCHUN,434,,HZ_RUYADUANZHUANG,326,,HZ_FANHUA,290,,HZ_SHIWEN,350,,FG_WUYI,800,,FG_XIUXIAN,600,,,,,4,,,,,PHYSICAL_DEFENCE,288,,MAGICAL_DEFENCE,228,,20168,1,
1100151,ui/hzicon/yichu/yifunv_huahuo_1,垂杨,花火的光芒照亮了整个夜空，好美……,False,spines/zhujue/huanzhuangNv/huahuonv_1_yifu,,HZ_HUOPO,275,,HZ_FANHUA,248,,HZ_CHENGSHU,228,,HZ_SHIWEN,250,,FG_GUANCHANG,1000,,,,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20171,1,
1100171,ui/hzicon/yichu/yifunv_huancai_1,静香,若能穿上这身七色霓裳，成为那万众瞩目的对象，又有什么难。,False,spines/zhujue/huanzhuangNv/huancainv_1_yifu,,HZ_QINGCHUN,288,,HZ_HUOPO,242,,HZ_CAIZIJIAREN,220,,HZ_SHIWEN,250,,FG_ZOUYUE,1000,,,,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20174,1,
1100191,ui/hzicon/yichu/yifunv_ansheng_1,情叙,王者仁心，天地可鉴！,False,spines/zhujue/huanzhuangNv/anshengnv_1_yifu,,HZ_CHENGSHU,310,,HZ_CAIZIJIAREN,228,,HZ_HUOPO,212,,HZ_SHIWEN,250,,FG_YUANYOU,800,,FG_YUNDONG,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20176,1,
1100211,ui/hzicon/yichu/yifunv_shufang_1,沧澜,一针一线，织出明月。,False,spines/zhujue/huanzhuangNv/shufangnv_1_yifu,,HZ_CAIZIJIAREN,346,,HZ_CHENGSHU,290,,HZ_RUYADUANZHUANG,256,,HZ_QINGLIANG,350,,FG_ZOUYUE,800,,FG_WUYI,600,,,,,4,,,,,PHYSICAL_DEFENCE,288,,MAGICAL_DEFENCE,228,,20179,1,
1100221,ui/hzicon/yichu/yifunv_wangdie_1,风摇,小小的蝴蝶飞啊飞，在天上，在地上，在你我的心头上。,False,spines/zhujue/huanzhuangNv/wangdienv_1_yifu,,HZ_QINGCHUN,399,,HZ_JIANYUE,346,,HZ_RUYADUANZHUANG,304,,HZ_SHIWEN,350,,FG_JIANGHU,1000,,,,,,,,4,,,,,PHYSICAL_DEFENCE,288,,MAGICAL_DEFENCE,228,,20182,1,
1100241,ui/hzicon/yichu/yifunv_changle_1,生华,好雨知时节，当春乃发生。,False,spines/zhujue/huanzhuangNv/changlenv_1_yifu,,HZ_FANHUA,420,,HZ_YONGMENGYINGZI,336,,HZ_QINGCHUN,294,,HZ_SHIWEN,350,,FG_GUANCHANG,1000,,,,,,,,4,,,,,PHYSICAL_DEFENCE,288,,MAGICAL_DEFENCE,228,,20186,1,
1100261,ui/hzicon/yichu/yifunv_jinyiwei_1,丹阳,饮马渡秋水，水寒风似刀。,False,spines/zhujue/huanzhuangNv/jinyiweinv_1_yifu,,HZ_FANHUA,416,,HZ_QINGCHUN,322,,HZ_YONGMENGYINGZI,312,,HZ_SHIWEN,350,,FG_JIANGHU,800,,FG_ZHENGZHAN,600,,FG_GUANCHANG,300,,4,,,,,PHYSICAL_DEFENCE,288,,MAGICAL_DEFENCE,228,,20189,1,
1100271,ui/hzicon/yichu/yifunv_yashi_1,孤光,冰肌雪肠原自同，铁心石腹何愁冻。,False,spines/zhujue/huanzhuangNv/yashinv_1_yifu,,HZ_FENGLIUWUMEI,329,,HZ_QINGCHUN,308,,HZ_JIANYUE,256,,HZ_QINGLIANG,350,,FG_SHENGDIAN,800,,FG_ZOUYUE,600,,,,,4,,,,,PHYSICAL_DEFENCE,288,,MAGICAL_DEFENCE,228,,20192,1,
1100291,ui/hzicon/yichu/yifunv_mengzhiyao_1,忘忧,有美人兮，见之不忘。一日不见兮，思之如狂。,False,spines/zhujue/huanzhuangNv/mengzhiyaonv_1_yifu,,HZ_FANHUA,343,,HZ_FENGLIUWUMEI,298,,HZ_HUOPO,252,,HZ_QINGLIANG,350,,FG_ZOUYUE,800,,FG_WUYI,600,,FG_XIUXIAN,300,,4,,,,,PHYSICAL_DEFENCE,288,,MAGICAL_DEFENCE,228,,20194,1,
1100321,ui/hzicon/yichu/yifunv_lujian_1,无归,回首向来萧瑟处，归去，也无风雨也无晴。,False,spines/zhujue/huanzhuangNv/lujiannv_1_yifu,,HZ_YONGMENGYINGZI,581,,HZ_FENGLIUWUMEI,442,,HZ_CHENGSHU,418,,HZ_SHIWEN,480,,FG_SHOULIE,800,,FG_YUNDONG,600,,,,,5,,,,,PHYSICAL_DEFENCE,660,,MAGICAL_DEFENCE,660,,20198,1,
