level,need_craft,levelup_conditions.conditions.type,levelup_conditions.conditions.arg,levelup_conditions.conditions.arg,levelup_done_events.events.type,levelup_done_events.events.arg,levelup_done_events.events.arg,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,drops,drops,drops,default_manager,greeting,levelup_minutes,opened_position_count,craft_ranges,craft_ranges
11,WU_YI,COST_RESOURCE,FRT_ORDER,462,,,,ADD_RESOURCE,FRT_ORDER,13,,ADD_RESOURCE,FRT_ORDER,14,,ADD_RESOURCE,FRT_ORDER,15,,6028,6029,6030,425,,105,4,14,17
12,WU_YI,COST_RESOURCE,FRT_ORDER,540,,,,ADD_RESOURCE,FRT_ORDER,14,,ADD_RESOURCE,FRT_ORDER,15,,ADD_RESOURCE,FRT_ORDER,16,,6031,6032,6033,425,,115,5,20,23
13,WU_YI,COST_RESOURCE,FRT_ORDER,624,,,,ADD_RESOURCE,FRT_ORDER,15,,ADD_RESOURCE,FRT_ORDER,16,,ADD_RESOURCE,FRT_ORDER,17,,6031,6032,6033,425,,125,5,20,23
14,WU_YI,COST_RESOURCE,FRT_ORDER,714,,,,ADD_RESOURCE,FRT_ORDER,16,,ADD_RESOURCE,FRT_ORDER,17,,ADD_RESOURCE,FRT_ORDER,18,,6031,6032,6033,425,,135,5,20,23
15,WU_YI,COST_RESOURCE,FRT_ORDER,810,,,,ADD_RESOURCE,FRT_ORDER,17,,ADD_RESOURCE,FRT_ORDER,18,,ADD_RESOURCE,FRT_ORDER,19,,6034,6035,6036,425,,145,6,26,30
16,WU_YI,COST_RESOURCE,FRT_ORDER,912,,,,ADD_RESOURCE,FRT_ORDER,18,,ADD_RESOURCE,FRT_ORDER,19,,ADD_RESOURCE,FRT_ORDER,20,,6034,6035,6036,425,,155,6,26,30
17,WU_YI,COST_RESOURCE,FRT_ORDER,1020,,,,ADD_RESOURCE,FRT_ORDER,19,,ADD_RESOURCE,FRT_ORDER,20,,ADD_RESOURCE,FRT_ORDER,21,,6034,6035,6036,425,,165,6,26,30
18,WU_YI,COST_RESOURCE,FRT_ORDER,1134,,,,ADD_RESOURCE,FRT_ORDER,20,,ADD_RESOURCE,FRT_ORDER,21,,ADD_RESOURCE,FRT_ORDER,22,,6034,6035,6036,425,,175,6,26,30
19,WU_YI,COST_RESOURCE,FRT_ORDER,1254,,,,ADD_RESOURCE,FRT_ORDER,21,,ADD_RESOURCE,FRT_ORDER,22,,ADD_RESOURCE,FRT_ORDER,23,,6034,6035,6036,425,,185,6,26,30
20,WU_YI,COST_RESOURCE,FRT_ORDER,1380,,,,ADD_RESOURCE,FRT_ORDER,22,,ADD_RESOURCE,FRT_ORDER,23,,ADD_RESOURCE,FRT_ORDER,24,,6034,6035,6036,425,,195,6,26,30
21,WU_YI,COST_RESOURCE,FRT_ORDER,1512,,,,ADD_RESOURCE,FRT_ORDER,23,,ADD_RESOURCE,FRT_ORDER,24,,ADD_RESOURCE,FRT_ORDER,25,,6034,6035,6036,425,,205,6,26,30
22,WU_YI,COST_RESOURCE,FRT_ORDER,1650,,,,ADD_RESOURCE,FRT_ORDER,24,,ADD_RESOURCE,FRT_ORDER,25,,ADD_RESOURCE,FRT_ORDER,26,,6034,6035,6036,425,,215,6,26,30
23,WU_YI,COST_RESOURCE,FRT_ORDER,1794,,,,ADD_RESOURCE,FRT_ORDER,25,,ADD_RESOURCE,FRT_ORDER,26,,ADD_RESOURCE,FRT_ORDER,27,,6034,6035,6036,425,,225,6,26,30
24,WU_YI,COST_RESOURCE,FRT_ORDER,1944,,,,ADD_RESOURCE,FRT_ORDER,26,,ADD_RESOURCE,FRT_ORDER,27,,ADD_RESOURCE,FRT_ORDER,28,,6034,6035,6036,425,,235,6,26,30
25,WU_YI,COST_RESOURCE,FRT_ORDER,2100,,,,ADD_RESOURCE,FRT_ORDER,27,,ADD_RESOURCE,FRT_ORDER,28,,ADD_RESOURCE,FRT_ORDER,29,,6034,6035,6036,425,,245,6,26,30
26,WU_YI,COST_RESOURCE,FRT_ORDER,2262,,,,ADD_RESOURCE,FRT_ORDER,28,,ADD_RESOURCE,FRT_ORDER,29,,ADD_RESOURCE,FRT_ORDER,30,,6034,6035,6036,425,,255,6,26,30
27,WU_YI,COST_RESOURCE,FRT_ORDER,2430,,,,ADD_RESOURCE,FRT_ORDER,29,,ADD_RESOURCE,FRT_ORDER,30,,ADD_RESOURCE,FRT_ORDER,31,,6034,6035,6036,425,,265,6,26,30
28,WU_YI,COST_RESOURCE,FRT_ORDER,2604,,,,ADD_RESOURCE,FRT_ORDER,30,,ADD_RESOURCE,FRT_ORDER,31,,ADD_RESOURCE,FRT_ORDER,32,,6034,6035,6036,425,,275,6,26,30
29,WU_YI,COST_RESOURCE,FRT_ORDER,2784,,,,ADD_RESOURCE,FRT_ORDER,31,,ADD_RESOURCE,FRT_ORDER,32,,ADD_RESOURCE,FRT_ORDER,33,,6034,6035,6036,425,,285,6,26,30
30,WU_YI,COST_RESOURCE,FRT_ORDER,2970,,,,ADD_RESOURCE,FRT_ORDER,32,,ADD_RESOURCE,FRT_ORDER,33,,ADD_RESOURCE,FRT_ORDER,34,,6034,6035,6036,425,,295,6,26,30
31,WU_YI,COST_RESOURCE,FRT_ORDER,3162,,,,ADD_RESOURCE,FRT_ORDER,33,,ADD_RESOURCE,FRT_ORDER,34,,ADD_RESOURCE,FRT_ORDER,35,,6034,6035,6036,425,,305,6,26,30
32,WU_YI,COST_RESOURCE,FRT_ORDER,3360,,,,ADD_RESOURCE,FRT_ORDER,34,,ADD_RESOURCE,FRT_ORDER,35,,ADD_RESOURCE,FRT_ORDER,36,,6034,6035,6036,425,,315,6,26,30
33,WU_YI,COST_RESOURCE,FRT_ORDER,3564,,,,ADD_RESOURCE,FRT_ORDER,35,,ADD_RESOURCE,FRT_ORDER,36,,ADD_RESOURCE,FRT_ORDER,37,,6034,6035,6036,425,,325,6,26,30
34,WU_YI,COST_RESOURCE,FRT_ORDER,3774,,,,ADD_RESOURCE,FRT_ORDER,36,,ADD_RESOURCE,FRT_ORDER,37,,ADD_RESOURCE,FRT_ORDER,38,,6034,6035,6036,425,,335,6,26,30
35,WU_YI,COST_RESOURCE,FRT_ORDER,3990,,,,ADD_RESOURCE,FRT_ORDER,37,,ADD_RESOURCE,FRT_ORDER,38,,ADD_RESOURCE,FRT_ORDER,39,,6034,6035,6036,425,,345,6,26,30
36,WU_YI,FAIL,FIEF_BUILDING_LEVEL_MAX,,,,,ADD_RESOURCE,FRT_ORDER,37,,ADD_RESOURCE,FRT_ORDER,38,,ADD_RESOURCE,FRT_ORDER,39,,6034,6035,6036,425,,355,6,26,30
