xinwu,compose_conditions.conditions.type,compose_conditions.conditions.arg,compose_conditions.conditions.arg,compose_events.events.type,compose_events.events.arg,compose_events.events.arg,decompose_conditions.conditions.type,decompose_conditions.conditions.arg,decompose_conditions.conditions.arg,decompose_conditions.conditions.type,decompose_conditions.conditions.arg,decompose_conditions.conditions.arg,decompose_events.events.type,decompose_events.events.arg,decompose_events.events.arg
202,COST_RESOURCE,EQUIPMENT_SOUL_A,20,ADD_ITEM,202,5,HAS_ACTOR,202,,COST_ITEM,202,1,ADD_RESOURCE,EQUIPMENT_SOUL_A,4
203,COST_RESOURCE,EQUIPMENT_SOUL_A,20,ADD_ITEM,203,5,HAS_ACTOR,203,,COST_ITEM,203,1,ADD_RESOURCE,EQUIPMENT_SOUL_A,4
204,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,204,5,HAS_ACTOR,204,,COST_ITEM,204,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
205,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,205,5,HAS_ACTOR,205,,COST_ITEM,205,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
206,COST_RESOURCE,EQUIPMENT_SOUL_A,20,ADD_ITEM,206,5,HAS_ACTOR,206,,COST_ITEM,206,1,ADD_RESOURCE,EQUIPMENT_SOUL_A,4
207,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,207,5,HAS_ACTOR,207,,COST_ITEM,207,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
208,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,208,5,HAS_ACTOR,208,,COST_ITEM,208,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
209,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,209,5,HAS_ACTOR,209,,COST_ITEM,209,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
210,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,210,5,HAS_ACTOR,210,,COST_ITEM,210,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
211,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,211,5,HAS_ACTOR,211,,COST_ITEM,211,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
212,COST_RESOURCE,EQUIPMENT_SOUL_A,20,ADD_ITEM,212,5,HAS_ACTOR,212,,COST_ITEM,212,1,ADD_RESOURCE,EQUIPMENT_SOUL_A,4
213,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,213,5,HAS_ACTOR,213,,COST_ITEM,213,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
214,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,214,5,HAS_ACTOR,214,,COST_ITEM,214,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
215,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,215,5,HAS_ACTOR,215,,COST_ITEM,215,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
216,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,216,5,HAS_ACTOR,216,,COST_ITEM,216,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
217,COST_RESOURCE,EQUIPMENT_SOUL_A,20,ADD_ITEM,217,5,HAS_ACTOR,217,,COST_ITEM,217,1,ADD_RESOURCE,EQUIPMENT_SOUL_A,4
218,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,218,5,HAS_ACTOR,218,,COST_ITEM,218,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
219,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,219,5,HAS_ACTOR,219,,COST_ITEM,219,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
220,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,220,5,HAS_ACTOR,220,,COST_ITEM,220,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
221,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,221,5,HAS_ACTOR,221,,COST_ITEM,221,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
222,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,222,5,HAS_ACTOR,222,,COST_ITEM,222,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
223,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,223,5,HAS_ACTOR,223,,COST_ITEM,223,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
224,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,224,5,HAS_ACTOR,224,,COST_ITEM,224,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
225,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,225,5,HAS_ACTOR,225,,COST_ITEM,225,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
226,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,226,5,HAS_ACTOR,226,,COST_ITEM,226,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
227,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,227,5,HAS_ACTOR,227,,COST_ITEM,227,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
228,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,228,5,HAS_ACTOR,228,,COST_ITEM,228,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
229,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,229,5,HAS_ACTOR,229,,COST_ITEM,229,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
230,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,230,5,HAS_ACTOR,230,,COST_ITEM,230,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
301,COST_RESOURCE,EQUIPMENT_SOUL_A,5,ADD_ITEM,301,5,HAS_ACTOR,301,,COST_ITEM,301,1,ADD_RESOURCE,EQUIPMENT_SOUL_C,5
302,COST_RESOURCE,EQUIPMENT_SOUL_A,5,ADD_ITEM,302,5,HAS_ACTOR,302,,COST_ITEM,302,1,ADD_RESOURCE,EQUIPMENT_SOUL_C,5
303,COST_RESOURCE,EQUIPMENT_SOUL_A,5,ADD_ITEM,303,5,HAS_ACTOR,303,,COST_ITEM,303,1,ADD_RESOURCE,EQUIPMENT_SOUL_C,5
304,COST_RESOURCE,EQUIPMENT_SOUL_A,5,ADD_ITEM,304,5,HAS_ACTOR,304,,COST_ITEM,304,1,ADD_RESOURCE,EQUIPMENT_SOUL_C,5
305,COST_RESOURCE,EQUIPMENT_SOUL_A,5,ADD_ITEM,305,5,HAS_ACTOR,305,,COST_ITEM,305,1,ADD_RESOURCE,EQUIPMENT_SOUL_C,5
306,COST_RESOURCE,EQUIPMENT_SOUL_A,5,ADD_ITEM,306,5,HAS_ACTOR,306,,COST_ITEM,306,1,ADD_RESOURCE,EQUIPMENT_SOUL_C,5
307,COST_RESOURCE,EQUIPMENT_SOUL_A,5,ADD_ITEM,307,5,HAS_ACTOR,307,,COST_ITEM,307,1,ADD_RESOURCE,EQUIPMENT_SOUL_C,5
308,COST_RESOURCE,EQUIPMENT_SOUL_A,5,ADD_ITEM,308,5,HAS_ACTOR,308,,COST_ITEM,308,1,ADD_RESOURCE,EQUIPMENT_SOUL_C,5
309,COST_RESOURCE,EQUIPMENT_SOUL_A,5,ADD_ITEM,309,5,HAS_ACTOR,309,,COST_ITEM,309,1,ADD_RESOURCE,EQUIPMENT_SOUL_C,5
310,COST_RESOURCE,EQUIPMENT_SOUL_A,5,ADD_ITEM,310,5,HAS_ACTOR,310,,COST_ITEM,310,1,ADD_RESOURCE,EQUIPMENT_SOUL_C,5
