type,name,desc,icon,quality,reset_everyday,reset_every_week,max_value,grow_minutes,grow_value
GONGDOU_SORCERY,威吓次数,威吓次数,icon/resource/dihui,4,3,,3,,
GONGDOU_DEFORM,草人次数,草人次数,icon/resource/bianxinggu,4,3,,3,,
GONGDOU_POISON,下药次数,下药次数,icon/resource/caoren,4,10,,10,,
GONGDOU_CURE,调理次数,调理次数,icon/resource/caoren,4,10,,10,,
GONGDOU_LASH,责罚次数,责罚次数,icon/resource/caoren,4,10,,10,,
GONGDOU_LETTER,抚琴次数,抚琴次数,icon/resource/caoren,4,1,,1,,
GONGDOU_NURTURE,提携次数,提携次数,icon/resource/caoren,4,,,1,,
GONGDOU_PRISON,降罪次数,降罪次数,icon/resource/caoren,4,10,,10,,
GONGDOU_EMPEROR,锦绣江山次数,锦绣江山次数,icon/resource/caoren,4,,,1,,
GONGDOU_EMPEROR_VISIT,出游次数,出游次数,icon/resource/caoren,4,1,,1,,
FIEF_INCIDENT_CHANCE,参与封地活动次数,参与封地活动次数,icon/resource/cishu,4,6,,6,,
MANSION_FURNITURE_COIN,月钱,可在封地和府邸的各项活动中获得，用于购买府邸的名贵家具。,icon/resource/jiajubi,4,,,,,
FIEF_BOSS_AWARD_CHANCE,外敌入侵奖励次数,用于外敌入侵获得奖励的次数,icon/resource/cishu,4,,,5,,
VIP_EXP,贵族经验,活动或充值可以获得，用于提升自己贵族等级的经验。,icon/resource/VIPziyuan,4,,,,,
TIAN_SHU_MO,天书墨,传说由玄古青岩精细研磨七七四十九天，而后加入天山仙露制成的，可以逆天改命的神秘墨水。,icon/resource/nmj_tianshumo,4,,,,,
GIVE_GIFT,慷慨值,送花给别人得慷慨值,icon/resource/kangkai,4,,,,,
RECEIVE_GIFT,魅力值,送花给别人得魅力值,icon/resource/meili,4,,,,,
VIGOR_GROW_MAX,活力上限,最大活力,icon/resource/huoli,4,,,,,
BANQUET_PRESTIGE,宴会名望,宴会的名望经验,icon/resource/icon_yun,4,,,,,
LI_JUAN,锦绣礼券,参与锦绣台活动可以获得的礼券，在锦绣商店可以兑换各种道具,icon/resource/jinxiuliquan,4,,,,,
RED,复仇,复仇值，通过不同的剧情选择获得，可用于解锁命运。,icon/resource/fuchou,4,,,,,
BLUE,隐忍,隐忍值，通过不同的剧情选择获得，可用于解锁命运。,icon/resource/yinren,4,,,,,
MEIMING,美名,用于官品晋升时的消耗,icon/resource/meiming,4,,,,,
TOWER_REFRESH_CHANCE,密室重置次数,可用于重置密室的房间,icon/resource/cishu,4,1,,1,,
MARRIAGE_DEVOTION,恩爱度,情缘互动获得，用于解锁皇子功能及拓展家具。,icon/resource/qingyuan_3,4,,,,,
STAR_WISH,星愿值,此夜星河活动中用以标记礼品价值。,icon/resource/qingyuan_1,4,,,,,
HUANZHUANG_PVP_GUESS_VOTE,海选票,可在锦绣台海选阶段为心仪的玩家投票。,icon/resource/haixuan,4,,,20,120,1
EVERYDAY_QUEST_WEEK_SCORE,每日任务周积分,每周的每日任务中用于累计获得积分宝箱的资源，每周一凌晨5点清空。,icon/resource/xuanpiao,4,,0,,,
STAR_FRAGMENT,星屑,随处可见的升级光环晶体。通过情缘间心有灵犀活动产出。,icon/resource/gh_9,4,,,,,
STAR_SOUL,星魂,极为稀有的升级光环晶体。通过情缘间心有灵犀活动产出。,icon/resource/gh_10,4,,,,,
FENG_YU,鸾羽,光环觉醒及洗练的珍贵材料。通过情缘间鸾凤和鸣活动产出。,icon/resource/gh_11,4,,,,,
STAR_IRON,凤灵,光环觉醒及洗练的珍贵材料。通过情缘间鸾凤和鸣活动产出。,icon/resource/gh_12,4,,,,,
LEVELUP_AURA_CHANCE,光环升级次数,每日光环的升级次数,icon/resource/cishu,4,10,,,,
MARRIAGE_GUESTURE_REWARD_CHANCE,鸾凤和鸣奖励次数,每日鸾凤和鸣奖励的次数,icon/resource/cishu,4,5,,,,
LEAGUE_NORMAL_DONATE_TIMES,家族中级捐献次数,家族中级捐献次数,icon/resource/cishu,4,1,,,,
LEAGUE_GENEROUS_DONATE_TIMES,家族高级捐献次数,家族高级捐献次数,icon/resource/cishu,4,1,,,,
ACTIVITY_BUQIAN_TIMES,补签次数,补签次数,icon/resource/cishu,4,3,,,,
RANK_LIKE_TIMES,排行榜点赞次数,用于排行榜每日点赞,icon/resource/cishu,4,3,,3,,
MANSION_FARM_STEAL_PLANT_TIMES,偷菜次数,玩家每日可以偷菜的次数,icon/resource/cishu,4,20,,20,,
MANSION_BANQUET_LEFT_RESERVE_TIMES,宴会预约次数,玩家预约宴会消耗的次数,icon/resource/cishu,4,,,,,
ACTIVITY_PRIZE_WHEEL_CHANCE_A,御赐福缘次数,转盘抽奖次数,icon/resource/cishu,4,,,,,
ACTIVITY_PRIZE_WHEEL_CHANCE_B,大众福缘次数,转盘抽奖次数,icon/resource/cishu,4,,,,,
LEAGUE_HELP_OTHER_QUEST,家族悬赏帮助次数,家族悬赏帮助次数,icon/resource/cishu,4,5,,,,
EQUIPMENT_SOUL_C,蔚蓝魂晶,神秘的魂晶，没人来道出其来历，可以用来兑换蓝色伙伴信物。,icon/resource/hunjing-lan,3,,,,,
EQUIPMENT_SOUL_B,紫蕴魂晶,仙气环绕的魂晶，千金难求的神秘之物，可以用来兑换紫色伙伴信物。,icon/resource/hunjing-zi,4,,,,,
EQUIPMENT_SOUL_A,金耀魂晶,闪耀着金光的尊贵魂晶，绝非凡间之物，可以用来兑换金色伙伴信物。,icon/resource/hunjing-jin,5,,,,,
EQUIPMENT_CONPON,赏花券,由平城鲜花办发行的赏花券，可用于珍宝阁中花魂抽奖。,icon/resource/shanghuaquan,4,,,,,
TEA_PARTY_FAVOR,青睐度,清友雅集的举办者对玩家的青睐度,icon/resource/cishu,4,,,,,
TEA_PARTY_COUPON_A,敬亭绿雪,李常茹喜爱的茶叶，可以在李常茹召开清友雅集时给她奉茶。,icon/resource/qingyouyaji_1,5,,,,,
TEA_PARTY_COUPON_B,南岳云雾,李长乐喜爱的茶叶，可以在李长乐召开清友雅集时给她奉茶。,icon/resource/qingyouyaji_2,5,,,,,
TEA_PARTY_COUPON_C,狮心银芽,叱云南喜爱的茶叶，可以在叱云南召开清友雅集时给他奉茶。,icon/resource/qingyouyaji_3,5,,,,,
MANSION_FISHING_FREE_TIMES,祥瑞钓鱼次数,祥瑞钓鱼次数,icon/resource/cishu,5,10,,,,
MANSION_FARM_WATER_FREE_TIMES,祥瑞浇水次数,祥瑞浇水次数,icon/resource/cishu,5,10,,,,
MANSION_FARM_DISINSECT_FREE_TIMES,祥瑞除虫次数,祥瑞除虫次数,icon/resource/cishu,5,10,,,,
MANSION_FARM_STEAL_PLANT_FREE_TIMES,祥瑞偷菜次数,祥瑞偷菜次数,icon/resource/cishu,5,10,,,,
