level,need_craft,levelup_conditions.conditions.type,levelup_conditions.conditions.arg,levelup_conditions.conditions.arg,levelup_done_events.events.type,levelup_done_events.events.arg,levelup_done_events.events.arg,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,drops,drops,drops,default_manager,greeting,levelup_minutes,opened_position_count,craft_ranges,craft_ranges
12,LING_HUI,COST_RESOURCE,FRT_LABOUR,540,,,,ADD_RESOURCE,FRT_LABOUR,14,,ADD_RESOURCE,FRT_LABOUR,15,,ADD_RESOURCE,FRT_LABOUR,16,,6013,6014,6015,403,,115,5,20,23
13,LING_HUI,COST_RESOURCE,FRT_LABOUR,624,,,,ADD_RESOURCE,FRT_LABOUR,15,,ADD_RESOURCE,FRT_LABOUR,16,,ADD_RESOURCE,FRT_LABOUR,17,,6013,6014,6015,403,,125,5,20,23
14,LING_HUI,COST_RESOURCE,FRT_LABOUR,714,,,,ADD_RESOURCE,FRT_LABOUR,16,,ADD_RESOURCE,FRT_LABOUR,17,,ADD_RESOURCE,FRT_LABOUR,18,,6013,6014,6015,403,,135,5,20,23
15,LING_HUI,COST_RESOURCE,FRT_LABOUR,810,,,,ADD_RESOURCE,FRT_LABOUR,17,,ADD_RESOURCE,FRT_LABOUR,18,,ADD_RESOURCE,FRT_LABOUR,19,,6016,6017,6018,403,,145,6,26,30
16,LING_HUI,COST_RESOURCE,FRT_LABOUR,912,,,,ADD_RESOURCE,FRT_LABOUR,18,,ADD_RESOURCE,FRT_LABOUR,19,,ADD_RESOURCE,FRT_LABOUR,20,,6016,6017,6018,403,,155,6,26,30
17,LING_HUI,COST_RESOURCE,FRT_LABOUR,1020,,,,ADD_RESOURCE,FRT_LABOUR,19,,ADD_RESOURCE,FRT_LABOUR,20,,ADD_RESOURCE,FRT_LABOUR,21,,6016,6017,6018,403,,165,6,26,30
18,LING_HUI,COST_RESOURCE,FRT_LABOUR,1134,,,,ADD_RESOURCE,FRT_LABOUR,20,,ADD_RESOURCE,FRT_LABOUR,21,,ADD_RESOURCE,FRT_LABOUR,22,,6016,6017,6018,403,,175,6,26,30
19,LING_HUI,COST_RESOURCE,FRT_LABOUR,1254,,,,ADD_RESOURCE,FRT_LABOUR,21,,ADD_RESOURCE,FRT_LABOUR,22,,ADD_RESOURCE,FRT_LABOUR,23,,6016,6017,6018,403,,185,6,26,30
20,LING_HUI,COST_RESOURCE,FRT_LABOUR,1380,,,,ADD_RESOURCE,FRT_LABOUR,22,,ADD_RESOURCE,FRT_LABOUR,23,,ADD_RESOURCE,FRT_LABOUR,24,,6016,6017,6018,403,,195,6,26,30
21,LING_HUI,COST_RESOURCE,FRT_LABOUR,1512,,,,ADD_RESOURCE,FRT_LABOUR,23,,ADD_RESOURCE,FRT_LABOUR,24,,ADD_RESOURCE,FRT_LABOUR,25,,6016,6017,6018,403,,205,6,26,30
22,LING_HUI,COST_RESOURCE,FRT_LABOUR,1650,,,,ADD_RESOURCE,FRT_LABOUR,24,,ADD_RESOURCE,FRT_LABOUR,25,,ADD_RESOURCE,FRT_LABOUR,26,,6016,6017,6018,403,,215,6,26,30
23,LING_HUI,COST_RESOURCE,FRT_LABOUR,1794,,,,ADD_RESOURCE,FRT_LABOUR,25,,ADD_RESOURCE,FRT_LABOUR,26,,ADD_RESOURCE,FRT_LABOUR,27,,6016,6017,6018,403,,225,6,26,30
24,LING_HUI,COST_RESOURCE,FRT_LABOUR,1944,,,,ADD_RESOURCE,FRT_LABOUR,26,,ADD_RESOURCE,FRT_LABOUR,27,,ADD_RESOURCE,FRT_LABOUR,28,,6016,6017,6018,403,,235,6,26,30
25,LING_HUI,COST_RESOURCE,FRT_LABOUR,2100,,,,ADD_RESOURCE,FRT_LABOUR,27,,ADD_RESOURCE,FRT_LABOUR,28,,ADD_RESOURCE,FRT_LABOUR,29,,6016,6017,6018,403,,245,6,26,30
26,LING_HUI,COST_RESOURCE,FRT_LABOUR,2262,,,,ADD_RESOURCE,FRT_LABOUR,28,,ADD_RESOURCE,FRT_LABOUR,29,,ADD_RESOURCE,FRT_LABOUR,30,,6016,6017,6018,403,,255,6,26,30
27,LING_HUI,COST_RESOURCE,FRT_LABOUR,2430,,,,ADD_RESOURCE,FRT_LABOUR,29,,ADD_RESOURCE,FRT_LABOUR,30,,ADD_RESOURCE,FRT_LABOUR,31,,6016,6017,6018,403,,265,6,26,30
28,LING_HUI,COST_RESOURCE,FRT_LABOUR,2604,,,,ADD_RESOURCE,FRT_LABOUR,30,,ADD_RESOURCE,FRT_LABOUR,31,,ADD_RESOURCE,FRT_LABOUR,32,,6016,6017,6018,403,,275,6,26,30
29,LING_HUI,COST_RESOURCE,FRT_LABOUR,2784,,,,ADD_RESOURCE,FRT_LABOUR,31,,ADD_RESOURCE,FRT_LABOUR,32,,ADD_RESOURCE,FRT_LABOUR,33,,6016,6017,6018,403,,285,6,26,30
30,LING_HUI,COST_RESOURCE,FRT_LABOUR,2970,,,,ADD_RESOURCE,FRT_LABOUR,32,,ADD_RESOURCE,FRT_LABOUR,33,,ADD_RESOURCE,FRT_LABOUR,34,,6016,6017,6018,403,,295,6,26,30
31,LING_HUI,COST_RESOURCE,FRT_LABOUR,3162,,,,ADD_RESOURCE,FRT_LABOUR,33,,ADD_RESOURCE,FRT_LABOUR,34,,ADD_RESOURCE,FRT_LABOUR,35,,6016,6017,6018,403,,305,6,26,30
32,LING_HUI,COST_RESOURCE,FRT_LABOUR,3360,,,,ADD_RESOURCE,FRT_LABOUR,34,,ADD_RESOURCE,FRT_LABOUR,35,,ADD_RESOURCE,FRT_LABOUR,36,,6016,6017,6018,403,,315,6,26,30
33,LING_HUI,COST_RESOURCE,FRT_LABOUR,3564,,,,ADD_RESOURCE,FRT_LABOUR,35,,ADD_RESOURCE,FRT_LABOUR,36,,ADD_RESOURCE,FRT_LABOUR,37,,6016,6017,6018,403,,325,6,26,30
34,LING_HUI,COST_RESOURCE,FRT_LABOUR,3774,,,,ADD_RESOURCE,FRT_LABOUR,36,,ADD_RESOURCE,FRT_LABOUR,37,,ADD_RESOURCE,FRT_LABOUR,38,,6016,6017,6018,403,,335,6,26,30
35,LING_HUI,COST_RESOURCE,FRT_LABOUR,3990,,,,ADD_RESOURCE,FRT_LABOUR,37,,ADD_RESOURCE,FRT_LABOUR,38,,ADD_RESOURCE,FRT_LABOUR,39,,6016,6017,6018,403,,345,6,26,30
36,LING_HUI,FAIL,FIEF_BUILDING_LEVEL_MAX,,,,,ADD_RESOURCE,FRT_LABOUR,37,,ADD_RESOURCE,FRT_LABOUR,38,,ADD_RESOURCE,FRT_LABOUR,39,,6016,6017,6018,403,,355,6,26,30
