id,name,icon,appearance,type,fancy,buildings.building,buildings.allowed_areas,buildings.init_pos.x,buildings.init_pos.y,collision_group,z_level,attach_areas,anchors.x,anchors.y,anchors.x,anchors.y,size.width,size.height,collision_points.x,collision_points.y,collision_points.x,collision_points.y,collision_points.x,collision_points.y,collision_points.x,collision_points.y,collision_points.x,collision_points.y,collision_points.x,collision_points.y,collision_points.x,collision_points.y,collision_points.x,collision_points.y,sub_furniture,sub_furniture,sub_furniture,sub_furniture,sub_furniture,sub_furniture,sub_furniture,unlock_conditions.conditions.type,unlock_conditions.conditions.arg,unlock_conditions.conditions.arg,buy_conditions.conditions.type,buy_conditions.conditions.arg,buy_conditions.conditions.arg,max_count
101031,红皮沙发右,zhuting_1031,zhuting_1031,1,0,MBT_HALL,1,,,,20,,0,0,187,0,187,208,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
101032,公主沙发,zhuting_1032,zhuting_1032,1,0,MBT_HALL,1,,,,20,,0,0,405,0,405,221,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
101033,百合茶几,zhuting_1033,zhuting_1033,1,0,MBT_HALL,1,,,,20,,0,0,288,0,288,222,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
101034,粉系书架,zhuting_1034,zhuting_1034,1,0,MBT_HALL,1,,,,20,,0,0,215,0,215,396,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
101035,落地金灯,zhuting_1035,zhuting_1035,1,0,MBT_HALL,1,,,,20,,0,0,74,0,74,303,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
101036,金边屏风,zhuting_1036,zhuting_1036,1,0,MBT_HALL,1,,,,20,,0,0,160,0,160,432,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
101037,金边大屏风,zhuting_1037,zhuting_1037,1,0,MBT_HALL,1,,,,20,,0,0,435,0,435,436,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
101038,天使像,zhuting_1038,zhuting_1038,1,0,MBT_HALL,1,,,,20,,0,0,254,0,254,355,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
101039,红皮板凳,zhuting_1039,zhuting_1039,1,0,MBT_HALL,1,,,,20,,0,0,162,0,162,126,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
101040,化妆台,zhuting_1040,zhuting_1040,1,0,MBT_HALL,1,,,,20,,0,0,237,0,237,349,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
101041,观星镜,zhuting_1041,zhuting_1041,1,0,MBT_HALL,1,,,,20,,0,0,140,0,140,243,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
101042,化妆衣柜,zhuting_1042,zhuting_1042,1,0,MBT_HALL,1,,,,20,,0,0,199,0,199,258,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
101043,粉系储物柜,zhuting_1043,zhuting_1043,1,0,MBT_HALL,1,,,,20,,0,0,302,0,302,435,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
101044,公主床,zhuting_1044,zhuting_1044,1,0,MBT_HALL,1,,,,20,,0,0,522,0,522,548,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
101045,异域奇床,zhuting_1045,zhuting_1045,1,132,MBT_HALL,1,,,,20,,0,0,666,0,666,538,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2900,COST_RESOURCE,DIAMOND,100,20
101046,孔雀插瓶,zhuting_1046,zhuting_1046,1,36,MBT_HALL,1,,,,20,,0,0,119,0,119,404,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,800,COST_RESOURCE,DIAMOND,100,20
101047,西域沙发,zhuting_1047,zhuting_1047,1,60,MBT_HALL,1,,,,20,,0,0,374,0,374,174,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1300,COST_RESOURCE,DIAMOND,100,20
101048,鹦鹉栏,zhuting_1048,zhuting_1048,1,60,MBT_HALL,1,,,,20,,0,0,101,0,101,196,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1300,COST_RESOURCE,DIAMOND,100,20
101049,植物盆栽,zhuting_1049,zhuting_1049,1,72,MBT_HALL,1,,,,20,,0,0,85,0,85,200,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1600,COST_RESOURCE,DIAMOND,100,20
101050,古董柜,zhuting_1050,zhuting_1050,1,60,MBT_HALL,1,,,,20,,0,0,255,0,255,371,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1300,COST_RESOURCE,DIAMOND,100,20
101051,精致屏风,zhuting_1051,zhuting_1051,1,120,MBT_HALL,1,,,,20,,0,0,352,0,352,429,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2600,COST_RESOURCE,DIAMOND,100,20
101052,香薰圆凳,zhuting_1052,zhuting_1052,1,72,MBT_HALL,1,,,,20,,0,0,98,0,98,180,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1600,COST_RESOURCE,DIAMOND,100,20
101053,西域沙发,zhuting_1053,zhuting_1053,1,60,MBT_HALL,1,,,,20,,0,0,149,0,149,153,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1300,COST_RESOURCE,DIAMOND,100,20
101054,西域几案,zhuting_1054,zhuting_1054,1,60,MBT_HALL,1,,,,20,,0,0,282,0,282,206,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1300,COST_RESOURCE,DIAMOND,100,20
101055,半月花柜,zhuting_1055,zhuting_1055,1,122,MBT_HALL,1,,,,20,,0,0,321,0,321,334,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2200,COST_RESOURCE,DIAMOND,100,20
101056,瓷器画缸,zhuting_1056,zhuting_1056,1,184,MBT_HALL,1,,,,20,,0,0,140,0,140,140,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,3300,COST_RESOURCE,DIAMOND,100,20
101057,紫气东来桌,zhuting_1057,zhuting_1057,1,107,MBT_HALL,1,,,,20,,0,0,138,0,138,218,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1900,COST_RESOURCE,DIAMOND,100,20
101058,熏花桌,zhuting_1058,zhuting_1058,1,92,MBT_HALL,1,,,,20,,0,0,240,0,240,193,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1700,COST_RESOURCE,DIAMOND,100,20
101059,飞鹿环花,zhuting_1059,zhuting_1059,1,153,MBT_HALL,1,,,,20,,0,0,131,0,131,281,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2800,COST_RESOURCE,DIAMOND,100,20
101060,星辰榻,zhuting_1060,zhuting_1060,1,92,MBT_HALL,1,,,,20,,0,14,502,14,502,229,0,14,502,14,502,233,0,233,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1700,COST_RESOURCE,DIAMOND,100,20
101061,牵牛花饰,zhuting_1061,zhuting_1061,1,76,MBT_HALL,1,,,,20,,0,0,127,0,127,322,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1400,COST_RESOURCE,DIAMOND,100,20
101062,玉兔纸笼,zhuting_1062,zhuting_1062,1,214,MBT_HALL,1,,,,20,,0,0,126,0,126,155,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,3900,COST_RESOURCE,DIAMOND,100,20
101063,晨星凳,zhuting_1063,zhuting_1063,1,107,MBT_HALL,1,,,,20,,0,0,86,0,86,108,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1900,COST_RESOURCE,DIAMOND,100,20
101064,玉瓶蓝柜,zhuting_1064,zhuting_1064,1,153,MBT_HALL,1,,,,20,,0,0,228,0,228,243,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2800,COST_RESOURCE,DIAMOND,100,20
101065,百花屏风,zhuting_1065,zhuting_1065,1,76,MBT_HALL,1,,,,20,,0,0,350,0,350,397,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1400,COST_RESOURCE,DIAMOND,100,20
101066,和风盔甲,zhuting_1066,zhuting_1066,1,109,MBT_HALL,1,,,,20,,0,0,139,0,139,319,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2200,COST_RESOURCE,DIAMOND,100,20
101067,和风盆景,zhuting_1067,zhuting_1067,1,163,MBT_HALL,1,,,,20,,0,0,99,0,99,89,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,3300,COST_RESOURCE,DIAMOND,100,20
101068,和风蓝坐垫,zhuting_1068,zhuting_1068,1,41,MBT_HALL,1,,,,20,,0,0,134,0,134,48,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,800,COST_RESOURCE,DIAMOND,100,20
101069,和风金坐垫,zhuting_1069,zhuting_1069,1,82,MBT_HALL,1,,,,20,,0,0,138,0,138,49,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1600,COST_RESOURCE,DIAMOND,100,20
101070,和风纸伞,zhuting_1070,zhuting_1070,1,68,MBT_HALL,1,,,,20,,0,0,185,38,185,185,0,34,32,157,160,183,137,88,62,35,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1400,COST_RESOURCE,DIAMOND,100,20
101071,和风柜子,zhuting_1071,zhuting_1071,1,109,MBT_HALL,1,,,,20,,0,0,230,0,230,206,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2200,COST_RESOURCE,DIAMOND,100,20
101072,和风被炉,zhuting_1072,zhuting_1072,1,204,MBT_HALL,1,,,,20,,0,18,358,18,358,152,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,4100,COST_RESOURCE,DIAMOND,100,20
101073,和风茶桌,zhuting_1073,zhuting_1073,1,109,MBT_HALL,1,,,,20,,0,0,244,0,244,129,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2200,COST_RESOURCE,DIAMOND,100,20
101074,招财猫,zhuting_1074,zhuting_1074,1,82,MBT_HALL,1,,,,20,,0,5,87,5,87,101,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1600,COST_RESOURCE,DIAMOND,100,20
101075,和风竖柜,zhuting_1075,zhuting_1075,1,41,MBT_HALL,1,,,,20,,0,0,180,0,180,366,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,800,COST_RESOURCE,DIAMOND,100,20
101076,和风屏风,zhuting_1076,zhuting_1076,1,68,MBT_HALL,1,,,,20,,0,25,370,25,370,398,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1400,COST_RESOURCE,DIAMOND,100,20
101077,和风挂衣,zhuting_1077,zhuting_1077,1,109,MBT_HALL,1,,,,20,,0,12,252,12,252,314,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2200,COST_RESOURCE,DIAMOND,100,20
101078,和风茶几,zhuting_1078,zhuting_1078,1,109,MBT_HALL,1,,,,20,,0,0,144,0,144,144,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2200,COST_RESOURCE,DIAMOND,100,20
101079,和风油灯,zhuting_1079,zhuting_1079,1,109,MBT_HALL,1,,,,20,,0,20,130,20,130,154,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2200,COST_RESOURCE,DIAMOND,100,20
102001,山茶画,zhuting_2001,zhuting_2001,2,106,MBT_HALL,2,,,,10,,0,0,147,338,147,338,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2500,COST_RESOURCE,DIAMOND,100,20
102002,挂扇,zhuting_2002,zhuting_2002,2,84,MBT_HALL,2,,,,10,,0,0,231,221,231,221,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2000,COST_RESOURCE,DIAMOND,100,20
102003,落地门,zhuting_2003,zhuting_2003,2,0,MBT_HALL,2,440,245,101,9,,0,0,357,500,357,500,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
102004,四联窗,zhuting_2004,zhuting_2004,2,0,MBT_HALL,2,1208,383,101,9,,0,0,312,277,312,277,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
102005,圆窗,zhuting_2005,zhuting_2005,2,106,MBT_HALL,2,,,101,9,,0,0,162,161,162,161,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2500,COST_RESOURCE,DIAMOND,100,20
102006,上联,zhuting_2006,zhuting_2006,2,63,MBT_HALL,2,,,,10,,0,0,64,224,64,224,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1500,COST_RESOURCE,DIAMOND,100,20
102007,下联,zhuting_2007,zhuting_2007,2,63,MBT_HALL,2,,,,10,,0,0,64,224,64,224,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1500,COST_RESOURCE,DIAMOND,100,20
102008,彩燕风筝,zhuting_2008,zhuting_2008,2,209,MBT_HALL,2,,,,10,,0,0,156,192,156,192,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,3300,COST_RESOURCE,DIAMOND,100,20
102009,挂剑,zhuting_2010,zhuting_2010,2,150,MBT_HALL,2,,,,10,,0,0,209,114,209,114,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2400,COST_RESOURCE,DIAMOND,100,20
102010,楠木琵琶,zhuting_2011,zhuting_2011,2,75,MBT_HALL,2,,,,10,,0,0,72,234,72,234,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1200,COST_RESOURCE,DIAMOND,100,20
102011,楠木圆窗,zhuting_2012,zhuting_2012,2,135,MBT_HALL,2,,,101,9,,0,0,176,177,176,177,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2200,COST_RESOURCE,DIAMOND,100,20
102012,楠木方窗,zhuting_2013,zhuting_2013,2,75,MBT_HALL,2,,,101,9,,0,0,174,142,174,142,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1200,COST_RESOURCE,DIAMOND,100,20
102013,七鹤仙去图,zhuting_2014,zhuting_2014,2,135,MBT_HALL,2,,,,10,,0,0,400,192,400,192,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2200,COST_RESOURCE,DIAMOND,100,20
102014,纱窗,zhuting_2015,zhuting_2015,2,75,MBT_HALL,2,,,101,9,,0,0,152,314,152,314,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1200,COST_RESOURCE,DIAMOND,100,20
102015,楠木窗,zhuting_2016,zhuting_2016,2,209,MBT_HALL,2,,,101,9,,0,0,298,257,298,257,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,3300,COST_RESOURCE,DIAMOND,100,20
102016,楠木门,zhuting_2017,zhuting_2017,2,120,MBT_HALL,2,,,101,9,,0,0,344,523,344,523,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1900,COST_RESOURCE,DIAMOND,100,20
102017,水晶窗,zhuting_2018,zhuting_2018,2,0,MBT_HALL,2,,,101,9,,0,0,410,285,410,285,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
102018,水晶小窗,zhuting_2019,zhuting_2019,2,0,MBT_HALL,2,,,101,9,,0,0,250,276,250,276,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
102019,镶金门,zhuting_2020,zhuting_2020,2,0,MBT_HALL,2,,,101,9,,0,0,282,457,282,457,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
102020,大理石拱门,zhuting_2021,zhuting_2021,2,0,MBT_HALL,2,,,101,9,,0,0,323,453,323,453,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
102021,百花油画,zhuting_2022,zhuting_2022,2,0,MBT_HALL,2,,,,10,,0,0,186,257,186,257,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
102022,印象画,zhuting_2023,zhuting_2023,2,0,MBT_HALL,2,,,,10,,0,0,158,128,158,128,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
