level,need_craft,levelup_conditions.conditions.type,levelup_conditions.conditions.arg,levelup_conditions.conditions.arg,levelup_done_events.events.type,levelup_done_events.events.arg,levelup_done_events.events.arg,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,drops,drops,drops,default_manager,greeting,levelup_minutes,opened_position_count,craft_ranges,craft_ranges
11,QI_ZHI,COST_RESOURCE,FRT_MONEY,462,,,,ADD_RESOURCE,FRT_MONEY,13,,ADD_RESOURCE,FRT_MONEY,14,,ADD_RESOURCE,FRT_MONEY,15,,6064,6065,6066,449,,105,4,14,17
12,QI_ZHI,COST_RESOURCE,FRT_MONEY,540,,,,ADD_RESOURCE,FRT_MONEY,14,,ADD_RESOURCE,FRT_MONEY,15,,ADD_RESOURCE,FRT_MONEY,16,,6067,6068,6069,449,,115,5,20,23
13,QI_ZHI,COST_RESOURCE,FRT_MONEY,624,,,,ADD_RESOURCE,FRT_MONEY,15,,ADD_RESOURCE,FRT_MONEY,16,,ADD_RESOURCE,FRT_MONEY,17,,6067,6068,6069,449,,125,5,20,23
14,QI_ZHI,COST_RESOURCE,FRT_MONEY,714,,,,ADD_RESOURCE,FRT_MONEY,16,,ADD_RESOURCE,FRT_MONEY,17,,ADD_RESOURCE,FRT_MONEY,18,,6067,6068,6069,449,,135,5,20,23
15,QI_ZHI,COST_RESOURCE,FRT_MONEY,810,,,,ADD_RESOURCE,FRT_MONEY,17,,ADD_RESOURCE,FRT_MONEY,18,,ADD_RESOURCE,FRT_MONEY,19,,6070,6071,6072,449,,145,6,26,30
16,QI_ZHI,COST_RESOURCE,FRT_MONEY,912,,,,ADD_RESOURCE,FRT_MONEY,18,,ADD_RESOURCE,FRT_MONEY,19,,ADD_RESOURCE,FRT_MONEY,20,,6070,6071,6072,449,,155,6,26,30
17,QI_ZHI,COST_RESOURCE,FRT_MONEY,1020,,,,ADD_RESOURCE,FRT_MONEY,19,,ADD_RESOURCE,FRT_MONEY,20,,ADD_RESOURCE,FRT_MONEY,21,,6070,6071,6072,449,,165,6,26,30
18,QI_ZHI,COST_RESOURCE,FRT_MONEY,1134,,,,ADD_RESOURCE,FRT_MONEY,20,,ADD_RESOURCE,FRT_MONEY,21,,ADD_RESOURCE,FRT_MONEY,22,,6070,6071,6072,449,,175,6,26,30
19,QI_ZHI,COST_RESOURCE,FRT_MONEY,1254,,,,ADD_RESOURCE,FRT_MONEY,21,,ADD_RESOURCE,FRT_MONEY,22,,ADD_RESOURCE,FRT_MONEY,23,,6070,6071,6072,449,,185,6,26,30
20,QI_ZHI,COST_RESOURCE,FRT_MONEY,1380,,,,ADD_RESOURCE,FRT_MONEY,22,,ADD_RESOURCE,FRT_MONEY,23,,ADD_RESOURCE,FRT_MONEY,24,,6070,6071,6072,449,,195,6,26,30
21,QI_ZHI,COST_RESOURCE,FRT_MONEY,1512,,,,ADD_RESOURCE,FRT_MONEY,23,,ADD_RESOURCE,FRT_MONEY,24,,ADD_RESOURCE,FRT_MONEY,25,,6070,6071,6072,449,,205,6,26,30
22,QI_ZHI,COST_RESOURCE,FRT_MONEY,1650,,,,ADD_RESOURCE,FRT_MONEY,24,,ADD_RESOURCE,FRT_MONEY,25,,ADD_RESOURCE,FRT_MONEY,26,,6070,6071,6072,449,,215,6,26,30
23,QI_ZHI,COST_RESOURCE,FRT_MONEY,1794,,,,ADD_RESOURCE,FRT_MONEY,25,,ADD_RESOURCE,FRT_MONEY,26,,ADD_RESOURCE,FRT_MONEY,27,,6070,6071,6072,449,,225,6,26,30
24,QI_ZHI,COST_RESOURCE,FRT_MONEY,1944,,,,ADD_RESOURCE,FRT_MONEY,26,,ADD_RESOURCE,FRT_MONEY,27,,ADD_RESOURCE,FRT_MONEY,28,,6070,6071,6072,449,,235,6,26,30
25,QI_ZHI,COST_RESOURCE,FRT_MONEY,2100,,,,ADD_RESOURCE,FRT_MONEY,27,,ADD_RESOURCE,FRT_MONEY,28,,ADD_RESOURCE,FRT_MONEY,29,,6070,6071,6072,449,,245,6,26,30
26,QI_ZHI,COST_RESOURCE,FRT_MONEY,2262,,,,ADD_RESOURCE,FRT_MONEY,28,,ADD_RESOURCE,FRT_MONEY,29,,ADD_RESOURCE,FRT_MONEY,30,,6070,6071,6072,449,,255,6,26,30
27,QI_ZHI,COST_RESOURCE,FRT_MONEY,2430,,,,ADD_RESOURCE,FRT_MONEY,29,,ADD_RESOURCE,FRT_MONEY,30,,ADD_RESOURCE,FRT_MONEY,31,,6070,6071,6072,449,,265,6,26,30
28,QI_ZHI,COST_RESOURCE,FRT_MONEY,2604,,,,ADD_RESOURCE,FRT_MONEY,30,,ADD_RESOURCE,FRT_MONEY,31,,ADD_RESOURCE,FRT_MONEY,32,,6070,6071,6072,449,,275,6,26,30
29,QI_ZHI,COST_RESOURCE,FRT_MONEY,2784,,,,ADD_RESOURCE,FRT_MONEY,31,,ADD_RESOURCE,FRT_MONEY,32,,ADD_RESOURCE,FRT_MONEY,33,,6070,6071,6072,449,,285,6,26,30
30,QI_ZHI,COST_RESOURCE,FRT_MONEY,2970,,,,ADD_RESOURCE,FRT_MONEY,32,,ADD_RESOURCE,FRT_MONEY,33,,ADD_RESOURCE,FRT_MONEY,34,,6070,6071,6072,449,,295,6,26,30
31,QI_ZHI,COST_RESOURCE,FRT_MONEY,3162,,,,ADD_RESOURCE,FRT_MONEY,33,,ADD_RESOURCE,FRT_MONEY,34,,ADD_RESOURCE,FRT_MONEY,35,,6070,6071,6072,449,,305,6,26,30
32,QI_ZHI,COST_RESOURCE,FRT_MONEY,3360,,,,ADD_RESOURCE,FRT_MONEY,34,,ADD_RESOURCE,FRT_MONEY,35,,ADD_RESOURCE,FRT_MONEY,36,,6070,6071,6072,449,,315,6,26,30
33,QI_ZHI,COST_RESOURCE,FRT_MONEY,3564,,,,ADD_RESOURCE,FRT_MONEY,35,,ADD_RESOURCE,FRT_MONEY,36,,ADD_RESOURCE,FRT_MONEY,37,,6070,6071,6072,449,,325,6,26,30
34,QI_ZHI,COST_RESOURCE,FRT_MONEY,3774,,,,ADD_RESOURCE,FRT_MONEY,36,,ADD_RESOURCE,FRT_MONEY,37,,ADD_RESOURCE,FRT_MONEY,38,,6070,6071,6072,449,,335,6,26,30
35,QI_ZHI,COST_RESOURCE,FRT_MONEY,3990,,,,ADD_RESOURCE,FRT_MONEY,37,,ADD_RESOURCE,FRT_MONEY,38,,ADD_RESOURCE,FRT_MONEY,39,,6070,6071,6072,449,,345,6,26,30
36,QI_ZHI,FAIL,FIEF_BUILDING_LEVEL_MAX,,,,,ADD_RESOURCE,FRT_MONEY,37,,ADD_RESOURCE,FRT_MONEY,38,,ADD_RESOURCE,FRT_MONEY,39,,6070,6071,6072,449,,355,6,26,30
