level,need_craft,levelup_conditions.conditions.type,levelup_conditions.conditions.arg,levelup_conditions.conditions.arg,levelup_done_events.events.type,levelup_done_events.events.arg,levelup_done_events.events.arg,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,drops,drops,drops,default_manager,greeting,levelup_minutes,opened_position_count,craft_ranges,craft_ranges
18,KOU_CAI,COST_RESOURCE,FRT_MONEY,1134,,,,ADD_RESOURCE,FRT_MONEY,20,,ADD_RESOURCE,FRT_MONEY,21,,ADD_RESOURCE,FRT_MONEY,22,,6106,6107,6108,457,,175,6,26,30
19,KOU_CAI,COST_RESOURCE,FRT_MONEY,1254,,,,ADD_RESOURCE,FRT_MONEY,21,,ADD_RESOURCE,FRT_MONEY,22,,ADD_RESOURCE,FRT_MONEY,23,,6106,6107,6108,457,,185,6,26,30
20,KOU_CAI,COST_RESOURCE,FRT_MONEY,1380,,,,ADD_RESOURCE,FRT_MONEY,22,,ADD_RESOURCE,FRT_MONEY,23,,ADD_RESOURCE,FRT_MONEY,24,,6106,6107,6108,457,,195,6,26,30
21,KOU_CAI,COST_RESOURCE,FRT_MONEY,1512,,,,ADD_RESOURCE,FRT_MONEY,23,,ADD_RESOURCE,FRT_MONEY,24,,ADD_RESOURCE,FRT_MONEY,25,,6106,6107,6108,457,,205,6,26,30
22,KOU_CAI,COST_RESOURCE,FRT_MONEY,1650,,,,ADD_RESOURCE,FRT_MONEY,24,,ADD_RESOURCE,FRT_MONEY,25,,ADD_RESOURCE,FRT_MONEY,26,,6106,6107,6108,457,,215,6,26,30
23,KOU_CAI,COST_RESOURCE,FRT_MONEY,1794,,,,ADD_RESOURCE,FRT_MONEY,25,,ADD_RESOURCE,FRT_MONEY,26,,ADD_RESOURCE,FRT_MONEY,27,,6106,6107,6108,457,,225,6,26,30
24,KOU_CAI,COST_RESOURCE,FRT_MONEY,1944,,,,ADD_RESOURCE,FRT_MONEY,26,,ADD_RESOURCE,FRT_MONEY,27,,ADD_RESOURCE,FRT_MONEY,28,,6106,6107,6108,457,,235,6,26,30
25,KOU_CAI,COST_RESOURCE,FRT_MONEY,2100,,,,ADD_RESOURCE,FRT_MONEY,27,,ADD_RESOURCE,FRT_MONEY,28,,ADD_RESOURCE,FRT_MONEY,29,,6106,6107,6108,457,,245,6,26,30
26,KOU_CAI,COST_RESOURCE,FRT_MONEY,2262,,,,ADD_RESOURCE,FRT_MONEY,28,,ADD_RESOURCE,FRT_MONEY,29,,ADD_RESOURCE,FRT_MONEY,30,,6106,6107,6108,457,,255,6,26,30
27,KOU_CAI,COST_RESOURCE,FRT_MONEY,2430,,,,ADD_RESOURCE,FRT_MONEY,29,,ADD_RESOURCE,FRT_MONEY,30,,ADD_RESOURCE,FRT_MONEY,31,,6106,6107,6108,457,,265,6,26,30
28,KOU_CAI,COST_RESOURCE,FRT_MONEY,2604,,,,ADD_RESOURCE,FRT_MONEY,30,,ADD_RESOURCE,FRT_MONEY,31,,ADD_RESOURCE,FRT_MONEY,32,,6106,6107,6108,457,,275,6,26,30
29,KOU_CAI,COST_RESOURCE,FRT_MONEY,2784,,,,ADD_RESOURCE,FRT_MONEY,31,,ADD_RESOURCE,FRT_MONEY,32,,ADD_RESOURCE,FRT_MONEY,33,,6106,6107,6108,457,,285,6,26,30
30,KOU_CAI,COST_RESOURCE,FRT_MONEY,2970,,,,ADD_RESOURCE,FRT_MONEY,32,,ADD_RESOURCE,FRT_MONEY,33,,ADD_RESOURCE,FRT_MONEY,34,,6106,6107,6108,457,,295,6,26,30
31,KOU_CAI,COST_RESOURCE,FRT_MONEY,3162,,,,ADD_RESOURCE,FRT_MONEY,33,,ADD_RESOURCE,FRT_MONEY,34,,ADD_RESOURCE,FRT_MONEY,35,,6106,6107,6108,457,,305,6,26,30
32,KOU_CAI,COST_RESOURCE,FRT_MONEY,3360,,,,ADD_RESOURCE,FRT_MONEY,34,,ADD_RESOURCE,FRT_MONEY,35,,ADD_RESOURCE,FRT_MONEY,36,,6106,6107,6108,457,,315,6,26,30
33,KOU_CAI,COST_RESOURCE,FRT_MONEY,3564,,,,ADD_RESOURCE,FRT_MONEY,35,,ADD_RESOURCE,FRT_MONEY,36,,ADD_RESOURCE,FRT_MONEY,37,,6106,6107,6108,457,,325,6,26,30
34,KOU_CAI,COST_RESOURCE,FRT_MONEY,3774,,,,ADD_RESOURCE,FRT_MONEY,36,,ADD_RESOURCE,FRT_MONEY,37,,ADD_RESOURCE,FRT_MONEY,38,,6106,6107,6108,457,,335,6,26,30
35,KOU_CAI,COST_RESOURCE,FRT_MONEY,3990,,,,ADD_RESOURCE,FRT_MONEY,37,,ADD_RESOURCE,FRT_MONEY,38,,ADD_RESOURCE,FRT_MONEY,39,,6106,6107,6108,457,,345,6,26,30
36,KOU_CAI,FAIL,FIEF_BUILDING_LEVEL_MAX,,,,,ADD_RESOURCE,FRT_MONEY,37,,ADD_RESOURCE,FRT_MONEY,38,,ADD_RESOURCE,FRT_MONEY,39,,6106,6107,6108,457,,355,6,26,30
