id,name,building,weight,condition_weight.weight_conditions.conditions.type,condition_weight.weight_conditions.conditions.arg,condition_weight.weight_conditions.conditions.arg,condition_weight.change_value,plot_pttid,minutes,expire_plot
1127,抓捕凶手,FBT_HOSPITAL,10,,,,,100270,,
1128,西域药材售卖,FBT_HOSPITAL,10,,,,,100280,,
1129,猫咪医治,FBT_HOSPITAL,10,,,,,100290,,
1130,医疗事故,FBT_HOSPITAL,10,,,,,100300,,
1201,医闹事件,FBT_HOSPITAL,10,RESOURCE_GE,FRT_MONEY,100,50,100000,,
1202,医馆价格过高事件,FBT_HOSPITAL,10,RESOURCE_GE,FRT_MONEY,100,-50,100020,,
1203,医馆意外事件,FBT_HOSPITAL,10,,,,,100030,,
1204,医馆装修,FBT_HOSPITAL,10,,,,,100040,,
1205,医馆纠纷,FBT_HOSPITAL,10,,,,,100050,,
1206,医馆卫生问题,FBT_HOSPITAL,10,,,,,100060,,
1207,年轻医生的烦恼,FBT_HOSPITAL,10,,,,,100070,,
1208,幸福的烦恼,FBT_HOSPITAL,10,,,,,100080,,
1209,整治无赖,FBT_HOSPITAL,10,,,,,100090,,
1210,原谅还是惩治,FBT_HOSPITAL,10,,,,,100100,,
1211,老人奇遇,FBT_HOSPITAL,10,,,,,100110,,
1212,老人奇遇,FBT_HOSPITAL,10,,,,,100120,,
1213,老人怪病,FBT_HOSPITAL,10,,,,,100130,,
1214,西域药商,FBT_HOSPITAL,10,,,,,100140,,
1215,野兽奇遇,FBT_HOSPITAL,10,,,,,100150,,
1216,新发明：易容术,FBT_HOSPITAL,10,,,,,100160,180,100125
1217,易容术的新应用,FBT_HOSPITAL,10,,,,,100170,,
1218,瘟疫救治,FBT_HOSPITAL,10,,,,,100180,,
1219,伤员救治,FBT_HOSPITAL,10,,,,,100190,,
1220,救治坏蛋,FBT_HOSPITAL,10,,,,,100200,,
1221,药材定价,FBT_HOSPITAL,10,,,,,100210,,
1222,计划生育,FBT_HOSPITAL,10,,,,,100220,,
1223,流感爆发,FBT_HOSPITAL,10,,,,,100230,,
1224,食物中毒事件,FBT_HOSPITAL,10,RESOURCE_LESS,FRT_ORDER,3000,50,100240,,
1225,食物中毒事件,FBT_HOSPITAL,10,,,,,100250,,
1226,寻找凶手,FBT_HOSPITAL,10,RESOURCE_GE,FRT_LABOUR,3000,50,100260,,
1227,抓捕凶手,FBT_HOSPITAL,10,,,,,100270,,
1228,西域药材售卖,FBT_HOSPITAL,10,,,,,100280,,
1229,猫咪医治,FBT_HOSPITAL,10,,,,,100290,,
1230,医疗事故,FBT_HOSPITAL,10,,,,,100300,,
2001,监狱犯人过多问题,FBT_GUARD,10,,,,,101000,,
2002,治安恶化,FBT_GUARD,10,,,,,101020,,
2003,城防监狱事件,FBT_GUARD,10,,,,,101030,,
2004,犯人分治,FBT_GUARD,10,,,,,101040,,
2005,土匪祸乱,FBT_GUARD,10,,,,,101050,,
2006,神秘人士,FBT_GUARD,10,,,,,101060,,
2007,盗贼横行,FBT_GUARD,10,,,,,101070,,
2008,远海来瘟,FBT_GUARD,10,,,,,101080,,
2009,外敌求救,FBT_GUARD,10,,,,,101090,,
2010,城防老化,FBT_GUARD,10,,,,,101100,,
2011,士兵短缺,FBT_GUARD,10,,,,,101110,,
2012,城中失火,FBT_GUARD,10,,,,,101120,,
2013,外族入侵,FBT_GUARD,10,,,,,101130,,
2014,乘胜追击,FBT_GUARD,10,,,,,101140,,
2015,斩草是否除根,FBT_GUARD,10,,,,,101150,,
2016,通商条约,FBT_GUARD,10,,,,,101160,,
2017,百姓还是暴民,FBT_GUARD,10,,,,,101170,,
2018,邻城求救,FBT_GUARD,10,,,,,101180,,
2019,外族入侵,FBT_GUARD,10,,,,,101190,,
2020,是否宵禁,FBT_GUARD,10,,,,,101200,,
2021,地震救援,FBT_GUARD,10,,,,,101210,,
2022,情报泄露,FBT_GUARD,10,,,,,101220,,
2023,粮食不足,FBT_GUARD,10,,,,,101230,,
2024,大丰年,FBT_GUARD,10,,,,,101240,,
2025,城外狩猎,FBT_GUARD,10,,,,,101250,,
2026,兵怨连天,FBT_GUARD,10,,,,,101260,,
2027,城内爆炸,FBT_GUARD,10,,,,,101270,,
2028,山贼来扰,FBT_GUARD,10,,,,,101280,,
2029,匪首落网,FBT_GUARD,10,,,,,101290,,
2030,资金不足,FBT_GUARD,10,,,,,101300,,
3001,矿工的抱怨,FBT_MINE,10,,,,,104000,,
3002,天降横福,FBT_MINE,10,,,,,104020,,
3003,天降怪石,FBT_MINE,10,,,,,104030,,
3004,天降怪石,FBT_MINE,10,,,,,104040,,
3005,产量下降,FBT_MINE,10,,,,,104050,,
3006,暑患来临,FBT_MINE,10,,,,,104060,,
3007,古墓疑题,FBT_MINE,10,,,,,104070,,
3008,古墓疑题,FBT_MINE,10,,,,,104080,,
3009,矿场事故,FBT_MINE,10,,,,,104090,,
3010,慰问矿难家属,FBT_MINE,10,,,,,104100,,
3011,矿洞怪影,FBT_MINE,10,,,,,104110,,
3012,矿洞怪影,FBT_MINE,10,,,,,104120,,
3013,工具老化,FBT_MINE,10,,,,,104130,,
3014,暑患来临,FBT_MINE,10,,,,,104140,,
3015,矿工的抱怨,FBT_MINE,10,,,,,104150,,
3016,原料产品的问题,FBT_MINE,10,,,,,104160,,
3017,难管的员工,FBT_MINE,10,,,,,104170,,
3018,矿石新发现,FBT_MINE,10,,,,,104180,,
3019,场中野兽,FBT_MINE,10,,,,,104190,,
3020,矿物耗尽,FBT_MINE,10,,,,,104200,,
3021,矿场的隐患,FBT_MINE,10,,,,,104210,,
3022,矿场塌方,FBT_MINE,10,,,,,104220,,
3023,矿石莫名消失,FBT_MINE,10,,,,,104230,,
3024,矿场知识问答,FBT_MINE,10,,,,,104240,,
3025,矿场知识问答,FBT_MINE,10,,,,,104250,,
3026,矿场知识问答,FBT_MINE,10,,,,,104260,,
3027,矿场知识问答,FBT_MINE,10,,,,,104270,,
3028,矿场知识问答,FBT_MINE,10,,,,,104280,,
3029,矿场知识问答,FBT_MINE,10,,,,,104290,,
3030,矿场知识问答,FBT_MINE,10,,,,,104300,,
4001,商会扩张,FBT_COFC,10,,,,,103000,,
4002,漠北的生意,FBT_COFC,10,,,,,103020,,
4003,神秘来客,FBT_COFC,10,,,,,103030,,
4004,共享的摊位,FBT_COFC,10,,,,,103040,,
4005,商会中的腐败,FBT_COFC,10,,,,,103050,,
4006,商会的疲态,FBT_COFC,10,,,,,103060,,
4007,商会亏损,FBT_COFC,10,,,,,103070,,
4008,道听途说,FBT_COFC,10,,,,,103080,,
4009,失控的物价,FBT_COFC,10,,,,,103090,,
4010,流氓匪寇的侵扰,FBT_COFC,10,,,,,103100,,
4011,流窜商贩,FBT_COFC,10,,,,,103110,,
4012,粮食歉收,FBT_COFC,10,,,,,103120,,
4013,前朝瓷器,FBT_COFC,10,,,,,103130,,
4014,商会的继承,FBT_COFC,10,,,,,103140,,
4015,典当铺的筹备,FBT_COFC,10,,,,,103150,,
4016,流民的困扰,FBT_COFC,10,,,,,103160,,
4017,客商云集,FBT_COFC,10,,,,,103170,,
4018,未来的发展,FBT_COFC,10,,,,,103180,,
4019,慈善活动,FBT_COFC,10,,,,,103190,,
4020,欠缺的资金,FBT_COFC,10,,,,,103200,,
4021,周转不灵的资金,FBT_COFC,10,,,,,103210,,
4022,抢手的丝绸,FBT_COFC,10,,,,,103220,,
4023,要命的私盐,FBT_COFC,10,,,,,103230,,
4024,畅销的羊毛,FBT_COFC,10,,,,,103240,,
4025,夜市的卫生问题,FBT_COFC,10,,,,,103250,,
4026,购买粮草,FBT_COFC,10,,,,,103260,,
4027,商会的烦恼,FBT_COFC,10,,,,,103270,,
4028,飞贼猖獗,FBT_COFC,10,,,,,103280,,
4029,铁矿售卖,FBT_COFC,10,,,,,103290,,
4030,人力紧缺,FBT_COFC,10,,,,,103300,,
5001,定价问题,FBT_CLOTH,10,,,,,105000,,
5002,外出学艺,FBT_CLOTH,10,,,,,105020,,
5003,畅销的棉花,FBT_CLOTH,10,,,,,105030,,
5004,凛冽的寒风,FBT_CLOTH,10,,,,,105040,,
5005,告老还乡的师傅,FBT_CLOTH,10,,,,,105050,,
5006,奇怪的需求,FBT_CLOTH,10,,,,,105060,,
5007,产业拓宽,FBT_CLOTH,10,,,,,105070,,
5008,虎皮利用,FBT_CLOTH,10,,,,,105080,,
5009,布料紧缺,FBT_CLOTH,10,,,,,105090,,
5010,衣不蔽体,FBT_CLOTH,10,,,,,105100,,
5011,纺车老化,FBT_CLOTH,10,,,,,105110,,
5012,纺布知识,FBT_CLOTH,10,,,,,105120,,
5013,纺布知识,FBT_CLOTH,10,,,,,105130,,
5014,纺布知识,FBT_CLOTH,10,,,,,105140,,
5015,纺布知识,FBT_CLOTH,10,,,,,105150,,
5016,纺布知识,FBT_CLOTH,10,,,,,105160,,
5017,纺布知识,FBT_CLOTH,10,,,,,105170,,
5018,纺布知识,FBT_CLOTH,10,,,,,105180,,
5019,酷暑来临,FBT_CLOTH,10,,,,,105190,,
5020,款式优化,FBT_CLOTH,10,,,,,105200,,
5021,棉花缺乏,FBT_CLOTH,10,,,,,105210,,
5022,生意不好,FBT_CLOTH,10,,,,,105220,,
5023,次品的烦恼,FBT_CLOTH,10,,,,,105230,,
5024,未雨绸缪,FBT_CLOTH,10,,,,,105240,,
5025,滞销衣服的处理,FBT_CLOTH,10,,,,,105250,,
6001,酒鬼的处理,FBT_BAR,10,,,,,102000,,
6002,造谣的烦恼,FBT_BAR,10,,,,,102020,,
6003,美酒的烦恼,FBT_BAR,10,,,,,102030,,
6004,新酒的研发,FBT_BAR,10,,,,,102040,,
6005,更新陈旧,FBT_BAR,10,,,,,102050,,
6006,酒馆的意外,FBT_BAR,10,,,,,102060,,
6007,惩治赌博,FBT_BAR,10,,,,,102070,,
6008,酒馆的经营问题,FBT_BAR,10,,,,,102080,,
6009,新来的小二,FBT_BAR,10,,,,,102090,,
6010,酒馆歌舞,FBT_BAR,10,,,,,102100,,
6011,酒馆的翻新,FBT_BAR,10,,,,,102110,,
6012,酒馆的增收,FBT_BAR,10,,,,,102120,,
6013,赊账问题,FBT_BAR,10,,,,,102130,,
6014,乞丐问题,FBT_BAR,10,,,,,102140,,
6015,难以启齿的问题,FBT_BAR,10,,,,,102150,,
6016,老板的退休,FBT_BAR,10,,,,,102160,,
6017,饮酒作对(一),FBT_BAR,10,,,,,102170,,
6018,饮酒作对(二),FBT_BAR,10,,,,,102180,,
6019,饮酒作对(三),FBT_BAR,10,,,,,102190,,
6020,饮酒作对(四),FBT_BAR,10,,,,,102200,,
6021,饮酒作对(五),FBT_BAR,10,,,,,102210,,
6022,饮酒作对(六),FBT_BAR,10,,,,,102220,,
6023,饮酒作对(七),FBT_BAR,10,,,,,102230,,
6024,饮酒作对(八),FBT_BAR,10,,,,,102240,,
6025,饮酒作对(九),FBT_BAR,10,,,,,102250,,
6026,私盐的取舍,FBT_BAR,10,,,,,102260,,
6027,通缉犯,FBT_BAR,10,,,,,102270,,
6028,中邪的小二,FBT_BAR,10,,,,,102280,,
6029,酒馆的强盗,FBT_BAR,10,,,,,102290,,
6030,预防火患,FBT_BAR,10,,,,,102300,,
