id,icon,name,desc,type,decos.decos.type,decos.decos.value,decos.decos.change_percent,levelup_jade,origins,quality
10505,icon/jade/ziyuyuanyu,中级紫玉圆玉,中级紫玉圆玉，佩戴在宝宝身上，可提升宝宝的基础命中。,HIT_RATE,HIT_RATE,89,,10506,,3
10506,icon/jade/ziyuyuanyu,高级紫玉圆玉,高级紫玉圆玉，佩戴在宝宝身上，可提升宝宝的基础命中。,HIT_RATE,HIT_RATE,125,,10507,,3
10507,icon/jade/ziyuyupei,初级紫玉玉佩,低级紫玉玉佩，佩戴在宝宝身上，可提升宝宝的基础命中。,HIT_RATE,HIT_RATE,175,,10508,,4
10508,icon/jade/ziyuyupei,中级紫玉玉佩,中级紫玉玉佩，佩戴在宝宝身上，可提升宝宝的基础命中。,HIT_RATE,HIT_RATE,227,,10509,,4
10509,icon/jade/ziyuyupei,高级紫玉玉佩,高级紫玉玉佩，佩戴在宝宝身上，可提升宝宝的基础命中。,HIT_RATE,HIT_RATE,296,,10510,,4
10510,icon/jade/ziyuyudiao,初级紫玉玉雕,低级紫玉玉雕，佩戴在宝宝身上，可提升宝宝的基础命中。,HIT_RATE,HIT_RATE,384,,10511,,5
10511,icon/jade/ziyuyudiao,中级紫玉玉雕,中级紫玉玉雕，佩戴在宝宝身上，可提升宝宝的基础命中。,HIT_RATE,HIT_RATE,461,,10512,,5
10512,icon/jade/ziyuyudiao,高级紫玉玉雕,高级紫玉玉雕，佩戴在宝宝身上，可提升宝宝的基础命中。,HIT_RATE,HIT_RATE,553,,,,5
10601,icon/jade/qingyuyuanshi,初级青玉原石,低级青玉原石，佩戴在宝宝身上，可提升宝宝的闪避概率。,DODGE_RATE,DODGE_RATE,19,,10602,,2
10602,icon/jade/qingyuyuanshi,中级青玉原石,中级青玉原石，佩戴在宝宝身上，可提升宝宝的闪避概率。,DODGE_RATE,DODGE_RATE,28,,10603,,2
10603,icon/jade/qingyuyuanshi,高级青玉原石,高级青玉原石，佩戴在宝宝身上，可提升宝宝的闪避概率。,DODGE_RATE,DODGE_RATE,42,,10604,,2
10604,icon/jade/qingyuyuanyu,初级青玉圆玉,低级青玉圆玉，佩戴在宝宝身上，可提升宝宝的闪避概率。,DODGE_RATE,DODGE_RATE,64,,10605,,3
10605,icon/jade/qingyuyuanyu,中级青玉圆玉,中级青玉圆玉，佩戴在宝宝身上，可提升宝宝的闪避概率。,DODGE_RATE,DODGE_RATE,89,,10606,,3
10606,icon/jade/qingyuyuanyu,高级青玉圆玉,高级青玉圆玉，佩戴在宝宝身上，可提升宝宝的闪避概率。,DODGE_RATE,DODGE_RATE,125,,10607,,3
10607,icon/jade/qingyuyupei,初级青玉玉佩,低级青玉玉佩，佩戴在宝宝身上，可提升宝宝的闪避概率。,DODGE_RATE,DODGE_RATE,175,,10608,,4
10608,icon/jade/qingyuyupei,中级青玉玉佩,中级青玉玉佩，佩戴在宝宝身上，可提升宝宝的闪避概率。,DODGE_RATE,DODGE_RATE,227,,10609,,4
10609,icon/jade/qingyuyupei,高级青玉玉佩,高级青玉玉佩，佩戴在宝宝身上，可提升宝宝的闪避概率。,DODGE_RATE,DODGE_RATE,296,,10610,,4
10610,icon/jade/qingyuyudiao,初级青玉玉雕,低级青玉玉雕，佩戴在宝宝身上，可提升宝宝的闪避概率。,DODGE_RATE,DODGE_RATE,384,,10611,,5
10611,icon/jade/qingyuyudiao,中级青玉玉雕,中级青玉玉雕，佩戴在宝宝身上，可提升宝宝的闪避概率。,DODGE_RATE,DODGE_RATE,461,,10612,,5
10612,icon/jade/qingyuyudiao,高级青玉玉雕,高级青玉玉雕，佩戴在宝宝身上，可提升宝宝的闪避概率。,DODGE_RATE,DODGE_RATE,553,,,,5
10701,icon/jade/baiyuyuanshi,初级白玉原石,低级白玉原石，佩戴在宝宝身上，可提升宝宝的治疗增益。,OUT_HEAL_PERCENT,OUT_HEAL_PERCENT,16,,10702,,2
10702,icon/jade/baiyuyuanshi,中级白玉原石,中级白玉原石，佩戴在宝宝身上，可提升宝宝的治疗增益。,OUT_HEAL_PERCENT,OUT_HEAL_PERCENT,23,,10703,,2
10703,icon/jade/baiyuyuanshi,高级白玉原石,高级白玉原石，佩戴在宝宝身上，可提升宝宝的治疗增益。,OUT_HEAL_PERCENT,OUT_HEAL_PERCENT,35,,10704,,2
10704,icon/jade/baiyuyuanyu,初级白玉圆玉,低级白玉圆玉，佩戴在宝宝身上，可提升宝宝的治疗增益。,OUT_HEAL_PERCENT,OUT_HEAL_PERCENT,53,,10705,,3
10705,icon/jade/baiyuyuanyu,中级白玉圆玉,中级白玉圆玉，佩戴在宝宝身上，可提升宝宝的治疗增益。,OUT_HEAL_PERCENT,OUT_HEAL_PERCENT,74,,10706,,3
10706,icon/jade/baiyuyuanyu,高级白玉圆玉,高级白玉圆玉，佩戴在宝宝身上，可提升宝宝的治疗增益。,OUT_HEAL_PERCENT,OUT_HEAL_PERCENT,104,,10707,,3
10707,icon/jade/baiyuyupei,初级白玉玉佩,低级白玉玉佩，佩戴在宝宝身上，可提升宝宝的治疗增益。,OUT_HEAL_PERCENT,OUT_HEAL_PERCENT,146,,10708,,4
10708,icon/jade/baiyuyupei,中级白玉玉佩,中级白玉玉佩，佩戴在宝宝身上，可提升宝宝的治疗增益。,OUT_HEAL_PERCENT,OUT_HEAL_PERCENT,189,,10709,,4
10709,icon/jade/baiyuyupei,高级白玉玉佩,高级白玉玉佩，佩戴在宝宝身上，可提升宝宝的治疗增益。,OUT_HEAL_PERCENT,OUT_HEAL_PERCENT,246,,10710,,4
10710,icon/jade/baiyuyudiao,初级白玉玉雕,低级白玉玉雕，佩戴在宝宝身上，可提升宝宝的治疗增益。,OUT_HEAL_PERCENT,OUT_HEAL_PERCENT,320,,10711,,5
10711,icon/jade/baiyuyudiao,中级白玉玉雕,中级白玉玉雕，佩戴在宝宝身上，可提升宝宝的治疗增益。,OUT_HEAL_PERCENT,OUT_HEAL_PERCENT,384,,10712,,5
10712,icon/jade/baiyuyudiao,高级白玉玉雕,高级白玉玉雕，佩戴在宝宝身上，可提升宝宝的治疗增益。,OUT_HEAL_PERCENT,OUT_HEAL_PERCENT,461,,,,5
10801,icon/jade/fenjingyuanshi,初级粉晶原石,低级粉晶原石，佩戴在宝宝身上，可提升宝宝的增伤属性。,OUT_DAMAGE_PERCENT,OUT_DAMAGE_PERCENT,16,,10802,,2
10802,icon/jade/fenjingyuanshi,中级粉晶原石,中级粉晶原石，佩戴在宝宝身上，可提升宝宝的增伤属性。,OUT_DAMAGE_PERCENT,OUT_DAMAGE_PERCENT,23,,10803,,2
10803,icon/jade/fenjingyuanshi,高级粉晶原石,高级粉晶原石，佩戴在宝宝身上，可提升宝宝的增伤属性。,OUT_DAMAGE_PERCENT,OUT_DAMAGE_PERCENT,35,,10804,,2
10804,icon/jade/fenjingyuanyu,初级粉晶圆玉,低级粉晶圆玉，佩戴在宝宝身上，可提升宝宝的增伤属性。,OUT_DAMAGE_PERCENT,OUT_DAMAGE_PERCENT,53,,10805,,3
10805,icon/jade/fenjingyuanyu,中级粉晶圆玉,中级粉晶圆玉，佩戴在宝宝身上，可提升宝宝的增伤属性。,OUT_DAMAGE_PERCENT,OUT_DAMAGE_PERCENT,74,,10806,,3
10806,icon/jade/fenjingyuanyu,高级粉晶圆玉,高级粉晶圆玉，佩戴在宝宝身上，可提升宝宝的增伤属性。,OUT_DAMAGE_PERCENT,OUT_DAMAGE_PERCENT,104,,10807,,3
10807,icon/jade/fenjingyupei,初级粉晶玉佩,低级粉晶玉佩，佩戴在宝宝身上，可提升宝宝的增伤属性。,OUT_DAMAGE_PERCENT,OUT_DAMAGE_PERCENT,146,,10808,,4
10808,icon/jade/fenjingyupei,中级粉晶玉佩,中级粉晶玉佩，佩戴在宝宝身上，可提升宝宝的增伤属性。,OUT_DAMAGE_PERCENT,OUT_DAMAGE_PERCENT,189,,10809,,4
10809,icon/jade/fenjingyupei,高级粉晶玉佩,高级粉晶玉佩，佩戴在宝宝身上，可提升宝宝的增伤属性。,OUT_DAMAGE_PERCENT,OUT_DAMAGE_PERCENT,246,,10810,,4
10810,icon/jade/fenjingyudiao,初级粉晶玉雕,低级粉晶玉雕，佩戴在宝宝身上，可提升宝宝的增伤属性。,OUT_DAMAGE_PERCENT,OUT_DAMAGE_PERCENT,320,,10811,,5
10811,icon/jade/fenjingyudiao,中级粉晶玉雕,中级粉晶玉雕，佩戴在宝宝身上，可提升宝宝的增伤属性。,OUT_DAMAGE_PERCENT,OUT_DAMAGE_PERCENT,384,,10812,,5
10812,icon/jade/fenjingyudiao,高级粉晶玉雕,高级粉晶玉雕，佩戴在宝宝身上，可提升宝宝的增伤属性。,OUT_DAMAGE_PERCENT,OUT_DAMAGE_PERCENT,461,,,,5
10901,icon/jade/huangyuyuanshi,初级黄玉原石,低级黄玉原石，佩戴在宝宝身上，可提升宝宝的免伤属性。,IN_DAMAGE_PERCENT,IN_DAMAGE_PERCENT,16,,10902,,2
10902,icon/jade/huangyuyuanshi,中级黄玉原石,中级黄玉原石，佩戴在宝宝身上，可提升宝宝的免伤属性。,IN_DAMAGE_PERCENT,IN_DAMAGE_PERCENT,23,,10903,,2
10903,icon/jade/huangyuyuanshi,高级黄玉原石,高级黄玉原石，佩戴在宝宝身上，可提升宝宝的免伤属性。,IN_DAMAGE_PERCENT,IN_DAMAGE_PERCENT,35,,10904,,2
10904,icon/jade/huangyuyuanyu,初级黄玉圆玉,低级黄玉圆玉，佩戴在宝宝身上，可提升宝宝的免伤属性。,IN_DAMAGE_PERCENT,IN_DAMAGE_PERCENT,53,,10905,,3
10905,icon/jade/huangyuyuanyu,中级黄玉圆玉,中级黄玉圆玉，佩戴在宝宝身上，可提升宝宝的免伤属性。,IN_DAMAGE_PERCENT,IN_DAMAGE_PERCENT,74,,10906,,3
10906,icon/jade/huangyuyuanyu,高级黄玉圆玉,高级黄玉圆玉，佩戴在宝宝身上，可提升宝宝的免伤属性。,IN_DAMAGE_PERCENT,IN_DAMAGE_PERCENT,104,,10907,,3
10907,icon/jade/huangyuyupei,初级黄玉玉佩,低级黄玉玉佩，佩戴在宝宝身上，可提升宝宝的免伤属性。,IN_DAMAGE_PERCENT,IN_DAMAGE_PERCENT,146,,10908,,4
10908,icon/jade/huangyuyupei,中级黄玉玉佩,中级黄玉玉佩，佩戴在宝宝身上，可提升宝宝的免伤属性。,IN_DAMAGE_PERCENT,IN_DAMAGE_PERCENT,189,,10909,,4
10909,icon/jade/huangyuyupei,高级黄玉玉佩,高级黄玉玉佩，佩戴在宝宝身上，可提升宝宝的免伤属性。,IN_DAMAGE_PERCENT,IN_DAMAGE_PERCENT,246,,10910,,4
10910,icon/jade/huangyuyudiao,初级黄玉玉雕,低级黄玉玉雕，佩戴在宝宝身上，可提升宝宝的免伤属性。,IN_DAMAGE_PERCENT,IN_DAMAGE_PERCENT,320,,10911,,5
10911,icon/jade/huangyuyudiao,中级黄玉玉雕,中级黄玉玉雕，佩戴在宝宝身上，可提升宝宝的免伤属性。,IN_DAMAGE_PERCENT,IN_DAMAGE_PERCENT,384,,10912,,5
10912,icon/jade/huangyuyudiao,高级黄玉玉雕,高级黄玉玉雕，佩戴在宝宝身上，可提升宝宝的免伤属性。,IN_DAMAGE_PERCENT,IN_DAMAGE_PERCENT,461,,,,5
