id,stars.star,stars.craft,stars.star,stars.craft,stars.star,stars.craft,stars.star,stars.craft,stars.star,stars.craft,stars.star,stars.craft
21,1,WU_YI,3,QI_ZHI,6,WU_YI,9,QI_ZHI,12,QI_ZHI,15,WU_YI
22,1,WU_YI,3,QI_ZHI,6,WU_YI,9,QI_ZHI,12,QI_ZHI,15,WU_YI
23,1,KOU_CAI,3,QIAO_SHOU,6,KOU_CAI,9,QI_ZHI,12,QIAO_SHOU,15,QIAO_SHOU
24,1,WU_YI,3,LING_HUI,6,WU_YI,9,QI_ZHI,12,LING_HUI,15,WU_YI
25,1,YI_LI,3,LING_HUI,6,YI_LI,9,LING_HUI,12,YI_LI,15,LING_HUI
26,1,QIAO_SHOU,3,QI_ZHI,6,WU_YI,9,LING_HUI,12,WU_YI,15,LING_HUI
27,1,LING_HUI,3,LING_HUI,6,WU_YI,9,QI_ZHI,12,LING_HUI,15,WU_YI
28,1,WU_YI,3,LING_HUI,6,WU_YI,9,QI_ZHI,12,LING_HUI,15,WU_YI
29,1,WU_YI,3,QI_ZHI,6,WU_YI,9,QI_ZHI,12,QI_ZHI,15,WU_YI
30,1,KOU_CAI,3,LING_HUI,6,KOU_CAI,9,LING_HUI,12,KOU_CAI,15,LING_HUI
31,1,YI_LI,3,QIAO_SHOU,6,YI_LI,9,QI_ZHI,12,QIAO_SHOU,15,QIAO_SHOU
32,1,QI_ZHI,3,QIAO_SHOU,6,QIAO_SHOU,9,QI_ZHI,12,QIAO_SHOU,15,QIAO_SHOU
33,1,KOU_CAI,3,QIAO_SHOU,6,KOU_CAI,9,QI_ZHI,12,QIAO_SHOU,15,QIAO_SHOU
34,1,KOU_CAI,3,QIAO_SHOU,6,KOU_CAI,9,QI_ZHI,12,QIAO_SHOU,15,QIAO_SHOU
35,1,KOU_CAI,3,QIAO_SHOU,6,KOU_CAI,9,QI_ZHI,12,QIAO_SHOU,15,QIAO_SHOU
36,1,WU_YI,3,QIAO_SHOU,6,WU_YI,9,QIAO_SHOU,12,WU_YI,15,WU_YI
37,1,QIAO_SHOU,3,LING_HUI,6,QIAO_SHOU,9,LING_HUI,12,QIAO_SHOU,15,QIAO_SHOU
38,1,QIAO_SHOU,3,QI_ZHI,6,YI_LI,9,QIAO_SHOU,12,QI_ZHI,15,YI_LI
39,1,KOU_CAI,3,QIAO_SHOU,6,KOU_CAI,9,QI_ZHI,12,QIAO_SHOU,15,QIAO_SHOU
40,1,YI_LI,3,WU_YI,6,YI_LI,9,YI_LI,12,WU_YI,15,YI_LI
41,1,KOU_CAI,3,QIAO_SHOU,6,KOU_CAI,9,QI_ZHI,12,QIAO_SHOU,15,QIAO_SHOU
42,1,YI_LI,3,WU_YI,6,YI_LI,9,WU_YI,12,YI_LI,15,WU_YI
43,1,QIAO_SHOU,3,WU_YI,6,YI_LI,9,WU_YI,12,QIAO_SHOU,15,YI_LI
44,1,KOU_CAI,3,LING_HUI,6,KOU_CAI,9,LING_HUI,12,KOU_CAI,15,LING_HUI
45,1,KOU_CAI,3,QI_ZHI,6,LING_HUI,9,KOU_CAI,12,QI_ZHI,15,LING_HUI
46,1,KOU_CAI,3,QI_ZHI,6,LING_HUI,9,KOU_CAI,12,QI_ZHI,15,LING_HUI
47,1,YI_LI,3,WU_YI,6,YI_LI,9,YI_LI,12,WU_YI,15,YI_LI
48,1,QI_ZHI,3,QIAO_SHOU,6,QIAO_SHOU,9,QI_ZHI,12,QIAO_SHOU,15,QIAO_SHOU
49,1,QI_ZHI,3,QIAO_SHOU,6,QIAO_SHOU,9,QI_ZHI,12,QIAO_SHOU,15,QIAO_SHOU
50,1,YI_LI,3,WU_YI,6,YI_LI,9,YI_LI,12,WU_YI,15,YI_LI
51,1,KOU_CAI,3,QIAO_SHOU,6,KOU_CAI,9,QI_ZHI,12,QIAO_SHOU,15,QIAO_SHOU
52,1,WU_YI,3,LING_HUI,6,WU_YI,9,QI_ZHI,12,LING_HUI,15,WU_YI
53,1,WU_YI,3,QI_ZHI,6,WU_YI,9,LING_HUI,12,WU_YI,15,LING_HUI
54,1,YI_LI,3,QIAO_SHOU,6,YI_LI,9,QI_ZHI,12,QIAO_SHOU,15,QIAO_SHOU
55,1,QI_ZHI,3,KOU_CAI,6,QI_ZHI,9,QIAO_SHOU,12,QI_ZHI,15,LING_HUI
56,1,YI_LI,3,QIAO_SHOU,6,YI_LI,9,QI_ZHI,12,QIAO_SHOU,15,QIAO_SHOU
57,1,KOU_CAI,3,LING_HUI,6,QIAO_SHOU,9,LING_HUI,12,KOU_CAI,15,LING_HUI
58,1,QI_ZHI,3,QI_ZHI,6,YI_LI,9,WU_YI,12,WU_YI,15,WU_YI
59,1,LING_HUI,3,QI_ZHI,6,LING_HUI,9,QIAO_SHOU,12,QIAO_SHOU,15,LING_HUI
