id,grids.actor,grids.grid.row,grids.grid.col,grids.actor,grids.grid.row,grids.grid.col,grids.actor,grids.grid.row,grids.grid.col,grids.actor,grids.grid.row,grids.grid.col,grids.actor,grids.grid.row,grids.grid.col
94,212,1,2,203,2,1,1,2,2,213,3,1,202,3,3
95,104,1,2,220,2,1,2,2,2,105,3,2,228,3,3
96,227,1,2,110,2,2,207,2,3,107,3,1,1,3,2
97,106,1,2,217,2,2,103,2,3,109,3,1,2,3,3
98,206,1,2,2,2,2,101,2,3,201,3,2,216,3,3
99,218,1,2,214,2,3,205,3,1,1,3,2,102,3,3
100,229,1,3,215,2,1,204,2,2,1,2,3,225,3,1
101,102,1,3,213,2,1,220,2,2,1,2,3,223,3,2
102,109,1,3,107,2,1,206,2,2,211,2,3,1,3,3
103,214,1,3,204,2,1,1,2,2,221,3,1,208,3,2
104,110,1,3,202,2,1,2,2,2,224,3,1,212,3,3
105,1,1,3,225,2,1,218,2,2,105,3,2,205,3,3
106,201,1,3,103,2,1,215,2,3,1,3,1,210,3,2
107,207,1,3,2,2,1,203,2,3,222,3,1,219,3,3
108,228,1,3,1,2,1,217,2,3,227,3,2,101,3,3
109,106,1,3,104,2,1,216,3,1,2,3,2,108,3,3
110,226,1,3,229,2,2,209,2,3,2,3,1,230,3,2
111,226,1,3,2,2,2,222,2,3,224,3,1,213,3,3
112,206,1,3,101,2,2,109,2,3,103,3,2,1,3,3
113,227,1,3,203,2,2,209,3,1,204,3,2,1,3,3
114,2,1,3,108,2,3,220,3,1,104,3,2,105,3,3
115,2,2,1,202,2,2,102,2,3,215,3,1,217,3,2
116,225,2,1,207,2,2,1,2,3,228,3,1,216,3,3
117,107,2,1,2,2,2,221,2,3,230,3,2,201,3,3
118,229,2,1,1,2,2,208,3,1,219,3,2,110,3,3
119,106,2,1,210,2,3,2,3,1,211,3,2,218,3,3
120,223,2,2,214,2,3,1,3,1,205,3,2,212,3,3
