id,cut_in_line,times,content,position,position
18,False,1,玩家%{NAME}正在举办宴会！,,MP_SYSTEM_CHAT
19,False,1,玩家%{NAME}人品爆表，从%{ITEM}宝箱中获得了%{ITEM1}！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
21,False,1,%{NAME}赠送%{GIFT}给%{NAME1}，羡煞旁人！,MP_CENTRE_UP,MP_SYSTEM_CHAT
22,False,1,玩家%{NAME}突破花魂%{EQUIP}达到金色品质！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
23,False,1,%{NAME}与%{ACTOR}好感度达到十心！真是亲密无间！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
24,False,1,玩家%{NAME}的伙伴%{ACTOR}被诰封为一品官！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
25,False,1,锦绣台投票开始啦，大家快来参加呀！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
26,False,1,玩家%{NAME}的服装获得了大家的喜爱，荣获锦绣台第一！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
27,False,1,小主，您正参加着的宴会，问答环节开始了，快去抢答吧！前往赴宴,,MP_SYSTEM_CHAT
28,False,1,小主，您正参加着的宴会，菜肴开始了！前往享受盛宴吧！前往赴宴,,MP_SYSTEM_CHAT
29,False,1,小主，您正参加着的宴会，猜灯谜开始了！快去抢灯谜箱子吧！前往赴宴,,MP_SYSTEM_CHAT
30,False,1,小主，您正参加着的宴会，有小贼溜进来了！快去驱逐盗贼吧！前往赴宴,,MP_SYSTEM_CHAT
31,False,1,小主，您正参加着的宴会，名流来访了！快去拜访名流吧！前往赴宴,,MP_SYSTEM_CHAT
32,False,1,小主，您正参加着的宴会，天降祥瑞了！快去收获奖励吧！前往赴宴,,MP_SYSTEM_CHAT
33,False,1,小主，您预约的宴会可以进入了，快去准备吧！前往赴宴,,MP_SYSTEM_CHAT
34,False,1,小主，您举办的宴会可以进入了，快去准备吧！前往赴宴,,MP_SYSTEM_CHAT
35,False,1,%{NAME}惹恼了%{NAME1}，%{NAME1}狠狠的掌嘴了%{NAME}。,,MP_SYSTEM_CHAT
36,False,1,%{NAME1}向%{NAME}请安，祝%{NAME}身体安康、万事如意。,,MP_SYSTEM_CHAT
37,False,1,%{NAME1}狠狠的威吓了%{NAME}，%{NAME}的头像改变了。,,MP_SYSTEM_CHAT
38,False,1,小道消息：%{NAME}经常去洗衣房偷宫女的衣服。,,MP_SYSTEM_CHAT
39,False,1,%{NAME1}对%{NAME}释放了巫术，%{NAME}的形象改变了,,MP_SYSTEM_CHAT
40,False,1,%{NAME1}在%{NAME}的酒中放入安神药，%{NAME}变得昏昏欲睡防御力下降。,,MP_SYSTEM_CHAT
41,False,1,%{NAME1}派出暗卫，对%{NAME}施加了责罚，%{NAME}的攻击下降了。,,MP_SYSTEM_CHAT
42,False,1,%{NAME1}看%{NAME}是个可造之材，%{NAME}得到提携官品提升了。,,MP_SYSTEM_CHAT
43,False,1,%{NAME1}携%{NAME}一同出游，羡煞旁人。,,MP_SYSTEM_CHAT
44,False,1,%{NAME1}公布了%{NAME}大量罪状，%{NAME}被下狱中。,,MP_SYSTEM_CHAT
45,False,1,圣上%{NAME}宣告天下:这便是朕的，锦绣江山。在接下来的一段时间内，本纪副本收益增加。,MP_CENTRE_UP,MP_SYSTEM_CHAT
51,False,1,殿试考核报名已开始，报名截止时间为今日18:30，小姐少爷们请不要错过晋升,MP_CENTRE_UP,MP_SYSTEM_CHAT
52,False,1,殿试考核报名即将于18:30结束，小姐少爷们请不要错过晋升,MP_CENTRE_UP,MP_SYSTEM_CHAT
53,False,1,殿试考核将在19:00开始第一轮比试，小姐少爷们届时可前往查看战绩,MP_CENTRE_UP,MP_SYSTEM_CHAT
54,False,1,殿试考核第一轮已开始，小姐少爷们可前往查看战绩,MP_CENTRE_UP,MP_SYSTEM_CHAT
55,False,1,殿试考核第二轮已开始，小姐少爷们可前往查看战绩,MP_CENTRE_UP,MP_SYSTEM_CHAT
56,False,1,殿试考核第三轮已开始，小姐少爷们可前往查看战绩,MP_CENTRE_UP,MP_SYSTEM_CHAT
57,False,1,殿试考核第四轮已开始，小姐少爷们可前往查看战绩,MP_CENTRE_UP,MP_SYSTEM_CHAT
58,False,1,本日的殿试考试已结束，现在通过皇榜查看录取名单,MP_CENTRE_UP,MP_SYSTEM_CHAT
59,False,1,夺位考核报名已开始，报名截止时间为今日18:30，小姐少爷们请不要错过晋升,MP_CENTRE_UP,MP_SYSTEM_CHAT
60,False,1,夺位考核报名即将于18:30结束，小姐少爷们请不要错过晋升,MP_CENTRE_UP,MP_SYSTEM_CHAT
61,False,1,夺位考核将在19:00开始第一轮比试，小姐少爷们届时可前往查看战绩,MP_CENTRE_UP,MP_SYSTEM_CHAT
62,False,1,夺位考核第一轮已开始，小姐少爷们可前往查看战绩,MP_CENTRE_UP,MP_SYSTEM_CHAT
63,False,1,夺位考核第二轮已开始，小姐少爷们可前往查看战绩,MP_CENTRE_UP,MP_SYSTEM_CHAT
64,False,1,夺位考核第三轮已开始，小姐少爷们可前往查看战绩,MP_CENTRE_UP,MP_SYSTEM_CHAT
65,False,1,夺位考核第四轮已开始，小姐少爷们可前往查看战绩,MP_CENTRE_UP,MP_SYSTEM_CHAT
66,False,1,夺位考核第四轮已开始，小姐少爷们可前往查看战绩,MP_CENTRE_UP,MP_SYSTEM_CHAT
70,False,1,%{GUANXIAN}%{NAME}上线了。,,MP_SYSTEM_CHAT
71,False,1,玩家%{NAME}在此夜星河中找到真心人%{NAME1}，两人结为情缘。为他们献上祝福吧~,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
72,False,1,玩家%{NAME}在比武招亲中找到真心人%{NAME1}，两人结为情缘。为他们献上祝福吧~,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
73,False,1,%{NAME}与%{ACTOR}好感度达到十五心！真是情深意厚！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
74,False,1,%{NAME}与%{ACTOR}好感度达到二十心！情比金坚羡煞众人！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
75,False,1,%{NAME}结识了绝等伙伴%{ACTOR}，据说赠送了不少信物！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
79,False,1,经过大家的鉴别，针对%{NAME1}的谣言不攻自破。谣言的发起者%{NAME}，得到了”妖言惑众”这个称号，美名降低。,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
80,False,1,经过大家的鉴别，%{NAME}逢人便撩。%{NAME}得到了“拈花惹草”这个称号，美名降低。,MP_CENTRE_UP,MP_SYSTEM_CHAT
81,False,1,待补,MP_CENTRE_UP,MP_SYSTEM_CHAT
82,False,1,待补,MP_CENTRE_UP,MP_SYSTEM_CHAT
83,False,1,待补,MP_CENTRE_UP,MP_SYSTEM_CHAT
84,False,1,经过大家的鉴别，%{NAME}居然真的雇人来听自己讲学。%{NAME}得到了“蝇营狗苟”这个称号，美名降低。,MP_CENTRE_UP,MP_SYSTEM_CHAT
85,False,1,经过大家的鉴别，%{NAME}府中存有大量余粮却藏了起来。%{NAME}得到了“一毛不拔”这个称号，美名降低。,MP_CENTRE_UP,MP_SYSTEM_CHAT
86,False,1,经过大家的鉴别，%{NAME}真的每天蹲在皇宫门口等着见皇上一眼。%{NAME}得到了“攀龙附凤”这个称号，美名降低。,MP_CENTRE_UP,MP_SYSTEM_CHAT
87,False,1,待补,MP_CENTRE_UP,MP_SYSTEM_CHAT
88,False,1,经过大家的鉴别，%{NAME}的确在洗衣房偷过宫女的衣服。%{NAME}得到了“衣冠禽兽”这个称号，美名降低。,MP_CENTRE_UP,MP_SYSTEM_CHAT
89,False,1,经过大家的鉴别，%{NAME}经常背着朋友说闲话。%{NAME}得到了“勾心斗角”这个称号，美名降低。,MP_CENTRE_UP,MP_SYSTEM_CHAT
90,False,1,真心人%{NAME}一掷千金，在此夜星河中向%{NAME1}赠送了%{GIFT}，暂列第%{STAR_WISH_RANK}名。当真是羡煞旁人~,MP_CENTRE_UP,MP_SYSTEM_CHAT
91,False,1,%{NAME}一掷千金，发起此夜星河活动寻找真心人。有缘人可前往情缘界面参与。,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
92,False,1,%{NAME}发起的此夜星河活动即将结束。有缘人可抓紧时间前往情缘界面参与。,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
93,False,1,%{NAME}一掷千金，发起比武招亲活动寻找真心人。有缘人可前往情缘界面参与。,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
94,False,1,%{NAME}发起的比武招亲活动即将结束。有缘人可抓紧时间前往情缘界面参与。,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
95,False,1,%{NAME}将自己的昵称改成%{NAME1},,MP_SYSTEM_CHAT
96,False,1,%{NAME}宣布参加家族战,,MP_SYSTEM_CHAT
97,False,1,您的情缘%{NAME}修改了府邸%{BUILD}布局，快去看看吧。,MP_PRIVATE_CHAT,
98,False,1,您的情缘%{NAME}任命%{ACTOR}为府邸管家了哦。,MP_PRIVATE_CHAT,
99,False,1,您的情缘%{NAME}修改了府邸欢迎语，快去看看吧。,MP_PRIVATE_CHAT,
100,False,1,您的情缘%{NAME}完成了心有灵犀。,MP_PRIVATE_CHAT,
101,False,1,您的情缘%{NAME}发起了鸾凤和鸣,MP_PRIVATE_CHAT,
102,False,1,小主，您参与的宴会，已经开始拼图环节了！请及时赴宴哦~,,MP_SYSTEM_CHAT
103,False,1,小主，您参与的宴会，已经开始围猎环节了！请及时赴宴哦~,,MP_SYSTEM_CHAT
104,False,1,小主，您参与的宴会，已经开始连连看了！请及时赴宴哦~,,MP_SYSTEM_CHAT
105,False,1,您的情缘%{NAME}提升了宝宝%{COUNT}点%{CHILD_VALUE}，宝宝很开心呢~~,,MP_SYSTEM_CHAT
106,False,1,您的情缘%{NAME}带着宝宝去上课了哟~,,MP_SYSTEM_CHAT
107,False,1,您的情缘%{NAME}给宝宝带上了美玉，宝宝可喜欢了呢~美美的。,,MP_SYSTEM_CHAT
108,False,1,您的情缘%{NAME}提升了宝宝的技能经验,,MP_SYSTEM_CHAT
109,False,1,%{NAME}和%{NAME1}通过千辛万苦，获得了%{ACTOR_TYPE}型%{ACTOR_GENDER}宝宝，可喜可贺！！！,MP_CENTRE_UP,MP_SYSTEM_CHAT
110,False,1,家族战开始了，参与了家族战的成员请尽快到家族战助阵！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
111,False,1,今日的家族战现已圆满结束，恭喜%{NAME}家族气贯长虹，傲视群雄，一举夺魁！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
112,False,1,%{NAME1}与%{NAME}通过星星相印，结为平城第%{MARRIAGE_COUNT}对情缘。,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
113,False,1,%{NAME1}与%{NAME}正在喜宴中发放普通喜糖，众宾客可前往府邸领取。,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
114,False,1,%{NAME1}与%{NAME}正在喜宴中发放奢华喜糖，壕不可言，众宾客可前往府邸领取。,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
115,False,1,%{NAME1}与%{NAME}正在喜宴中发放贵族喜糖，紫气东来，平城万人空巷，众宾客可前往府邸领取。,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
116,False,1,%{NAME1}与%{NAME}抛出了一颗绣球，正所谓卜尔百福，如几如式。抢到可获得好运哟。,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
117,False,1,%{NAME}眼疾手快，闪转腾挪间抢到了绣球。一时间红霞满天，好运来临。真是令人羡慕。,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
201,False,1,%{NAME}与%{ACTOR}好感度达到十一心！真是亲密无间！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
202,False,1,%{NAME}与%{ACTOR}好感度达到十二心！真是亲密无间！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
203,False,1,%{NAME}与%{ACTOR}好感度达到十三心！真是亲密无间！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
204,False,1,%{NAME}与%{ACTOR}好感度达到十四心！真是亲密无间！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
205,False,1,%{NAME}与%{ACTOR}好感度达到十六心！真是情深意厚！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
206,False,1,%{NAME}与%{ACTOR}好感度达到十七心！真是情深意厚！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
207,False,1,%{NAME}与%{ACTOR}好感度达到十八心！真是情深意厚！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
208,False,1,%{NAME}与%{ACTOR}好感度达到十九心！真是情深意厚！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
209,False,1,玩家%{NAME}的伙伴%{ACTOR}被诰封为从三品官！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
210,False,1,玩家%{NAME}的伙伴%{ACTOR}被诰封为正三品官！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
211,False,1,玩家%{NAME}的伙伴%{ACTOR}被诰封为从二品官！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
212,False,1,玩家%{NAME}的伙伴%{ACTOR}被诰封为正二品官！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
213,False,1,玩家%{NAME}的伙伴%{ACTOR}被诰封为从一品官！恭喜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
301,False,1,玩家%{NAME}众望所归，获得了等级排行第一名的宝座！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
302,False,1,玩家%{NAME}众望所归，获得了战斗力排行第一名的宝座！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
303,False,1,玩家%{NAME}众望所归，获得了魅力值排行第一名的宝座！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
304,False,1,玩家%{NAME}众望所归，获得了慷慨值排行第一名的宝座！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
305,False,1,玩家%{NAME}众望所归，获得了官品排行第一名的宝座！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
10001,False,1,恭喜%{NAME}在购买初级特供礼包时获得了幸运奖励，得到了100个金饼。,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
10002,False,1,恭喜%{NAME}在购买中级特供礼包时获得了幸运奖励，得到了5个金色花蕾。,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
10003,False,1,恭喜%{NAME}在购买高级特供礼包时获得了幸运奖励，得到了1个豪华烟花。,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
10004,False,1,%{NAME}福星高照，在打开银饼荷包时获得了十万银饼！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
10005,False,1,%{NAME}受百花垂青，在珍宝阁中抽到了金色花魂！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
10006,False,1,%{NAME}福源深厚，在购买浪漫诗会时额外获赠了十二本豪华诗会函！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
20001,False,1,玩家%{NAME}达成了成就吟诗作赋，参加了100次诗会！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
20002,False,1,玩家%{NAME}达成了成就吟诗作赋，参加了300次诗会！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
20003,False,1,玩家%{NAME}达成了成就吟诗作赋，参加了500次诗会！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
20004,False,1,玩家%{NAME}达成了成就吟诗作赋，参加了1000次诗会！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
20005,False,1,玩家%{NAME}达成了成就吟诗作赋，参加了3000次诗会！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
20006,False,1,玩家%{NAME}达成了成就天下归心，将20位伙伴招入麾下！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
20007,False,1,玩家%{NAME}达成了成就天下归心，将30位伙伴招入麾下！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
20008,False,1,玩家%{NAME}达成了成就天下归心，将40位伙伴招入麾下！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
20009,False,1,玩家%{NAME}达成了成就天下归心，将50位伙伴招入麾下！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
20010,False,1,玩家%{NAME}达成了成就天下归心，将65位伙伴招入麾下！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
30001,False,1,玩家%{NAME}人品爆表，在御赐福源祈福中获得了高级礼物悠悠我心！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
30002,False,1,玩家%{NAME}人品爆表，在大众福源祈福中获得了高级礼物甜蜜蜜！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
30003,False,1,玩家%{NAME}人品爆表，在御赐福源祈福中获得了1888金饼！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
30004,False,1,玩家%{NAME}人品爆表，在大众福源祈福中获得了388金饼！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
