id,female_title,male_title,female_content,male_content,comments.name,comments.icon,comments.celebrity,comments.female_content,comments.male_content,comments.name,comments.icon,comments.celebrity,comments.female_content,comments.male_content,comments.name,comments.icon,comments.celebrity,comments.female_content,comments.male_content,comments.name,comments.icon,comments.celebrity,comments.female_content,comments.male_content,comments.name,comments.icon,comments.celebrity,comments.female_content,comments.male_content,read_events.events.type,read_events.events.arg,read_events.events.arg
11,当朝几大乐师齐聚琴台雅集，南平王一曲古琴曲引轰动,当朝几大乐师齐聚琴台雅集，南平王一曲古琴曲引轰动,前日，当朝几大乐师齐聚琴台进行一年一度的雅集，宴上数位乐师个子献出自己当家绝技，琴台一日之间犹如仙境，皆是雅音。\n今年雅集南平王拓跋瑾惯例到场，并献上了一曲古琴曲，引起整场集会的高潮，据说平城诸多青年女子皆悄悄爬上琴台后山，为一睹南平王真容。,前日，当朝几大乐师齐聚琴台进行一年一度的雅集，宴上数位乐师个子献出自己当家绝技，琴台一日之间犹如仙境，皆是雅音。\n今年雅集南平王拓跋瑾惯例到场，并献上了一曲古琴曲，引起整场集会的高潮，据说平城诸多青年女子皆悄悄爬上琴台后山，为一睹南平王真容。,茶楼翠香,icon/touxiang/touxiang_yahuan,False,我今日见到南平王殿下了！追他马车的时候差点儿崴了脚，这世上怎么会有如此俊朗的男子！,我今日见到南平王殿下了！追他马车的时候差点儿崴了脚，这世上怎么会有如此俊朗的男子！,乐师华峰,icon/touxiang/touxiang_yueshi,False,南平王殿下乐律冠绝天下，不曾想人也面若冠玉，目如晨星。,南平王殿下乐律冠绝天下，不曾想人也面若冠玉，目如晨星。,,,,,,,,,,,,,,,,ADD_RESOURCE,DIAMOND,5
12,尚书府公子李敏德携民间美人春阳楼共饮,尚书府公子李敏德与民间英雄春阳楼共饮,昨日中午，有传闻称尚书府公子李敏德携一素衣美人春阳楼共饮。李公子出手阔绰，满桌山珍海味，惹得美人满心欢喜。\n据店小二透露，当日二人在包厢畅聊许久，离开时李公子还将美玉相赠，郎情妾意，羡煞旁人。,昨日中午，有传闻称尚书府公子李敏德与一民间英雄春阳楼共饮。李公子出手阔绰，满桌山珍海味，之后更是以美玉相赠，尽显尚书府招贤纳士的开明胸怀。,李敏德,icon/touxiang/touxiang_liminde,True,那是我二姐。,那是我二哥。,轿夫王宝顺,icon/touxiang/touxiang_puren,False,看来这下又有不少千金小姐要心碎了。,尚书府现在也搞这套亲民的把戏了吗？,卖花女秀兰,icon/touxiang/touxiang_yahuan,False,人家都亲口说了，那是他二姐！,人家都亲口说了，那是他二哥！,,,,,,,,,,,ADD_RESOURCE,DIAMOND,5
13,莽汉惊动九公主座驾，尚书之子李敏德舍身护驾坠马,莽汉惊动九公主座驾，尚书之子李敏德舍身护驾坠马,今日午时九公主携一众护卫离宫出游，路过闹市竟遭一莽汉拦路，惊扰公主车马。当街顿时乱作一团，数名护卫及平民受伤。索性尚书之子李敏德舍身护驾，得以平息此事。\n坊间猜测此事与北凉残党有关，目前官府尚未作出答复。,今日午时九公主携一众护卫离宫出游，路过闹市竟遭一莽汉拦路，惊扰公主车马。当街顿时乱作一团，数名护卫及平民受伤。索性尚书之子李敏德舍身护驾，得以平息此事。\n坊间猜测此事与北凉残党有关，目前官府尚未作出答复。,李萧然,icon/touxiang/touxiang_lixiaoran,True,不过是个醉酒莽汉，此事与北凉残党并无瓜葛。,不过是个醉酒莽汉，此事与北凉残党并无瓜葛。,赌坊坊主金顺财,icon/touxiang/touxiang_fushang,False,哪个醉汉如此胆大包天？说与北凉残党无关，怕是平息恐慌罢了。,哪个醉汉如此胆大包天？说与北凉残党无关，怕是平息恐慌罢了。,卖花女秀兰,icon/touxiang/touxiang_yahuan,False,中午真是吓死人了，不过李敏德真是风流倜傥啊。,中午真是吓死人了，不过李敏德真是风流倜傥啊。,,,,,,,,,,,ADD_RESOURCE,DIAMOND,5
14,城东梅园梅花雪中开放，引京中千金皆凭栏赏之,城东梅园梅花雪中开放，引京中千金皆凭栏赏之,大雪节气京城应景降下大雪，未想城东梅园的梅花竟一夜绽放。满园雪梅争奇斗艳，如此奇景引来文人雅士和京中千金纷至沓来。\n因雪大路滑，城东发生数起事故；而梅园因人数众多，傍晚时分人头攒动，梅园已无雅致。,大雪节气京城应景降下大雪，未想城东梅园的梅花竟一夜绽放。满园雪梅争奇斗艳，如此奇景引来文人雅士和京中千金纷至沓来。\n因雪大路滑，城东发生数起事故；而梅园因人数众多，傍晚时分人头攒动，梅园已无雅致。,诗豪张涓,icon/touxiang/touxiang_wenhao,False,踏雪寻梅奈何无有佳人作陪，实为憾事啊。,踏雪寻梅奈何无有佳人作陪，实为憾事啊。,守园人王老汉,icon/touxiang/touxiang_puren,False,也不知道是来看花的，还是看人的。,也不知道是来看花的，还是看人的。,,,,,,,,,,,,,,,,ADD_RESOURCE,DIAMOND,5
15,秋猎落幕，叱云南将军再夺魁,秋猎落幕，叱云南将军再夺魁,昨日，秋猎正式落幕。本次秋猎，平城王孙贵族尽皆到场。按照惯例，依旧进行了比试，而魁首仍是叱云家的叱云南将军。可见叱云将军的勇武无能可以匹敌。\n值得一提的是，高阳王仅以一分之差位列第二，来年这位意气风发的皇长孙是否能打破叱云南的不败传说，值得期待。,昨日，秋猎正式落幕。本次秋猎，平城王孙贵族尽皆到场。按照惯例，依旧进行了比试，而魁首仍是叱云家的叱云南将军。可见叱云将军的勇武无能可以匹敌。\n值得一提的是，高阳王仅以一分之差位列第二，来年这位意气风发的皇长孙是否能打破叱云南的不败传说，值得期待。,轿夫李傕,icon/touxiang/touxiang_puren,False,叱云将军果然厉害，那高阳王想超过他估计还要历练几年。,叱云将军果然厉害，那高阳王想超过他估计还要历练几年。,春香楼王妈,icon/touxiang/touxiang_zhangshimomo,False,我看好高阳王，又是皇长孙，青年才俊真是难得啊。,我看好高阳王，又是皇长孙，青年才俊真是难得啊。,,,,,,,,,,,,,,,,ADD_RESOURCE,DIAMOND,5
16,叱云军大破契丹，昨日已回京受赏,叱云军大破契丹，昨日已回京受赏,契丹趁柔然与大魏开战之时，屡屡冒犯我东部边境。叱云南将军临危受命，连夜奔赴疆场，与契丹鏖战数日，终于打溃契丹，凯旋而归。\n听闻叱云将军昨日已回到平城，受到了皇上的召见并封赏无数。我大魏有此一将，可保江山安稳百年，着实不假！,契丹趁柔然与大魏开战之时，屡屡冒犯我东部边境。叱云南将军临危受命，连夜奔赴疆场，与契丹鏖战数日，终于打溃契丹，凯旋而归。\n听闻叱云将军昨日已回到平城，受到了皇上的召见并封赏无数。我大魏有此一将，可保江山安稳百年，着实不假！,叱云南,icon/touxiang/touxiang_chiyunnan,True,军人的职责罢了。,军人的职责罢了。,赌坊坊主金顺财,icon/touxiang/touxiang_fushang,False,现在怕的是叱云家权势滔天，朝堂无人制衡啊。,现在怕的是叱云家权势滔天，朝堂无人制衡啊。,染坊杏儿,icon/touxiang/touxiang_wuling,False,叱云将军心怀天下，舍身卫国，有些人真是小心眼儿。,叱云将军心怀天下，舍身卫国，有些人真是小心眼儿。,,,,,,,,,,,ADD_RESOURCE,DIAMOND,5
17,李家长女长乐拒绝同高阳王成亲，此番设宴能否扭转乾坤,李家长女长乐拒绝同高阳王成亲，此番设宴能否扭转乾坤,众所周知，李家长女长乐为平城第一美人，若说天下有何人配得上，也仅有当朝几位皇子了。两人从小长大，亦被称为金童玉女，听闻李家也早有意象。\n可今日传闻，李家长女不愿同高阳王成亲，甚至和其母产生冲突，整日在房中不出。但太子妃殿下却设宴邀请长乐小姐前往，此番威压可否扭转乾坤？,众所周知，李家长女长乐为平城第一美人，若说天下有何人配得上，也仅有当朝几位皇子了。两人从小长大，亦被称为金童玉女，听闻李家也早有意象。\n可今日传闻，李家长女不愿同高阳王成亲，甚至和其母产生冲突，整日在房中不出。但太子妃殿下却设宴邀请长乐小姐前往，此番威压可否扭转乾坤？,拓跋浚,icon/touxiang/touxiang_tuobajun,True,只是普通宴席而已，大家莫要伤到长乐小姐的清誉。,只是普通宴席而已，大家莫要伤到长乐小姐的清誉。,听雨轩侍应小寒,icon/touxiang/touxiang_jiading,False,长乐小姐如果连高阳王殿下都看不上，会看上谁呢？,长乐小姐如果连高阳王殿下都看不上，会看上谁呢？,诗人孙居易,icon/touxiang/touxiang_wenren,False,落花入泥，流水汇海，既然都无情，何必水落花。,落花入泥，流水汇海，既然都无情，何必水落花。,,,,,,,,,,,ADD_RESOURCE,DIAMOND,5
18,多年秘辛终起底，李家除了庶出还有一女,多年秘辛终起底，李家除了庶出还有一女,今日从外接回的李家庶出子震惊全程，可大家还不知李家有更多不为人知的秘密，特别是听说还有一女锁在深闺，没有人见过。\n听说此人从小得了疯病，长相丑陋，李家为了掩盖家丑，所以才一直把此人锁在屋里，不允许其外出。,今日从外接回的李家庶出子震惊全程，可大家还不知李家有更多不为人知的秘密，特别是听说还有一女锁在深闺，没有人见过。\n听说此人从小得了疯病，长相丑陋，李家为了掩盖家丑，所以才一直把此人锁在屋里，不允许其外出。,李敏德,icon/touxiang/touxiang_liminde,True,此事纯属传闻，我在家这么多年，却也未曾听闻李家还有一女。,此事纯属传闻，我在家这么多年，却也未曾听闻李家还有一女。,巫婆李奶奶,icon/touxiang/touxiang_zhangshimomo,False,啊，这个女孩，一定会给天下带来灾难的。,啊，这个女孩，一定会给天下带来灾难的。,捕头江城雪,icon/touxiang/touxiang_shibin,False,一般传闻中是丑八怪，可都是俊男美女，这是捕头的经验哦。,一般传闻中是丑八怪，可都是俊男美女，这是捕头的经验哦。,,,,,,,,,,,ADD_RESOURCE,DIAMOND,5
19,流民间流传的活神仙现出真身，竟是个柔弱小姐,流民间流传的活神仙现出真身，竟是个柔弱小姐,今年天灾频发，更有饥荒四处祸害，民不聊生。来到平城寻求庇护的人大都饥寒交错，可近日此番情景却有所缓解。\n民众之间口口相传一位小姐四处施粥献衣，被人誉为活神仙。而这位活神仙终于现身，竟然是李家小姐李常茹。不过常茹小姐并不愿多说太多，至于真正理由也不得而知。,今年天灾频发，更有饥荒四处祸害，民不聊生。来到平城寻求庇护的人大都饥寒交错，可近日此番情景却有所缓解。\n民众之间口口相传一位小姐四处施粥献衣，被人誉为活神仙。而这位活神仙终于现身，竟然是李家小姐李常茹。不过常茹小姐并不愿多说太多，至于真正理由也不得而知。,李常茹,icon/touxiang/touxiang_lichangru,True,常茹只不过是尽绵薄之力，还望有更多的人能帮助这些落难的才是。,常茹只不过是尽绵薄之力，还望有更多的人能帮助这些落难的才是。,流民阿强,icon/touxiang/touxiang_puren,False,常茹小姐就是活神仙啊！,常茹小姐就是活神仙啊！,流民阿三,icon/touxiang/touxiang_puren,False,和那些官员相比，若是常茹小姐当官肯定天下太平！,和那些官员相比，若是常茹小姐当官肯定天下太平！,,,,,,,,,,,ADD_RESOURCE,DIAMOND,5
20,驰名天下的寺庙如今衰败，竟是因为他,驰名天下的寺庙如今衰败，竟是因为他,平城山中有一寺庙，原本香火甚旺，可现在却杳无人烟。根据多方调查终于了解原因在于寺庙的主持。\n原本是行善积德的寺庙，主持却将香火钱占做私用，甚至在城中金屋藏娇，如此行为令人不齿，寺庙因此衰败。,平城山中有一寺庙，原本香火甚旺，可现在却杳无人烟。根据多方调查终于了解原因在于寺庙的主持。\n原本是行善积德的寺庙，主持却将香火钱占做私用，甚至在城中金屋藏娇，如此行为令人不齿，寺庙因此衰败。,李常茹,icon/touxiang/touxiang_lichangru,True,真是令人心寒，以前还经常去此地上香，真是人心难测。,真是令人心寒，以前还经常去此地上香，真是人心难测。,寺庙僧人惠绝,icon/touxiang/touxiang_gaoseng,False,六根未清静，勿入我佛门。,六根未清静，勿入我佛门。,钱庄老板钱都来,icon/touxiang/touxiang_fushang,False,这人从我这要了一大笔钱修金佛，就是个骗子！,这人从我这要了一大笔钱修金佛，就是个骗子！,,,,,,,,,,,ADD_RESOURCE,DIAMOND,5
21,毒物横行街头，恳请捕蛇人出山,毒物横行街头，恳请捕蛇人出山,蛇乃五毒之一，城中本来仅有尔尔，可现在却一夜之间满城都是。不知是不是天有异象，却也未曾听闻何处有怪事发生。\n据说城内有许多精通捕蛇的人，可现在还没有动作，恳请这些人能够出山帮忙解决蛇患，还大家一个清静。,蛇乃五毒之一，城中本来仅有尔尔，可现在却一夜之间满城都是。不知是不是天有异象，却也未曾听闻何处有怪事发生。\n据说城内有许多精通捕蛇的人，可现在还没有动作，恳请这些人能够出山帮忙解决蛇患，还大家一个清静。,拓跋余,icon/touxiang/touxiang_tuobayu,True,那些蛇看起来还挺可爱的啊。,那些蛇看起来还挺可爱的啊。,养蛇人武华,icon/touxiang/touxiang_yudishi,False,蛇有什么不好的，能看能吃能看家，还能抓老鼠呢。,蛇有什么不好的，能看能吃能看家，还能抓老鼠呢。,农民田地,icon/touxiang/touxiang_puren,False,还是快点把蛇抓起来吧，俺胸口都被咬好几口了，俺媳妇还说我出去找人了。,还是快点把蛇抓起来吧，俺胸口都被咬好几口了，俺媳妇还说我出去找人了。,,,,,,,,,,,ADD_RESOURCE,DIAMOND,5
