id,delay,content,responses.content,responses.next_messages,responses.content,responses.next_messages,responses.content,responses.next_messages
104,1.5,怎么还称呼我殿下？总感觉和你似曾相识，仿佛我们已经认识很久了……#你若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,105,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,106,,
105,1.5,我也是，很高兴认识你，我以后会经常和二少爷联络的。,,,,,,
106,1.5,哈哈，我会再传书于你，望能收到你的回信。,,,,,,
107,1.5,可我觉得高阳王，殿下这些称呼，很疏离，我不喜欢。#你既然这般尊重我，何不听从我的建议呢？希望你能把我当朋友。,虽然你救了我，可你我毕竟只是第一次相见，在下惶恐……,108,我有些好奇，你是如何知道我的身份的？我进到李府还不到一日。,111,殿下果然潇洒！能与殿下结识，我也很开心。,114
108,1.5,可是看到你，我就感觉很熟悉，仿佛我们曾见过面，或是已经认识很久了……#你若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,109,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,110,,
109,1.5,我也是，很高兴认识你，我以后会经常和二少爷联络的。,,,,,,
110,1.5,哈哈，我会再传书于你，望能收到你的回信。,,,,,,
111,1.5,总感觉和你似曾相识，始终挂怀，而你这般容貌，很容易就打听到了。#你若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,112,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,113,,
112,1.5,我也是，很高兴认识你，我以后会经常和二少爷联络的。,,,,,,
113,1.5,哈哈，我会再传书于你，望能收到你的回信。,,,,,,
114,1.5,怎么还称呼我殿下？总感觉和你似曾相识，仿佛我们已经认识很久了……#你若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,115,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,116,,
115,1.5,我也是，很高兴认识你，我以后会经常和二少爷联络的。,,,,,,
116,1.5,哈哈，我会再传书于你，望能收到你的回信。,,,,,,
117,1.5,你这是答应了吗？果然我没有看错，你并非凡俗之子。#我很开心，有这般缘分，认识你。而他人怎样，又与我们何干？,虽然你救了我，可你我毕竟只是第一次相见，在下惶恐……,118,我有些好奇，你是如何知道我的身份的？我进到李府还不到一日。,121,殿下果然潇洒！能与殿下结识，我也很开心。,124
118,1.5,可是看到你，我就感觉很熟悉，仿佛我们曾见过面，或是已经认识很久了……#你若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,119,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,120,,
119,1.5,我也是，很高兴认识你，我以后会经常和二少爷联络的。,,,,,,
120,1.5,哈哈，我会再传书于你，望能收到你的回信。,,,,,,
121,1.5,总感觉和你似曾相识，始终挂怀，而你这般容貌，很容易就打听到了。#你若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,122,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,123,,
122,1.5,我也是，很高兴认识你，我以后会经常和二少爷联络的。,,,,,,
123,1.5,哈哈，我会再传书于你，望能收到你的回信。,,,,,,
124,1.5,怎么还称呼我殿下？总感觉和你似曾相识，仿佛我们已经认识很久了……#你若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,125,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,126,,
125,1.5,我也是，很高兴认识你，我以后会经常和二少爷联络的。,,,,,,
126,1.5,哈哈，我会再传书于你，望能收到你的回信。,,,,,,
127,1.5,那是自然。不用叫我高阳王，更不用叫我殿下，叫我拓跋浚吧。,殿下，您说笑了。您是我的救命恩人，更是高阳王，怎可对您直呼名讳……,128,自幼习得长幼尊卑之别，怎可直呼殿下名讳？何况还是我的救命恩人……,138,我很乐意。可是，这若是被别人知道了……,148
128,1.5,可我觉得高阳王，殿下这些称呼，很疏离，我不喜欢。#我们这般有缘，我希望你能把我当做朋友，不知可否？,虽然你救了我，可你我毕竟只是第一次相见，在下惶恐……,129,我有些好奇，你是如何知道我的身份的？我进到李府还不到一日。,132,殿下果然潇洒！能与殿下结识，我也很开心。,135
129,1.5,可是看到你，我就感觉很熟悉，仿佛我们曾见过面，或是已经认识很久了……#你若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,130,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,131,,
130,1.5,我也是，很高兴认识你，我以后会经常和二少爷联络的。,,,,,,
131,1.5,哈哈，我会再传书于你，望能收到你的回信。,,,,,,
132,1.5,总感觉和你似曾相识，始终挂怀，而你这般容貌，很容易就打听到了。#你若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,133,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,134,,
133,1.5,我也是，很高兴认识你，我以后会经常和二少爷联络的。,,,,,,
134,1.5,哈哈，我会再传书于你，望能收到你的回信。,,,,,,
135,1.5,怎么还称呼我殿下？总感觉和你似曾相识，仿佛我们已经认识很久了……#你若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,136,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,137,,
136,1.5,我也是，很高兴认识你，我以后会经常和二少爷联络的。,,,,,,
137,1.5,哈哈，我会再传书于你，望能收到你的回信。,,,,,,
138,1.5,可我觉得高阳王，殿下这些称呼，很疏离，我不喜欢。#你既然这般尊重我，何不听从我的建议呢？希望你能把我当朋友。,虽然你救了我，可你我毕竟只是第一次相见，在下惶恐……,139,我有些好奇，你是如何知道我的身份的？我进到李府还不到一日。,142,殿下果然潇洒！能与殿下结识，我也很开心。,145
139,1.5,可是看到你，我就感觉很熟悉，仿佛我们曾见过面，或是已经认识很久了……#你若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,140,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,141,,
140,1.5,我也是，很高兴认识你，我以后会经常和二少爷联络的。,,,,,,
141,1.5,哈哈，我会再传书于你，望能收到你的回信。,,,,,,
142,1.5,总感觉和你似曾相识，始终挂怀，而你这般容貌，很容易就打听到了。#你若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,143,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,144,,
143,1.5,我也是，很高兴认识你，我以后会经常和二少爷联络的。,,,,,,
144,1.5,哈哈，我会再传书于你，望能收到你的回信。,,,,,,
145,1.5,怎么还称呼我殿下？总感觉和你似曾相识，仿佛我们已经认识很久了……#你若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,146,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,147,,
146,1.5,我也是，很高兴认识你，我以后会经常和二少爷联络的。,,,,,,
147,1.5,哈哈，我会再传书于你，望能收到你的回信。,,,,,,
148,1.5,你这是答应了吗？果然我没有看错，你并非凡俗之子。#我很开心，有这般缘分，认识你。而他人怎样，又与我们何干？,虽然你救了我，可你我毕竟只是第一次相见，在下惶恐……,149,我有些好奇，你是如何知道我的身份的？我进到李府还不到一日。,152,殿下果然潇洒！能与殿下结识，我也很开心。,155
149,1.5,可是看到你，我就感觉很熟悉，仿佛我们曾见过面，或是已经认识很久了……#你若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,150,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,151,,
150,1.5,我也是，很高兴认识你，我以后会经常和二少爷联络的。,,,,,,
151,1.5,哈哈，我会再传书于你，望能收到你的回信。,,,,,,
152,1.5,总感觉和你似曾相识，始终挂怀，而你这般容貌，很容易就打听到了。#你若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,153,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,154,,
153,1.5,我也是，很高兴认识你，我以后会经常和二少爷联络的。,,,,,,
154,1.5,哈哈，我会再传书于你，望能收到你的回信。,,,,,,
