id,options.content,options.plot_pttid,options.conditions.conditions.type,options.conditions.conditions.arg,options.conditions.conditions.arg,options.events.events.type,options.events.events.arg,options.events.events.arg,options.events.events.type,options.events.events.arg,options.events.events.arg,options.fief_events.events.type,options.fief_events.events.arg,options.fief_events.events.arg,options.battle.pttid,options.battle.origin,options.battle.win_events.events.type,options.battle.win_events.events.arg,options.battle.win_events.events.arg,options.battle.win_plot,options.battle.lose_events.events.type,options.battle.lose_events.events.arg,options.battle.lose_events.events.arg,options.battle.lose_plot,options.appearance.sprite,options.appearance.spine,options.appearance.position.x,options.appearance.position.y,options.plot_events.events.type,options.plot_events.events.arg,options.unlock_conditions.conditions.type,options.unlock_conditions.conditions.arg,options.unlock_conditions.conditions.arg,options.content,options.plot_pttid,options.conditions.conditions.type,options.conditions.conditions.arg,options.conditions.conditions.arg,options.events.events.type,options.events.events.arg,options.events.events.arg,options.events.events.type,options.events.events.arg,options.events.events.arg,options.fief_events.events.type,options.fief_events.events.arg,options.fief_events.events.arg,options.battle.pttid,options.battle.origin,options.battle.win_events.events.type,options.battle.win_events.events.arg,options.battle.win_events.events.arg,options.battle.win_plot,options.battle.lose_events.events.type,options.battle.lose_events.events.arg,options.battle.lose_events.events.arg,options.battle.lose_plot,options.appearance.sprite,options.appearance.spine,options.appearance.position.x,options.appearance.position.y,options.plot_events.events.type,options.plot_events.events.arg,options.unlock_conditions.conditions.type,options.unlock_conditions.conditions.arg,options.unlock_conditions.conditions.arg,options.content,options.plot_pttid,options.conditions.conditions.type,options.conditions.conditions.arg,options.conditions.conditions.arg,options.events.events.type,options.events.events.arg,options.events.events.arg,options.fief_events.events.type,options.fief_events.events.arg,options.fief_events.events.arg,options.battle.pttid,options.battle.origin,options.battle.win_events.events.type,options.battle.win_events.events.arg,options.battle.win_events.events.arg,options.battle.win_plot,options.battle.lose_events.events.type,options.battle.lose_events.events.arg,options.battle.lose_events.events.arg,options.battle.lose_plot,options.appearance.sprite,options.appearance.spine,options.appearance.position.x,options.appearance.position.y,options.plot_events.events.type,options.plot_events.events.arg,options.unlock_conditions.conditions.type,options.unlock_conditions.conditions.arg,options.unlock_conditions.conditions.arg
11900,放弃,619301,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECT_BATTLE_LOST,,,,,继续,619302,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECT_CONTINUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100,激烈反抗,701101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,等待机会,701102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20101,先把白芷紫烟救出去！,701601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,仇还没有报，我不能死，我自己先出去！,701602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200,强硬,702101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,以退为进,702102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201,内心激荡不已，狠狠地瞪着他,702501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,强忍住内心的仇恨，扭头不看他,702502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20300,许诺报酬,703101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,晓之以情,703102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20400,法师是个骗子,704501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,是母亲请我去的,704502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20500,铲除强盗,705201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,寻找白芷紫烟,705202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20510,正面突击,705203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,设置陷阱,705204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20520,隐秘小道,705205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,查探河床,705206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20800,不认识,708601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好像见过,708602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21800,去矿洞里躲避,718501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四处搜寻,718502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21900,放弃,719301,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECT_BATTLE_LOST,,,,,继续,719302,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECT_CONTINUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100001,赔偿家属,100002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,拒绝赔偿家属,100003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100021,支付安抚资金,100022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,无视胡闹的家属,100023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100031,医馆承担责任,100032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,病人家属承担责任,100033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100041,立刻开始装修,100042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,此事该从长计议,100043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100051,病人承担责任,100052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,医馆承担责任,100053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100061,病人承担责任,100062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,医馆承担责任,100063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100071,病人家属承担责任,100072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,医馆承担责任,100073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100081,安排到其他医馆学习,100082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,在工作中慢慢积累经验,100083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100091,将他痛打一顿,100092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,将错就错为其医治,100093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100101,将错就错，让他自食苦果,100102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,将真相告诉他,100103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100111,免费医治,100112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,收费医治,100113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100121,免费医治,100122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,老人有蹊跷,100124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100131,通过中药调理,100132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,组织老年人锻炼,100133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100141,采购一些,100142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不必采购,100143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100151,由它自生自灭,100152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,收留医治野兽,100153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100161,禁止大夫施展此术,100162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鼓励大夫,100163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100171,给间谍整容去刺探国情,100172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,发展民间美容事业,100173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100181,不惜一切代价救治百姓,100182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,只分发基础的药物,100183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100191,不惜一切代价救治士兵,100192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,只分发基础的药物,100193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100201,让他们自生自灭吧,100202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,救治他们,100203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100211,不要涨价,100212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,适当涨价,100213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100221,采取措施,100222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不采取措施,100223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100231,分发祛病的中药,100232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,街道喷洒药物,100233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100241,从水源开始排查,100242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,从食物开始排查,100243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100251,应该是无意的吧,100252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,此事必有蹊跷！,100253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100261,继续追查,100262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,放弃追查,100263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100271,查封作坊，安抚百姓,100272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,警告作坊，让其缴纳罚金,100273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100281,平价卖出,100282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加价卖出,100283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100291,狠下心来，拒绝治疗,100292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,治疗小猫,100293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100301,大夫自己承担,100302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,医馆承担大夫的医药费用,100303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100311,大赦天下,100312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,增加监狱规模，继续关押犯人,100313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100321,严加处理,100322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,放任发展,100323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100331,实施酷刑,100332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不予采用,100333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100341,安排,100342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,保持原样,100343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100351,全力剿匪,100352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安排护卫保护百姓,100353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100361,调遣兵力，调查这伙人,100362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,只是群无聊之人，无需理会,100363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100371,提供更多劳动的机会,100372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安排更多的捕快巡逻,100373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100381,入城，抓紧治疗,100382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不准进入,100383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100391,高调送回王子,100392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,接收酬谢,100393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100401,不推迟,100402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,推迟,100403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100411,聘请馆艺人做征兵形象大使,100412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,强制年满十六岁男子参军,100413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100421,先保护粮仓,100422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,先保护百姓,100423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100431,趁黑夜突袭敌方,100432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,据城而守,100433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100441,追击痛打落水狗,100442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小心使得万年船,100443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100451,斩草除根,100452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,放了这些孩子,100453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100461,不愿意,100462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,愿意,100463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100471,接收他们,100472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不接收他们,100473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100481,建设乞丐收容所,100482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,将他们集中起来干活,100483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100491,征兵,100492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,等待救援,100493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100501,实施,100502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不实施,100503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100511,保护百姓,100512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,保护物资,100513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100521,出售,100522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,拒绝,100523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100531,开仓放粮,100532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,赶出城外,100533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100541,分给士兵,100542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分给百姓,100543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100551,少量士兵,100552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,多带一些士兵,100553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100561,驱逐城门外小贩,100562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,增加士兵俸禄,100563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100571,优先抓住抢钱的百姓,100572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,优先抓住恐怖袭击犯人,100573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100581,派兵攻打山贼,100582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,设计引山贼出动,100583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100591,游街示众，当众枭首,100592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,低调处死山贼头目,100593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100601,发动对敌国的侵略，掠夺军资,100602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,提高赋税，向商户和百姓收取军资,100603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100611,开除带头加薪者,100612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,适当的加薪,100613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100621,给自己竖立一个全金雕像,100622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用金矿换取军备,100623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100631,切开矿石一看究竟,100632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,假装没有看到,100633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100641,切开矿石一看究竟,100642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,赶紧派人移走,100643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100651,每人定量完成,100652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,增加薪酬鼓励生产,100653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100661,设置绿豆汤等冷饮,100662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,缩短工时,100663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100671,继续往前挖,100672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不往前挖,100673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100681,继续往前挖,100682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不往前挖,100683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100691,打通矿洞，救人为主,100692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加固矿洞，防止垮塌,100693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100701,赔偿每家一大笔钱,100702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,暂且搁置,100703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100711,继续往前挖,100712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,换个方向挖,100713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100721,继续往前挖,100722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,换个方向挖,100723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100731,花钱换一批新的工具,100732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,毕竟没坏，继续用,100733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100741,招更多的人,100742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安排技能培训,100743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100751,增加薪酬,100752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,降低工作量,100753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100761,工人技术水平退步,100762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,工具老化,100763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
