id,xinshou,xinshou,xinshou,xinshou,xinshou,xinshou,xinshou,save_xinshou,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.arg,finish_conditions.conditions.type,finish_conditions.conditions.arg,finish_conditions.conditions.arg,finish_conditions.conditions.arg,resume_group
100,309,310,,,,,,310,PASS_ADVENTURE,6,,,NOT_PASS_ADVENTURE,7,,,PASS_XINSHOU_GROUP,90,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,7,,,100025
110,320,,,,,,,320,PASS_ADVENTURE,7,,,NOT_PASS_ADVENTURE,8,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,8,,,100016
111,330,,,,,,,330,PASS_ADVENTURE,8,,,NOT_PASS_ADVENTURE,9,,,PASS_XINSHOU_GROUP,110,,,,,,,,,,,,,,,,,,,,,,,100031
120,340,350,360,370,380,390,,380,PASS_ADVENTURE,8,,,NOT_PASS_ADVENTURE,9,,,PASS_XINSHOU_GROUP,110,,,FORMATION_NO_ACTOR,0,218,,FORMATION_NO_ACTOR,0,219,,FORMATION_GRID_NO_ACTOR,0,1,2,FORMATION_GRID_NO_ACTOR,0,2,2,,,,,100017
130,400,,,,,,,400,PASS_ADVENTURE,8,,,NOT_PASS_ADVENTURE,9,,,PASS_XINSHOU_GROUP,120,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,9,,,100026
131,401,,,,,,,401,PASS_ADVENTURE,9,,,NOT_PASS_ADVENTURE,10,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,10,,,100018
140,410,420,430,,,,,410,PASS_ADVENTURE,10,,,NOT_PASS_ADVENTURE,11,,,,,,,,,,,,,,,,,,,,,,,,,,,100033
141,431,432,433,434,435,436,,434,LEVEL_GE,10,,,PASS_XINSHOU_GROUP,140,,,HAS_TITLE,1,,,,,,,,,,,,,,,,,,,,,,,
150,440,450,,,,,,450,LEVEL_GE,10,,,NOT_PASS_ADVENTURE,11,,,QUEST_ACCEPTED,1,,,,,,,,,,,,,,,,,,,QUEST_COMMITTED,1,,,
160,470,480,,,,,,480,LEVEL_GE,10,,,PASS_XINSHOU_GROUP,150,,,NOT_PASS_ADVENTURE,11,,,QUEST_ACCEPTED,2,,,,,,,,,,,,,,,,,,,100032
161,490,,,,,,,490,LEVEL_GE,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,500,510,,,,,,500,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,160,,,LOTTERY_FREE,1,,,LOTTERY_FREE,2,,,,,,,,,,,,,,,,,,,100001
179,530,,,,,,,530,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,170,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,540,550,,,,,,540,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,170,,,,,,,,,,,,,,,,,,,,,,,,,,,100027
189,570,,,,,,,570,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,180,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,580,590,600,620,,,,600,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,180,,,,,,,,,,,,,,,,,,,,,,,HAS_ACTOR,223,,,100002
199,621,622,623,624,,,,624,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,190,,,HAS_ACTOR,223,,,FORMATION_NO_ACTOR,0,223,,FORMATION_GRID_NO_ACTOR,0,2,1,LEVEL_LE,30,,,,,,,,,,,
200,630,640,650,660,,,,660,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,199,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,670,,,,,,,670,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,200,,,,,,,,,,,,,,,,,,,,,,,,,,,100003
220,680,,,,,,,680,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,210,,,,,,,,,,,,,,,,,,,,,,,,,,,100028
230,690,700,,,,,,700,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,220,,,,,,,,,,,,,,,,,,,,,,,,,,,100004
240,710,720,,,,,,710,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,230,,,,,,,,,,,,,,,,,,,,,,,,,,,100005
260,730,731,732,740,,,,730,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,240,,,,,,,,,,,,,,,,,,,,,,,,,,,100006
270,750,,,,,,,750,LEVEL_GE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,760,770,,,,,,760,LEVEL_GE,12,,,PASS_XINSHOU_GROUP,270,,,,,,,,,,,,,,,,,,,,,,,,,,,100020
300,800,821,810,820,,,,821,GPIN_LIMIT,>=,1,,PASS_XINSHOU_GROUP,280,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,830,840,841,,,,,841,GPIN_LIMIT,>=,1,,PASS_XINSHOU_GROUP,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,1630,1640,1650,,,,,1630,LEVEL_GE,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,843,844,845,846,,,,846,LEVEL_GE,14,,,FEIGE_ONGOING,1,,,GENDER,FEMALE,,,,,,,,,,,,,,,,,,,,,,,
313,10843,10844,10845,10846,,,,10846,LEVEL_GE,14,,,FEIGE_ONGOING,10001,,,GENDER,MALE,,,,,,,,,,,,,,,,,,,,,,,
320,900,910,920,930,940,,,940,LEVEL_GE,15,,,ROLE_NOT_EQUIPED_EQUIPMENT_PART,SKY,,,ROLE_NOT_EQUIPED_EQUIPMENT_PART,LAND,,,ROLE_HAS_NOT_EQUIPED_EQUIPMENT,2251,,,ROLE_HAS_NOT_EQUIPED_EQUIPMENT,2252,,,LEVEL_LE,30,,,,,,,,,,,
330,950,960,970,980,,,,970,LEVEL_GE,15,,,PASS_XINSHOU_GROUP,320,,,ROLE_HAS_NOT_EQUIPED_EQUIPMENT,2252,,,ROLE_NOT_EQUIPED_EQUIPMENT_PART,LAND,,,,,,,,,,,,,,,,,,,100007
331,981,,,,,,,981,LEVEL_GE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,990,,,,,,,990,LEVEL_GE,35,,,PASS_XINSHOU_GROUP,310,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,1000,1010,1020,,,,,1020,LEVEL_GE,35,,,PASS_XINSHOU_GROUP,340,,,,,,,,,,,,,,,,,,,,,,,,,,,100021
360,1030,,,,,,,1030,LEVEL_GE,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,1040,1050,1060,1070,1080,1090,1100,1100,LEVEL_GE,20,,,PASS_XINSHOU_GROUP,360,,,MANSION_HALL_QUEST_COUNT_GE,1,,,,,,,,,,,,,,,,,,,,,,,100022
380,1120,,,,,,,1120,LEVEL_GE,20,,,PASS_XINSHOU_GROUP,370,,,,,,,,,,,,,,,,,,,,,,,,,,,100008
381,1024,,,,,,,1024,LEVEL_GE,32,,,PASS_XINSHOU_GROUP,370,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,1190,1200,1210,1220,,,,1220,LEVEL_GE,25,,,PASS_XINSHOU_GROUP,370,,,,,,,,,,,,,,,,,,,,,,,,,,,100009
400,850,860,870,880,890,,,890,LEVEL_GE,23,,,PASS_XINSHOU_GROUP,370,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,1340,1350,1360,1361,,,,1360,LEVEL_GE,27,,,PASS_XINSHOU_GROUP,370,,,NOT_IN_LEAGUE,,,,,,,,,,,,,,,,,,,,,,,,
420,1250,1260,1270,1280,,,,1280,LEVEL_GE,30,,,PASS_XINSHOU_GROUP,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,1219,1221,1222,,,,,1222,LEVEL_GE,28,,,COST_ITEM,6404,1,,COST_ITEM,6909,1,,MANSION_FARM_PLOT_STATE,1,,,,,,,,,,,,,,,,,,,
422,1223,,,,,,,1223,PASS_XINSHOU_GROUP,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,1224,1225,1226,,,,,1226,COST_ITEM,6909,1,,PASS_XINSHOU_GROUP,422,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,1227,1228,,,,,,1227,PASS_XINSHOU_GROUP,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,1231,1232,1233,1234,,,,1234,LEVEL_GE,28,,,COST_ITEM,6204,15,,MANSION_COOK_HAS_RECIPE,1,,,PASS_XINSHOU_GROUP,424,,,,,,,,,,,,,,,,,,,
430,1290,1300,1310,1320,1330,,,1330,LEVEL_GE,33,,,PASS_XINSHOU_GROUP,440,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,1370,,,,,,,1370,LEVEL_GE,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,1440,,,,,,,1440,LEVEL_GE,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,1460,1520,1530,1540,1550,,,1540,LEVEL_GE,45,,,PASS_XINSHOU_GROUP,460,,,,,,,,,,,,,,,,,,,,,,,,,,,100024
480,1410,1420,1430,,,,,1430,LEVEL_GE,50,,,PASS_XINSHOU_GROUP,470,,,NOT_PASS_ADVENTURE,10001,,,,,,,,,,,,,,,,,,,,,,,
489,1589,,,,,,,1589,LEVEL_GE,60,,,PASS_XINSHOU_GROUP,480,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,1590,1600,1610,1620,,,,1590,LEVEL_GE,60,,,PASS_XINSHOU_GROUP,489,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,1670,1680,1690,1700,1720,1730,,1730,PASS_ADVENTURE,27,,,GENDER,FEMALE,,,COST_ITEM,50004,1,,NO_HUANZHUANG_COLLECTION,HP_TOUFA,100004,,,,,,,,,,,,,,,,,,100034
511,1731,1732,1733,,,,,1733,PASS_ADVENTURE,27,,,GENDER,FEMALE,,,COST_ITEM,50004,1,,NO_HUANZHUANG_COLLECTION,HP_GUANSHI,101004,,,,,,,,,,,,,,,,,,
512,1740,1750,1760,,,,,1760,PASS_ADVENTURE,27,,,GENDER,FEMALE,,,COST_ITEM,50004,1,,NO_HUANZHUANG_COLLECTION,HP_YIFU,110004,,,,,,,,,,,,,,,,,,
513,1761,1762,1763,,,,,1763,PASS_ADVENTURE,27,,,GENDER,FEMALE,,,COST_ITEM,50004,1,,NO_HUANZHUANG_COLLECTION,HP_SHOUCHI,140004,,,,,,,,,,,,,,,,,,
520,1770,1780,1790,1800,,,,1800,PASS_XINSHOU_GROUP,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,1870,1880,1890,1900,1910,,,1870,PASS_XINSHOU_GROUP,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10049,10050,10051,10080,10090,10100,,10100,NOT_PASS_ADVENTURE,1,,,GENDER,MALE,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,1,,,100029
516,11670,11680,11690,11700,11720,11730,,11730,PASS_ADVENTURE,27,,,GENDER,MALE,,,COST_ITEM,50004,1,,NO_HUANZHUANG_COLLECTION,HP_TOUFA,200004,,,,,,,,,,,,,,,,,,100035
517,11731,11732,11733,,,,,11733,PASS_ADVENTURE,27,,,GENDER,MALE,,,COST_ITEM,50004,1,,NO_HUANZHUANG_COLLECTION,HP_GUANSHI,201004,,,,,,,,,,,,,,,,,,
518,11740,11750,11760,,,,,11760,PASS_ADVENTURE,27,,,GENDER,MALE,,,COST_ITEM,50004,1,,NO_HUANZHUANG_COLLECTION,HP_YIFU,210004,,,,,,,,,,,,,,,,,,
519,11761,11762,11763,,,,,11763,PASS_ADVENTURE,27,,,GENDER,MALE,,,COST_ITEM,50004,1,,NO_HUANZHUANG_COLLECTION,HP_SHOUCHI,240004,,,,,,,,,,,,,,,,,,
530,1830,1840,1850,1860,,,,1830,PASS_XINSHOU_GROUP,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,11830,11840,11850,11860,,,,11830,PASS_XINSHOU_GROUP,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100001,100001,,,,,,,,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,160,,,LOTTERY_FREE,1,,,LOTTERY_FREE,2,,,,,,,,,,,,,,,,,,,
100002,100003,,,,,,,,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,180,,,,,,,,,,,,,,,,,,,,,,,,,,,
100003,100005,100006,,,,,,,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
100004,100007,100008,,,,,,,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,220,,,,,,,,,,,,,,,,,,,,,,,,,,,
100005,100009,100010,,,,,,,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,230,,,,,,,,,,,,,,,,,,,,,,,,,,,
100006,100011,100012,,,,,,,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,240,,,,,,,,,,,,,,,,,,,,,,,,,,,
100007,100013,100014,,,,,,,LEVEL_GE,15,,,PASS_XINSHOU_GROUP,320,,,,,,,,,,,,,,,,,,,,,,,,,,,
100008,100016,100017,,,,,,,LEVEL_GE,20,,,PASS_XINSHOU_GROUP,370,,,,,,,,,,,,,,,,,,,,,,,,,,,
100009,100018,100037,,,,,,,LEVEL_GE,20,,,PASS_XINSHOU_GROUP,380,,,,,,,,,,,,,,,,,,,,,,,,,,,
100010,100019,100020,,,,,,,PASS_ADVENTURE,1,,,NOT_PASS_ADVENTURE,2,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,2,,,
100011,100021,100022,,,,,,,PASS_ADVENTURE,2,,,NOT_PASS_ADVENTURE,3,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,3,,,
100012,100023,100024,,,,,,,PASS_ADVENTURE,3,,,NOT_PASS_ADVENTURE,4,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,4,,,
100013,100025,100026,,,,,,,PASS_ADVENTURE,4,,,NOT_PASS_ADVENTURE,5,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,5,,,
100014,100027,100028,,,,,,,PASS_ADVENTURE,5,,,NOT_PASS_ADVENTURE,6,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,6,,,
100015,100029,100030,,,,,,,PASS_ADVENTURE,6,,,NOT_PASS_ADVENTURE,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
100016,100031,100032,,,,,,,PASS_ADVENTURE,7,,,NOT_PASS_ADVENTURE,8,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,8,,,
100017,100033,100034,,,,,,,PASS_ADVENTURE,8,,,NOT_PASS_ADVENTURE,9,,,FORMATION_NO_ACTOR,0,218,,FORMATION_NO_ACTOR,0,219,,FORMATION_GRID_NO_ACTOR,0,1,2,FORMATION_GRID_NO_ACTOR,0,2,2,,,,,,,,,
100018,100035,100036,,,,,,,PASS_ADVENTURE,9,,,NOT_PASS_ADVENTURE,10,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,10,,,
100019,100038,100039,100050,,,,,,NOT_PASS_ADVENTURE,1,,,GENDER,FEMALE,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,1,,,
100020,100040,,,,,,,,LEVEL_GE,12,,,PASS_XINSHOU_GROUP,270,,,,,,,,,,,,,,,,,,,,,,,,,,,
100021,100042,,,,,,,,LEVEL_GE,15,,,PASS_XINSHOU_GROUP,340,,,,,,,,,,,,,,,,,,,,,,,,,,,
100022,100044,,,,,,,,LEVEL_GE,20,,,PASS_XINSHOU_GROUP,360,,,,,,,,,,,,,,,,,,,,,,,,,,,
100024,100048,,,,,,,,LEVEL_GE,55,,,PASS_XINSHOU_GROUP,470,,,,,,,,,,,,,,,,,,,,,,,,,,,
100025,100029,100030,100050,,,,,,PASS_ADVENTURE,6,,,NOT_PASS_ADVENTURE,7,,,GENDER,FEMALE,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,7,,,
100026,100033,100034,,,,,,,PASS_ADVENTURE,8,,,NOT_PASS_ADVENTURE,9,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,9,,,
100027,100001,,,,,,,,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,170,,,,,,,,,,,,,,,,,,,,,,,,,,,
100028,100005,100006,,,,,,,LEVEL_GE,11,,,PASS_XINSHOU_GROUP,210,,,,,,,,,,,,,,,,,,,,,,,,,,,
100029,100038,100039,100050,,,,,,NOT_PASS_ADVENTURE,1,,,GENDER,MALE,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,1,,,
100030,100029,100030,100050,,,,,,PASS_ADVENTURE,6,,,NOT_PASS_ADVENTURE,7,,,GENDER,MALE,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,7,,,
100031,100033,100034,,,,,,,PASS_ADVENTURE,8,,,NOT_PASS_ADVENTURE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
100032,100053,,,,,,,,LEVEL_GE,10,,,PASS_XINSHOU_GROUP,150,,,QUEST_ACCEPTED,2,,,NOT_PASS_ADVENTURE,11,,,,,,,,,,,,,,,,,,,
100033,100054,100055,100056,,,,,,PASS_ADVENTURE,10,,,NOT_PASS_ADVENTURE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
100034,1810,1820,,,,,,,PASS_ADVENTURE,27,,,GENDER,FEMALE,,,,,,,,,,,,,,,,,,,,,,,,,,,
100035,1810,1820,,,,,,,PASS_ADVENTURE,27,,,GENDER,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,
