id,visit_plot.plot,visit_plot.plot,visit_plot.plot,visit_plot.thank_plot,visit_plot.thank_plot,visit_plot.thank_plot,visit_plot.head_plot,visit_plot.head_plot,visit_plot.head_plot,visit_plot.head_plot,visit_plot.head_plot,visit_plot.head_plot,visit_plot.chest_plot,visit_plot.chest_plot,visit_plot.chest_plot,visit_plot.chest_plot,visit_plot.chest_plot,visit_plot.chest_plot,visit_plot.legs_plot,visit_plot.legs_plot,visit_plot.legs_plot,visit_plot.legs_plot,visit_plot.legs_plot,visit_plot.legs_plot,visit_plot.all_plot,visit_plot.all_plot,visit_plot.all_plot,visit_plot.all_plot,visit_plot.all_plot,visit_plot.plot,visit_plot.thank_plot,visit_plot.thank_plot,visit_plot.head_plot,visit_plot.chest_plot,visit_plot.legs_plot,visit_plot.all_plot,visit_scene,visit_scene,star_plot.star,star_plot.plot,star_plot.star,star_plot.plot,star_plot.star,star_plot.plot,star_plot.star,star_plot.plot,star_plot.star,star_plot.plot,star_plot.star,star_plot.plot
204,320401,320402,320407,320403,320404,,320401,320402,320405,,,,,,,,,,320406,320407,320409,,,,320410,320411,320412,,,,320408,,,,,,常喜闺房,常喜闺房,,,,,,,,,,,,
205,320501,320502,320507,320503,320504,,320501,320502,320505,,,,,,,,,,320506,320507,320509,,,,320510,320511,320512,,,,320508,,,,,,常悦闺房,常悦闺房,,,,,,,,,,,,
206,320601,320602,320607,320603,320604,,320601,320602,320605,,,,320606,320607,320609,,,,,,,,,,320610,320611,320612,,,,320608,,,,,,大夫人房,大夫人房,,,,,,,,,,,,
207,320701,320702,320707,320703,320704,,320701,320702,,,,,320705,320706,,,,,320708,320709,,,,,320710,320711,320712,,,,320708,,,,,,车马驿站,车马驿站,,,,,,,,,,,,
208,320801,320802,320807,320803,320804,,320801,320802,320805,,,,320806,320807,320809,,,,,,,,,,320810,320811,320812,,,,320808,,,,,,喧嚣街道,喧嚣街道,,,,,,,,,,,,
209,320901,320902,320907,320903,320904,,320901,320902,320905,,,,320906,320907,320909,,,,,,,,,,320910,320911,320912,,,,320908,,,,,,醉仙居,醉仙居,,,,,,,,,,,,
210,321001,321002,321007,321003,321004,,321001,321002,321005,,,,321006,321007,321009,,,,,,,,,,321010,321011,321012,,,,321008,,,,,,别厅,别厅,,,,,,,,,,,,
211,321101,321102,321107,321103,321104,,321101,321102,321105,,,,321106,321107,321109,,,,,,,,,,321110,321111,321112,,,,321108,,,,,,李府正厅,李府正厅,,,,,,,,,,,,
212,321201,321202,321207,321203,321204,,321201,321202,321205,,,,321206,321207,321209,,,,,,,,,,321210,321211,321212,,,,321208,,,,,,太子妃房,太子妃房,,,,,,,,,,,,
213,321301,321302,321307,321303,321304,,321301,321302,321305,,,,321306,321307,321309,,,,,,,,,,321310,321311,321312,,,,321308,,,,,,昭仪房,昭仪房,,,,,,,,,,,,
214,321401,321402,321407,321403,321404,,321401,321402,321405,,,,321406,321407,321409,,,,,,,,,,321410,321411,321412,,,,321408,,,,,,雨荷小筑,雨荷小筑,,,,,,,,,,,,
215,321501,321502,321507,321503,321504,,321501,321502,321505,,,,,,,,,,321506,321507,321509,,,,321510,321511,321512,,,,321508,,,,,,戏楼,戏楼,,,,,,,,,,,,
216,321601,321602,321607,321603,321604,,321601,321602,321605,,,,321606,321607,321609,,,,,,,,,,321610,321611,321612,,,,321608,,,,,,浣衣房,浣衣房,,,,,,,,,,,,
217,321701,321702,321707,321703,321704,,321701,321702,321705,,,,,,,,,,321706,321707,321709,,,,321710,321711,321712,,,,321708,,,,,,夜晚街道,夜晚街道,,,,,,,,,,,,
218,321801,321802,321807,321803,321804,,321801,321802,,,,,321805,321806,,,,,321808,321809,,,,,321810,321811,321812,,,,321808,,,,,,李家前院,李家前院,,,,,,,,,,,,
219,321901,321902,321907,321903,321904,,321901,321902,321905,,,,321906,321907,321909,,,,,,,,,,321910,321911,321912,,,,321908,,,,,,李家前院,李家前院,,,,,,,,,,,,
220,322001,322002,322007,322003,322004,,322001,322002,,,,,322005,322006,,,,,322008,322009,,,,,322010,322011,322012,,,,322008,,,,,,李府客房,李府客房,,,,,,,,,,,,
221,322101,322102,322107,322103,322104,,322101,322102,322105,,,,322106,322107,322109,,,,,,,,,,322110,322111,322112,,,,322108,,,,,,车马驿站,车马驿站,,,,,,,,,,,,
222,322201,322202,322207,322203,322204,,322201,322202,322205,,,,,,,,,,322206,322207,322209,,,,322210,322211,322212,,,,322208,,,,,,丫鬟房,丫鬟房,,,,,,,,,,,,
223,322301,322302,322307,322303,322304,,322301,322302,,,,,322305,322306,,,,,322308,322309,,,,,322310,322311,322312,,,,322308,,,,,,宴厅,宴厅,,,,,,,,,,,,
224,322401,322402,322407,322403,322404,,322401,322402,322405,,,,322406,322407,322409,,,,,,,,,,322410,322411,322412,,,,322408,,,,,,王府,王府,,,,,,,,,,,,
225,322501,322502,322507,322503,322504,,322501,322502,322505,,,,,,,,,,322506,322507,322509,,,,322510,322511,322512,,,,322508,,,,,,寺庙外,寺庙外,,,,,,,,,,,,
226,322601,322602,322607,322603,322604,,322601,322602,322605,,,,,,,,,,322606,322607,322609,,,,322610,322611,322612,,,,322608,,,,,,寺庙正堂,寺庙正堂,,,,,,,,,,,,
227,330201,330203,330204,330202,,,330201,,,,,,330203,,,,,,,,,,,,330204,,,,,,330205,,,,,,夜晚森林,夜晚森林,,,,,,,,,,,,
228,322801,322802,322807,322803,322804,,322801,322802,322805,,,,322806,322807,322809,,,,,,,,,,322810,322811,322812,,,,322808,,,,,,森林,森林,,,,,,,,,,,,
229,322901,322902,322907,322903,322904,,322901,322902,322905,,,,,,,,,,322906,322907,322909,,,,322910,322911,322912,,,,322908,,,,,,夜花园,夜花园,,,,,,,,,,,,
230,323001,323002,323007,323003,323004,,323001,323002,323005,,,,,,,,,,323006,323007,323009,,,,323010,323011,323012,,,,323008,,,,,,夜花园,夜花园,,,,,,,,,,,,
301,330101,330103,330104,330102,,,330101,,,,,,,,,,,,330103,,,,,,330104,,,,,,330105,,,,,,夜晚森林,夜晚森林,,,,,,,,,,,,
302,322701,322702,322707,322703,322704,,322701,322702,,,,,322705,322706,,,,,322708,322709,,,,,322710,322711,322712,,,,322708,,,,,,寺庙偏隅,寺庙偏隅,,,,,,,,,,,,
303,330301,330303,330304,330302,,,330301,,,,,,,,,,,,330303,,,,,,330304,,,,,,330305,,,,,,寻花楼,寻花楼,,,,,,,,,,,,
304,330401,330403,330404,330402,,,330401,,,,,,,,,,,,330403,,,,,,330404,,,,,,330405,,,,,,雨荷小筑,雨荷小筑,,,,,,,,,,,,
305,330501,330503,330504,330502,,,330501,,,,,,,,,,,,330503,,,,,,330504,,,,,,330505,,,,,,街道,街道,,,,,,,,,,,,
306,330601,330603,330604,330602,,,330601,,,,,,330603,,,,,,,,,,,,330604,,,,,,330605,,,,,,雨荷小筑,雨荷小筑,,,,,,,,,,,,
307,330701,330703,330704,330702,,,330701,,,,,,,,,,,,330703,,,,,,330704,,,,,,330705,,,,,,寻花楼,寻花楼,,,,,,,,,,,,
308,330801,330803,330804,330802,,,330801,,,,,,330803,,,,,,,,,,,,330804,,,,,,330805,,,,,,医馆,医馆,,,,,,,,,,,,
309,330901,330903,330904,330902,,,330901,,,,,,,,,,,,330903,,,,,,330904,,,,,,330905,,,,,,茶馆,茶馆,,,,,,,,,,,,
310,331001,331003,331004,331002,,,331001,,,,,,,,,,,,331003,,,,,,331004,,,,,,331005,,,,,,马车驿站,马车驿站,,,,,,,,,,,,
