level,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,events.events.type,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,mail
24,COST_RESOURCE,EXP,550,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,ACCEPT_QUEST,6306,,ACCEPT_QUEST,6307,,ACCEPT_QUEST,6308,,ACCEPT_QUEST,6309,,ACCEPT_QUEST,6310,,
25,COST_RESOURCE,EXP,600,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,47
26,COST_RESOURCE,EXP,650,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
27,COST_RESOURCE,EXP,700,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
28,COST_RESOURCE,EXP,750,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
29,COST_RESOURCE,EXP,750,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,ACCEPT_QUEST,6311,,ACCEPT_QUEST,6312,,ACCEPT_QUEST,6313,,ACCEPT_QUEST,6314,,ACCEPT_QUEST,6315,,
30,COST_RESOURCE,EXP,800,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
31,COST_RESOURCE,EXP,850,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
32,COST_RESOURCE,EXP,900,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
33,COST_RESOURCE,EXP,950,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
34,COST_RESOURCE,EXP,1000,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,ACCEPT_QUEST,6316,,ACCEPT_QUEST,6317,,ACCEPT_QUEST,6318,,ACCEPT_QUEST,6319,,ACCEPT_QUEST,6320,,
35,COST_RESOURCE,EXP,1050,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
36,COST_RESOURCE,EXP,1100,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
37,COST_RESOURCE,EXP,1150,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
38,COST_RESOURCE,EXP,1200,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,2001
39,COST_RESOURCE,EXP,1400,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,ACCEPT_QUEST,6321,,ACCEPT_QUEST,6322,,ACCEPT_QUEST,6323,,ACCEPT_QUEST,6324,,ACCEPT_QUEST,6325,,
40,COST_RESOURCE,EXP,1250,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
41,COST_RESOURCE,EXP,1200,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
42,COST_RESOURCE,EXP,1250,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
43,COST_RESOURCE,EXP,1300,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
44,COST_RESOURCE,EXP,1300,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,ACCEPT_QUEST,6326,,ACCEPT_QUEST,6327,,ACCEPT_QUEST,6328,,ACCEPT_QUEST,6329,,ACCEPT_QUEST,6330,,
45,COST_RESOURCE,EXP,1350,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
46,COST_RESOURCE,EXP,1350,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
47,COST_RESOURCE,EXP,1350,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
48,COST_RESOURCE,EXP,1350,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
49,COST_RESOURCE,EXP,1500,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,ACCEPT_QUEST,6331,,ACCEPT_QUEST,6332,,ACCEPT_QUEST,6333,,ACCEPT_QUEST,6334,,ACCEPT_QUEST,6335,,
50,COST_RESOURCE,EXP,1350,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
51,COST_RESOURCE,EXP,1350,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
52,COST_RESOURCE,EXP,1500,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
53,COST_RESOURCE,EXP,1600,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
54,COST_RESOURCE,EXP,1600,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,ACCEPT_QUEST,6336,,ACCEPT_QUEST,6337,,ACCEPT_QUEST,6338,,ACCEPT_QUEST,6339,,ACCEPT_QUEST,6340,,
55,COST_RESOURCE,EXP,1600,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
56,COST_RESOURCE,EXP,1500,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
57,COST_RESOURCE,EXP,1500,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
58,COST_RESOURCE,EXP,1600,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
59,COST_RESOURCE,EXP,1800,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,ACCEPT_QUEST,6341,,ACCEPT_QUEST,6342,,ACCEPT_QUEST,6343,,ACCEPT_QUEST,6344,,ACCEPT_QUEST,6345,,
60,COST_RESOURCE,EXP,1600,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
61,COST_RESOURCE,EXP,1900,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
62,COST_RESOURCE,EXP,1900,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
63,COST_RESOURCE,EXP,2000,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
64,COST_RESOURCE,EXP,2200,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
65,COST_RESOURCE,EXP,2200,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
66,COST_RESOURCE,EXP,2200,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
67,COST_RESOURCE,EXP,2500,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
68,COST_RESOURCE,EXP,2500,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
69,COST_RESOURCE,EXP,2800,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
70,COST_RESOURCE,EXP,2500,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
71,COST_RESOURCE,EXP,2500,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
72,COST_RESOURCE,EXP,2800,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
73,COST_RESOURCE,EXP,2800,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
74,COST_RESOURCE,EXP,3000,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
75,COST_RESOURCE,EXP,3300,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
76,COST_RESOURCE,EXP,3500,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
77,COST_RESOURCE,EXP,4000,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
78,COST_RESOURCE,EXP,4000,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
79,COST_RESOURCE,EXP,4500,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
80,COST_RESOURCE,EXP,5000,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
81,COST_RESOURCE,EXP,5300,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
82,COST_RESOURCE,EXP,5500,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
83,COST_RESOURCE,EXP,5800,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
84,COST_RESOURCE,EXP,6300,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
85,COST_RESOURCE,EXP,6450,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
86,COST_RESOURCE,EXP,6850,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
87,COST_RESOURCE,EXP,7250,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
88,COST_RESOURCE,EXP,8050,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
89,COST_RESOURCE,EXP,8700,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
90,COST_RESOURCE,EXP,9150,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
91,COST_RESOURCE,EXP,10150,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
92,COST_RESOURCE,EXP,11500,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
93,COST_RESOURCE,EXP,12100,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
94,COST_RESOURCE,EXP,13100,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
95,COST_RESOURCE,EXP,14500,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
96,COST_RESOURCE,EXP,15050,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
97,COST_RESOURCE,EXP,16800,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
98,COST_RESOURCE,EXP,17350,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
99,COST_RESOURCE,EXP,19200,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
100,COST_RESOURCE,EXP,19950,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
101,COST_RESOURCE,EXP,21850,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
102,COST_RESOURCE,EXP,22400,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
103,COST_RESOURCE,EXP,23600,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
104,COST_RESOURCE,EXP,25650,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
105,COST_RESOURCE,EXP,26050,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
106,COST_RESOURCE,EXP,27300,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
107,COST_RESOURCE,EXP,29450,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
108,COST_RESOURCE,EXP,30450,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
109,COST_RESOURCE,EXP,30700,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
110,COST_RESOURCE,EXP,31950,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
111,COST_RESOURCE,EXP,33150,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
112,COST_RESOURCE,EXP,34350,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
113,COST_RESOURCE,EXP,35550,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
114,COST_RESOURCE,EXP,36800,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
115,COST_RESOURCE,EXP,38000,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
116,COST_RESOURCE,EXP,40500,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
117,COST_RESOURCE,EXP,40450,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
118,COST_RESOURCE,EXP,41650,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
119,COST_RESOURCE,EXP,42850,,,,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
120,FAIL,ACTOR_LEVEL_MAX,,,,,,,,,,,,,,,,,,,,,,,
